,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,"(458.683, 378.936, None, None)","(510.78, 402.553, None, None)","(562.876, 426.171, None, None)","(614.973, 449.788, None, None)","(667.07, 473.405, None, None)","(687.085, 495.166, None, None)","(715.731, 537.94, None, None)","(761.091, 569.814, None, None)","(770.589, 620.658, None, None)","(756.359, 627.981, None, None)","(761.285, 645.534, None, None)","(709.039, 668.819, None, None)","(653.252, 674.508, None, None)","(596.066, 673.241, None, None)","(538.88, 671.974, None, None)","(481.695, 670.671, None, None)","(424.511, 669.348, None, None)","(367.326, 668.024, None, None)","(310.141, 666.701, None, None)","(252.956, 665.378, None, None)","(195.772, 664.054, None, None)","(151.331, 645.849, None, None)","(134.389, 591.216, None, None)","(117.447, 536.582, None, None)","(100.506, 481.949, None, None)","(83.564, 427.315, None, None)","(42.264, 393.852, None, None)"
1,"(706.803, 255.492, 47.115, -27.176)","(747.128, 230.838, 42.08, -22.686)","(778.147, 206.555, 0.727, -44.758)","(800.152, 163.989, 3.084, -40.704)","(800.274, 118.947, -7.611, -66.389)","(783.345, 78.172, -39.149, -26.953)","(733.229, 63.559, -38.535, -17.064)","(683.144, 61.7, -64.421, -11.117)","(636.216, 64.047, -40.27, -14.281)","(593.013, 66.555, -42.193, 10.231)","(552.856, 63.979, -29.039, 14.139)","(514.267, 65.557, -32.522, 5.414)","(471.927, 66.908, -45.722, -14.393)","(429.53, 69.306, -37.004, 3.545)","(385.354, 70.338, -33.511, 8.601)","(341.272, 71.821, -40.067, 5.249)","(297.751, 74.729, -58.509, 2.012)","(254.168, 76.026, -52.192, -9.304)","(213.882, 79.945, -36.628, 17.197)","(173.794, 77.543, -52.004, -14.712)","(134.608, 90.952, -16.275, 25.474)","(112.029, 130.735, -33.475, 42.202)","(99.311, 171.852, -15.226, 53.209)","(92.928, 214.692, -2.663, 54.88)","(86.754, 256.582, -17.082, 53.912)","(81.995, 295.549, -10.831, 42.583)","(78.738, 330.398, 11.298, 47.784)"
2,"(506.396, 398.321, 48.369, 25.583)","(546.029, 408.501, 38.488, 19.323)","(589.517, 410.452, 39.033, -1.679)","(626.363, 408.277, 17.655, 8.749)","(652.138, 414.577, 21.92, 22.716)","(678.587, 425.295, 23.442, 26.304)","(704.578, 437.504, 13.91, 16.158)","(728.175, 449.687, 34.348, 14.13)","(751.945, 460.215, 4.933, 23.366)","(772.696, 468.155, 32.918, -0.645)","(785.75, 477.135, 22.114, 7.993)","(798.708, 488.345, 3.361, 12.029)","(808.048, 497.622, -6.932, 26.795)","(814.214, 507.629, 23.748, 22.231)","(815.872, 518.883, -14.582, 23.899)","(815.591, 534.643, 14.531, 14.51)","(813.817, 546.42, -8.084, 15.855)","(815.322, 563.759, -0.499, 34.574)","(806.357, 600.376, 3.913, 69.885)","(813.894, 638.939, 20.932, 36.354)","(816.173, 666.044, 3.591, 28.127)","(805.47, 677.811, -27.944, 9.31)","(786.015, 690.896, -38.546, 14.538)","(750.823, 693.151, -22.313, 5.905)","(716.338, 691.549, -29.036, 9.009)","(673.962, 690.964, -38.409, -2.684)","(634.94, 691.982, -51.222, -6.092)"
3,"(560.886, 538.642, 33.501, 14.029)","(599.563, 548.315, 51.0, 19.513)","(635.295, 552.531, 48.801, 14.274)","(676.612, 556.557, 54.851, 3.027)","(709.479, 558.344, 57.597, 12.392)","(747.407, 566.189, 38.008, 19.713)","(765.002, 573.537, 25.971, 25.385)","(782.444, 581.452, 39.355, 18.977)","(796.632, 579.156, 17.032, 58.279)","(805.131, 625.302, 14.602, 30.51)","(806.225, 663.897, -9.789, 40.332)","(782.134, 684.539, -46.631, 24.01)","(745.179, 689.014, -33.914, -4.234)","(704.578, 689.622, -29.059, 12.439)","(661.212, 688.423, -40.447, -2.546)","(618.424, 689.636, -29.805, 2.627)","(568.506, 686.843, -61.108, -0.681)","(527.185, 686.125, -36.759, 19.451)","(484.925, 688.54, -45.168, 13.141)","(440.578, 685.191, -37.965, 2.516)","(399.955, 684.996, -47.951, -15.422)","(363.45, 684.823, -51.396, 3.386)","(325.127, 682.281, -42.188, -4.243)","(284.877, 680.056, -55.137, -5.248)","(245.869, 677.754, -31.128, -9.894)","(203.477, 678.407, -42.248, 9.255)","(156.643, 672.301, -41.227, -25.931)"
4,"(568.283, 273.513, 34.204, -14.816)","(600.907, 259.709, 57.264, -10.353)","(635.839, 246.116, 19.996, -20.465)","(669.265, 238.814, 42.894, -13.368)","(699.067, 232.443, 48.416, -15.535)","(727.695, 226.113, 31.4, 2.947)","(750.351, 217.829, 32.982, -3.816)","(770.206, 201.9, 16.713, -30.702)","(790.338, 165.051, 15.945, -56.093)","(792.792, 128.917, -10.282, -46.087)","(782.159, 95.109, -49.722, -16.563)","(732.272, 92.004, -28.767, -7.793)","(697.476, 96.63, -25.749, 6.632)","(663.439, 88.244, -28.532, -5.271)","(619.552, 83.514, -33.404, -11.032)","(573.405, 95.723, -40.884, 10.535)","(533.472, 97.617, -25.712, -6.664)","(496.058, 98.3, -25.027, 0.329)","(459.443, 99.726, -25.079, 1.347)","(421.979, 100.427, -48.755, 5.239)","(380.573, 101.147, -31.8, 3.574)","(340.878, 100.654, -57.494, 3.118)","(301.579, 98.651, -24.167, -0.039)","(261.958, 96.232, -44.765, -0.357)","(222.987, 93.019, -23.108, -15.345)","(188.295, 94.908, -29.815, -10.055)","(160.133, 88.273, -40.423, -28.805)"
5,"(348.608, 563.883, 30.207, -6.614)","(385.036, 561.06, 33.175, -6.014)","(421.134, 560.413, 37.79, 13.71)","(457.003, 559.747, 42.008, 6.549)","(494.929, 560.375, 48.931, -8.275)","(530.46, 561.462, 39.116, 11.84)","(564.933, 560.501, 11.973, -11.69)","(590.638, 557.625, 30.18, 9.998)","(622.249, 553.154, 24.956, -10.064)","(652.448, 548.975, 23.664, -4.118)","(676.047, 542.514, 35.173, -20.92)","(696.453, 540.861, 32.303, -7.436)","(718.355, 541.527, 9.237, -10.043)","(733.353, 544.584, 4.318, 8.083)","(749.627, 543.12, 41.189, -1.528)","(776.254, 547.828, 33.789, 30.439)","(797.211, 574.415, 24.201, 46.689)","(804.241, 613.041, 0.228, 19.831)","(809.048, 638.233, 11.878, 25.516)","(799.836, 666.597, -5.092, 31.549)","(778.422, 680.566, -27.11, 18.447)","(746.996, 690.94, -17.701, 7.642)","(713.903, 696.146, -26.679, 12.658)","(673.904, 695.548, -41.894, -9.709)","(636.297, 694.265, -30.827, -9.103)","(593.878, 691.893, -32.896, 6.248)","(554.518, 692.183, -58.504, 7.84)"
6,"(598.993, 421.562, 37.727, 32.9)","(631.801, 437.43, 40.318, 25.674)","(668.003, 459.153, 44.957, 31.291)","(699.53, 474.995, 24.834, 14.382)","(725.725, 485.926, 22.772, 2.842)","(751.064, 499.163, 39.041, 20.859)","(778.921, 520.659, 8.831, 49.099)","(794.797, 538.651, 30.602, -0.554)","(803.693, 557.728, 17.743, 16.925)","(800.563, 591.015, -17.378, 20.505)","(807.953, 626.328, -8.801, 37.212)","(809.511, 662.687, -14.607, 41.328)","(787.455, 684.747, -28.046, 19.201)","(753.157, 691.416, -43.223, 9.468)","(715.762, 689.606, -43.206, 12.16)","(670.716, 688.16, -39.026, 3.736)","(628.338, 692.458, -37.09, 0.785)","(584.292, 690.603, -49.025, -7.844)","(540.056, 691.468, -32.684, -2.771)","(499.131, 691.906, -53.854, 16.011)","(461.268, 686.061, -37.274, -0.31)","(421.48, 680.616, -49.423, -17.951)","(377.253, 676.215, -53.618, 12.891)","(329.988, 675.796, -32.989, -16.717)","(290.04, 673.382, -42.88, 9.726)","(249.836, 670.214, -43.952, 0.743)","(212.783, 672.425, -50.979, 14.805)"
7,"(393.145, 567.34, 50.56, 13.224)","(432.893, 566.414, 50.428, -10.659)","(472.28, 566.831, 46.261, -1.262)","(508.881, 565.803, 27.742, 10.83)","(546.395, 566.077, 22.872, 2.944)","(586.534, 570.482, 20.744, 1.373)","(612.808, 572.466, 28.085, -10.871)","(648.399, 562.123, 33.49, -10.819)","(679.164, 558.959, 36.451, -11.978)","(710.059, 558.579, 40.071, 14.207)","(726.755, 559.397, 20.072, 3.963)","(750.058, 557.889, 38.106, -1.002)","(773.601, 558.034, 19.091, 50.969)","(786.936, 589.448, 0.667, 49.733)","(772.659, 629.698, -5.584, 30.977)","(775.726, 654.288, -21.953, 6.184)","(733.673, 658.205, -37.679, -14.808)","(705.236, 654.46, -46.782, -0.251)","(663.612, 651.797, -26.051, 15.209)","(633.512, 659.759, -37.239, 22.006)","(584.218, 656.932, -57.043, -11.579)","(556.417, 642.224, -22.042, -23.087)","(552.2, 636.039, -22.979, -28.5)","(551.471, 636.003, -43.725, -2.125)","(551.471, 636.003, -43.725, -2.125)","(551.471, 636.003, -43.725, -2.125)","(551.471, 636.003, -43.725, -2.125)"
8,"(708.281, 196.256, 39.162, -23.944)","(751.282, 183.629, 43.008, -9.289)","(779.335, 171.936, 16.399, -63.403)","(777.743, 122.054, 11.358, -50.641)","(774.628, 94.835, -52.207, 9.965)","(727.6, 94.459, -38.998, -0.466)","(686.066, 102.027, -40.973, -4.502)","(648.202, 105.84, -31.491, 16.997)","(604.598, 109.608, -28.567, 17.546)","(566.972, 109.2, -36.27, -11.358)","(524.652, 95.808, -39.027, 5.919)","(474.55, 91.461, -46.979, 3.127)","(428.719, 88.077, -47.747, -6.257)","(382.667, 85.345, -57.306, -8.886)","(338.611, 83.621, -37.82, -17.102)","(292.921, 84.086, -43.994, -9.112)","(248.803, 81.234, -46.792, 6.526)","(204.341, 81.325, -49.098, 14.025)","(164.168, 78.405, -59.715, -11.058)","(127.463, 100.183, -16.554, 52.242)","(107.811, 143.203, -11.131, 48.851)","(97.615, 184.983, 1.749, 42.787)","(88.853, 226.496, -16.298, 36.625)","(83.734, 267.653, -11.009, 27.591)","(80.965, 306.937, 2.74, 51.305)","(75.565, 342.645, -11.812, 20.676)","(60.282, 363.881, -35.931, 26.385)"
9,"(690.253, 299.407, 40.961, -25.362)","(720.552, 278.484, 45.89, -10.111)","(753.933, 254.153, 23.928, -38.672)","(782.373, 235.334, 12.565, -26.306)","(799.132, 214.779, 12.021, -42.901)","(814.391, 178.608, -8.315, -20.214)","(819.171, 143.314, 14.855, -28.474)","(806.184, 104.034, -8.305, -51.081)","(797.031, 78.629, -4.713, -25.125)","(763.431, 60.637, -49.601, 6.533)","(722.735, 60.205, -30.709, -9.645)","(680.473, 59.892, -50.069, 12.779)","(638.674, 58.342, -30.268, 16.282)","(600.99, 62.594, -24.565, 5.496)","(559.88, 66.099, -47.689, -2.344)","(520.527, 64.892, -31.961, 14.354)","(483.203, 65.192, -25.036, 3.726)","(443.178, 64.296, -37.722, 10.058)","(406.334, 65.723, -29.902, 0.463)","(367.565, 66.074, -51.917, -2.87)","(327.987, 67.079, -47.282, -10.59)","(289.785, 70.096, -47.478, 7.504)","(252.586, 70.61, -39.268, 0.969)","(215.559, 76.416, -24.871, -14.789)","(179.224, 76.86, -24.73, 13.951)","(139.378, 82.213, -21.259, 22.683)","(113.434, 114.007, -13.599, 38.963)"
