,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,"(544.011, 282.694, -15.601, 20.265)","(575.225, 268.931, 56.876, -55.618)","(611.868, 250.229, 91.284, -47.842)","(651.548, 239.425, 70.66, -22.108)","(688.851, 222.79, -40.946, -62.504)","(714.97, 220.263, 77.658, -59.6)","(734.592, 212.825, 71.344, -7.463)","(751.811, 200.254, 4.227, 37.901)","(771.967, 190.012, -14.729, -44.699)","(768.525, 147.869, 71.241, -51.625)","(758.398, 125.618, 18.084, -35.721)","(763.458, 110.873, 10.535, -67.48)","(772.847, 88.571, -98.529, -37.411)","(732.99, 86.976, -54.494, 47.129)","(692.957, 99.978, 20.652, -30.629)","(667.278, 109.057, 43.239, 1.857)","(654.278, 113.829, -46.094, -2.366)","(640.491, 113.991, 10.18, 32.268)","(620.912, 112.229, -61.508, 26.11)","(613.922, 113.161, 48.496, -21.09)","(609.746, 108.383, -0.227, -67.448)","(555.946, 83.277, -103.442, 63.388)","(514.157, 94.65, -31.666, -38.125)","(467.479, 98.793, -93.56, -9.53)","(424.149, 98.405, -99.623, -53.404)","(377.59, 97.859, -41.249, 33.365)","(336.125, 94.685, -4.943, 40.79)","(286.677, 99.532, -23.625, 34.493)"
11,"(776.676, 246.715, 30.268, -29.921)","(803.171, 212.335, 23.271, -5.324)","(817.335, 173.965, 65.792, -10.67)","(818.025, 136.654, -26.75, -44.898)","(806.338, 101.879, -29.707, -8.064)","(776.762, 79.139, -69.235, -58.443)","(725.963, 71.019, -37.535, -23.156)","(685.333, 74.808, -85.776, -34.063)","(641.888, 70.608, -25.458, -47.492)","(602.321, 76.735, -38.548, 22.584)","(564.936, 76.681, -53.686, -6.855)","(525.146, 72.234, -13.292, 42.316)","(484.238, 74.412, -91.942, -42.167)","(434.623, 78.342, -11.923, 50.18)","(389.613, 79.715, 6.014, 30.435)","(343.669, 80.504, -0.655, 3.337)","(292.195, 81.379, -51.617, -44.442)","(251.12, 82.366, -67.522, 49.408)","(205.149, 81.23, -39.378, 39.897)","(166.223, 77.37, -23.372, -38.205)","(128.042, 103.836, -33.087, 55.774)","(112.617, 137.103, 23.984, 83.79)","(97.154, 177.613, -52.238, 22.541)","(92.467, 219.728, -54.035, 88.214)","(96.057, 260.675, -55.469, -13.456)","(85.473, 305.114, 20.862, 62.412)","(80.163, 340.347, 18.84, 5.257)","(71.167, 364.845, 4.453, 26.431)"
12,"(505.76, 560.352, 16.727, -31.31)","(541.475, 565.823, 25.159, 19.747)","(586.575, 572.603, 40.683, -24.617)","(621.641, 581.716, 70.492, 56.489)","(654.215, 581.558, 48.135, -29.357)","(681.229, 581.454, -6.97, -19.953)","(701.091, 578.899, 77.047, 43.097)","(719.254, 580.0, -36.205, 6.613)","(726.674, 567.899, -18.735, -17.78)","(730.07, 556.945, 24.178, -24.577)","(756.981, 555.642, 19.967, -13.389)","(777.213, 580.219, 56.305, 79.02)","(772.11, 623.125, -35.273, 28.61)","(771.429, 644.526, -4.189, -31.992)","(775.173, 658.605, 7.525, 34.987)","(729.841, 647.017, -7.686, -37.308)","(695.966, 637.158, 5.608, 32.938)","(667.196, 638.37, -33.378, -17.801)","(639.325, 637.854, 25.867, -6.669)","(623.281, 636.065, -62.134, -14.29)","(617.389, 640.424, 43.628, -28.292)","(600.464, 665.92, 16.386, 27.127)","(554.58, 673.567, -18.863, -53.755)","(517.386, 665.045, -15.995, 25.109)","(474.312, 659.536, -84.981, -40.005)","(437.66, 656.376, -83.547, 40.599)","(396.271, 651.143, -20.503, -52.461)","(364.859, 650.564, -80.108, 20.867)"
13,"(395.914, 453.647, 3.938, -24.654)","(432.691, 462.467, 8.311, 53.938)","(470.213, 461.619, 69.359, -7.684)","(503.761, 471.045, 25.107, 67.145)","(540.787, 485.997, 12.166, 65.602)","(576.671, 496.199, -12.596, -24.299)","(616.649, 501.248, 70.743, -3.344)","(652.633, 513.534, 9.353, 30.138)","(691.413, 514.451, 31.737, -36.071)","(716.939, 508.565, -1.021, -43.625)","(750.533, 511.272, 58.8, 60.458)","(770.963, 525.534, -27.001, 48.189)","(785.382, 553.363, 18.12, 2.495)","(796.542, 596.591, 31.726, 88.932)","(798.947, 628.513, 23.65, 26.432)","(796.221, 655.969, -3.866, 23.846)","(758.758, 655.415, -43.69, 45.858)","(713.738, 642.161, 8.667, -20.584)","(690.134, 636.596, 5.288, -9.484)","(669.288, 636.075, -6.58, -64.484)","(649.563, 636.503, -26.647, -2.887)","(634.964, 636.391, -57.397, -2.707)","(621.091, 637.76, -26.965, 39.399)","(619.678, 636.737, -40.609, -65.156)","(619.831, 636.423, 27.988, -9.21)","(618.927, 638.497, 49.836, -38.767)","(623.732, 636.852, -15.022, -43.174)","(620.074, 639.771, 46.775, 34.148)"
14,"(526.661, 376.819, 30.438, -36.29)","(566.011, 355.855, 22.136, -64.386)","(603.636, 342.473, 83.455, -4.21)","(640.416, 322.7, -16.252, 8.833)","(673.857, 304.794, 58.983, -34.546)","(693.738, 287.37, 44.215, 8.016)","(720.151, 272.7, 19.208, 28.085)","(745.653, 253.567, -16.331, 46.497)","(766.48, 234.536, 25.505, -73.279)","(787.033, 204.321, 42.805, -9.024)","(794.536, 153.881, 53.733, -111.408)","(805.807, 118.778, 20.989, -20.255)","(800.264, 88.705, -6.763, -6.885)","(777.967, 64.307, -45.771, -61.829)","(733.339, 51.977, -55.371, -3.188)","(687.43, 59.858, -41.371, -5.095)","(646.575, 60.073, -0.335, 39.829)","(598.332, 63.895, -90.71, -16.602)","(554.184, 64.782, -17.442, -48.879)","(509.4, 69.908, -8.159, 29.578)","(469.383, 77.418, -81.318, 28.085)","(432.192, 77.434, -48.565, -17.469)","(385.61, 72.258, -92.033, 9.213)","(343.537, 67.359, -89.067, -53.246)","(300.857, 62.373, -77.959, 37.824)","(260.74, 66.567, -30.467, -29.326)","(216.623, 72.346, -54.463, 37.522)","(174.177, 68.686, -63.987, -30.677)"
15,"(753.549, 227.417, 7.357, 20.498)","(775.252, 198.728, 44.501, -12.798)","(783.589, 143.736, 18.078, -2.065)","(782.894, 93.403, -19.163, -69.806)","(731.911, 85.509, -102.243, -25.645)","(678.753, 78.761, -32.016, -14.646)","(636.099, 86.548, 3.97, 51.435)","(589.999, 88.668, -10.717, 45.572)","(544.202, 81.869, 5.114, 36.846)","(498.196, 81.161, -13.101, 27.259)","(448.808, 81.611, -102.766, 37.046)","(397.249, 81.098, -76.867, -46.681)","(354.965, 79.046, -9.643, 1.327)","(306.916, 81.344, -28.807, -23.676)","(260.662, 78.707, -87.35, -55.761)","(219.774, 79.83, -24.726, -41.181)","(173.922, 78.238, -85.456, 43.911)","(137.858, 96.707, 4.05, 8.287)","(111.637, 144.481, -8.791, 57.266)","(97.387, 182.658, -43.228, 21.19)","(89.821, 229.329, 33.672, 100.723)","(83.987, 273.339, -14.541, 88.393)","(79.447, 318.533, 43.161, 3.368)","(61.677, 363.847, -32.123, 2.271)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
16,"(422.527, 502.675, 45.79, -22.333)","(453.641, 507.11, 9.943, -10.638)","(497.426, 512.413, 75.937, 33.381)","(546.483, 524.98, 42.845, 36.577)","(581.249, 529.034, -4.82, 33.704)","(621.415, 535.222, 32.876, 60.003)","(652.945, 538.802, -2.948, 46.647)","(693.189, 544.495, -13.733, 14.737)","(721.599, 543.033, 75.138, 7.304)","(757.626, 540.46, 85.816, -0.354)","(784.035, 564.024, -15.42, -5.252)","(790.037, 613.589, -40.942, 78.426)","(785.83, 650.771, 10.977, -12.365)","(730.577, 665.912, -55.057, 8.141)","(689.735, 664.309, -37.425, -39.599)","(650.499, 658.31, 7.06, 16.27)","(613.949, 662.293, 0.326, 38.182)","(560.284, 678.204, -85.542, 31.541)","(515.113, 676.297, -71.518, 1.469)","(469.924, 674.31, -83.452, 41.145)","(430.05, 668.203, -19.491, -39.762)","(389.489, 670.158, -40.801, -25.478)","(348.27, 665.854, -48.81, 10.377)","(314.407, 654.943, 6.736, 37.721)","(270.626, 663.554, -49.445, -14.711)","(234.287, 661.772, -54.386, 14.518)","(200.938, 658.025, -66.784, -49.491)","(166.841, 662.017, -16.304, -8.951)"
17,"(667.977, 351.143, 63.517, -74.89)","(699.052, 328.087, 74.665, 18.395)","(717.622, 299.298, -2.662, -16.976)","(735.746, 274.714, -12.848, 18.258)","(751.203, 258.136, 26.862, -52.501)","(770.633, 244.388, -3.446, -35.157)","(786.706, 227.01, 0.137, -42.768)","(800.717, 184.528, -1.977, -63.727)","(800.739, 135.723, -3.293, -92.831)","(798.978, 95.333, 3.277, -14.87)","(761.854, 87.326, 18.533, 10.031)","(716.288, 78.614, -13.905, 47.432)","(671.86, 94.71, -78.216, -42.976)","(632.543, 94.803, -20.706, 13.911)","(585.372, 109.752, -38.023, 63.991)","(561.974, 112.544, 9.631, -0.588)","(514.583, 103.142, -32.821, -5.032)","(469.996, 101.674, -33.237, 48.425)","(435.227, 101.838, -30.666, -42.003)","(391.257, 99.18, -31.389, 41.21)","(354.33, 99.145, 2.435, -9.337)","(313.118, 97.747, -63.949, -21.574)","(269.264, 98.049, 1.341, 50.017)","(230.405, 90.961, -65.493, 13.45)","(191.913, 95.556, -46.578, 29.768)","(149.95, 81.186, -4.068, -71.237)","(119.875, 114.149, -4.275, 60.836)","(117.87, 158.901, 11.431, -9.394)"
18,"(590.607, 521.893, 64.249, -32.019)","(631.629, 532.169, 46.591, -14.148)","(665.128, 540.626, 47.382, -10.35)","(702.753, 546.362, 93.991, 37.224)","(733.866, 547.557, 2.515, -46.115)","(771.813, 550.349, 16.254, 11.333)","(777.038, 603.427, -12.194, 31.873)","(781.048, 639.881, 19.046, 81.054)","(771.023, 655.46, -17.91, -17.163)","(725.492, 660.672, -90.414, -11.937)","(684.728, 650.54, -38.731, -56.753)","(642.302, 644.554, -69.844, 8.375)","(604.794, 649.068, -20.223, -2.076)","(549.284, 660.659, -97.261, -22.326)","(492.213, 656.417, -104.307, 32.878)","(447.451, 653.451, -96.017, -39.615)","(396.746, 650.665, -88.809, -13.007)","(349.892, 645.906, -75.679, -39.155)","(299.188, 649.116, -86.113, -3.148)","(252.4, 651.787, -102.641, -37.051)","(212.534, 657.773, -65.829, 24.425)","(188.837, 652.937, 15.972, 13.124)","(163.351, 658.183, -31.895, 15.805)","(136.261, 647.8, -54.012, -16.792)","(121.381, 599.098, -39.975, -68.556)","(107.139, 560.016, -53.657, -6.553)","(86.406, 514.236, 31.463, -73.323)","(80.453, 475.123, 50.566, -16.475)"
19,"(597.691, 200.388, 85.619, -22.212)","(635.353, 180.696, 65.813, 25.965)","(681.649, 170.864, 46.643, -18.729)","(713.53, 167.412, 72.213, 20.681)","(731.341, 167.035, 14.449, 15.28)","(740.448, 166.201, 14.88, -39.746)","(760.872, 163.748, 75.705, -35.314)","(775.349, 156.487, 4.579, -52.925)","(782.974, 166.523, 42.92, 81.132)","(802.587, 163.427, 59.038, -17.464)","(806.348, 119.579, 5.492, -7.086)","(804.809, 84.415, -58.758, 19.47)","(785.249, 58.343, -42.327, -16.846)","(749.448, 54.584, -74.538, 18.73)","(697.702, 60.23, -83.37, -36.6)","(653.768, 67.727, -44.7, 7.947)","(609.821, 66.298, -57.446, 0.872)","(562.494, 64.265, -6.93, -48.174)","(518.883, 71.095, -1.197, 41.741)","(476.859, 70.063, -3.789, -45.266)","(433.193, 73.512, -53.505, -30.184)","(388.546, 77.954, -80.588, 37.38)","(347.886, 74.273, -5.708, -6.012)","(304.991, 74.279, -46.816, -30.058)","(261.437, 70.823, 4.254, -22.271)","(220.544, 72.0, -24.754, -29.966)","(174.998, 69.505, -14.036, 39.569)","(130.818, 85.792, -4.12, 72.774)"
20,"(403.145, 241.918, 41.404, 27.049)","(439.27, 225.601, 8.391, -43.807)","(477.237, 220.612, 29.496, 6.78)","(508.942, 209.108, -8.079, 10.885)","(545.219, 205.419, 50.725, 29.838)","(589.973, 204.844, 39.786, 37.638)","(632.272, 185.339, 45.462, -29.553)","(658.196, 171.407, 50.585, -11.04)","(676.576, 166.505, -17.135, 27.653)","(690.768, 167.678, -21.469, -42.349)","(703.9, 178.562, -38.939, 19.272)","(728.21, 196.181, -17.86, 62.177)","(754.526, 202.441, 44.968, -30.685)","(777.157, 185.39, 81.452, -7.576)","(776.59, 150.917, -44.098, -93.648)","(778.424, 125.612, 11.733, 22.462)","(780.386, 97.486, 40.192, 24.258)","(733.163, 84.637, -78.524, 34.086)","(692.536, 85.132, -11.987, -49.48)","(667.572, 88.102, -14.616, 14.393)","(622.689, 77.353, 4.116, -53.411)","(593.013, 76.352, -41.607, -26.505)","(550.89, 84.537, -77.607, 23.612)","(510.505, 91.45, -37.97, 35.743)","(465.535, 93.319, 2.422, 13.719)","(420.399, 95.993, -17.89, -17.994)","(376.476, 96.559, -18.578, 11.996)","(330.776, 97.044, -81.912, -25.948)"
21,"(712.638, 497.193, -1.47, 42.626)","(750.078, 512.655, -9.836, 4.475)","(787.996, 533.174, -6.764, -10.586)","(806.273, 576.244, 48.067, 42.44)","(802.275, 629.162, -0.58, 79.159)","(775.047, 662.153, -63.709, 16.097)","(731.339, 668.053, -84.334, -50.515)","(685.215, 666.967, -20.233, 12.823)","(636.745, 666.181, -19.587, 28.197)","(597.511, 672.757, -91.35, 23.416)","(552.872, 669.844, -19.228, 5.792)","(498.946, 664.767, -42.356, -58.427)","(458.333, 658.952, -77.073, -27.753)","(417.517, 657.532, -6.208, 10.316)","(375.367, 658.289, -48.933, -11.379)","(333.464, 660.874, -24.656, 13.368)","(286.422, 657.465, -15.798, 23.981)","(240.462, 658.163, -82.033, 0.449)","(197.725, 655.686, -78.221, -8.903)","(153.029, 663.752, -45.874, -45.313)","(132.725, 626.546, -55.297, 5.914)","(118.653, 580.316, 37.728, -94.04)","(113.14, 536.902, 7.763, -60.365)","(99.499, 493.756, 7.586, 7.11)","(87.195, 448.776, -53.712, 0.835)","(81.032, 406.416, 25.015, -69.148)","(66.989, 384.147, -68.098, -33.963)","(None, None, None, None)"
22,"(342.609, 209.76, 83.631, -26.831)","(385.911, 192.125, 76.489, 38.207)","(424.389, 190.252, 44.81, 1.689)","(448.016, 183.891, -25.693, -53.512)","(486.076, 195.59, 42.506, -52.156)","(529.031, 194.906, 18.77, 19.067)","(568.818, 194.748, 54.44, 16.924)","(615.11, 190.375, 85.857, -13.232)","(639.443, 182.623, 14.668, -26.029)","(657.12, 173.983, -22.73, -54.159)","(675.57, 166.29, 11.526, -19.848)","(693.949, 166.455, 69.021, -3.562)","(703.808, 166.154, -39.025, 6.432)","(719.928, 166.477, 62.522, -6.353)","(735.489, 168.205, 30.992, -43.19)","(745.172, 179.462, -41.52, 33.125)","(767.437, 190.641, 60.536, 54.499)","(769.646, 165.478, 50.548, -2.718)","(777.416, 132.524, -22.352, -32.548)","(774.403, 104.067, 34.712, -54.62)","(743.265, 95.193, -27.898, -11.473)","(702.689, 89.866, -81.964, -44.934)","(673.238, 94.197, -51.255, -40.266)","(634.526, 83.582, 2.363, -5.336)","(592.123, 77.506, -38.069, -19.019)","(553.568, 74.343, 8.165, -49.0)","(513.609, 73.37, -91.473, 5.055)","(468.297, 74.888, -51.232, 20.501)"
