,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,"(462.383, 374.498, None, None)","(514.031, 391.605, None, None)","(561.469, 423.566, None, None)","(608.907, 455.526, None, None)","(634.452, 472.198, None, None)","(681.91, 503.648, None, None)","(735.566, 522.67, None, None)","(771.255, 535.672, None, None)","(774.476, 558.169, None, None)","(783.157, 603.548, None, None)","(762.143, 643.105, None, None)","(707.982, 655.708, None, None)","(650.794, 656.845, None, None)","(623.152, 656.598, None, None)","(565.988, 658.117, None, None)","(508.931, 662.152, None, None)","(451.875, 666.221, None, None)","(394.823, 670.329, None, None)","(337.771, 674.438, None, None)","(280.695, 678.105, None, None)","(223.519, 679.738, None, None)","(166.337, 681.167, None, None)","(140.557, 641.713, None, None)","(124.035, 587.058, None, None)","(104.137, 533.43, None, None)","(97.933, 477.784, None, None)","(96.057, 423.809, None, None)","(45.086, 397.851, None, None)"
1,"(747.354, 195.974, 98.041, -5.876)","(782.93, 151.487, -40.722, -118.658)","(786.595, 95.812, -19.24, -31.508)","(732.746, 84.884, -62.06, 34.53)","(676.2, 84.422, -94.801, 2.813)","(624.223, 85.914, -3.675, -16.479)","(580.66, 89.555, 1.681, -18.3)","(530.256, 80.117, -53.454, -51.4)","(470.677, 76.683, -101.137, 6.906)","(416.777, 76.611, -90.67, -47.848)","(368.239, 81.04, -88.055, -41.458)","(310.004, 81.567, -16.355, 38.166)","(256.095, 80.095, -25.342, 10.597)","(211.364, 77.995, -14.685, 11.35)","(166.139, 78.238, -2.418, -58.144)","(130.919, 102.452, -38.182, 1.392)","(110.252, 149.802, -15.512, 83.04)","(99.377, 197.513, -8.074, 89.433)","(93.456, 241.464, -3.614, 46.46)","(83.569, 281.915, -58.651, 26.617)","(74.799, 327.981, -8.001, 56.991)","(51.14, 367.089, -56.966, -4.15)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(383.004, 289.333, -7.551, 5.588)","(429.457, 278.68, 28.886, -33.835)","(471.229, 263.696, 26.501, 2.696)","(509.431, 259.676, -10.907, 37.902)","(539.361, 251.124, 3.501, -12.919)","(571.315, 237.159, -10.081, -43.583)","(609.257, 222.253, 86.769, -49.106)","(645.805, 219.369, 72.947, -10.641)","(682.61, 213.216, 34.12, 26.001)","(704.501, 207.823, 9.591, 37.244)","(724.796, 206.296, 23.672, -62.384)","(750.531, 206.62, 72.13, 15.064)","(769.637, 192.08, 39.764, -102.501)","(782.411, 164.673, -0.945, -59.473)","(786.927, 126.945, -0.879, 21.568)","(779.212, 100.472, -59.555, 45.083)","(741.338, 89.799, -64.926, -48.262)","(698.891, 88.842, -2.393, 60.272)","(671.296, 111.522, -26.091, 13.26)","(664.024, 113.732, 4.912, -9.646)","(653.067, 113.684, -23.717, 24.183)","(641.434, 113.259, -66.474, -20.223)","(630.539, 113.5, 11.847, -27.051)","(622.661, 112.871, -19.562, -31.134)","(612.796, 113.351, -59.976, -7.785)","(597.006, 113.779, -19.627, -11.405)","(575.141, 112.72, -16.041, -13.199)","(540.249, 104.137, -61.897, -62.504)"
3,"(520.507, 343.509, 7.799, -14.132)","(541.105, 328.328, -4.073, -46.725)","(575.422, 315.273, 48.286, -6.865)","(597.72, 305.51, -3.949, 18.123)","(625.089, 298.324, 40.374, 3.774)","(661.194, 283.59, 29.094, -1.384)","(689.494, 267.783, -17.543, -17.584)","(715.217, 258.626, 43.437, -42.085)","(739.384, 253.453, 44.368, 43.352)","(753.795, 249.584, 29.796, -34.232)","(772.776, 239.84, 71.252, -29.055)","(786.986, 216.612, -57.84, -68.565)","(794.545, 186.393, -37.094, 4.264)","(804.107, 151.514, 36.68, 0.764)","(806.503, 110.878, -16.909, -93.809)","(797.751, 82.173, -2.305, 35.588)","(760.598, 63.302, -63.166, 21.009)","(718.97, 58.339, -23.277, -30.718)","(671.718, 60.972, -100.268, -43.086)","(627.679, 65.018, -27.309, 22.062)","(579.337, 68.833, 13.691, 46.832)","(529.543, 62.443, -15.622, -51.207)","(486.85, 64.45, -45.955, 49.183)","(443.159, 65.866, -52.701, 44.623)","(401.829, 60.582, -44.529, -16.215)","(358.524, 62.557, -14.835, -9.802)","(320.695, 62.027, 14.897, -48.777)","(286.239, 63.058, -80.293, 28.054)"
4,"(660.416, 186.489, -11.065, -13.269)","(698.767, 178.323, 14.949, -7.323)","(731.492, 171.53, 13.471, -5.7)","(753.985, 173.081, 4.704, 55.557)","(775.509, 163.73, 32.104, -16.138)","(782.768, 167.696, 13.192, 53.609)","(788.602, 179.16, -13.885, -8.11)","(796.112, 124.283, 57.615, -7.339)","(784.937, 96.122, -87.364, 16.904)","(745.697, 90.745, -34.041, -5.651)","(701.82, 99.775, 5.604, 50.933)","(668.208, 104.272, 30.456, 41.181)","(623.231, 93.561, -101.665, 29.889)","(574.74, 105.848, -79.874, -38.527)","(530.214, 99.397, -4.709, -42.432)","(479.861, 95.796, -65.401, -51.045)","(434.678, 99.684, -91.366, 57.559)","(388.206, 101.108, -13.048, 6.193)","(342.734, 102.657, 6.949, 7.131)","(297.163, 100.152, -3.986, 13.446)","(255.012, 99.033, -28.557, 37.545)","(218.443, 96.163, -21.11, 13.165)","(180.924, 98.403, 6.715, 12.117)","(144.911, 89.737, 16.24, 5.145)","(122.64, 152.239, 5.567, 57.422)","(107.707, 201.149, -6.972, 17.232)","(100.437, 243.068, 5.981, 3.746)","(87.639, 282.774, -20.053, -0.441)"
5,"(663.078, 391.384, 49.247, -16.459)","(689.564, 370.152, -18.388, -21.813)","(717.261, 339.729, 62.143, -8.144)","(740.504, 316.739, 47.463, -72.537)","(761.686, 296.056, -19.22, 35.387)","(781.63, 283.513, 73.492, 36.59)","(799.085, 264.686, -8.995, -27.972)","(808.32, 258.694, 38.017, -39.169)","(814.076, 243.877, -17.64, 46.086)","(816.561, 235.383, -33.529, -30.006)","(816.413, 231.556, 36.076, -54.131)","(816.555, 217.284, -47.62, -42.48)","(814.424, 208.779, -32.47, -2.261)","(811.444, 186.243, 68.343, -11.645)","(807.95, 154.391, -24.828, -16.516)","(809.299, 116.604, -39.957, -49.357)","(789.691, 83.673, -14.375, -10.556)","(761.88, 59.642, -17.232, -62.002)","(717.9, 57.605, -90.96, 54.53)","(672.808, 58.869, -43.584, 35.519)","(625.278, 58.177, -35.566, 36.063)","(584.849, 50.765, -55.857, -21.185)","(534.693, 54.832, -53.57, 13.182)","(497.689, 56.953, 10.85, 14.142)","(454.792, 58.674, -48.385, 58.92)","(412.397, 61.614, 9.39, 45.596)","(379.418, 62.104, -2.42, 18.092)","(335.493, 64.203, 10.743, 32.447)"
6,"(523.976, 408.458, 80.661, -10.621)","(557.611, 396.631, 12.24, -31.993)","(594.909, 379.326, -16.416, -5.672)","(621.569, 364.912, 12.115, 17.873)","(645.015, 353.625, 30.778, -59.529)","(665.445, 339.738, 17.877, -60.836)","(690.601, 322.288, 26.765, -49.496)","(713.389, 312.75, 20.394, 40.048)","(732.601, 297.492, 69.182, -49.951)","(747.975, 286.633, 37.595, 46.257)","(760.26, 280.704, -41.286, -47.992)","(769.286, 273.24, -26.356, -25.195)","(786.792, 257.219, -50.602, -46.622)","(801.675, 250.065, 42.633, 21.964)","(813.914, 237.505, 44.532, -6.931)","(811.382, 226.3, 27.949, -68.637)","(814.358, 215.223, -41.113, 22.368)","(810.982, 186.897, -33.353, -83.119)","(809.445, 172.638, 20.488, 9.241)","(799.616, 147.326, -3.888, -101.677)","(803.795, 112.818, 18.494, -42.875)","(799.666, 94.071, 17.098, 2.4)","(762.535, 92.373, -68.6, 66.854)","(715.734, 94.726, -10.658, -29.534)","(675.626, 104.547, -63.806, 39.438)","(652.947, 113.37, -67.965, -30.141)","(632.863, 113.584, -1.031, 6.832)","(618.071, 113.32, 12.975, 3.484)"
7,"(304.543, 330.165, -30.346, 33.405)","(334.543, 327.08, 27.478, -12.451)","(361.827, 323.687, 90.861, -51.868)","(392.24, 318.911, -9.614, -57.555)","(423.589, 312.044, 56.881, 27.053)","(455.805, 301.647, 17.7, -52.743)","(485.757, 292.474, 8.248, 26.136)","(525.138, 278.601, 72.322, 18.507)","(563.14, 266.429, 61.842, -15.699)","(595.582, 253.751, 10.834, -32.56)","(624.45, 245.557, 1.441, 28.181)","(647.985, 238.763, 64.451, 10.059)","(670.707, 231.203, 50.971, -9.872)","(690.56, 225.685, 28.105, 28.485)","(709.566, 223.315, 18.723, -33.123)","(730.621, 213.111, 8.446, -50.78)","(751.669, 208.92, -11.281, 17.218)","(776.622, 197.811, -52.571, 21.503)","(785.567, 169.576, 54.707, -22.375)","(783.044, 131.18, -30.065, -87.259)","(775.974, 107.619, -13.807, 17.583)","(770.638, 93.696, 3.888, -6.553)","(720.625, 96.634, -82.868, 4.368)","(677.246, 93.838, -24.997, 33.437)","(644.609, 81.611, 5.869, -21.027)","(608.596, 75.921, -5.168, -11.264)","(578.963, 73.331, 8.252, 9.681)","(543.892, 70.575, 17.708, 17.562)"
8,"(238.465, 225.407, 64.549, -63.015)","(265.678, 220.734, 32.376, -34.114)","(292.535, 218.133, 29.834, -0.317)","(328.288, 215.187, 76.363, 39.457)","(368.038, 210.348, 2.847, 3.988)","(404.916, 199.443, 64.709, -33.92)","(433.058, 196.725, 79.286, -55.463)","(458.134, 198.149, 38.205, 41.98)","(504.322, 197.264, 14.916, -40.452)","(547.925, 201.222, 34.181, -41.557)","(588.186, 197.778, 5.269, -29.487)","(630.622, 186.331, 26.239, -27.513)","(652.941, 182.95, 25.135, -27.048)","(676.412, 181.38, 46.698, 22.285)","(695.795, 177.253, 4.05, 36.556)","(708.025, 175.912, 27.289, 55.414)","(725.883, 180.152, 4.75, -28.801)","(736.429, 184.963, 37.521, 32.365)","(755.444, 188.612, 53.035, -19.397)","(770.043, 194.907, 53.692, 73.173)","(780.303, 160.974, 8.633, -78.685)","(780.232, 128.447, 14.086, -2.864)","(783.056, 109.528, 22.795, -3.535)","(755.95, 108.34, 22.431, -4.155)","(719.464, 95.155, -94.744, 13.015)","(675.925, 95.469, -50.534, -43.16)","(647.652, 86.366, -39.38, 12.597)","(606.801, 74.32, -68.644, 47.905)"
9,"(689.057, 263.293, -15.519, 15.193)","(720.804, 237.882, 48.112, -75.963)","(746.842, 215.826, -1.521, 30.498)","(769.07, 203.343, 25.403, -35.171)","(774.914, 176.414, 5.632, -74.703)","(765.54, 134.779, -38.754, -39.039)","(765.501, 100.185, -33.547, 18.906)","(762.166, 88.097, -31.214, -48.652)","(760.064, 83.253, -90.839, 48.232)","(712.353, 81.106, -37.293, -42.327)","(663.065, 86.777, -50.575, 24.311)","(607.924, 88.804, -88.594, 1.484)","(551.347, 97.986, -9.06, -35.837)","(498.066, 95.149, -9.994, 22.451)","(446.085, 91.607, -82.566, 15.724)","(394.688, 82.335, 4.567, 14.181)","(348.511, 80.587, -73.484, -11.845)","(308.851, 80.605, -22.945, 51.496)","(259.416, 78.293, -41.579, 41.101)","(214.14, 79.652, -74.322, -35.077)","(179.11, 80.648, -40.439, -32.023)","(137.246, 87.446, -31.436, 86.626)","(109.19, 124.021, -2.995, 17.709)","(91.875, 165.539, 1.114, 46.562)","(84.165, 206.298, 6.772, 22.717)","(83.795, 253.01, 33.413, 38.695)","(77.989, 286.278, 32.358, 40.231)","(74.001, 328.985, -20.982, -9.953)"
