,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"(450, 375, None, None)","(450.949, 374.913, None, None)","(507.916, 371.721, None, None)","(564.958, 375.7, None, None)","(622.135, 377.32, None, None)","(668.287, 400.702, None, None)","(712.892, 430.352, None, None)","(751.599, 467.464, None, None)","(767.86, 483.306, None, None)","(782.686, 502.857, None, None)","(787.777, 520.24, None, None)","(786.217, 557.387, None, None)","(783.817, 614.536, None, None)","(745.867, 642.189, None, None)","(692.225, 659.632, None, None)","(661.585, 659.785, None, None)","(612.156, 656.012, None, None)","(569.434, 659.913, None, None)","(512.813, 667.032, None, None)","(467.905, 675.823, None, None)","(420.666, 669.452, None, None)","(363.606, 666.801, None, None)","(306.435, 668.614, None, None)","(249.275, 670.725, None, None)","(192.553, 666.427, None, None)","(140.506, 645.08, None, None)","(133.88, 603.201, None, None)","(122.295, 547.322, None, None)","(103.732, 493.248, None, None)","(94.568, 436.786, None, None)","(71.005, 396.629, None, None)","(32.339, 376.833, None, None)"
1,"(392.209, 226.658, 69.499, 9.268)","(441.81, 219.174, 46.323, 8.05)","(483.662, 221.928, 24.595, 12.853)","(517.347, 223.6, 47.211, -2.828)","(554.871, 220.221, 43.015, -10.335)","(591.725, 213.166, 18.161, -8.727)","(624.839, 214.398, 34.367, -14.116)","(655.493, 214.32, 40.812, -2.71)","(686.241, 212.417, 46.462, 4.095)","(717.042, 205.978, 17.379, -9.31)","(737.205, 205.492, 9.54, 16.901)","(757.916, 200.034, 12.792, 16.456)","(774.837, 179.906, -1.642, -43.881)","(775.641, 138.965, 5.282, -21.318)","(775.985, 116.479, 2.773, -16.933)","(764.063, 87.758, -57.219, -12.197)","(714.371, 90.524, -38.008, 6.831)","(677.295, 81.795, -44.831, -12.24)","(633.823, 81.188, -39.771, -1.339)","(597.34, 88.005, -39.248, 3.437)","(568.554, 103.309, -18.861, -1.975)","(532.792, 100.709, -42.309, -5.556)","(488.286, 98.52, -45.29, 4.513)","(445.608, 98.169, -36.538, 4.837)","(403.554, 96.651, -50.274, -6.959)","(364.453, 95.636, -27.627, 5.861)","(324.341, 95.304, -47.165, 5.341)","(283.419, 96.045, -33.113, 2.101)","(249.266, 95.218, -36.664, -15.785)","(217.506, 91.339, -46.532, -9.83)","(180.117, 93.902, -45.187, -13.274)","(151.587, 83.604, -31.696, -30.779)"
2,"(420.66, 414.741, 21.727, 33.378)","(459.754, 434.323, 53.762, 4.394)","(500.207, 442.903, 29.329, 4.832)","(538.198, 449.947, 48.115, 9.27)","(576.012, 457.416, 24.354, -0.326)","(608.579, 467.052, 33.983, 13.661)","(643.16, 475.051, 44.012, 18.87)","(676.252, 478.852, 19.483, 9.969)","(707.909, 481.015, 32.742, 15.527)","(739.328, 487.08, 27.056, 18.295)","(764.799, 494.475, 25.988, 15.508)","(787.16, 499.031, 22.021, 1.983)","(802.655, 504.248, 19.219, -9.109)","(810.503, 516.276, 19.054, 21.873)","(814.466, 528.032, 16.691, 21.094)","(811.683, 536.889, -20.242, 5.558)","(810.226, 547.769, -11.437, 14.885)","(813.842, 567.591, -6.229, 5.699)","(811.642, 596.057, -5.495, 61.791)","(811.215, 635.374, 12.518, 18.335)","(811.958, 663.923, 4.99, 12.986)","(797.439, 681.253, -33.93, 17.523)","(764.46, 690.475, -34.385, 4.91)","(730.017, 693.559, -47.649, -8.21)","(699.337, 694.39, -17.078, -9.968)","(658.366, 693.841, -45.495, 8.249)","(619.854, 694.317, -27.07, -3.162)","(581.712, 692.334, -24.895, -2.678)","(538.518, 691.664, -56.944, -7.78)","(505.09, 694.107, -38.795, -2.388)","(465.991, 688.843, -44.861, 2.761)","(428.817, 685.429, -45.235, -14.393)"
3,"(500.036, 220.068, 39.894, -4.578)","(540.322, 214.096, 39.573, -10.88)","(582.872, 208.924, 46.403, 1.746)","(621.287, 205.771, 52.77, 8.842)","(654.913, 202.441, 12.453, -3.973)","(683.224, 196.545, 28.355, -1.513)","(716.554, 197.615, 49.154, -4.493)","(742.127, 199.888, 3.739, -1.727)","(757.568, 195.913, 1.038, -16.043)","(772.602, 188.995, 1.095, -41.932)","(769.782, 145.763, 4.084, -52.523)","(758.007, 125.932, -10.274, 5.946)","(753.477, 111.983, -11.178, -13.049)","(744.417, 113.846, -5.02, -3.33)","(749.659, 110.115, -5.777, -3.733)","(753.537, 101.471, 0.36, 10.754)","(753.299, 91.991, 3.822, -11.398)","(754.189, 93.658, -0.465, 15.238)","(752.836, 95.019, 8.655, -4.874)","(759.382, 92.016, -6.642, -13.872)","(765.253, 78.711, -42.398, 2.705)","(727.222, 75.302, -60.089, -10.488)","(689.068, 76.775, -43.969, 0.884)","(649.16, 75.2, -48.139, -7.611)","(605.664, 81.985, -23.794, 16.25)","(566.978, 88.754, -26.728, -8.794)","(520.759, 87.763, -53.794, 17.755)","(480.641, 91.019, -51.033, 16.806)","(437.257, 92.642, -44.697, 1.695)","(397.586, 92.671, -30.978, 1.681)","(357.95, 91.06, -44.367, 1.008)","(320.19, 92.001, -52.864, -3.233)"
4,"(532.708, 495.261, 27.0, 9.062)","(571.51, 502.442, 29.796, 4.397)","(608.481, 510.17, 23.976, 19.773)","(644.419, 523.507, 56.15, -7.213)","(683.843, 536.786, 30.611, 10.934)","(714.298, 544.925, 20.542, -3.311)","(738.765, 552.897, 13.868, -3.438)","(762.481, 553.484, 34.904, 8.123)","(780.492, 581.705, 14.884, 52.396)","(775.266, 627.774, -4.192, 1.681)","(776.164, 647.748, 5.173, 28.983)","(747.067, 659.891, -36.219, 1.644)","(705.185, 653.872, -40.308, 2.91)","(674.962, 643.25, -22.489, -5.582)","(667.474, 641.891, -9.463, 12.799)","(667.637, 641.927, 5.711, -6.136)","(647.594, 654.797, -32.872, 15.688)","(610.963, 652.836, -30.885, -13.8)","(577.596, 655.813, -43.235, -1.235)","(532.778, 650.823, -23.424, 9.183)","(499.215, 653.318, -54.566, 25.442)","(443.74, 646.628, -48.672, -1.559)","(407.657, 637.738, -48.416, -17.449)","(390.61, 636.058, -31.2, 0.743)","(378.416, 636.065, -45.854, 2.56)","(374.904, 636.008, -56.286, -0.049)","(357.13, 636.003, -50.772, -7.591)","(322.983, 636.04, -54.13, -16.029)","(285.791, 636.088, -41.965, -1.785)","(247.001, 640.875, -26.948, 0.545)","(216.797, 648.908, -36.604, 24.764)","(186.157, 651.14, -43.104, 7.159)"
5,"(712.746, 294.717, 8.57, -22.45)","(743.939, 261.673, 26.676, -25.143)","(772.22, 235.41, 39.913, -20.716)","(786.731, 211.351, 6.227, -5.281)","(809.526, 172.363, 16.145, -36.773)","(816.961, 131.934, 0.655, -37.787)","(806.746, 85.516, -14.714, -38.829)","(785.605, 59.701, -15.784, -21.398)","(756.549, 53.171, -34.899, -10.451)","(703.067, 60.675, -36.179, 23.442)","(659.933, 67.661, -52.186, -0.781)","(616.147, 69.453, -29.462, 1.122)","(569.631, 70.154, -56.454, -3.467)","(522.567, 68.565, -50.737, 3.726)","(477.148, 70.202, -49.975, -1.16)","(433.42, 70.732, -26.319, 2.062)","(392.192, 71.495, -30.495, 11.692)","(348.804, 73.663, -25.086, -12.175)","(306.387, 73.278, -46.12, -1.768)","(264.725, 75.56, -47.517, -11.185)","(223.431, 78.307, -49.351, -2.665)","(184.717, 77.845, -49.082, -0.531)","(144.172, 80.895, -19.42, 19.426)","(117.094, 116.403, -17.37, 47.125)","(104.255, 156.467, 3.837, 45.1)","(97.458, 196.84, -3.816, 31.217)","(93.097, 238.96, 6.7, 31.475)","(89.07, 277.016, 4.503, 22.517)","(84.079, 312.428, -7.881, 43.01)","(80.663, 345.586, -16.418, 36.914)","(61.379, 365.011, -40.855, 13.26)","(None, None, None, None)"
6,"(705.143, 247.475, 46.635, -0.578)","(734.894, 230.288, 13.942, -30.649)","(767.316, 212.037, 39.528, -25.552)","(796.03, 171.663, 25.511, -55.818)","(797.057, 131.836, -2.079, -29.439)","(786.037, 94.41, -43.336, 0.292)","(750.506, 78.945, -47.71, -6.216)","(703.584, 79.403, -23.099, 21.026)","(666.315, 83.586, -33.464, 9.361)","(630.204, 83.413, -26.661, -11.957)","(591.635, 85.557, -48.398, -1.353)","(550.732, 81.483, -50.088, 1.921)","(509.071, 78.43, -32.199, -0.155)","(469.172, 80.947, -42.112, 6.174)","(428.182, 80.939, -50.048, 7.219)","(387.062, 81.921, -31.241, 0.205)","(342.322, 81.913, -39.656, 10.253)","(300.556, 80.107, -37.388, 10.205)","(258.034, 81.209, -55.634, 12.745)","(216.89, 80.094, -55.294, -7.083)","(178.876, 80.433, -43.231, 9.83)","(137.836, 87.087, -33.462, 43.992)","(113.201, 123.032, -4.471, 22.689)","(100.034, 162.933, 0.979, 56.54)","(93.531, 203.532, -13.396, 27.128)","(86.801, 245.462, 3.839, 54.768)","(81.833, 284.8, -5.226, 35.236)","(76.068, 320.809, -6.427, 39.757)","(69.844, 352.345, -26.116, 33.676)","(33.232, 366.43, -78.24, 8.155)","(None, None, None, None)","(None, None, None, None)"
7,"(774.424, 195.209, 1.993, -40.748)","(790.067, 148.55, 4.343, -55.927)","(788.99, 97.928, -5.6, -50.386)","(746.511, 84.67, -35.723, -13.764)","(698.544, 79.992, -55.426, -15.415)","(653.326, 79.905, -39.028, -7.996)","(607.836, 81.321, -50.734, 12.501)","(563.844, 80.894, -28.748, -13.996)","(519.059, 76.35, -34.662, 0.81)","(473.556, 75.14, -42.248, 0.826)","(427.368, 77.143, -60.001, 8.049)","(381.686, 78.681, -34.183, 0.25)","(336.816, 80.338, -55.926, 16.425)","(292.512, 81.357, -45.322, -14.711)","(248.761, 80.075, -33.525, -14.441)","(204.925, 79.295, -40.263, 10.708)","(163.387, 79.626, -55.607, 1.512)","(129.048, 104.255, -27.746, 33.97)","(113.179, 146.281, -22.412, 45.76)","(102.449, 188.615, -23.95, 56.234)","(93.637, 230.788, -23.208, 56.737)","(85.619, 272.042, -3.15, 42.393)","(79.076, 314.183, 8.004, 45.716)","(72.287, 349.096, -5.695, 17.067)","(53.656, 365.562, -46.221, 16.176)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
8,"(363.309, 335.404, 45.857, 1.308)","(404.153, 329.546, 47.26, -5.332)","(445.431, 329.371, 35.11, 6.119)","(486.327, 326.759, 56.084, 5.369)","(525.997, 323.898, 34.123, 7.299)","(561.585, 320.854, 30.344, -8.922)","(594.471, 314.517, 41.069, -20.238)","(623.556, 308.919, 37.053, -13.972)","(655.217, 302.321, 12.65, 7.28)","(684.647, 295.1, 40.333, -9.354)","(711.104, 290.218, 31.147, -4.227)","(734.37, 280.921, 30.97, -9.323)","(754.277, 271.856, 18.586, -19.346)","(773.809, 263.272, 13.116, -20.663)","(786.715, 255.736, 7.616, -2.18)","(802.269, 244.016, 12.667, -21.534)","(806.844, 233.067, -8.858, -16.051)","(809.504, 214.748, -14.719, -17.652)","(811.581, 190.911, -0.045, -13.57)","(809.078, 160.476, -21.186, -14.652)","(808.114, 129.787, 9.923, -8.473)","(805.363, 96.61, -17.048, -39.165)","(797.762, 74.753, -21.875, -32.911)","(776.522, 58.217, -26.654, 3.538)","(735.096, 58.218, -50.155, 19.612)","(691.232, 60.405, -42.443, 7.315)","(650.019, 59.944, -45.957, 11.385)","(612.105, 59.854, -29.792, -8.645)","(574.708, 64.176, -27.188, 2.524)","(536.927, 66.23, -32.98, -4.978)","(499.035, 66.752, -31.749, 9.563)","(460.678, 66.186, -38.565, 11.502)"
9,"(320.069, 401.83, 44.724, 8.819)","(352.628, 403.53, 14.391, 5.711)","(387.283, 408.609, 31.384, 21.828)","(421.112, 411.642, 32.34, 2.876)","(455.364, 413.864, 51.205, -2.798)","(490.596, 419.398, 43.799, -8.975)","(524.044, 426.033, 14.289, 1.817)","(554.758, 431.528, 21.386, -7.943)","(585.592, 434.539, 45.097, 2.807)","(616.695, 439.51, 23.784, -6.973)","(645.216, 447.634, 36.475, 0.21)","(671.97, 456.803, 10.582, -1.436)","(696.345, 468.546, 35.205, 19.839)","(718.659, 476.668, 4.319, -8.438)","(741.054, 489.514, 16.248, 10.642)","(759.417, 498.987, 16.588, 11.932)","(775.574, 509.459, 16.265, 22.89)","(787.356, 528.076, 22.208, 32.365)","(798.397, 554.265, 23.213, 12.683)","(810.552, 586.569, 8.275, 50.091)","(810.713, 618.816, 8.208, 14.401)","(814.31, 646.573, -1.027, 43.06)","(806.586, 672.399, -26.179, 21.366)","(790.507, 686.207, -32.424, 2.323)","(760.132, 692.232, -47.138, 10.478)","(719.513, 690.827, -48.549, -10.435)","(683.182, 693.072, -51.638, 16.801)","(644.587, 696.072, -24.466, -20.657)","(602.022, 693.298, -44.79, -16.731)","(563.283, 691.508, -49.757, -11.235)","(524.115, 690.991, -27.303, 8.449)","(488.349, 690.6, -55.607, 8.675)"
