,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
24,"(741.379, 258.983, 12.426, -1.812)","(780.765, 235.811, 29.409, -20.516)","(809.244, 210.153, 11.666, -51.148)","(819.158, 179.388, 62.007, -37.686)","(823.264, 153.601, 27.436, -35.836)","(815.518, 122.954, -63.382, -9.851)","(786.922, 73.613, -86.186, -75.857)","(736.704, 61.901, 1.869, -33.698)","(691.512, 59.619, -81.733, 21.244)","(641.71, 61.042, 0.072, 2.227)","(593.12, 63.125, -3.966, 27.288)","(539.678, 64.578, -5.822, 29.741)","(486.514, 68.217, -70.129, -24.911)","(432.626, 74.7, -0.411, -18.597)","(379.54, 72.875, -91.778, -3.367)","(330.049, 79.373, -40.8, 37.385)","(282.222, 79.313, 3.38, 20.689)","(235.096, 78.458, -57.156, -44.343)","(190.606, 77.703, -58.475, -12.12)","(148.292, 77.246, -40.038, 32.645)","(117.463, 112.662, -14.213, 93.325)","(100.986, 154.708, 41.907, 90.658)","(90.961, 195.418, -55.041, -4.996)","(87.271, 230.553, -36.84, -2.589)","(79.243, 276.99, 8.97, -5.378)","(74.872, 316.831, 23.553, 63.303)","(68.769, 356.718, -57.636, 69.82)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
25,"(277.472, 507.312, 70.233, 22.204)","(320.173, 508.168, -5.871, -27.878)","(363.654, 507.179, 1.839, -5.145)","(405.519, 511.92, 53.94, -16.704)","(440.506, 512.027, 65.416, 11.405)","(481.162, 514.75, 43.998, -34.826)","(518.139, 522.86, -10.149, -7.368)","(565.057, 528.232, 46.916, 24.909)","(600.995, 536.14, 58.698, 20.478)","(637.412, 544.693, 72.19, 1.586)","(675.04, 553.214, 48.748, -28.062)","(709.289, 564.986, 0.032, 43.695)","(730.889, 571.885, 17.761, 1.364)","(745.347, 566.338, 70.071, -52.396)","(757.394, 560.093, 40.504, -12.17)","(773.256, 564.31, 7.922, 91.128)","(772.726, 611.252, 34.587, 71.436)","(780.372, 649.129, -1.882, 27.98)","(731.984, 654.504, 2.294, -5.365)","(686.166, 643.423, -8.943, 18.544)","(652.892, 636.205, -57.245, -0.926)","(622.583, 637.155, -75.025, 16.132)","(603.24, 636.332, 18.442, -58.143)","(580.909, 636.948, -29.346, 2.305)","(547.215, 636.759, -68.59, 19.709)","(516.967, 637.28, -97.272, 48.976)","(484.9, 636.736, -16.388, 14.673)","(445.797, 636.068, -89.055, -36.501)","(412.424, 638.238, -31.306, -2.493)","(375.82, 639.681, -34.577, 39.601)","(344.092, 638.63, 1.033, -15.671)","(297.108, 645.976, -40.672, -43.816)","(264.903, 652.618, -22.646, -46.388)","(225.789, 660.389, -1.732, 35.78)","(195.581, 670.424, -35.496, 54.136)","(163.484, 666.721, -0.043, 22.852)","(134.015, 644.466, -15.35, -0.957)","(124.842, 603.358, 39.659, -48.712)","(112.455, 566.943, -51.057, -17.051)","(98.874, 527.391, -1.055, -18.484)","(78.393, 496.935, -51.364, 16.416)","(74.225, 463.524, -42.104, 29.523)"
26,"(536.662, 272.859, 7.387, -20.028)","(582.246, 252.939, 34.259, 10.597)","(623.088, 240.865, -30.421, -30.611)","(653.127, 226.987, 57.865, -44.122)","(682.038, 211.651, 74.419, -29.8)","(713.181, 208.526, -5.342, -6.022)","(742.362, 203.677, 28.627, -43.814)","(772.912, 189.284, 58.988, -86.127)","(784.657, 133.6, 40.828, -114.196)","(771.033, 98.452, -41.342, 25.85)","(717.404, 92.732, -44.263, 11.179)","(673.97, 98.947, -38.841, 2.649)","(633.55, 104.709, -56.657, 40.011)","(599.007, 106.104, -11.759, 1.781)","(563.854, 100.72, -33.616, -48.946)","(519.131, 101.297, -13.438, 40.557)","(477.1, 100.89, -17.024, 50.848)","(441.534, 95.908, -71.091, -13.317)","(396.086, 94.746, -59.719, -5.071)","(350.003, 90.407, -91.942, -35.057)","(313.348, 96.876, 0.569, -26.171)","(268.381, 95.318, -76.036, -32.458)","(230.039, 90.53, -21.465, -6.008)","(189.886, 88.58, -18.731, 31.914)","(142.222, 79.725, -60.162, 23.645)","(113.755, 116.434, -48.82, 12.844)","(102.171, 163.006, 31.098, 78.305)","(107.804, 211.174, 24.776, 36.327)","(99.661, 258.348, 13.215, 46.714)","(97.842, 300.799, -6.254, 66.709)","(90.642, 339.732, -55.17, 2.115)","(77.994, 368.411, -54.087, 72.212)","(68.695, 373.027, 32.518, -53.486)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
27,"(500.239, 288.763, 22.506, -18.057)","(538.865, 263.911, 38.463, -24.917)","(571.728, 250.454, 21.14, -9.366)","(606.915, 245.994, 13.925, -22.156)","(646.983, 239.487, 35.102, -2.914)","(682.158, 227.663, 50.85, -7.275)","(709.362, 215.358, 22.537, -9.084)","(740.728, 212.157, 41.301, -16.513)","(768.912, 209.569, 35.273, -3.736)","(780.948, 185.392, 25.608, -37.871)","(800.128, 163.388, 13.106, -41.243)","(792.386, 109.995, -9.717, -46.668)","(765.24, 86.085, -51.596, -14.679)","(714.974, 93.681, -43.236, 29.325)","(674.02, 110.067, -46.214, 17.034)","(650.876, 113.953, -34.981, 17.531)","(633.222, 113.96, -65.784, -1.793)","(586.374, 112.369, -47.298, 15.964)","(570.245, 113.994, -24.261, 3.416)","(568.063, 113.991, -33.675, 2.973)","(538.003, 103.868, -60.331, -8.349)","(496.975, 100.409, -31.626, -11.932)","(456.795, 100.035, -34.845, 9.037)","(416.887, 98.645, -26.954, -14.209)","(371.544, 97.311, -38.413, -41.463)","(324.764, 98.27, -21.244, -43.521)","(283.281, 97.752, -97.765, -38.227)","(242.233, 93.931, -15.812, 11.868)","(201.994, 94.296, -92.986, 48.411)","(165.709, 92.371, -64.069, -23.881)","(135.771, 119.891, 28.988, 66.772)","(124.03, 167.806, -11.099, 63.186)","(118.146, 205.07, -23.19, 59.86)","(121.268, 245.701, -44.912, 42.134)","(114.751, 287.878, -38.363, 61.202)","(109.411, 322.754, 32.718, 78.039)","(98.86, 356.064, -14.007, 80.908)","(71.312, 373.474, -57.777, 46.859)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
28,"(271.128, 343.805, 31.017, -23.125)","(303.727, 332.43, 39.819, -17.164)","(333.265, 321.416, 16.212, -20.38)","(365.015, 309.712, 25.095, -23.816)","(397.631, 300.324, 22.322, -4.035)","(426.787, 292.925, 34.132, -18.113)","(459.174, 284.335, 41.731, -13.988)","(491.947, 278.543, 21.989, -17.491)","(519.541, 271.057, 12.962, 2.131)","(548.509, 265.541, 42.112, 4.1)","(578.587, 260.671, 29.883, -11.926)","(608.498, 261.347, 26.528, -2.669)","(635.542, 258.308, 44.436, -4.652)","(661.332, 255.618, 26.094, -10.346)","(683.982, 252.244, 34.277, -25.014)","(709.582, 244.707, 1.466, 6.67)","(734.517, 239.321, 35.36, 8.116)","(754.779, 235.971, 27.258, 4.375)","(782.112, 222.018, 45.786, -30.583)","(792.121, 200.378, 12.74, -28.395)","(800.598, 166.185, -4.188, -14.893)","(810.601, 142.456, -9.538, -40.502)","(811.538, 118.5, -13.395, -47.441)","(796.119, 89.89, -45.326, 6.75)","(762.321, 80.06, -47.475, 4.944)","(728.355, 67.917, -42.437, -32.168)","(692.632, 58.002, -9.557, 29.442)","(652.852, 59.157, -25.303, -8.769)","(617.045, 56.969, -91.57, 25.549)","(585.093, 60.354, 1.858, -24.887)","(540.362, 62.928, -67.341, 42.61)","(503.802, 64.465, -38.878, 43.835)","(464.693, 63.307, 13.147, 13.663)","(424.717, 63.278, -29.944, -21.541)","(389.488, 61.925, 2.449, 32.084)","(351.81, 62.584, 12.053, 33.934)","(311.784, 65.539, -72.672, -6.251)","(272.325, 67.324, -32.585, -3.266)","(239.886, 67.885, -60.613, -1.867)","(202.057, 63.913, -97.166, -23.631)","(171.105, 63.602, -30.07, -9.732)","(125.051, 83.461, -82.609, 2.751)"
29,"(294.703, 471.055, 57.124, -8.226)","(346.484, 471.227, 40.621, -3.391)","(390.641, 470.742, 49.675, -5.767)","(431.222, 471.559, 54.193, -6.334)","(469.209, 470.354, 41.087, 14.672)","(506.773, 469.599, 54.431, -1.217)","(544.686, 472.242, 49.158, -10.043)","(581.691, 475.203, 52.75, -4.136)","(616.542, 482.497, 41.487, 19.166)","(653.643, 493.242, 33.997, 25.578)","(688.595, 505.471, 23.412, -0.867)","(719.825, 518.143, 30.122, 12.013)","(747.189, 527.123, 21.27, 13.929)","(773.51, 532.524, 45.271, 22.851)","(786.729, 556.397, -6.072, 17.549)","(795.689, 594.177, 4.146, 41.064)","(805.826, 631.012, -0.07, 22.842)","(804.738, 657.577, 8.453, 22.678)","(784.83, 659.889, -45.443, 4.9)","(730.413, 671.949, -42.181, -1.765)","(690.115, 673.473, -55.677, 18.069)","(651.163, 676.923, -32.125, 14.493)","(616.157, 681.919, -26.863, -8.556)","(579.649, 686.562, -54.124, 4.409)","(540.837, 686.393, -36.22, -3.195)","(501.126, 685.191, -35.534, 16.523)","(461.398, 681.806, -46.874, 19.242)","(427.224, 685.232, -10.429, -53.51)","(378.514, 681.693, -91.61, -46.764)","(330.618, 678.474, -18.149, 44.184)","(282.854, 685.191, -17.515, -1.981)","(241.943, 681.546, -70.047, 31.12)","(209.586, 679.464, -50.576, -22.653)","(169.073, 677.265, -73.379, -63.86)","(130.568, 658.418, -73.517, -37.663)","(100.015, 619.205, 4.531, -80.121)","(72.585, 575.903, -36.862, -25.65)","(58.821, 530.349, -60.866, -70.442)","(50.191, 499.084, -7.652, -68.076)","(47.838, 467.414, 17.248, -8.968)","(46.796, 446.788, -5.524, -34.873)","(49.268, 432.213, 15.539, -30.62)"
30,"(397.112, 477.288, 41.687, 7.744)","(430.92, 476.5, 43.071, -1.283)","(465.898, 473.539, 29.894, -15.234)","(501.962, 472.841, 30.169, 16.47)","(539.097, 475.145, 34.847, -6.637)","(574.873, 480.818, 25.043, 9.231)","(609.764, 489.822, 40.548, -4.951)","(642.088, 498.307, 33.099, 24.113)","(677.275, 510.947, 18.125, 10.141)","(710.729, 520.268, 12.634, 0.984)","(737.85, 523.493, 25.062, -5.836)","(762.888, 532.498, 16.045, 28.851)","(786.091, 562.193, 16.748, 26.654)","(794.335, 613.14, -6.247, 42.955)","(801.598, 642.686, -6.401, 40.936)","(790.411, 658.416, -9.683, 25.347)","(752.0, 686.934, -41.859, 22.2)","(701.106, 687.549, -49.298, -3.41)","(654.656, 685.291, -31.097, -1.022)","(616.454, 688.577, -28.564, -2.052)","(586.039, 691.291, -21.82, 11.955)","(545.16, 687.672, -55.527, -6.318)","(501.516, 679.106, -45.503, 3.801)","(460.052, 673.334, -31.19, -20.042)","(421.332, 668.057, -34.164, -4.973)","(391.57, 663.771, -40.031, -13.922)","(356.29, 659.403, -32.528, 0.538)","(314.38, 659.523, -80.069, 39.342)","(270.314, 662.52, -71.776, 33.408)","(228.783, 663.382, -54.623, 39.565)","(192.273, 668.36, -53.367, 19.883)","(149.284, 673.796, -99.527, -36.699)","(107.38, 633.431, -22.029, -24.715)","(96.3, 578.576, -14.538, -85.968)","(90.203, 533.504, 35.986, -74.977)","(80.975, 492.981, -2.611, -74.563)","(71.285, 464.302, 24.599, 29.637)","(54.583, 444.566, 23.491, -22.899)","(49.498, 425.645, 39.008, -49.352)","(59.914, 414.871, 23.202, -2.097)","(46.059, 389.619, -91.744, -20.459)","(None, None, None, None)"
31,"(557.543, 468.65, 43.043, 4.168)","(596.858, 478.073, 38.344, 12.591)","(632.179, 482.703, 39.451, 16.161)","(666.825, 489.481, 25.178, 3.054)","(692.554, 493.794, 23.184, 11.598)","(722.766, 502.313, 25.716, -0.61)","(751.934, 516.044, 25.549, 23.855)","(778.682, 533.004, 20.329, 37.252)","(788.112, 563.081, 16.534, 31.305)","(797.527, 603.864, 12.62, 49.135)","(799.167, 641.996, -15.067, 52.412)","(769.252, 666.579, -55.114, 43.395)","(715.205, 676.33, -53.625, -2.904)","(666.134, 676.813, -52.252, -2.462)","(624.669, 677.124, -55.448, -10.271)","(582.908, 677.351, -35.303, 2.798)","(540.799, 676.053, -36.35, 9.485)","(499.785, 671.293, -44.346, -14.811)","(458.153, 668.656, -35.391, -14.703)","(419.133, 668.952, -46.929, -5.131)","(378.23, 667.859, -34.114, -10.313)","(334.758, 669.11, -42.515, -14.902)","(295.698, 668.473, -44.473, -12.33)","(254.541, 666.967, -28.722, -2.762)","(217.239, 666.478, -33.058, -0.37)","(178.62, 663.337, -41.912, 9.846)","(140.884, 656.429, -33.013, -52.54)","(123.344, 615.759, -4.0, -53.631)","(111.47, 574.606, 13.352, -105.529)","(110.489, 531.18, -4.919, 2.153)","(98.335, 486.529, -14.62, 3.737)","(99.093, 442.242, -24.052, -88.006)","(102.515, 411.699, -22.413, -20.926)","(90.081, 397.554, -24.763, -6.196)","(74.604, 382.844, -78.732, -50.489)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
32,"(369.071, 184.455, 28.415, -3.835)","(403.926, 176.44, 47.305, -20.121)","(437.336, 171.16, 33.626, 3.34)","(464.51, 166.034, 50.062, -0.384)","(475.283, 166.063, 36.076, 3.645)","(488.131, 166.07, 55.634, -1.533)","(508.473, 166.02, 42.86, -14.759)","(530.575, 166.13, 38.825, -0.538)","(547.013, 166.449, 16.168, 13.1)","(564.72, 170.08, 14.195, 22.147)","(584.219, 195.545, 7.0, 30.597)","(618.316, 203.041, 26.152, -18.577)","(646.06, 198.124, 15.15, -2.918)","(665.852, 194.717, 29.113, -6.118)","(693.428, 195.563, 19.977, 12.291)","(715.916, 191.987, 12.208, -2.058)","(742.708, 193.499, 23.11, 11.802)","(762.223, 197.833, 10.37, 21.154)","(775.228, 177.734, -5.394, -53.679)","(781.79, 142.345, 7.025, -39.776)","(787.702, 108.515, 17.652, -35.233)","(753.608, 89.321, -59.67, -16.587)","(709.727, 95.14, -40.383, 12.921)","(658.704, 95.533, -42.813, 3.315)","(625.22, 97.859, -47.729, -0.784)","(579.363, 88.023, -43.514, -2.896)","(538.961, 86.917, -45.666, -11.26)","(499.406, 88.851, -52.331, 5.623)","(460.212, 88.394, -29.725, -0.492)","(415.818, 95.043, -42.268, -10.262)","(376.495, 97.758, -38.543, 40.93)","(332.501, 96.166, -78.892, 36.706)","(288.848, 96.161, -60.844, 46.468)","(250.648, 95.368, 0.016, 26.678)","(217.575, 90.265, -77.689, -9.498)","(182.436, 93.342, -33.674, 21.542)","(153.632, 82.883, -23.709, 20.315)","(118.103, 114.302, -54.599, 43.321)","(117.339, 160.088, 25.019, 34.259)","(121.395, 201.477, -23.411, 46.373)","(118.126, 241.929, 21.678, 56.506)","(116.802, 274.062, 0.88, 57.14)"
33,"(756.953, 476.741, 22.459, 38.07)","(783.673, 506.889, 34.002, 31.138)","(797.075, 547.285, 16.896, 52.974)","(799.134, 593.665, -7.576, 53.693)","(794.038, 642.942, -8.039, 55.057)","(761.609, 661.172, -47.041, -5.935)","(714.602, 664.659, -61.523, -9.49)","(672.069, 664.758, -38.135, -1.418)","(629.467, 660.447, -30.799, -11.418)","(585.374, 657.464, -33.006, -5.957)","(540.956, 655.915, -55.772, 8.365)","(496.307, 654.196, -30.424, -1.507)","(454.296, 654.689, -41.212, 10.552)","(408.907, 657.53, -30.199, 7.3)","(365.937, 658.1, -54.122, -1.953)","(323.696, 659.207, -44.735, 13.175)","(279.978, 660.596, -49.801, 13.532)","(236.089, 662.944, -40.234, -12.435)","(194.299, 664.288, -34.128, -8.086)","(151.121, 661.749, -61.493, 3.633)","(131.166, 622.222, -16.496, -33.833)","(117.632, 580.665, -12.781, -56.104)","(102.529, 534.24, -4.285, -46.549)","(90.589, 492.941, 2.195, -29.22)","(79.54, 451.184, -1.163, -52.737)","(72.673, 414.187, -8.183, -44.206)","(55.647, 388.059, -37.158, 0.643)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
34,"(523.747, 500.604, 27.19, -4.041)","(557.875, 508.802, 34.352, 13.059)","(593.16, 515.373, 32.418, 2.18)","(631.658, 519.57, 44.998, 9.354)","(668.936, 525.101, 32.931, 14.821)","(704.971, 534.211, 20.229, 15.246)","(742.453, 544.436, 39.527, -5.457)","(772.671, 563.381, 7.435, 29.307)","(773.02, 611.705, -2.589, 33.539)","(776.901, 648.536, 23.739, 26.373)","(743.125, 664.482, -35.709, 12.826)","(700.169, 664.092, -49.571, -2.886)","(662.097, 660.441, -38.734, 12.065)","(620.806, 655.861, -28.225, -17.404)","(578.513, 651.242, -57.311, -6.652)","(535.98, 647.173, -31.213, -1.608)","(496.129, 645.352, -48.342, -7.907)","(455.009, 642.218, -58.085, 5.466)","(412.685, 640.083, -54.895, 4.281)","(372.316, 640.636, -49.807, -9.503)","(332.725, 641.927, -46.994, 0.298)","(290.782, 644.935, -50.955, 10.376)","(250.786, 649.785, -24.936, 1.674)","(212.392, 661.475, -36.412, 5.968)","(172.168, 662.222, -39.282, 12.833)","(137.993, 647.122, -33.897, -28.366)","(121.336, 608.036, -18.449, -39.686)","(109.891, 567.301, -14.435, -57.238)","(98.918, 526.693, -17.793, -37.99)","(86.76, 488.343, -27.182, -30.31)","(75.542, 450.592, -34.18, -34.328)","(65.913, 418.767, -36.044, -13.502)","(48.695, 392.661, -45.611, 0.114)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
35,"(704.52, 311.101, 24.31, -10.625)","(733.3, 285.769, 15.859, -37.338)","(763.873, 262.634, 27.593, -18.675)","(788.441, 242.052, 37.863, -29.981)","(803.604, 221.779, 2.383, -16.113)","(816.113, 197.191, 5.385, -30.633)","(825.174, 165.171, 8.305, -48.928)","(825.108, 163.56, 8.798, -38.929)","(825.108, 163.56, 8.798, -38.929)","(825.108, 163.56, 8.798, -38.929)","(825.108, 163.56, 8.798, -38.929)","(820.646, 137.877, 14.896, -48.758)","(813.096, 96.644, 10.437, -54.5)","(796.087, 68.7, -37.353, -18.682)","(768.405, 58.084, -33.586, -10.888)","(727.018, 58.507, -43.368, 8.027)","(688.199, 58.09, -31.724, 5.766)","(645.371, 57.066, -36.912, 6.975)","(598.205, 59.443, -46.716, 4.989)","(559.375, 56.64, -27.296, -0.588)","(519.419, 57.039, -24.227, 2.028)","(477.804, 59.209, -53.062, 13.552)","(433.168, 60.877, -30.996, 1.977)","(390.06, 61.87, -52.057, 10.564)","(347.734, 62.171, -29.772, 5.168)","(306.182, 63.097, -37.443, 8.524)","(265.924, 65.078, -36.106, 11.99)","(228.743, 67.034, -21.104, -2.861)","(193.539, 64.603, -37.228, -0.675)","(157.202, 66.008, -62.12, -3.952)","(116.598, 84.116, -31.723, 42.302)","(93.917, 122.14, -46.865, 19.225)","(75.758, 167.014, -62.819, 76.827)","(66.528, 205.332, 3.023, 13.004)","(66.752, 240.85, 35.187, 32.884)","(64.416, 283.233, -3.873, 56.105)","(59.825, 322.68, 14.717, 49.548)","(58.431, 358.341, -39.798, 58.413)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
36,"(589.353, 271.895, 37.628, -29.255)","(623.229, 258.636, 19.294, -10.601)","(660.371, 248.008, 40.174, -3.916)","(695.537, 234.462, 38.382, -30.636)","(728.559, 219.535, 16.606, -13.248)","(758.081, 210.611, 11.286, -11.292)","(774.492, 190.221, 36.461, -19.945)","(788.35, 150.822, 8.302, -29.277)","(795.652, 102.774, 17.638, -48.828)","(775.878, 71.244, -48.472, -10.333)","(734.405, 60.516, -54.01, -8.94)","(694.722, 61.033, -33.171, -10.548)","(651.629, 63.192, -40.132, -13.487)","(610.005, 63.279, -38.074, -13.984)","(568.019, 61.576, -55.708, -13.02)","(527.875, 61.817, -40.635, 5.001)","(489.928, 63.932, -54.544, -7.039)","(451.826, 62.492, -41.926, 14.111)","(410.264, 61.946, -52.92, 12.0)","(371.53, 63.092, -31.269, 5.066)","(331.387, 64.267, -32.46, 9.493)","(292.311, 65.237, -50.527, 1.797)","(253.545, 66.818, -21.098, 14.059)","(219.253, 71.859, -42.398, 6.733)","(182.165, 72.511, -37.886, 14.483)","(138.16, 82.143, -28.879, 29.693)","(111.473, 115.677, -13.942, 35.227)","(99.613, 157.556, -11.493, 53.744)","(97.076, 199.584, 5.51, 35.31)","(94.425, 239.123, -2.566, 24.653)","(91.717, 275.855, -14.899, 42.449)","(89.662, 312.885, -16.845, 44.223)","(83.883, 345.86, -4.323, 29.252)","(59.725, 370.786, -113.274, -22.236)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
37,"(363.822, 518.692, 50.868, 3.356)","(398.239, 519.956, 37.229, 9.578)","(436.552, 525.862, 40.702, 9.526)","(475.722, 531.362, 28.581, 21.851)","(512.898, 536.563, 46.063, 19.212)","(551.513, 542.346, 52.292, 8.4)","(587.75, 546.901, 43.89, 17.082)","(622.359, 554.969, 18.694, 19.094)","(655.147, 561.859, 34.876, 22.75)","(686.796, 568.113, 14.75, 19.833)","(718.592, 571.94, 17.826, 9.109)","(746.934, 570.518, 31.717, -3.238)","(771.162, 566.782, 15.499, 1.363)","(770.539, 595.572, -7.229, 52.256)","(767.428, 625.12, -0.194, 6.24)","(769.669, 646.679, -2.38, 26.592)","(771.567, 662.877, 31.639, -3.688)","(742.703, 671.127, -45.536, -6.322)","(704.65, 677.84, -40.98, 12.627)","(668.483, 681.985, -25.325, -14.566)","(631.078, 679.515, -52.194, 0.646)","(591.849, 681.159, -28.255, -6.514)","(549.826, 682.232, -57.518, -16.606)","(509.882, 678.843, -33.784, 6.302)","(467.235, 677.27, -28.859, -14.234)","(433.25, 676.573, -25.959, 6.869)","(398.129, 676.19, -44.514, -10.083)","(357.79, 675.148, -27.923, -9.129)","(316.675, 673.803, -28.872, 11.95)","(276.648, 671.181, -41.825, -15.989)","(237.325, 668.025, -22.47, -17.274)","(200.049, 666.683, -40.062, 14.056)","(169.538, 670.618, -44.19, -3.295)","(141.134, 650.135, 42.991, -15.848)","(149.399, 579.542, -20.333, -22.346)","(136.53, 530.307, 17.945, -51.243)","(116.519, 488.15, 44.392, -47.532)","(103.43, 451.919, -43.379, 11.824)","(101.806, 415.953, -58.426, -52.059)","(89.792, 398.118, 10.3, -0.223)","(86.547, 390.057, -27.507, -10.019)","(56.468, 387.726, -48.074, 14.147)"
38,"(381.105, 259.674, 39.891, 3.06)","(416.585, 250.044, 30.879, -11.671)","(450.154, 245.092, 20.883, -0.605)","(477.848, 241.733, 9.848, 4.257)","(511.794, 240.108, 37.224, -3.239)","(545.625, 235.832, 24.819, -15.391)","(582.741, 235.891, 25.606, -16.51)","(623.062, 237.103, 43.84, -9.266)","(657.209, 233.098, 29.142, 11.711)","(689.247, 231.059, 41.098, 8.032)","(722.22, 233.902, 39.811, -5.704)","(757.621, 224.272, 31.058, -26.258)","(780.645, 199.124, 18.912, -21.687)","(792.704, 168.178, -4.427, -45.85)","(796.021, 119.877, 3.739, -76.899)","(760.754, 83.548, -27.722, -16.678)","(721.328, 76.621, -50.577, -5.377)","(674.289, 81.22, -31.655, -7.978)","(637.129, 72.663, -49.448, -0.894)","(595.216, 71.986, -39.688, -8.048)","(555.515, 67.97, -48.055, -1.134)","(515.449, 67.522, -52.414, 9.718)","(475.767, 65.102, -26.035, 3.614)","(433.07, 64.905, -38.885, -13.571)","(390.863, 62.132, -44.035, -0.41)","(347.764, 66.797, -36.876, 8.294)","(306.16, 69.124, -45.91, -4.982)","(266.344, 70.429, -44.031, 9.121)","(228.818, 72.474, -29.329, 0.122)","(193.169, 74.133, -24.114, -7.235)","(152.784, 73.416, -66.34, -16.575)","(119.377, 99.88, -31.589, 49.473)","(99.853, 138.509, -24.976, 36.965)","(86.335, 174.725, 5.598, 30.623)","(80.612, 212.365, 25.117, 61.99)","(75.941, 250.181, -13.026, -13.638)","(72.67, 293.789, 26.34, 7.092)","(71.28, 322.048, 54.979, 54.994)","(67.506, 351.547, 2.652, 33.691)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
39,"(627.687, 350.279, 43.935, -15.868)","(656.49, 334.364, 15.33, -27.214)","(680.0, 315.316, 9.66, -34.827)","(702.002, 296.55, 40.582, -32.215)","(724.471, 278.203, 5.316, -15.148)","(744.204, 262.343, 38.27, -17.023)","(759.091, 247.01, 16.558, 3.687)","(767.465, 233.599, 13.323, -34.309)","(783.367, 215.616, 29.493, -25.06)","(799.608, 179.597, 1.749, -26.892)","(798.768, 124.743, -10.345, -56.927)","(788.83, 85.804, -42.249, -31.571)","(747.52, 67.831, -42.055, -15.321)","(706.144, 60.596, -25.241, 10.545)","(665.261, 60.775, -40.374, -0.813)","(624.477, 63.627, -37.135, -0.78)","(584.041, 67.659, -56.363, 4.813)","(544.066, 64.563, -27.639, -6.323)","(508.214, 64.88, -31.161, 1.17)","(467.499, 65.62, -55.849, -11.814)","(425.336, 64.832, -27.988, 5.334)","(381.926, 63.425, -46.315, -14.539)","(340.344, 63.052, -43.2, -5.253)","(298.407, 62.717, -51.489, -1.007)","(257.374, 64.062, -43.106, 16.455)","(220.165, 67.074, -37.345, 13.228)","(183.083, 65.559, -26.975, -16.475)","(145.731, 69.455, -40.576, 2.359)","(112.963, 96.542, -33.964, 30.111)","(88.802, 133.153, -22.308, 33.371)","(74.766, 170.048, -6.118, 35.635)","(68.624, 210.335, -6.222, 56.618)","(64.958, 250.762, -14.184, 58.035)","(63.622, 289.37, 1.065, 17.679)","(62.278, 325.035, 8.771, 47.008)","(54.751, 357.852, -56.662, 79.664)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
