,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,"(450, 375, None, None)","(463.897, 341.545, None, None)","(514.454, 349.362, None, None)","(571.431, 354.4, None, None)","(628.409, 359.438, None, None)","(685.363, 356.49, None, None)","(712.607, 308.169, None, None)","(751.207, 294.368, None, None)","(783.925, 280.021, None, None)","(778.014, 233.684, None, None)","(798.396, 224.67, None, None)","(794.872, 186.73, None, None)","(790.992, 129.726, None, None)","(777.285, 92.592, None, None)","(721.268, 87.512, None, None)","(664.104, 86.55, None, None)","(606.904, 86.331, None, None)","(549.705, 86.111, None, None)","(492.505, 85.892, None, None)","(479.141, 86.431, None, None)","(448.674, 84.92, None, None)","(391.713, 82.051, None, None)","(334.54, 82.322, None, None)","(277.355, 81.051, None, None)","(252.093, 78.321, None, None)","(237.036, 82.828, None, None)","(220.849, 82.041, None, None)","(165.633, 79.099, None, None)","(129.909, 81.923, None, None)","(113.201, 121.289, None, None)","(113.025, 177.901, None, None)","(105.699, 234.63, None, None)","(98.374, 291.359, None, None)","(96.762, 294.11, None, None)","(92.114, 324.26, None, None)","(92.756, 369.048, None, None)","(83.556, 372.855, None, None)"
1,"(289.068, 509.293, 46.559, 18.041)","(323.04, 511.246, 46.057, -14.52)","(357.328, 512.135, 32.098, -11.79)","(390.864, 512.236, 47.562, -8.945)","(422.77, 514.272, 42.827, 4.997)","(457.417, 515.665, 28.068, -8.159)","(492.187, 516.741, 39.42, 5.541)","(526.864, 518.184, 33.705, 0.484)","(559.835, 519.339, 19.276, -7.387)","(594.097, 521.272, 29.48, -4.858)","(627.853, 521.928, 35.023, -3.311)","(657.224, 522.216, 28.911, 1.338)","(688.929, 524.896, 38.025, -0.788)","(717.783, 525.112, 15.102, 2.747)","(744.474, 525.655, 29.536, -4.997)","(765.621, 527.563, 16.748, 3.098)","(782.59, 534.884, 10.639, 18.309)","(788.655, 554.318, 8.843, 7.391)","(792.723, 579.969, -13.569, 21.71)","(792.519, 611.136, 15.549, 19.627)","(796.449, 640.257, -10.988, 29.023)","(786.42, 654.628, -39.685, -6.507)","(757.253, 663.679, -18.429, -0.918)","(727.927, 670.266, -38.199, -4.826)","(696.089, 680.448, -25.258, -10.16)","(658.289, 682.079, -39.325, -1.816)","(623.749, 684.361, -41.942, 16.58)","(587.33, 684.346, -36.58, 14.661)","(551.429, 682.722, -31.021, -8.036)","(517.862, 682.928, -44.405, -6.937)","(483.884, 682.54, -44.937, -3.78)","(448.048, 682.362, -35.219, 1.198)","(414.259, 681.694, -25.691, -6.959)","(378.487, 680.072, -45.317, -15.535)","(343.678, 678.666, -48.522, -1.65)","(310.994, 679.021, -45.415, 15.969)","(275.421, 679.763, -23.617, -11.558)"
2,"(622.058, 226.197, 44.662, -18.363)","(663.491, 212.598, 40.267, -29.087)","(699.696, 198.586, 49.311, -4.262)","(733.126, 188.247, 20.348, -16.608)","(756.605, 185.237, 11.311, 15.385)","(776.307, 169.964, 8.084, -43.671)","(774.201, 123.521, -13.558, -32.393)","(776.219, 90.753, 16.283, -44.441)","(724.79, 88.043, -39.201, 3.689)","(683.169, 96.809, -29.245, -5.833)","(642.849, 102.913, -52.566, 7.329)","(601.822, 107.312, -31.565, -9.396)","(568.711, 108.851, -27.55, 13.644)","(533.862, 100.344, -43.833, -1.723)","(486.696, 95.402, -46.191, -15.069)","(444.629, 94.981, -38.225, -9.627)","(403.568, 94.765, -39.194, 7.603)","(360.589, 94.087, -54.68, 9.289)","(316.258, 91.762, -39.375, -7.67)","(273.217, 89.552, -57.855, -7.313)","(231.031, 86.498, -40.279, -0.931)","(189.658, 84.662, -29.087, 9.494)","(148.635, 77.886, -47.392, -12.984)","(119.328, 109.898, -9.974, 28.209)","(103.825, 151.338, -6.753, 26.93)","(96.608, 191.949, -17.361, 30.661)","(93.319, 230.868, 8.21, 42.706)","(91.286, 270.486, 2.227, 29.194)","(88.039, 306.108, 9.44, 38.765)","(83.557, 340.323, -19.349, 39.432)","(63.673, 364.958, -35.164, -15.096)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(683.735, 581.918, 13.534, 3.186)","(707.812, 583.288, 39.665, -2.776)","(731.197, 579.234, 21.929, 7.001)","(751.45, 570.516, 41.986, -8.544)","(775.487, 565.043, 29.541, -7.713)","(777.278, 614.833, -6.419, 20.645)","(783.695, 650.04, -0.104, 35.15)","(743.47, 653.848, -60.456, -17.429)","(703.444, 643.985, -41.564, -3.707)","(669.171, 639.358, -31.504, 7.954)","(628.291, 636.703, -53.668, 10.024)","(605.343, 636.053, -39.461, 2.681)","(593.189, 636.044, -29.15, -3.448)","(562.5, 636.092, -27.686, -12.844)","(528.494, 636.352, -45.56, 2.806)","(490.014, 636.295, -52.397, -0.558)","(456.234, 636.638, -33.573, -9.248)","(414.413, 636.677, -51.139, -5.587)","(372.362, 637.734, -48.036, -8.083)","(331.995, 639.547, -50.027, 12.432)","(289.303, 639.939, -43.941, 7.797)","(253.321, 646.831, -28.081, 1.315)","(217.711, 658.886, -27.162, 31.075)","(178.431, 661.041, -37.704, -0.551)","(140.147, 653.839, -18.426, -31.073)","(124.793, 614.551, -12.262, -36.334)","(114.243, 573.74, -5.821, -55.819)","(103.021, 533.728, -1.191, -42.823)","(93.625, 498.25, -5.011, -27.097)","(84.84, 462.177, 4.644, -30.039)","(76.079, 431.282, -4.353, -32.014)","(73.917, 398.731, -27.367, -43.195)","(32.606, 381.722, -68.184, -23.52)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
4,"(327.928, 213.891, 21.785, -22.697)","(362.077, 205.682, 37.411, -3.191)","(390.655, 202.669, 23.147, 13.551)","(429.491, 199.183, 30.047, -8.906)","(467.926, 190.888, 29.095, -17.734)","(505.42, 182.539, 30.093, 4.515)","(536.434, 175.343, 31.426, -14.502)","(558.489, 169.641, 12.875, -9.826)","(573.746, 166.027, 24.86, -2.554)","(579.842, 166.164, 42.475, 5.115)","(589.372, 166.003, 35.386, -4.161)","(607.141, 166.003, 31.763, -7.94)","(615.452, 166.036, 28.401, -3.86)","(620.529, 166.021, 52.755, -2.164)","(629.397, 166.169, 28.714, -15.559)","(654.131, 168.928, 24.938, 7.132)","(668.617, 173.046, 28.824, 11.758)","(681.907, 173.246, 26.132, -6.084)","(694.736, 185.564, 12.721, 2.873)","(722.95, 200.573, 8.258, -5.435)","(737.605, 201.126, 24.742, -15.597)","(751.01, 203.468, 28.106, 6.535)","(762.809, 205.534, -4.078, -13.468)","(772.701, 200.03, 20.021, -18.123)","(780.303, 179.465, -1.853, -36.293)","(777.502, 147.461, -9.122, -47.893)","(778.219, 120.471, 36.057, -5.753)","(777.418, 96.083, -39.847, 2.041)","(753.342, 86.448, -52.469, -5.723)","(720.027, 92.188, -25.84, 0.958)","(681.898, 82.115, -6.33, -12.096)","(655.515, 80.717, -22.579, -5.991)","(621.183, 79.372, -17.964, 8.747)","(584.654, 80.919, -44.773, 10.73)","(548.648, 89.939, -28.981, 14.52)","(511.579, 96.64, -28.937, -0.086)","(476.893, 98.81, -50.36, -0.253)"
5,"(762.953, 318.218, 26.146, -39.825)","(790.536, 280.712, 35.823, -43.699)","(806.103, 243.197, 17.343, -41.624)","(810.592, 215.355, 5.078, -14.725)","(814.532, 195.892, 2.769, -13.851)","(818.06, 197.252, 0.409, -8.273)","(813.851, 194.413, -3.238, -16.24)","(818.887, 165.006, 17.622, -26.965)","(823.91, 148.704, 4.492, -41.658)","(823.855, 143.058, -2.293, -28.625)","(823.914, 135.075, -2.777, -12.9)","(821.622, 125.999, -26.43, -9.846)","(813.349, 85.92, -16.098, -26.145)","(811.82, 69.135, 11.855, -13.38)","(806.732, 67.544, -16.455, -3.017)","(792.921, 57.447, -10.851, -10.006)","(757.354, 49.73, -23.278, -13.134)","(717.203, 51.777, -34.959, 10.992)","(679.178, 55.974, -35.248, 4.987)","(635.283, 56.99, -43.59, 14.188)","(593.304, 56.647, -43.971, -2.714)","(549.252, 57.769, -54.84, 17.19)","(508.264, 60.41, -33.467, 14.711)","(466.322, 60.668, -45.755, 5.75)","(424.881, 60.869, -33.834, -12.588)","(386.04, 61.424, -45.288, 16.087)","(346.109, 60.635, -52.565, 11.188)","(308.77, 60.905, -25.704, -3.494)","(270.261, 62.153, -27.87, 10.545)","(234.654, 65.411, -58.763, 9.231)","(198.931, 64.169, -40.759, -19.905)","(156.202, 65.978, -34.994, 19.705)","(119.535, 80.438, -33.261, 14.357)","(91.955, 107.848, -37.171, 31.167)","(75.196, 145.322, -28.851, 50.698)","(66.333, 185.959, -12.359, 52.151)","(62.583, 224.447, -17.174, 29.53)"
6,"(540.407, 323.808, 38.405, -30.561)","(571.66, 302.462, 41.981, -33.591)","(602.691, 281.677, 39.892, -20.882)","(637.124, 267.07, 31.255, -20.907)","(671.418, 252.46, 22.387, -19.831)","(704.82, 234.871, 32.003, -10.336)","(736.8, 221.272, 46.114, 0.655)","(760.113, 214.089, 23.409, -5.709)","(779.162, 185.877, 10.456, -63.079)","(765.93, 140.14, -23.296, -35.864)","(756.754, 114.228, -7.797, -32.539)","(750.215, 101.967, -9.805, -6.967)","(729.236, 100.329, -35.908, 5.306)","(734.584, 112.984, -5.963, 16.032)","(735.454, 113.962, 10.254, 3.0)","(744.04, 113.765, 29.612, 10.357)","(741.653, 113.995, -0.265, 5.381)","(743.735, 113.625, 15.334, -9.038)","(744.736, 113.498, 21.892, 5.209)","(745.911, 112.226, 7.919, -1.051)","(742.473, 113.442, 1.195, -3.706)","(743.093, 113.724, 1.353, -1.302)","(740.744, 112.507, -3.168, -7.553)","(732.754, 111.536, -8.685, 32.112)","(735.041, 113.959, 4.765, 2.333)","(738.409, 113.77, 29.158, -9.458)","(743.578, 113.703, -10.876, 11.767)","(760.848, 103.796, -4.724, -31.412)","(766.359, 100.741, 19.115, -24.361)","(751.623, 89.031, -32.894, -5.589)","(720.827, 87.8, -8.091, 8.34)","(700.015, 83.985, -52.658, -8.994)","(665.7, 80.187, -18.207, -15.929)","(630.434, 79.451, -43.473, 1.268)","(593.334, 76.758, -60.581, 4.738)","(558.067, 81.213, -33.533, 14.812)","(519.612, 86.71, -23.875, 9.108)"
7,"(616.457, 284.098, 48.489, 0.333)","(656.841, 271.129, 35.758, -25.139)","(691.804, 253.036, 31.529, -31.287)","(720.018, 234.422, 31.033, -15.316)","(744.734, 216.978, 33.826, -16.833)","(772.554, 199.759, 8.724, -52.867)","(783.684, 155.789, 0.215, -52.745)","(777.107, 122.413, -24.405, -21.29)","(770.508, 101.934, -4.668, -16.199)","(759.227, 86.785, -50.008, 9.062)","(703.958, 91.552, -59.861, 0.858)","(668.128, 102.811, -19.619, 4.602)","(631.804, 107.642, -41.23, 7.212)","(594.667, 112.824, -50.188, -11.051)","(570.526, 113.939, -26.184, 7.062)","(560.059, 113.951, -7.269, 5.5)","(534.346, 105.454, -32.097, -6.415)","(489.908, 103.202, -58.942, 6.625)","(441.315, 103.159, -43.713, -14.124)","(396.366, 103.005, -23.296, 3.09)","(357.823, 100.34, -48.114, 14.92)","(317.378, 99.291, -48.693, -10.717)","(275.023, 96.521, -51.489, -16.804)","(229.942, 93.828, -47.761, 3.873)","(197.609, 94.73, -16.671, 5.788)","(168.746, 90.559, -10.316, -32.262)","(134.337, 98.902, -18.88, 49.121)","(120.862, 142.909, -16.405, 37.72)","(114.787, 186.95, -15.156, 46.732)","(112.824, 226.699, 11.002, 29.592)","(106.248, 264.853, -3.252, 46.128)","(102.942, 301.921, 0.982, 32.912)","(93.923, 341.354, -8.667, 40.077)","(85.704, 364.703, -19.463, 16.875)","(53.384, 373.463, -47.144, 13.579)","(None, None, None, None)","(None, None, None, None)"
8,"(433.194, 378.685, 25.394, -25.167)","(456.52, 368.105, 37.568, -16.126)","(498.086, 360.804, 27.097, -15.622)","(532.565, 340.148, 49.371, -23.25)","(577.68, 321.173, 52.92, -18.237)","(613.931, 303.347, 23.344, -22.524)","(643.654, 292.74, 28.377, -18.709)","(670.571, 281.417, 28.132, -28.466)","(695.862, 266.646, 27.62, -2.033)","(717.187, 255.225, 6.998, -14.456)","(739.461, 246.452, 28.464, -22.898)","(758.986, 238.448, 3.971, -11.955)","(776.358, 235.114, 28.742, -8.94)","(789.512, 221.674, -1.801, -14.322)","(799.898, 193.251, -3.619, -28.393)","(805.912, 170.574, 18.84, -1.791)","(798.187, 154.542, -5.335, -46.951)","(803.459, 108.388, 16.823, -42.738)","(809.845, 82.727, -4.935, -13.654)","(810.184, 69.646, -9.36, -3.974)","(800.27, 60.809, -6.216, -11.419)","(800.597, 61.738, -0.048, 1.358)","(779.521, 53.376, -11.993, -30.318)","(753.986, 48.237, -23.574, -4.406)","(708.274, 53.337, -30.82, 4.214)","(664.2, 51.72, -34.546, -2.632)","(627.014, 50.645, -56.419, 22.29)","(585.214, 53.813, -40.127, 7.122)","(542.191, 57.184, -30.048, 2.529)","(502.514, 57.45, -26.565, 13.667)","(469.12, 59.513, -38.44, -0.133)","(432.903, 60.358, -47.761, -2.672)","(397.63, 60.349, -40.07, 11.818)","(362.963, 60.643, -20.393, -5.355)","(329.045, 61.885, -48.045, 9.389)","(295.386, 61.868, -37.198, 2.759)","(263.921, 62.657, -31.164, -0.818)"
9,"(240.589, 336.529, 28.412, -5.038)","(262.732, 336.294, 22.52, -4.796)","(288.085, 334.574, 41.177, -13.678)","(314.61, 327.431, 14.649, -4.889)","(342.073, 319.056, 42.447, -17.052)","(371.093, 312.487, 22.512, -3.518)","(400.023, 302.707, 42.562, -9.345)","(428.314, 294.355, 36.312, -1.027)","(457.956, 287.891, 13.02, -12.157)","(484.805, 282.076, 20.803, 3.559)","(511.056, 276.716, 11.343, 3.532)","(537.629, 272.024, 24.254, -10.201)","(563.918, 267.962, 37.287, 10.026)","(586.51, 262.785, 32.344, 11.081)","(614.168, 261.035, 19.029, -0.341)","(637.415, 258.899, 10.45, -17.659)","(659.395, 256.029, 19.213, -14.667)","(676.446, 251.595, 22.096, -7.64)","(694.799, 250.133, 13.737, 14.44)","(716.218, 248.344, 24.356, 0.857)","(729.88, 246.104, 13.563, -21.502)","(740.715, 239.785, 28.281, -20.098)","(751.334, 236.883, 11.535, 3.135)","(761.099, 236.307, 12.254, 2.283)","(770.848, 226.394, 30.612, -3.743)","(780.131, 216.466, 3.978, -21.721)","(779.051, 186.073, 14.537, -19.85)","(774.615, 157.773, 4.589, -13.734)","(783.96, 138.513, 1.45, -29.558)","(794.736, 108.567, 4.104, -36.469)","(788.106, 90.853, -6.289, -22.357)","(760.806, 78.416, -49.381, -16.885)","(723.717, 81.291, -29.609, -2.67)","(693.539, 73.176, -16.411, -9.723)","(662.65, 68.82, -43.834, -8.626)","(629.702, 67.082, -23.279, 4.565)","(592.004, 64.498, -18.169, -17.929)"
