,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,"(580.483, 573.791, 39.258, 18.955)","(612.27, 583.957, 49.919, 7.824)","(629.542, 583.6, 49.998, -8.504)","(651.157, 583.842, 38.644, -8.901)","(671.945, 583.62, 33.476, -6.337)","(688.509, 583.922, 31.083, 21.072)","(702.609, 583.808, 17.739, -0.171)","(709.251, 583.853, 30.819, -4.044)","(712.65, 583.847, 25.08, -2.046)","(724.054, 583.78, 25.424, 1.385)","(732.457, 583.923, 16.605, -1.289)","(742.239, 583.935, 47.022, -2.472)","(762.004, 576.778, -0.809, 4.989)","(779.933, 567.373, 20.635, 7.097)","(789.782, 609.438, -4.426, 52.712)","(789.84, 645.452, 8.736, 21.635)","(767.478, 664.863, -44.537, 3.486)","(720.844, 666.33, -46.838, -26.372)","(683.497, 663.573, -48.432, -1.319)","(645.008, 662.833, -11.07, -3.347)","(611.612, 664.052, -47.291, 14.326)","(570.288, 664.836, -41.505, -18.723)","(531.224, 657.862, -36.292, -16.664)","(501.563, 658.845, -31.789, 4.33)","(461.236, 654.398, -30.718, -7.42)","(426.799, 655.049, -51.675, 7.05)","(383.191, 653.643, -28.814, -0.592)"
11,"(656.394, 581.795, 52.226, 4.79)","(680.687, 583.912, 45.032, -5.029)","(686.904, 583.999, 42.907, 1.506)","(691.447, 583.935, 34.622, 3.151)","(713.821, 583.988, 30.849, 0.09)","(734.341, 581.473, -2.308, 10.062)","(740.656, 577.393, 6.654, -13.159)","(745.547, 570.409, -7.469, -7.708)","(763.0, 565.083, 22.83, 9.153)","(771.065, 565.723, 1.505, 37.779)","(779.08, 605.699, 12.417, 24.572)","(778.624, 630.557, 1.663, 17.125)","(775.676, 654.63, -35.659, 2.975)","(732.049, 664.697, -33.052, -24.404)","(696.079, 656.172, -30.327, -2.021)","(660.071, 659.977, -48.201, 16.462)","(610.543, 662.871, -50.299, 9.993)","(561.545, 659.976, -58.9, 4.727)","(520.647, 648.817, -31.984, -1.171)","(498.0, 642.542, -29.95, 10.638)","(453.33, 653.752, -63.995, -13.969)","(404.269, 641.272, -34.527, -3.678)","(362.751, 636.577, -40.529, -6.322)","(338.051, 636.386, -31.775, 8.661)","(312.772, 636.141, -40.67, 6.799)","(283.174, 636.29, -41.503, 12.653)","(251.319, 636.687, -35.391, -11.325)"
12,"(739.37, 360.345, 11.22, -26.126)","(763.16, 331.801, 24.896, -42.276)","(782.691, 304.151, 10.228, -43.084)","(795.876, 278.124, 0.87, -28.193)","(807.597, 254.321, 7.338, -6.24)","(814.485, 234.519, -8.324, -8.925)","(813.51, 216.749, -11.103, -4.758)","(811.856, 205.192, -1.604, -3.859)","(823.099, 178.717, 3.553, -30.598)","(828.873, 166.196, -2.406, -21.287)","(828.873, 166.196, -2.406, -21.287)","(828.873, 166.196, -2.406, -21.287)","(829.52, 166.04, 38.816, -9.344)","(829.52, 166.04, 38.816, -9.344)","(829.52, 166.04, 38.816, -9.344)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)","(829.815, 166.009, 17.713, -1.883)"
13,"(709.262, 438.649, 30.219, 18.607)","(734.788, 457.123, 11.153, 25.294)","(759.206, 477.963, 6.703, 21.035)","(774.3, 501.058, 8.813, 5.104)","(788.239, 522.616, -6.081, 13.13)","(794.265, 542.153, 6.511, 35.958)","(807.759, 588.707, 3.617, 47.474)","(814.675, 631.411, -8.575, 30.41)","(813.076, 665.009, -1.156, 36.662)","(800.49, 678.743, -34.989, 25.834)","(765.517, 694.048, -53.98, 15.651)","(726.062, 699.938, -29.865, 2.168)","(690.293, 693.88, -59.831, -21.057)","(648.301, 693.0, -50.033, 5.645)","(601.971, 690.223, -43.912, 7.408)","(549.746, 686.833, -38.852, 7.118)","(501.846, 684.733, -62.363, 14.452)","(452.198, 680.932, -42.374, -16.394)","(406.056, 674.687, -49.725, -12.44)","(362.884, 669.05, -56.641, 5.725)","(322.408, 668.694, -25.987, 8.63)","(282.441, 668.703, -45.635, 2.993)","(244.895, 668.895, -22.051, -9.711)","(206.658, 670.463, -50.691, 7.065)","(168.489, 668.224, -40.559, -15.961)","(133.974, 647.073, -23.673, -44.804)","(115.503, 608.455, -0.185, -47.742)"
14,"(689.271, 344.4, 31.782, -26.185)","(716.33, 310.821, 26.027, -28.954)","(744.265, 274.062, 20.097, -22.902)","(765.129, 246.883, 14.807, -2.851)","(787.436, 225.433, 1.082, -22.335)","(804.726, 195.176, 3.729, -21.467)","(821.156, 160.131, 19.672, -37.096)","(823.882, 139.36, -0.17, -19.835)","(814.009, 105.407, 3.397, -75.365)","(799.433, 70.668, -31.864, -33.496)","(756.221, 56.611, -56.973, 14.044)","(705.465, 62.38, -47.493, -5.889)","(662.441, 65.791, -39.97, -13.572)","(615.467, 63.866, -37.293, 9.044)","(569.274, 65.898, -33.901, -6.887)","(530.742, 68.616, -36.098, 11.323)","(488.811, 71.188, -37.302, 6.79)","(449.052, 69.465, -37.222, -4.303)","(408.275, 68.365, -29.458, -2.318)","(368.465, 67.159, -50.235, 7.399)","(328.444, 66.591, -54.549, -10.762)","(288.392, 67.992, -55.149, 1.2)","(249.924, 69.711, -27.583, 1.845)","(211.602, 73.051, -33.098, -11.272)","(175.099, 73.291, -26.701, 13.233)","(135.911, 83.366, -36.961, 33.197)","(105.791, 115.633, -18.97, 20.744)"
15,"(696.597, 523.571, 39.982, 10.424)","(736.737, 534.363, 21.535, -7.272)","(767.348, 543.079, 34.702, 8.894)","(777.552, 578.376, 1.743, 24.303)","(786.958, 616.874, 28.044, 77.961)","(772.308, 663.41, -40.206, 2.988)","(723.191, 668.96, -30.115, 15.51)","(676.418, 668.099, -39.05, 13.741)","(632.803, 670.569, -43.271, 5.803)","(587.966, 671.226, -41.108, 13.526)","(545.952, 670.222, -25.24, 2.514)","(503.948, 666.543, -37.727, -15.454)","(459.654, 664.856, -41.518, -9.139)","(420.097, 660.102, -47.164, 2.34)","(378.009, 657.619, -32.455, -13.341)","(334.637, 657.046, -41.802, -14.767)","(291.07, 658.735, -34.831, -0.588)","(247.226, 662.143, -41.783, 3.483)","(204.0, 665.798, -35.289, -6.611)","(163.876, 663.391, -60.701, 2.167)","(132.16, 639.78, -17.75, -46.345)","(116.147, 597.264, -27.624, -40.966)","(103.695, 552.593, -25.624, -42.005)","(90.765, 510.025, -6.534, -52.773)","(77.729, 468.651, -3.853, -44.763)","(64.843, 430.954, -19.163, -14.213)","(54.375, 388.32, -29.539, -52.091)"
16,"(247.471, 348.916, 17.256, -18.737)","(276.617, 335.035, 31.091, -15.355)","(308.071, 321.218, 40.226, -0.477)","(340.549, 310.724, 37.116, -17.312)","(373.26, 299.063, 31.848, -12.067)","(407.129, 289.598, 30.428, -6.59)","(439.533, 278.694, 19.929, -12.019)","(471.405, 272.638, 25.435, -17.254)","(505.038, 264.457, 41.865, -6.351)","(535.402, 260.017, 30.581, -4.903)","(564.905, 254.885, 44.037, -6.205)","(597.526, 250.453, 36.232, -9.565)","(628.967, 245.491, 31.394, -17.813)","(658.191, 242.093, 38.592, 1.449)","(689.479, 238.061, 26.517, -11.039)","(719.816, 230.591, 25.703, -16.565)","(739.544, 223.538, 27.62, 5.139)","(758.917, 219.669, 35.098, 5.668)","(775.004, 207.602, -23.939, -10.948)","(775.352, 194.119, 10.366, -18.505)","(781.79, 164.837, 14.74, -34.973)","(777.672, 143.486, -11.002, -3.952)","(783.207, 121.69, 11.887, -39.475)","(780.026, 95.735, -31.337, -10.022)","(744.368, 87.713, -21.399, 23.11)","(711.861, 92.204, -30.926, -15.945)","(672.733, 85.918, -33.992, 12.703)"
17,"(365.419, 265.551, 19.768, -2.034)","(400.714, 257.892, 24.58, -15.453)","(433.91, 250.362, 41.178, -24.197)","(465.675, 243.143, 25.644, 4.326)","(500.355, 232.404, 44.794, -6.327)","(534.154, 223.665, 35.756, 3.354)","(567.924, 217.648, 32.155, 7.238)","(603.425, 213.068, 38.878, -2.667)","(637.294, 207.476, 28.197, -1.092)","(667.999, 201.459, 15.205, -12.042)","(694.66, 197.9, 14.992, -2.211)","(721.553, 196.872, 39.32, 20.925)","(752.13, 200.855, 53.744, 4.092)","(774.997, 190.185, -13.328, -25.311)","(769.39, 147.197, -23.467, -46.51)","(761.133, 129.705, -14.96, -0.523)","(760.67, 114.716, -7.865, -22.895)","(775.988, 93.41, -30.413, -13.925)","(736.868, 77.648, -32.914, -3.958)","(698.919, 90.467, -48.188, 6.533)","(658.977, 90.844, -28.543, 5.418)","(619.159, 89.302, -48.325, -13.034)","(584.758, 87.365, -20.305, 4.721)","(548.193, 92.692, -45.417, 9.067)","(509.128, 98.89, -41.756, 17.699)","(470.584, 99.694, -40.06, 14.076)","(435.546, 98.455, -29.873, 12.093)"
18,"(611.485, 497.031, 22.099, 4.784)","(648.896, 503.504, 27.659, 16.817)","(684.872, 505.801, 26.87, 7.393)","(715.93, 511.977, 29.446, 23.525)","(744.386, 521.17, 31.573, 7.485)","(770.158, 527.71, 31.957, 11.082)","(790.94, 549.743, 16.494, 16.104)","(809.673, 591.551, 10.682, 42.902)","(821.965, 625.001, 6.581, 34.009)","(821.186, 647.001, 1.82, 15.742)","(814.099, 669.361, -21.411, 6.925)","(795.763, 685.901, -44.743, 14.723)","(758.443, 694.05, -53.979, -0.685)","(708.525, 693.537, -54.464, -0.736)","(660.98, 689.247, -62.706, 11.871)","(617.471, 686.825, -60.477, -8.966)","(573.701, 687.73, -64.895, 9.064)","(526.496, 687.575, -44.458, 10.949)","(485.565, 688.239, -36.028, 8.952)","(439.851, 685.785, -33.347, -1.031)","(397.114, 680.86, -47.588, 10.252)","(354.351, 677.894, -53.627, -14.93)","(312.822, 676.551, -42.903, 1.12)","(273.123, 676.977, -33.831, -9.011)","(236.044, 673.781, -18.63, 3.518)","(202.08, 675.617, -52.291, 10.021)","(170.079, 672.381, -44.081, -7.488)"
19,"(506.441, 309.455, 33.178, 1.881)","(544.128, 299.16, 30.248, 2.55)","(578.874, 286.868, 49.044, -19.571)","(612.926, 275.571, 52.338, -19.751)","(647.799, 266.156, 42.35, -13.553)","(677.06, 261.96, 16.057, 3.18)","(704.114, 257.323, 42.279, -9.007)","(729.417, 250.514, 3.691, -27.539)","(753.629, 243.385, 24.985, 2.609)","(768.36, 237.742, 34.551, -6.774)","(787.543, 217.548, -7.752, -18.989)","(801.57, 193.31, 42.091, -36.639)","(805.481, 158.687, -14.324, -37.35)","(806.609, 120.378, -1.226, -18.004)","(798.756, 91.308, -11.621, -5.169)","(764.023, 76.865, -26.881, -0.986)","(712.647, 75.848, -68.998, 0.869)","(674.928, 85.207, -54.886, 12.227)","(636.039, 86.75, -35.832, -6.921)","(596.292, 82.649, -51.524, -5.546)","(547.477, 87.697, -36.356, 17.357)","(509.13, 94.53, -37.09, 9.991)","(466.646, 95.458, -42.2, 15.96)","(424.779, 96.378, -45.976, 13.549)","(383.059, 96.594, -25.854, 14.255)","(340.954, 96.957, -43.405, -0.789)","(298.532, 96.99, -26.434, -7.892)"
20,"(619.15, 569.648, 49.055, 4.786)","(657.674, 568.397, 28.921, -2.896)","(689.099, 561.183, 34.712, -4.243)","(731.868, 566.51, 49.569, 25.401)","(755.907, 573.805, 16.283, -24.976)","(777.533, 564.967, 36.226, -7.86)","(782.691, 609.417, 16.274, 66.52)","(768.177, 648.441, -16.315, -1.733)","(769.458, 663.832, 1.526, 21.769)","(753.836, 683.8, -42.2, 2.956)","(704.689, 688.165, -49.005, -8.648)","(660.807, 686.244, -22.987, -5.454)","(622.886, 685.524, -48.947, 6.345)","(574.974, 685.485, -34.798, -0.939)","(525.296, 687.562, -55.543, 10.05)","(475.584, 691.32, -36.741, 7.333)","(428.529, 692.923, -38.382, -8.729)","(395.975, 689.726, -36.0, -20.002)","(361.944, 680.753, -28.853, -0.047)","(320.132, 675.422, -45.477, 4.408)","(276.933, 672.726, -44.215, -6.697)","(237.195, 672.762, -47.789, 8.303)","(201.27, 671.894, -31.583, 0.72)","(162.674, 667.11, -40.117, 1.164)","(133.279, 638.782, -33.154, -36.629)","(116.953, 600.456, -6.833, -30.844)","(104.09, 560.092, -6.955, -23.382)"
21,"(407.348, 346.695, 45.958, -10.271)","(446.85, 328.82, 46.48, -29.616)","(481.316, 313.742, 21.732, -0.636)","(513.86, 299.49, 27.288, -10.141)","(543.712, 287.004, 14.84, -12.486)","(569.998, 274.055, 49.998, -8.998)","(602.912, 265.129, 44.19, -6.55)","(635.702, 255.745, 33.706, -0.949)","(663.312, 247.67, 25.313, -20.696)","(688.186, 240.617, 21.826, -4.438)","(715.445, 236.363, 31.504, 16.887)","(747.63, 228.992, 39.155, -24.491)","(773.203, 224.005, 43.672, -31.807)","(786.555, 210.754, 19.762, -26.375)","(794.579, 182.675, -15.291, -33.586)","(787.779, 148.656, -7.244, -47.326)","(796.332, 119.543, 14.445, -3.226)","(794.145, 92.941, -18.136, -20.852)","(760.684, 71.948, -48.962, -23.618)","(721.744, 58.511, -54.274, 0.536)","(681.487, 58.298, -21.583, 0.025)","(645.686, 60.413, -31.992, -4.64)","(608.452, 59.388, -41.715, 1.921)","(568.131, 60.037, -45.959, -13.077)","(526.983, 60.795, -49.172, 9.91)","(486.435, 61.46, -39.921, 11.595)","(445.131, 62.225, -45.084, 6.847)"
22,"(371.741, 171.629, 35.324, -1.301)","(404.884, 169.79, 23.021, 12.18)","(431.832, 170.136, 45.042, 1.341)","(461.738, 168.8, 33.502, 8.186)","(488.741, 166.343, 28.112, 0.229)","(512.804, 166.263, 20.414, 7.71)","(538.877, 166.35, 45.94, -4.828)","(569.269, 171.452, 21.065, -9.217)","(594.529, 172.17, 30.529, -5.89)","(615.239, 180.43, 7.675, 10.096)","(645.886, 200.868, 20.623, 22.094)","(669.765, 202.084, 12.84, -12.76)","(695.906, 203.038, 11.418, -2.824)","(719.92, 202.178, 29.325, 12.04)","(741.235, 202.678, 8.908, 14.025)","(760.103, 202.693, 36.797, 18.232)","(777.721, 175.247, 10.835, -39.94)","(771.742, 135.926, -6.224, -46.369)","(778.743, 108.447, 15.012, -33.952)","(771.712, 90.287, -4.631, -4.88)","(738.175, 80.555, -36.131, 19.698)","(707.808, 96.924, -17.891, 1.182)","(680.477, 100.347, -46.516, -28.245)","(638.415, 91.33, -14.721, 7.512)","(607.878, 86.28, -51.669, -7.12)","(566.049, 87.541, -39.486, 4.438)","(528.367, 92.279, -33.145, -3.795)"
23,"(628.6, 230.415, 47.173, -8.94)","(671.393, 216.749, 31.404, -1.803)","(706.213, 208.215, 32.016, -17.678)","(735.813, 200.213, 14.389, 9.469)","(761.94, 193.269, 7.637, -8.391)","(775.343, 174.759, 12.774, -41.758)","(775.329, 130.168, 4.302, -32.072)","(774.917, 96.413, 18.762, -48.852)","(729.294, 90.747, -57.74, 4.579)","(685.527, 103.265, -31.937, 14.614)","(642.158, 113.436, -51.884, 22.246)","(627.035, 113.996, -65.596, 2.692)","(625.703, 113.952, -38.671, -2.141)","(611.29, 113.93, -70.994, -3.713)","(596.141, 113.925, -52.392, -3.196)","(595.035, 113.981, -66.409, 3.355)","(590.05, 113.937, -43.916, 0.614)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)","(589.117, 113.978, -56.013, 2.451)"
