,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,"(441.052, 380.468, None, None)","(444.487, 421.913, None, None)","(497.53, 436.598, None, None)","(554.591, 437.303, None, None)","(611.204, 445.465, None, None)","(668.028, 452.012, None, None)","(712.475, 486.222, None, None)","(748.188, 509.075, None, None)","(777.116, 546.38, None, None)","(780.139, 584.453, None, None)","(771.004, 618.404, None, None)","(737.489, 648.402, None, None)","(680.394, 651.764, None, None)","(623.285, 654.947, None, None)","(566.117, 656.863, None, None)","(509.121, 660.897, None, None)","(451.955, 662.797, None, None)","(394.801, 665.093, None, None)","(337.608, 664.625, None, None)","(280.412, 663.959, None, None)","(223.215, 663.549, None, None)","(166.019, 664.158, None, None)","(162.536, 651.274, None, None)","(124.25, 638.108, None, None)","(116.897, 581.752, None, None)","(105.808, 525.639, None, None)","(95.331, 469.416, None, None)","(81.987, 415.712, None, None)","(32.794, 386.524, None, None)"
1,"(401.973, 349.799, 17.02, -4.564)","(441.49, 335.846, 84.62, -24.24)","(474.828, 339.417, 4.934, -2.407)","(507.206, 333.116, -7.271, -5.894)","(541.537, 324.255, -9.793, -24.572)","(575.042, 318.694, 26.031, 38.746)","(605.795, 312.418, -22.373, 9.146)","(634.701, 300.217, 42.412, -42.366)","(666.642, 296.154, -28.388, 27.87)","(689.821, 286.394, 39.2, -31.403)","(706.576, 280.169, 16.767, -54.301)","(731.309, 276.343, 14.993, -19.875)","(753.967, 261.142, -16.957, 15.056)","(771.079, 249.706, -11.65, 13.609)","(787.313, 237.291, 45.555, -22.431)","(799.314, 229.913, 13.515, 34.831)","(799.387, 219.487, -43.945, -58.162)","(805.596, 207.9, -19.141, 17.931)","(806.161, 170.675, -27.702, -22.393)","(809.172, 124.602, -36.28, -90.557)","(804.46, 89.337, -36.692, -66.002)","(784.08, 60.799, -13.91, -73.009)","(744.42, 53.126, 12.693, 47.09)","(701.981, 53.558, -61.32, -13.724)","(658.189, 60.708, 18.28, -10.745)","(619.409, 58.075, 8.209, 37.008)","(573.179, 54.382, -24.436, 17.992)","(521.915, 55.283, -54.783, 34.363)","(478.813, 59.347, -13.53, 13.52)"
2,"(580.583, 506.663, 44.451, 52.05)","(609.03, 519.348, 66.415, -36.931)","(641.585, 529.72, 46.276, -23.994)","(669.886, 543.393, 34.488, 23.295)","(691.788, 550.015, -22.366, 61.517)","(708.327, 559.296, 26.929, 28.897)","(726.084, 566.206, 7.31, -6.048)","(736.123, 572.642, 13.058, -13.408)","(752.879, 573.942, -35.774, 20.754)","(765.705, 565.129, 36.945, 17.794)","(773.241, 586.654, -44.239, 45.365)","(772.909, 626.866, 15.417, 69.085)","(758.675, 655.028, -86.408, -33.941)","(704.592, 641.641, -71.01, 13.92)","(662.647, 638.0, -94.437, 48.35)","(619.988, 636.47, -87.953, 1.485)","(585.224, 636.423, -93.72, -11.508)","(560.312, 636.967, 12.504, -10.32)","(522.0, 636.595, -51.255, 10.253)","(483.098, 639.774, -43.986, 20.88)","(441.294, 640.881, -11.558, 2.68)","(396.943, 640.878, -64.424, 20.219)","(353.653, 642.891, -76.799, -26.263)","(312.801, 649.848, -65.968, 46.543)","(278.399, 656.373, -28.011, 12.711)","(247.874, 660.799, -0.829, -13.394)","(212.066, 665.469, -69.879, 29.644)","(178.84, 665.905, -27.617, 45.139)","(144.103, 660.301, -8.721, -19.51)"
3,"(273.024, 405.594, 63.143, -27.886)","(308.34, 396.741, 69.201, -42.165)","(342.415, 386.257, 43.253, -6.467)","(372.126, 374.635, 8.926, -25.734)","(403.396, 363.16, 27.776, 10.694)","(433.054, 352.9, 15.381, 23.749)","(466.005, 341.985, -0.555, -50.719)","(499.995, 326.822, 74.477, 1.263)","(538.46, 314.484, -12.857, -34.601)","(571.209, 308.891, 90.19, -15.588)","(610.814, 298.886, 57.146, -62.292)","(643.252, 289.989, -0.317, 8.38)","(668.906, 279.781, 36.805, -21.526)","(689.882, 274.192, 46.554, -2.174)","(710.885, 270.511, 5.892, -31.733)","(731.919, 268.112, -52.284, -51.849)","(747.5, 257.106, 19.685, 38.934)","(759.264, 258.353, -5.373, 45.698)","(764.125, 258.022, -4.66, -29.171)","(769.16, 253.052, 41.2, 35.694)","(778.353, 242.364, 58.363, -53.94)","(781.102, 228.36, 57.231, -66.697)","(781.192, 211.39, 6.549, 17.585)","(778.692, 187.54, 40.454, 9.103)","(781.8, 164.286, -11.574, -21.587)","(791.892, 144.737, -57.108, -8.917)","(793.58, 117.069, 44.543, -60.522)","(789.08, 95.247, -67.05, 38.135)","(749.248, 91.246, -17.95, -57.079)"
4,"(604.908, 549.582, 16.439, 18.335)","(652.55, 555.278, 77.258, -48.427)","(689.372, 552.709, 32.454, -56.191)","(729.574, 547.825, 47.372, -37.174)","(767.878, 543.018, 10.99, -40.761)","(797.292, 581.738, 31.856, 2.977)","(804.05, 624.901, 48.923, 27.984)","(801.937, 659.896, 3.115, -26.407)","(773.697, 685.191, -87.616, 51.184)","(736.651, 685.784, -63.81, -54.517)","(688.983, 680.694, 5.429, -6.525)","(646.237, 684.27, -24.626, -32.786)","(602.048, 681.906, -58.381, 36.0)","(553.809, 683.974, -64.637, 38.566)","(508.115, 685.44, -15.014, 24.825)","(459.128, 680.859, -83.694, -28.286)","(410.765, 681.281, -87.973, 42.477)","(354.858, 675.621, -95.062, -40.639)","(306.408, 667.716, -40.771, 17.97)","(253.035, 670.575, -56.477, 49.364)","(204.186, 678.941, -17.84, 33.624)","(161.0, 679.533, -4.335, -33.819)","(125.573, 646.329, -48.446, -57.394)","(104.205, 604.724, -40.592, -8.618)","(86.982, 555.247, -21.163, -75.894)","(66.652, 514.454, -48.374, -37.353)","(54.037, 481.528, -24.274, 14.644)","(48.836, 446.091, -13.264, -49.43)","(59.85, 435.981, 38.926, -46.627)"
5,"(375.366, 217.113, 37.667, -50.584)","(410.411, 214.687, 80.611, -13.048)","(442.905, 215.188, 32.751, 52.839)","(482.715, 222.492, 9.708, 46.431)","(517.266, 221.728, 22.299, -40.46)","(553.009, 219.347, 19.566, -11.8)","(583.054, 210.666, 83.515, 48.187)","(616.663, 204.616, -5.398, -33.567)","(642.831, 200.876, -14.122, -46.207)","(677.073, 195.446, -3.21, 34.936)","(702.763, 193.218, -4.061, 46.657)","(715.743, 183.078, -7.078, -45.752)","(736.097, 189.396, 52.936, -39.157)","(763.953, 189.135, -18.336, 24.058)","(778.698, 181.127, 3.062, -119.663)","(775.641, 132.677, 12.692, -31.071)","(779.416, 102.602, 5.434, -46.546)","(752.263, 77.194, -0.161, -10.498)","(711.129, 83.31, 10.502, 29.802)","(662.553, 83.601, -43.672, 54.365)","(623.235, 83.27, -38.981, -57.253)","(584.658, 81.913, -93.501, 39.445)","(548.745, 77.521, -16.871, -45.708)","(508.877, 81.765, -58.99, 42.296)","(467.714, 75.002, -14.982, 20.884)","(427.438, 76.746, -85.054, 37.336)","(387.217, 76.63, -66.385, -1.947)","(345.691, 76.015, -48.933, -32.115)","(310.43, 70.444, -9.721, -46.482)"
6,"(710.938, 362.399, 9.553, 8.961)","(731.239, 334.669, 63.048, -68.898)","(749.127, 305.91, 9.833, -54.137)","(771.122, 280.543, -32.524, -63.855)","(781.674, 262.431, -46.268, -71.7)","(794.861, 229.354, 47.206, -65.436)","(808.824, 186.146, 8.628, -48.746)","(806.536, 146.837, -4.642, -8.062)","(807.434, 96.561, -9.326, -32.069)","(796.124, 68.728, -13.062, 31.544)","(780.963, 55.103, -8.955, -24.858)","(726.145, 54.884, -51.21, 31.716)","(671.568, 64.588, -76.175, 40.659)","(629.219, 63.86, -93.347, 2.43)","(586.821, 66.723, 13.288, -3.927)","(546.51, 63.875, -18.162, 2.077)","(496.334, 59.864, -28.364, -34.697)","(449.008, 63.741, -88.368, -15.251)","(400.108, 68.613, -55.765, 48.069)","(361.386, 68.155, -49.285, 56.58)","(320.751, 67.251, -62.194, -51.476)","(279.995, 73.836, -91.056, 42.281)","(243.946, 74.243, 5.25, 25.306)","(204.595, 77.168, -64.796, 33.643)","(169.231, 79.204, -35.452, 48.647)","(132.354, 90.06, -3.245, 76.623)","(118.512, 131.132, 33.335, 24.445)","(110.111, 185.431, -3.29, 103.606)","(106.772, 233.735, 16.665, 56.074)"
7,"(390.982, 166.253, 38.366, 3.308)","(418.533, 166.754, 7.043, 37.236)","(440.307, 170.295, 2.603, 25.656)","(469.617, 183.85, 101.154, 64.38)","(514.531, 182.837, 42.848, -42.362)","(556.807, 185.26, 92.155, 26.85)","(594.678, 172.193, -12.506, -70.061)","(608.403, 166.038, -24.083, -32.692)","(624.308, 166.059, 8.079, -67.79)","(643.206, 166.055, 40.618, -26.409)","(647.496, 166.583, -0.408, -6.448)","(653.821, 166.083, 47.212, -64.386)","(658.422, 166.344, 55.389, -0.535)","(663.269, 171.18, 4.364, -14.356)","(684.359, 190.841, 2.074, -43.991)","(713.062, 190.763, -33.973, 24.537)","(726.986, 194.774, 73.086, 13.581)","(735.006, 186.885, 33.598, -48.869)","(743.531, 188.024, -23.552, -8.376)","(757.197, 188.187, -11.69, 44.509)","(775.379, 184.799, -24.27, -26.602)","(780.674, 142.323, 31.783, -99.524)","(778.656, 107.537, 9.35, -34.712)","(750.705, 91.726, -13.525, 27.106)","(718.338, 94.502, 4.129, 5.892)","(688.369, 94.92, -34.561, -37.466)","(648.855, 91.677, -46.615, 2.039)","(610.034, 88.434, -8.322, 18.412)","(574.455, 95.664, -52.762, 9.205)"
8,"(376.384, 267.488, 31.228, -31.988)","(418.028, 271.794, 18.118, 45.723)","(451.993, 268.467, -1.093, 40.933)","(488.287, 273.165, -23.621, -8.054)","(526.976, 274.075, -21.186, -53.882)","(557.799, 274.975, -1.2, 22.683)","(590.919, 268.341, 37.333, -38.506)","(620.33, 261.864, 50.088, -3.723)","(645.481, 260.975, 8.389, -47.388)","(675.656, 256.468, 9.713, -22.715)","(706.419, 247.756, 37.474, -48.143)","(735.788, 235.871, 38.192, -31.32)","(753.431, 226.654, -8.916, -60.755)","(778.962, 208.403, 2.361, -34.202)","(788.021, 161.312, 19.566, -99.898)","(783.698, 118.853, -42.183, -78.851)","(770.715, 88.943, -8.793, -66.696)","(715.476, 90.207, 18.484, 44.885)","(689.656, 108.932, -61.485, 51.467)","(690.11, 113.478, -16.897, -19.582)","(682.717, 113.787, -14.016, -1.206)","(659.289, 99.862, 8.976, -45.603)","(615.605, 82.661, -71.227, -55.882)","(563.35, 77.666, -22.24, -34.299)","(515.411, 87.446, -34.486, 47.196)","(474.445, 92.486, -109.117, -30.103)","(435.161, 92.108, -18.774, 56.757)","(393.906, 88.521, 4.792, -27.058)","(358.5, 86.556, 9.499, 30.764)"
9,"(772.502, 203.1, -1.954, -17.842)","(782.845, 145.334, 24.629, -77.872)","(785.954, 94.062, -104.106, -25.984)","(736.753, 84.966, -26.312, 9.25)","(689.057, 79.738, -22.774, -3.551)","(637.379, 77.877, -58.175, 39.821)","(587.617, 79.124, -72.639, 1.552)","(541.231, 76.76, -69.078, 46.579)","(497.86, 74.973, -67.543, -3.77)","(451.475, 73.693, 3.974, 13.72)","(404.638, 78.956, -55.934, -21.461)","(362.463, 78.46, -85.149, -20.872)","(317.454, 81.539, -69.598, 33.86)","(275.128, 82.91, -5.541, -33.463)","(226.647, 80.614, -50.269, 36.057)","(190.177, 83.211, -71.479, 23.945)","(146.393, 78.183, -53.155, 67.222)","(122.725, 119.022, 32.832, 86.939)","(104.119, 166.086, 14.747, 25.825)","(97.071, 210.493, -34.523, 16.312)","(88.13, 260.305, 32.548, 91.163)","(79.027, 306.468, -30.744, 84.928)","(74.314, 351.25, 0.45, 23.654)","(44.168, 367.568, -96.164, 6.759)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
