,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
50,"(269.37, 372.792, 34.419, -2.399)","(301.845, 367.317, 15.291, -13.083)","(333.06, 361.092, 33.618, -7.505)","(360.944, 353.534, 32.289, -5.054)","(389.558, 344.911, 11.41, -10.774)","(416.79, 333.894, 16.824, -12.696)","(445.472, 322.224, 21.263, 3.542)","(472.907, 312.547, 33.906, -22.43)","(500.535, 301.961, 33.554, 5.73)","(528.927, 291.936, 24.831, -12.298)","(559.293, 283.214, 22.384, -10.678)","(583.72, 274.882, 14.126, -0.906)","(615.631, 268.431, 23.905, -6.667)","(648.233, 264.246, 17.738, 15.968)","(674.99, 263.234, 11.884, -16.28)","(695.709, 260.619, 13.014, -3.677)","(718.025, 257.832, 7.424, 0.989)","(738.252, 256.948, 5.569, 0.11)","(756.943, 252.247, 17.05, -20.042)","(769.565, 245.234, 18.161, -3.622)","(781.299, 235.571, 9.405, -7.06)","(791.022, 220.308, 5.373, -12.343)","(799.372, 195.127, -12.975, -40.736)","(795.123, 175.561, -13.654, -27.809)","(790.617, 149.663, -3.271, -40.312)","(794.428, 120.461, 1.247, -31.636)","(785.535, 98.581, -33.058, -15.411)","(754.172, 105.575, -12.152, -1.029)","(739.919, 113.98, -24.145, 3.224)"
51,"(383.422, 447.81, 40.595, -7.526)","(417.81, 446.276, 21.885, -8.837)","(451.013, 445.121, 34.722, -9.625)","(484.771, 445.27, 34.304, 5.151)","(517.809, 447.256, 35.128, 1.301)","(543.704, 449.095, 49.102, -3.79)","(574.646, 451.82, 16.853, -1.233)","(603.665, 454.066, 32.425, 8.614)","(630.53, 458.045, 26.523, -10.86)","(652.827, 464.765, 16.884, 12.887)","(678.116, 471.288, 38.391, 22.546)","(703.818, 477.666, 17.482, 11.13)","(725.731, 487.835, 12.715, 11.782)","(741.557, 503.16, 7.764, -2.094)","(760.982, 515.847, 7.174, 16.277)","(779.819, 531.511, 28.933, 27.173)","(791.441, 567.947, -1.014, 60.78)","(797.045, 608.509, -6.882, 15.522)","(806.092, 636.579, 14.476, 24.317)","(802.558, 659.189, -37.233, -11.906)","(759.362, 669.384, -42.424, 15.256)","(715.598, 683.111, -53.548, 5.705)","(669.62, 682.227, -46.437, 8.941)","(628.851, 679.799, -28.825, -16.944)","(593.257, 678.38, -41.195, 15.691)","(555.551, 682.051, -49.87, 13.894)","(515.915, 685.357, -37.161, 11.856)","(473.134, 684.463, -42.018, 12.24)","(431.946, 681.344, -29.322, 10.776)"
52,"(549.717, 571.002, 46.922, 9.767)","(595.797, 580.355, 54.347, 25.216)","(629.612, 583.84, 38.186, -3.522)","(643.328, 583.827, 35.349, -4.885)","(662.661, 583.92, 54.348, -0.505)","(699.466, 583.916, 47.639, 2.835)","(726.91, 583.589, 21.315, -12.634)","(750.451, 583.706, 9.32, -3.685)","(761.977, 578.234, 14.958, -24.354)","(781.411, 577.077, 4.809, 16.176)","(783.212, 589.725, -16.772, 22.668)","(778.952, 631.36, -8.652, 41.518)","(764.626, 657.997, -37.667, 17.003)","(724.77, 660.198, -53.876, -0.949)","(691.939, 658.558, -38.098, -13.976)","(658.439, 655.146, -27.55, -19.206)","(626.349, 647.265, -24.873, -19.094)","(588.865, 639.662, -30.948, -1.114)","(559.546, 636.242, -40.241, -12.021)","(529.643, 636.191, -45.281, -4.601)","(499.458, 636.551, -49.681, 7.442)","(464.901, 636.464, -36.67, 9.865)","(429.172, 636.895, -48.822, 9.853)","(395.147, 636.526, -46.188, 6.555)","(351.263, 636.769, -38.629, -11.047)","(306.856, 640.475, -47.163, 14.942)","(266.103, 646.841, -41.076, 7.244)","(228.299, 655.418, -39.822, 22.013)","(190.577, 660.014, -48.158, -1.441)"
53,"(516.164, 500.514, 26.015, -1.791)","(541.167, 496.747, 22.713, -3.192)","(569.999, 494.624, 28.737, -6.218)","(598.644, 491.736, 23.514, 5.182)","(624.191, 496.337, 20.109, 1.27)","(641.303, 502.81, 16.292, 11.729)","(663.427, 513.335, 24.76, 17.54)","(688.431, 524.092, 27.465, 12.136)","(707.868, 531.167, 23.322, -5.083)","(734.892, 538.632, 29.387, 1.105)","(761.053, 546.23, 26.117, 6.338)","(778.002, 573.059, 14.534, 39.524)","(778.521, 614.105, -8.483, 25.921)","(769.93, 637.664, -11.622, 16.173)","(757.064, 652.413, -12.34, 5.738)","(742.483, 649.264, -17.698, -18.831)","(740.05, 636.065, -1.734, -6.092)","(740.877, 636.008, 8.47, 0.357)","(743.871, 636.055, -1.88, -4.717)","(742.425, 636.013, 0.652, -6.84)","(741.454, 636.476, 0.191, -3.073)","(735.723, 636.012, -2.298, -3.918)","(736.395, 636.388, -0.822, 4.799)","(736.313, 640.403, -11.92, -2.263)","(728.952, 636.037, 13.29, -18.292)","(751.276, 642.092, 8.584, 21.047)","(766.82, 657.434, 11.712, 17.562)","(743.606, 662.016, -36.711, 1.716)","(704.387, 652.244, -50.433, -26.838)"
54,"(456.191, 238.527, 18.226, 3.321)","(480.048, 240.476, 32.802, 5.989)","(507.174, 239.714, 29.607, -0.524)","(534.512, 235.564, 30.297, -4.97)","(561.517, 230.389, 24.252, -6.375)","(585.807, 227.232, 25.774, -3.953)","(606.327, 221.485, 23.625, -9.112)","(635.668, 212.44, 26.711, -8.594)","(665.0, 205.093, 31.111, -8.325)","(684.505, 193.114, 19.507, -15.453)","(700.463, 177.25, 9.587, -21.408)","(705.85, 166.052, 9.817, -23.663)","(705.85, 166.052, 9.817, -23.663)","(705.85, 166.052, 9.817, -23.663)","(705.85, 166.052, 9.817, -23.663)","(706.829, 166.006, 58.722, -2.772)","(706.829, 166.006, 58.722, -2.772)","(706.829, 166.006, 58.722, -2.772)","(706.829, 166.006, 58.722, -2.772)","(706.829, 166.006, 58.722, -2.772)","(711.323, 166.917, 6.801, 7.352)","(716.037, 171.278, 4.123, 5.743)","(714.865, 173.16, -4.841, 0.095)","(712.658, 177.498, -1.984, 11.505)","(714.648, 187.211, -0.473, 9.787)","(717.776, 188.657, 0.941, -0.856)","(730.383, 193.807, 16.016, 15.137)","(744.792, 198.785, 8.45, 6.382)","(765.956, 206.88, 2.43, 9.227)"
55,"(614.506, 534.188, 45.237, 5.803)","(651.801, 539.712, 32.349, 2.529)","(683.651, 545.306, 34.315, 9.279)","(710.434, 548.101, 22.754, 2.28)","(737.245, 552.956, 28.346, 2.93)","(762.43, 555.515, 25.037, 3.516)","(777.218, 579.726, 8.244, 38.327)","(785.584, 615.449, 14.51, 30.495)","(794.818, 649.23, 7.035, 36.211)","(788.759, 663.533, -6.515, 4.295)","(774.176, 669.983, -22.732, 11.4)","(743.482, 683.547, -36.261, 12.038)","(706.971, 687.179, -30.996, 3.548)","(682.188, 686.725, -23.089, -0.78)","(657.836, 683.048, -23.904, -5.858)","(631.005, 681.852, -24.113, 1.133)","(604.002, 681.709, -28.458, -1.692)","(572.901, 681.723, -32.152, 3.703)","(543.909, 681.37, -31.996, -3.356)","(513.208, 680.283, -32.78, 3.352)","(482.008, 679.407, -30.49, 0.201)","(451.38, 679.95, -33.649, -1.422)","(421.358, 680.523, -26.554, -2.11)","(392.919, 681.403, -26.215, 4.287)","(366.259, 682.314, -26.8, 1.005)","(340.824, 681.321, -27.18, -3.741)","(310.653, 679.868, -47.079, 0.526)","(268.995, 679.04, -37.36, -17.477)","(231.262, 676.45, -23.557, -15.39)"
56,"(553.806, 506.795, 28.46, -11.314)","(581.608, 502.945, 28.485, -5.202)","(610.506, 500.514, 26.948, -2.237)","(639.447, 499.114, 28.152, 1.84)","(663.841, 505.76, 32.771, 2.384)","(693.156, 509.296, 33.434, 8.449)","(711.001, 517.171, 7.086, -5.793)","(731.893, 511.683, 30.369, -0.44)","(757.704, 522.222, 10.954, 10.3)","(780.272, 532.139, 21.069, 16.022)","(797.399, 545.444, 15.823, 10.997)","(809.326, 565.724, 6.203, 9.57)","(804.714, 589.693, -13.389, 39.483)","(806.886, 632.247, 9.947, 46.447)","(817.919, 663.493, 8.975, 20.918)","(818.106, 673.853, -0.5, 6.554)","(814.096, 680.592, -6.235, 1.815)","(808.553, 683.037, -7.027, 5.373)","(810.078, 683.242, -0.539, -2.5)","(804.915, 685.02, -1.058, 2.882)","(806.494, 683.947, 1.196, -5.557)","(806.269, 678.982, -6.256, 0.495)","(796.778, 688.796, -12.199, 11.958)","(775.149, 695.913, -28.155, -2.679)","(747.689, 691.602, -27.302, -3.263)","(719.215, 685.824, -34.929, -7.087)","(688.561, 677.109, -30.442, -11.399)","(660.503, 669.699, -33.048, -7.45)","(629.867, 663.875, -31.857, -5.514)"
57,"(689.002, 297.498, 21.036, -25.854)","(708.487, 280.7, 15.266, -19.23)","(729.814, 267.688, 21.272, -10.74)","(750.102, 250.255, 17.519, -11.735)","(763.191, 229.621, 11.419, -36.193)","(776.416, 204.885, 5.894, -38.371)","(787.057, 172.655, 0.707, -53.229)","(780.558, 129.084, -10.418, -44.7)","(775.257, 95.113, -30.983, -27.411)","(759.318, 78.262, -4.365, -20.399)","(763.953, 63.87, -6.45, 3.462)","(746.237, 70.825, -25.661, 21.009)","(733.538, 77.603, -3.285, -11.243)","(729.105, 74.079, -11.82, -2.241)","(727.507, 78.972, -5.688, 0.811)","(715.323, 78.143, -20.904, -5.962)","(694.687, 80.956, -13.974, 18.678)","(690.481, 96.275, -10.668, 23.52)","(686.349, 113.746, -6.46, 24.611)","(686.349, 113.746, -6.46, 24.611)","(686.349, 113.746, -6.46, 24.611)","(686.569, 113.997, 13.176, 15.06)","(686.569, 113.997, 13.176, 15.06)","(686.569, 113.997, 13.176, 15.06)","(686.569, 113.997, 13.176, 15.06)","(686.569, 113.997, 13.176, 15.06)","(686.569, 113.997, 13.176, 15.06)","(680.756, 113.813, -18.685, -1.131)","(678.665, 113.998, -13.299, 1.824)"
58,"(687.228, 492.421, 20.606, -0.066)","(707.101, 495.515, 19.709, 6.089)","(727.856, 499.66, 22.117, 6.664)","(748.86, 505.613, 20.102, 9.845)","(772.411, 515.875, 23.085, 13.858)","(792.252, 528.84, 14.42, 16.534)","(808.925, 544.365, 11.78, 19.984)","(822.375, 559.512, 14.207, 11.756)","(832.534, 567.537, 7.338, 9.593)","(841.495, 575.316, 13.775, 8.508)","(847.515, 583.882, 5.382, 12.723)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)","(847.508, 583.994, -0.452, 6.72)"
59,"(758.556, 283.158, 32.55, -28.569)","(790.434, 256.804, 26.955, -26.788)","(811.446, 232.354, 16.878, -21.916)","(823.583, 217.675, 9.519, -10.886)","(830.333, 209.255, 5.866, 1.191)","(831.022, 201.315, -3.894, -6.549)","(832.977, 201.886, 1.77, 0.532)","(836.722, 201.859, 0.77, 8.403)","(836.02, 204.187, -4.655, 5.056)","(834.953, 202.56, -0.794, 6.462)","(834.401, 207.198, 1.131, 3.588)","(835.184, 207.147, 2.844, 2.564)","(837.882, 207.462, 7.822, -9.028)","(837.995, 208.826, 0.64, 5.352)","(837.436, 210.858, -2.627, -3.204)","(836.784, 213.506, -10.209, 6.183)","(834.132, 213.722, -0.46, -2.388)","(832.305, 212.658, -0.435, 6.604)","(833.38, 216.461, -1.041, 9.437)","(831.52, 215.53, -4.77, -2.019)","(829.848, 214.115, -0.548, -3.279)","(825.827, 211.5, 0.808, -6.775)","(824.45, 211.223, -4.942, -3.568)","(819.473, 208.89, -7.245, -5.57)","(815.412, 208.025, -7.27, -0.591)","(811.336, 200.473, 11.511, -25.556)","(818.461, 183.751, 4.202, -9.328)","(826.189, 176.222, 9.926, -14.626)","(832.452, 166.12, 5.829, -17.218)"
