,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,"(446.039, 421.545, None, None)","(426.996, 422.497, None, None)","(402.24, 423.735, None, None)","(376.267, 397.492, None, None)","(366.964, 408.353, None, None)","(396.248, 440.518, None, None)","(453.298, 439.379, None, None)","(510.428, 436.565, None, None)","(565.83, 446.526, None, None)","(620.156, 464.428, None, None)","(674.482, 482.33, None, None)","(718.849, 496.95, None, None)","(744.858, 503.671, None, None)","(778.524, 544.445, None, None)","(796.152, 581.084, None, None)","(811.853, 625.792, None, None)","(782.582, 667.285, None, None)","(728.209, 660.961, None, None)","(678.355, 660.083, None, None)","(621.476, 662.658, None, None)","(564.414, 660.836, None, None)","(507.218, 661.122, None, None)","(450.041, 662.611, None, None)","(392.876, 661.744, None, None)","(335.777, 661.909, None, None)","(278.744, 664.658, None, None)","(221.74, 661.483, None, None)","(173.966, 651.31, None, None)","(171.141, 651.0, None, None)","(143.091, 627.699, None, None)","(132.501, 571.515, None, None)","(122.585, 515.181, None, None)","(112.669, 458.847, None, None)","(92.545, 408.679, None, None)","(44.194, 380.204, None, None)"
1,"(261.234, 556.694, 19.869, 6.059)","(287.898, 555.984, 25.281, -3.844)","(319.348, 555.619, 30.755, -1.08)","(348.875, 554.121, 19.498, -3.917)","(383.611, 553.312, 34.097, 2.537)","(416.902, 553.423, 22.796, 0.453)","(450.443, 552.333, 27.864, -2.645)","(481.931, 552.81, 19.217, -1.998)","(514.278, 553.704, 39.307, 13.767)","(545.382, 553.459, 34.557, -16.898)","(579.024, 552.563, 39.301, -15.417)","(610.718, 552.264, 36.454, 14.381)","(639.801, 552.815, 25.499, -14.494)","(665.869, 552.443, 12.791, -13.316)","(688.538, 552.147, 34.07, 0.115)","(710.445, 552.551, 12.63, 4.053)","(726.958, 550.942, 15.554, -10.233)","(740.56, 543.333, 18.183, 6.543)","(764.44, 538.959, 26.477, -11.444)","(772.102, 557.701, 9.677, 25.771)","(771.674, 578.823, 1.963, 6.435)","(776.676, 599.955, 6.767, 32.868)","(786.577, 621.857, -4.116, 27.565)","(795.447, 650.523, -16.57, 48.237)","(770.335, 650.988, -14.32, -4.949)","(742.85, 648.168, -19.722, 7.246)","(718.636, 650.779, -26.864, -2.924)","(697.629, 654.445, -36.792, -0.472)","(676.432, 659.37, -11.483, 6.358)","(650.393, 664.707, -13.841, -9.018)","(620.057, 673.553, -25.453, 23.454)","(581.975, 677.13, -26.847, 1.07)","(541.635, 677.568, -35.553, -7.668)","(501.428, 674.874, -36.683, -6.267)","(464.692, 675.973, -36.693, 13.907)"
2,"(314.966, 220.774, 50.256, 0.079)","(348.26, 215.687, 32.167, -12.634)","(381.818, 209.857, 39.084, -16.64)","(414.897, 202.347, 39.231, -21.458)","(447.444, 197.672, 22.709, -2.259)","(486.176, 198.845, 44.153, -6.994)","(526.641, 191.857, 49.695, -21.486)","(558.592, 186.668, 18.833, 4.708)","(580.112, 181.727, 27.886, -10.038)","(602.008, 180.946, 13.651, 17.006)","(634.047, 189.958, 49.062, -14.575)","(667.994, 190.074, 37.056, -9.975)","(703.985, 191.868, 42.639, -5.534)","(724.23, 197.122, 23.984, 2.484)","(738.799, 195.102, -19.146, 7.043)","(754.328, 198.287, 42.044, 12.643)","(769.271, 205.374, 34.364, 2.682)","(774.962, 192.344, 27.84, -40.208)","(786.5, 162.033, 0.064, -29.883)","(796.786, 129.952, 26.988, -25.331)","(793.841, 100.348, -9.787, -34.021)","(786.967, 94.779, -11.314, -17.093)","(754.979, 76.62, -16.245, -8.606)","(717.798, 78.048, -33.629, -1.46)","(680.346, 81.53, -50.678, 16.043)","(641.972, 85.58, -34.008, -11.123)","(608.48, 85.642, -17.184, -0.57)","(567.397, 88.706, -41.641, 29.841)","(527.978, 99.394, -42.935, 12.752)","(487.855, 100.384, -44.998, -13.498)","(449.827, 100.767, -46.415, -0.491)","(414.236, 101.349, -30.219, 5.277)","(380.973, 99.497, -17.017, -16.795)","(345.477, 98.444, -39.893, 9.755)","(313.914, 95.896, -28.339, -4.458)"
3,"(735.402, 388.517, 32.666, -48.699)","(759.287, 350.856, 9.681, -46.339)","(783.392, 315.5, 15.962, -33.738)","(800.491, 281.325, 4.798, -40.804)","(815.03, 263.691, 20.952, -20.276)","(817.218, 245.253, 11.715, -13.634)","(817.789, 232.117, -17.905, -13.137)","(817.238, 222.624, 7.448, -30.115)","(816.803, 211.674, -6.275, 2.369)","(808.464, 207.959, 7.58, -22.847)","(810.725, 177.838, 0.729, -47.988)","(823.998, 142.731, 8.91, -28.328)","(823.998, 142.731, 8.91, -28.328)","(823.998, 142.731, 8.91, -28.328)","(823.998, 142.731, 8.91, -28.328)","(823.845, 138.934, -1.946, -26.378)","(813.952, 116.939, -18.297, -46.405)","(818.326, 88.401, -6.791, -35.208)","(814.853, 73.148, -12.993, -15.921)","(809.637, 63.98, -20.929, -0.892)","(798.721, 62.202, -13.207, 8.537)","(776.458, 49.866, -54.005, -4.941)","(735.316, 47.813, -41.325, -8.18)","(700.81, 52.481, -17.523, 21.441)","(664.114, 55.491, -43.766, 17.029)","(626.132, 57.176, -41.626, -4.51)","(588.318, 59.88, -48.036, -1.964)","(545.985, 63.422, -52.617, 7.778)","(507.747, 65.836, -49.705, -12.501)","(471.464, 69.93, -46.516, 17.954)","(432.828, 73.077, -37.444, 8.915)","(392.443, 74.573, -28.039, 12.747)","(351.533, 77.789, -40.139, 7.226)","(310.228, 77.842, -45.681, -16.25)","(278.39, 80.251, -0.625, 16.751)"
4,"(413.527, 565.194, 35.252, -12.23)","(444.961, 565.204, 21.644, 2.086)","(481.885, 564.605, 26.038, -3.606)","(518.578, 563.519, 45.579, 8.259)","(553.758, 562.296, 35.382, 3.058)","(588.511, 562.862, 45.434, -7.055)","(617.619, 567.515, 21.292, 12.251)","(645.758, 558.986, 46.869, 1.043)","(686.67, 555.671, 46.919, -10.144)","(719.03, 562.59, 24.884, 0.794)","(745.1, 566.497, 29.837, -6.626)","(766.936, 566.746, -0.501, 3.685)","(774.313, 570.499, 5.941, 59.006)","(778.104, 611.31, 14.342, 36.884)","(773.315, 641.904, -2.582, 11.73)","(765.001, 659.233, -41.291, -16.005)","(722.713, 646.449, -48.883, -17.838)","(701.735, 636.011, -24.228, -2.287)","(701.735, 636.011, -24.228, -2.287)","(701.735, 636.011, -24.228, -2.287)","(701.735, 636.011, -24.228, -2.287)","(701.735, 636.011, -24.228, -2.287)","(694.543, 636.048, -44.006, 0.208)","(693.923, 636.024, -37.206, -1.452)","(693.923, 636.024, -37.206, -1.452)","(690.536, 636.02, -40.386, -0.738)","(676.312, 636.095, -46.873, 0.027)","(661.785, 636.005, -49.99, -10.281)","(640.691, 636.194, -28.212, 6.891)","(622.974, 636.18, -50.692, 2.722)","(611.127, 636.14, -33.499, 1.707)","(600.873, 636.094, -47.806, -2.179)","(577.116, 637.06, -20.868, 9.278)","(546.155, 637.614, -43.619, 1.974)","(515.51, 640.334, -18.399, 4.732)"
5,"(450.874, 374.54, 27.194, 0.786)","(492.05, 365.2, 28.165, -21.512)","(524.695, 353.156, 17.382, -23.625)","(558.037, 337.965, 39.335, -18.445)","(590.159, 320.946, 41.43, -3.128)","(620.227, 305.904, 44.053, -15.781)","(650.178, 293.027, 22.053, -15.752)","(679.002, 281.231, 40.331, 12.193)","(706.596, 272.516, 7.587, -21.883)","(735.475, 264.759, 37.303, -9.657)","(755.42, 255.316, 4.073, 4.179)","(770.649, 244.257, 29.098, -15.029)","(788.241, 234.925, 13.798, 13.831)","(792.117, 217.457, -3.811, 10.417)","(806.059, 188.16, 22.637, -34.419)","(823.89, 157.777, 2.112, -34.293)","(823.977, 156.948, 0.315, -31.366)","(823.977, 156.948, 0.315, -31.366)","(823.977, 156.948, 0.315, -31.366)","(823.977, 156.948, 0.315, -31.366)","(823.937, 152.483, 0.631, -12.175)","(823.227, 138.227, -16.523, -31.847)","(812.513, 117.374, -14.097, -12.266)","(814.29, 87.805, -11.89, -33.332)","(807.836, 74.077, -23.119, 7.496)","(783.897, 57.119, -32.261, -10.345)","(747.222, 51.49, -28.278, -13.537)","(712.824, 56.687, -26.497, 14.805)","(671.467, 56.765, -44.597, -6.307)","(631.635, 56.814, -44.391, 17.731)","(594.104, 55.551, -36.019, -10.351)","(556.643, 53.816, -41.59, -7.407)","(520.2, 57.156, -20.808, -10.139)","(481.594, 58.609, -47.435, 11.79)","(442.511, 60.103, -29.149, 0.663)"
6,"(558.595, 226.447, 48.914, 5.36)","(594.571, 219.699, 40.748, -7.347)","(633.791, 210.972, 53.411, -26.06)","(667.405, 200.725, 16.79, 11.877)","(702.551, 195.916, 36.537, 10.754)","(723.003, 185.21, 14.929, -15.551)","(747.652, 187.861, 17.645, -1.853)","(765.051, 187.872, -0.997, 7.937)","(777.721, 166.04, 33.032, -41.381)","(782.356, 125.2, 5.666, -45.989)","(782.09, 93.111, -22.281, -17.057)","(734.403, 85.006, -45.898, -11.063)","(691.676, 92.117, -59.208, 5.666)","(650.504, 96.559, -36.48, -7.036)","(620.348, 105.944, -23.194, 27.944)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.14, 113.973, 4.806, 8.866)","(608.053, 113.997, -5.22, 1.425)","(608.053, 113.997, -5.22, 1.425)","(608.053, 113.997, -5.22, 1.425)","(599.192, 113.987, -21.777, 1.878)"
7,"(348.806, 204.71, 66.536, 3.131)","(394.67, 201.031, 26.488, 2.24)","(434.459, 197.822, 52.437, 11.194)","(479.083, 198.22, 40.427, -5.195)","(518.607, 191.775, 47.541, -6.707)","(550.362, 182.309, 36.344, -19.005)","(581.958, 176.449, 30.772, -13.788)","(603.107, 177.347, 8.774, 2.773)","(638.841, 189.037, 41.642, 1.475)","(668.029, 192.33, 21.238, -9.536)","(701.352, 199.923, 12.829, -14.071)","(726.43, 196.757, 39.11, -8.221)","(750.044, 191.284, 1.394, -16.423)","(756.67, 187.411, -2.433, -8.116)","(768.011, 186.606, 3.374, 16.497)","(780.219, 172.454, 6.439, -22.567)","(774.021, 124.928, -24.257, -14.534)","(773.171, 97.402, 16.088, -4.508)","(747.205, 82.723, -32.691, 1.037)","(708.632, 94.549, -28.875, 27.124)","(670.871, 98.264, -45.426, 3.712)","(637.875, 97.162, -28.234, -22.501)","(602.261, 88.137, -39.067, -1.888)","(559.099, 93.023, -33.15, 26.764)","(521.105, 102.959, -46.298, 21.286)","(478.055, 104.456, -38.732, 2.048)","(440.937, 103.291, -22.501, 7.937)","(401.346, 102.287, -31.053, -8.696)","(363.411, 102.324, -44.342, -12.098)","(323.706, 101.677, -51.959, -13.254)","(289.216, 101.703, -44.387, 10.483)","(253.667, 100.289, -25.775, -9.833)","(227.023, 99.201, -32.504, 9.716)","(210.624, 97.017, -29.73, -7.057)","(189.645, 98.92, -59.288, 10.805)"
8,"(350.768, 411.202, 44.813, -21.746)","(382.337, 392.33, 28.962, -26.516)","(412.599, 369.762, 37.533, -14.754)","(442.677, 356.382, 48.139, 4.02)","(474.644, 344.068, 37.985, -22.434)","(509.523, 333.074, 36.168, -15.188)","(543.652, 321.617, 44.383, -24.125)","(576.13, 309.996, 37.811, -21.214)","(608.493, 297.831, 25.811, -18.224)","(639.374, 284.726, 32.022, -0.376)","(670.878, 270.216, 49.197, -27.381)","(695.247, 254.431, 24.509, -11.479)","(726.338, 240.219, 19.682, -33.701)","(751.118, 231.697, 14.507, -16.416)","(767.632, 228.984, 13.659, 13.404)","(783.8, 207.063, 39.277, -32.091)","(783.078, 174.416, -12.251, -40.924)","(789.925, 137.879, 14.09, -53.128)","(792.026, 103.558, -3.852, -45.685)","(763.247, 95.018, -44.92, 10.431)","(723.131, 103.469, -38.503, 17.471)","(708.288, 113.929, -5.444, 4.326)","(708.288, 113.929, -5.444, 4.326)","(708.288, 113.929, -5.444, 4.326)","(707.471, 113.977, -49.016, 2.885)","(707.471, 113.977, -49.016, 2.885)","(707.471, 113.977, -49.016, 2.885)","(707.471, 113.977, -49.016, 2.885)","(707.471, 113.977, -49.016, 2.885)","(707.471, 113.977, -49.016, 2.885)","(707.471, 113.977, -49.016, 2.885)","(707.501, 113.998, 1.822, 1.227)","(707.501, 113.998, 1.822, 1.227)","(707.501, 113.998, 1.822, 1.227)","(706.536, 113.99, -21.293, -0.42)"
9,"(562.089, 562.228, 37.665, 9.271)","(606.857, 568.217, 50.776, 0.752)","(644.868, 572.211, 36.632, 8.078)","(679.894, 560.114, 38.486, -29.652)","(726.128, 559.358, 43.564, 4.842)","(757.703, 564.49, 23.085, 0.919)","(776.004, 575.111, 9.415, 60.73)","(779.642, 614.766, 8.35, 40.429)","(784.29, 641.234, 34.213, 39.781)","(768.095, 664.313, -53.402, 5.957)","(724.871, 667.957, -30.56, 8.158)","(680.173, 662.983, -27.383, -15.138)","(637.421, 662.922, -29.223, 5.841)","(598.857, 666.046, -26.411, 14.074)","(558.097, 674.963, -47.093, -1.67)","(516.401, 676.272, -49.64, -7.531)","(474.841, 671.865, -28.154, -11.452)","(434.015, 666.081, -37.147, -14.914)","(395.046, 661.044, -29.397, 6.043)","(356.673, 656.855, -46.842, -8.354)","(320.119, 655.347, -33.011, 12.981)","(278.916, 655.06, -43.854, 3.123)","(238.424, 659.217, -25.499, 11.677)","(201.414, 663.143, -24.685, 9.734)","(162.813, 663.624, -39.244, -16.103)","(133.233, 638.142, -24.682, -44.13)","(117.954, 599.589, -7.496, -37.343)","(109.126, 557.676, 5.885, -41.923)","(97.496, 519.907, -7.192, -26.87)","(86.467, 483.145, 7.896, -30.098)","(82.325, 448.897, -19.021, -49.005)","(79.983, 418.118, 14.907, -34.569)","(73.959, 394.566, -17.356, -24.313)","(30.022, 378.911, -64.385, -22.018)","(None, None, None, None)"
