,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,"(450, 375, None, None)","(454.764, 375.159, None, None)","(511.932, 377.064, None, None)","(568.057, 371.157, None, None)","(622.72, 354.312, None, None)","(677.383, 337.466, None, None)","(732.046, 320.621, None, None)","(770.492, 295.022, None, None)","(776.111, 292.629, None, None)","(818.309, 267.199, None, None)","(808.494, 275.079, None, None)","(815.393, 271.284, None, None)","(829.639, 247.77, None, None)","(816.685, 233.25, None, None)","(808.845, 192.052, None, None)","(806.079, 145.508, None, None)","(780.78, 117.637, None, None)","(754.41, 98.794, None, None)","(709.045, 94.811, None, None)","(658.435, 98.453, None, None)","(628.257, 85.489, None, None)","(601.13, 88.943, None, None)","(548.696, 89.0, None, None)","(491.496, 89.0, None, None)","(434.304, 88.056, None, None)","(377.112, 87.096, None, None)","(319.92, 86.137, None, None)","(262.728, 85.177, None, None)","(205.536, 84.217, None, None)","(157.481, 97.487, None, None)","(138.403, 114.319, None, None)","(139.984, 160.529, None, None)","(128.957, 214.592, None, None)","(124.022, 271.073, None, None)","(123.601, 328.271, None, None)","(82.502, 352.442, None, None)","(26.609, 364.604, None, None)"
1,"(423.461, 319.207, 9.854, -11.008)","(455.89, 301.635, 55.165, -16.517)","(494.919, 291.284, 52.946, -15.296)","(524.867, 284.004, 32.83, 11.857)","(557.322, 278.306, 29.808, -0.481)","(591.084, 271.97, 33.917, -17.308)","(621.338, 265.122, 25.184, 0.471)","(651.362, 257.921, 40.794, 1.953)","(678.967, 249.536, 27.889, -11.315)","(702.222, 240.084, 32.066, -12.819)","(728.366, 235.141, -8.123, -14.632)","(748.47, 231.173, 16.477, -19.61)","(770.456, 217.346, 46.162, -10.567)","(786.278, 192.71, 19.657, -34.643)","(794.551, 144.774, 3.488, -25.439)","(789.347, 101.62, -10.431, -54.371)","(751.658, 75.213, -72.499, 11.535)","(708.991, 84.77, -35.593, 11.213)","(666.983, 82.652, -48.136, -13.132)","(615.234, 89.756, -52.392, 14.367)","(576.491, 92.589, -38.819, 2.096)","(533.093, 97.667, -25.934, 3.269)","(494.398, 101.698, -31.878, 10.509)","(452.081, 102.235, -46.484, -4.958)","(409.245, 104.368, -57.112, 0.724)","(365.017, 106.054, -37.68, -3.804)","(336.42, 107.221, -6.845, -7.128)","(305.453, 101.439, -50.836, 0.146)","(269.245, 98.859, -18.904, -12.511)","(239.26, 97.33, -17.53, 11.273)","(213.36, 92.827, -25.67, -27.101)","(176.479, 97.975, -12.867, 7.189)","(143.33, 93.191, -14.05, 70.358)","(128.06, 144.233, -10.982, 40.836)","(122.322, 184.469, 2.994, 17.96)","(118.163, 219.461, -2.775, 44.515)","(115.967, 254.339, -9.89, 30.563)"
2,"(687.466, 357.121, 28.037, -30.872)","(709.88, 335.793, 26.568, -7.579)","(736.041, 314.176, 34.74, -13.359)","(759.158, 290.183, 6.854, -17.151)","(778.531, 268.452, 20.56, -18.846)","(792.447, 249.919, 24.003, -30.227)","(801.601, 229.477, -4.619, -6.349)","(811.633, 204.977, 23.904, -45.647)","(828.157, 186.48, 18.626, -22.668)","(844.279, 170.626, 25.62, -25.145)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)","(845.641, 166.016, 26.489, -26.225)"
3,"(498.791, 300.255, 17.425, -13.336)","(535.129, 285.39, 49.316, -11.617)","(570.587, 273.302, 43.513, -27.315)","(603.105, 261.563, 21.054, -12.353)","(635.199, 253.125, 21.506, -5.765)","(668.536, 243.145, 29.46, -1.746)","(698.168, 232.97, 25.567, -8.968)","(725.708, 226.438, 18.498, -10.238)","(753.774, 223.265, 21.659, -8.924)","(770.004, 219.364, 2.713, 19.625)","(776.515, 190.737, -0.195, -50.393)","(768.94, 137.34, -9.748, -50.905)","(762.232, 109.553, -8.951, -26.084)","(767.306, 88.697, -45.614, -6.604)","(718.521, 90.836, -55.996, 20.354)","(681.148, 102.927, -43.227, 16.025)","(643.688, 96.872, -60.511, -19.027)","(604.524, 94.982, -34.564, 2.555)","(555.301, 91.884, -48.804, 16.788)","(513.746, 94.752, -33.44, 16.819)","(473.214, 97.051, -48.68, 14.708)","(432.269, 97.765, -55.492, -12.051)","(394.085, 96.97, -32.5, 1.999)","(352.299, 97.861, -51.141, 1.396)","(312.052, 97.285, -54.88, 7.469)","(272.453, 96.502, -44.143, -10.873)","(236.054, 95.282, -32.219, -8.218)","(199.682, 92.515, -48.786, -4.333)","(167.566, 93.08, -8.468, -3.915)","(131.578, 103.068, -19.796, 38.773)","(116.62, 147.886, 4.305, 35.94)","(109.771, 190.652, -1.827, 25.575)","(102.502, 227.08, -7.105, 27.622)","(89.479, 261.784, -2.013, 24.186)","(89.162, 290.216, -5.493, 29.49)","(88.156, 320.36, 0.68, 23.187)","(90.365, 349.771, -22.679, 17.943)"
4,"(448.568, 568.092, 57.716, -2.809)","(495.826, 567.068, 30.431, -8.191)","(538.728, 565.733, 34.48, -8.999)","(575.47, 560.649, 42.297, -7.401)","(607.142, 553.552, 34.546, -11.952)","(646.35, 555.945, 42.984, 10.66)","(672.375, 566.017, 36.046, 22.732)","(698.871, 565.128, 28.589, -24.908)","(725.063, 555.552, 31.925, 8.904)","(747.77, 553.836, 1.588, 3.966)","(773.421, 564.969, 15.158, 56.208)","(781.148, 601.457, -4.224, 30.336)","(776.379, 627.843, -8.092, 7.167)","(783.53, 652.98, -34.861, -14.94)","(746.345, 660.355, -36.983, -4.579)","(705.912, 652.274, -31.456, -6.336)","(691.658, 641.382, -2.208, -5.846)","(688.386, 636.022, -12.667, -33.659)","(688.386, 636.022, -12.667, -33.659)","(688.386, 636.022, -12.667, -33.659)","(688.423, 636.012, 2.234, -0.58)","(688.423, 636.012, 2.234, -0.58)","(688.423, 636.012, 2.234, -0.58)","(688.423, 636.012, 2.234, -0.58)","(688.143, 636.021, -16.797, 0.565)","(678.821, 636.137, -23.818, -18.441)","(663.665, 636.117, -24.028, 5.434)","(654.088, 636.101, -32.614, 4.88)","(646.08, 636.037, -17.913, -1.146)","(645.313, 636.0, -46.01, -2.186)","(637.919, 636.053, -42.329, 1.209)","(626.9, 636.04, -25.604, 1.883)","(611.301, 636.029, -46.785, -2.357)","(589.661, 636.175, -26.633, 2.717)","(565.524, 636.205, -22.447, -6.77)","(545.109, 636.235, -42.303, 9.624)","(518.44, 636.276, -32.714, 12.951)"
5,"(301.017, 283.546, 57.624, -8.415)","(336.578, 283.277, 16.843, 12.39)","(367.506, 280.442, 34.366, 7.519)","(400.749, 278.028, 30.856, -3.527)","(435.547, 275.778, 51.827, -19.382)","(468.063, 271.206, 35.303, -5.908)","(502.414, 267.004, 15.97, -3.533)","(535.435, 263.678, 47.099, -11.513)","(566.643, 259.174, 20.345, -10.963)","(600.619, 253.989, 25.545, -19.688)","(634.201, 250.817, 35.785, 12.126)","(668.624, 249.178, 25.732, 11.53)","(699.35, 244.839, 33.933, -1.214)","(727.031, 240.863, 21.3, 12.195)","(747.557, 234.119, 26.073, -11.413)","(767.856, 225.168, 6.063, -15.91)","(787.042, 213.813, 3.966, -10.353)","(794.79, 195.809, 32.071, -33.417)","(805.139, 168.497, -8.801, -30.72)","(809.76, 146.906, 0.736, -20.39)","(808.558, 122.04, -15.468, -41.728)","(806.287, 84.773, -1.909, -26.046)","(794.819, 70.438, -38.912, -22.438)","(763.255, 57.909, -28.411, -13.116)","(720.724, 58.028, -35.884, 8.357)","(680.595, 59.812, -36.457, -3.872)","(642.582, 59.226, -27.95, 16.318)","(602.563, 59.331, -35.293, -6.694)","(562.671, 58.338, -27.645, -9.163)","(520.597, 60.745, -56.319, -1.927)","(479.425, 62.247, -46.273, 9.422)","(441.549, 63.429, -37.169, 0.815)","(402.379, 63.42, -52.53, -7.56)","(363.829, 62.617, -42.582, 13.741)","(328.434, 61.92, -44.976, -1.804)","(292.492, 62.697, -47.148, 0.89)","(258.093, 64.087, -21.31, 17.691)"
6,"(606.822, 338.027, 17.4, -39.529)","(636.928, 315.432, 50.531, -7.841)","(670.334, 297.001, 25.698, -6.359)","(699.254, 278.126, 25.673, -20.9)","(728.222, 260.735, 11.71, -16.174)","(747.865, 245.058, 28.3, -13.229)","(767.451, 230.847, 21.705, -4.41)","(785.793, 218.933, -6.702, 1.626)","(800.746, 199.141, 5.904, -19.279)","(810.841, 184.638, 2.118, -53.478)","(804.796, 138.597, -12.938, -56.539)","(804.813, 94.444, -0.364, -38.555)","(785.521, 68.996, -43.204, -39.55)","(743.844, 58.882, -40.547, 1.493)","(699.226, 59.92, -37.614, 2.833)","(657.02, 62.611, -30.781, -1.075)","(617.405, 64.915, -54.213, 17.299)","(574.373, 62.523, -44.665, 0.112)","(531.482, 63.205, -32.786, 9.192)","(488.457, 62.757, -36.686, -0.052)","(449.837, 62.374, -37.806, -4.022)","(410.574, 62.916, -30.305, 17.179)","(370.928, 64.112, -51.48, -9.031)","(332.202, 64.925, -49.556, 0.451)","(293.345, 65.014, -36.713, 9.425)","(256.21, 64.966, -37.036, -7.234)","(218.26, 70.171, -28.587, -1.206)","(181.456, 65.11, -40.311, 6.384)","(139.669, 74.724, -52.549, 27.258)","(99.548, 106.078, -17.949, 31.73)","(76.577, 138.734, -12.25, 39.188)","(68.343, 177.567, 6.842, 44.684)","(63.959, 213.905, -10.877, 39.064)","(60.94, 246.686, 12.062, 46.383)","(59.991, 280.146, 9.303, 49.917)","(60.048, 311.787, -19.729, 29.754)","(63.532, 335.545, 16.612, 26.995)"
7,"(494.662, 335.802, 45.999, 1.796)","(529.807, 329.817, 19.112, -18.956)","(562.183, 323.456, 18.605, 0.94)","(595.01, 316.35, 26.342, -1.484)","(630.745, 301.261, 25.043, -8.654)","(662.861, 287.841, 38.781, -10.428)","(691.832, 278.264, 26.53, -9.976)","(716.638, 268.704, 29.889, -10.869)","(739.682, 255.05, 8.231, 0.173)","(752.862, 242.699, 17.704, 3.369)","(765.434, 231.362, 12.953, -4.21)","(783.962, 220.072, -0.092, -6.139)","(795.184, 197.812, 23.882, -37.502)","(803.566, 161.404, -14.36, -53.372)","(802.544, 119.736, 22.789, -27.174)","(805.316, 84.265, -18.558, -11.692)","(789.253, 59.638, -25.161, -8.309)","(751.912, 50.497, -38.367, -0.616)","(712.283, 52.175, -34.699, 4.995)","(673.547, 55.884, -44.186, 14.022)","(628.92, 53.85, -54.149, -4.248)","(583.143, 57.606, -31.276, 2.21)","(537.577, 56.911, -29.947, 4.865)","(495.611, 56.969, -48.055, 13.674)","(459.597, 60.574, -49.4, 15.814)","(421.98, 66.997, -26.636, 10.614)","(381.496, 71.972, -26.042, -4.613)","(344.133, 71.794, -42.873, 0.1)","(307.733, 71.446, -50.946, -10.304)","(270.447, 75.107, -39.75, 11.898)","(237.713, 76.156, -19.421, 4.039)","(202.276, 78.694, -38.096, -5.03)","(170.082, 75.33, -33.035, -19.443)","(133.443, 88.506, -28.176, 33.032)","(116.245, 129.647, -9.222, 37.602)","(111.073, 173.654, -14.3, 38.562)","(105.52, 211.835, -18.615, 24.803)"
8,"(525.797, 211.305, 45.578, -17.217)","(568.674, 202.356, 46.152, -20.123)","(609.225, 189.185, 42.513, -22.213)","(645.158, 178.492, 48.553, -19.525)","(679.014, 170.04, 24.327, -5.717)","(706.911, 166.084, 12.622, -2.768)","(724.603, 166.102, 31.998, -11.203)","(734.843, 166.379, 31.414, 11.49)","(739.981, 166.631, 2.741, 8.888)","(749.606, 168.889, -1.315, 6.777)","(746.376, 166.239, -14.679, -15.627)","(755.525, 173.742, 33.999, 16.009)","(769.556, 173.338, -4.53, -9.206)","(779.158, 178.533, 26.51, -0.031)","(786.89, 167.388, 15.116, -32.574)","(774.752, 125.092, -12.594, -34.358)","(785.383, 97.58, 22.748, -18.239)","(765.27, 87.803, 8.365, 3.476)","(733.258, 78.935, -28.838, 3.023)","(699.375, 87.293, -44.123, -6.575)","(663.27, 77.699, -45.534, 1.27)","(624.769, 82.194, -26.989, 12.206)","(589.764, 86.621, -51.685, -19.227)","(542.732, 87.908, -59.79, -2.268)","(498.528, 97.384, -43.133, -0.294)","(449.651, 100.282, -31.248, -10.543)","(406.473, 101.644, -48.758, -18.337)","(370.123, 99.381, -48.199, -1.649)","(333.436, 99.609, -18.892, -0.187)","(299.918, 99.184, -16.668, 12.737)","(267.896, 95.717, -43.862, -8.194)","(233.308, 94.62, -38.646, -0.009)","(201.611, 94.52, -27.049, -5.577)","(170.201, 95.68, -25.824, 4.268)","(138.92, 97.958, -35.101, 40.21)","(123.546, 141.456, -15.173, 29.001)","(120.752, 175.915, 6.52, 28.717)"
9,"(682.327, 516.341, 55.622, 24.281)","(720.008, 524.244, 40.016, 0.439)","(755.917, 533.033, 16.449, 13.986)","(777.683, 544.113, 2.688, 17.652)","(791.075, 582.448, 9.059, 21.177)","(800.675, 612.856, 11.821, 50.151)","(802.905, 646.81, -2.611, 25.627)","(789.115, 671.626, -26.263, 13.432)","(757.888, 693.184, -51.078, 19.554)","(713.075, 689.918, -34.338, -12.413)","(668.981, 688.227, -29.809, 0.272)","(627.694, 685.884, -30.59, 5.96)","(586.031, 683.484, -32.059, -16.008)","(540.966, 680.759, -49.399, -8.566)","(495.022, 680.573, -34.176, -8.832)","(446.46, 676.473, -45.622, -16.993)","(405.314, 670.2, -30.753, -8.473)","(363.593, 664.943, -31.394, -6.951)","(320.855, 662.676, -36.453, 6.063)","(280.533, 661.084, -40.945, -9.388)","(241.524, 661.256, -29.145, 16.727)","(202.386, 664.267, -26.729, -1.138)","(163.361, 664.434, -32.55, 7.235)","(132.434, 640.152, -32.974, -46.155)","(115.252, 601.124, -10.57, -57.462)","(101.989, 559.415, -19.488, -28.265)","(91.927, 520.464, -20.848, -48.129)","(83.516, 483.921, -24.351, -43.556)","(76.688, 448.675, -0.026, -38.397)","(74.705, 418.057, 10.114, -31.912)","(69.211, 388.911, -6.784, 1.882)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
