,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,"(450, 375, None, None)","(470.23, 369.464, None, None)","(526.378, 371.961, None, None)","(572.802, 403.89, None, None)","(617.676, 439.361, None, None)","(658.937, 478.705, None, None)","(697.435, 521.01, None, None)","(735.934, 563.315, None, None)","(774.432, 605.619, None, None)","(756.308, 627.648, None, None)","(756.308, 627.648, None, None)","(746.595, 656.131, None, None)","(692.026, 673.278, None, None)","(638.401, 676.829, None, None)","(581.221, 675.333, None, None)","(524.04, 673.837, None, None)","(466.86, 672.341, None, None)","(409.696, 670.388, None, None)","(352.557, 667.748, None, None)","(295.392, 666.04, None, None)","(238.194, 665.55, None, None)","(180.996, 665.061, None, None)","(158.29, 651.364, None, None)","(139.504, 648.106, None, None)","(126.302, 594.909, None, None)","(116.184, 538.612, None, None)","(106.066, 482.314, None, None)","(99.152, 443.843, None, None)","(65.807, 416.866, None, None)"
1,"(657.845, 328.224, -17.346, -47.524)","(678.037, 296.19, -2.875, -80.281)","(706.751, 275.541, -7.658, -16.046)","(731.506, 256.147, 87.352, -0.916)","(765.28, 231.12, 61.123, -78.009)","(790.725, 192.964, 49.964, -51.961)","(801.518, 153.27, -47.613, -2.747)","(803.488, 103.42, -31.957, -52.898)","(797.729, 70.242, -63.777, -30.534)","(759.803, 61.272, -74.154, -34.717)","(712.961, 59.957, -44.914, -6.617)","(665.11, 64.25, -42.742, 53.167)","(629.661, 64.708, -55.267, 36.774)","(590.995, 61.032, 0.304, -3.594)","(548.902, 58.941, -36.994, 40.171)","(508.041, 60.846, -10.586, -38.325)","(469.032, 61.912, -66.6, 50.757)","(426.901, 62.249, -40.906, -21.342)","(390.419, 64.386, 17.93, -12.217)","(349.276, 63.104, -83.292, -18.758)","(310.931, 57.972, -5.032, -37.47)","(271.268, 64.57, -64.929, 53.396)","(232.487, 64.81, -24.688, 5.476)","(195.006, 68.279, -51.999, 0.459)","(153.144, 70.314, -38.465, -34.946)","(112.293, 97.065, -62.739, 77.53)","(89.971, 140.26, -31.609, 82.95)","(74.021, 176.688, -19.378, -15.537)","(69.724, 210.245, -0.729, -3.818)"
2,"(578.993, 180.016, 49.635, -70.318)","(627.86, 169.963, 65.678, 10.58)","(655.723, 166.221, 10.483, -7.198)","(685.704, 168.755, 64.653, 4.651)","(713.641, 168.157, 30.947, 8.661)","(737.006, 174.416, -2.45, -38.494)","(759.169, 187.621, 47.251, -38.49)","(775.241, 167.355, 13.651, -7.652)","(783.349, 118.068, 35.622, -50.135)","(778.248, 88.983, -86.284, -60.737)","(733.491, 87.345, -94.51, 2.745)","(693.07, 95.4, -20.597, -9.309)","(658.526, 100.151, -30.828, -28.234)","(618.494, 101.127, -4.263, -3.412)","(584.455, 103.243, -58.889, -24.728)","(554.837, 97.15, -30.787, -21.576)","(510.185, 89.244, -43.767, -47.605)","(472.802, 90.382, -71.058, 30.591)","(430.027, 87.701, 8.802, -22.549)","(393.646, 84.723, -85.794, 44.043)","(350.08, 84.133, 0.369, -55.81)","(305.756, 84.511, -53.554, -7.825)","(266.655, 83.487, -27.009, -4.687)","(230.594, 80.221, -25.307, -10.0)","(189.729, 77.856, -20.477, 27.729)","(145.216, 76.44, -19.074, 38.961)","(119.365, 114.971, -14.346, 16.541)","(109.664, 159.799, 4.096, 88.511)","(116.629, 199.84, 23.919, 45.315)"
3,"(255.863, 567.079, -5.284, 32.358)","(288.714, 563.939, 87.68, -50.459)","(317.896, 562.645, 3.589, 17.851)","(349.56, 563.523, 43.418, 49.728)","(381.908, 567.591, 39.499, 36.026)","(424.818, 564.86, 84.174, -57.269)","(458.463, 566.252, 34.625, -3.468)","(494.342, 566.714, 28.623, -35.568)","(524.193, 562.554, 3.861, -13.583)","(546.908, 561.428, -15.72, -48.603)","(578.767, 559.459, 48.777, -40.265)","(597.238, 567.823, 25.982, 15.896)","(613.442, 570.517, 44.967, -22.063)","(623.575, 569.454, -1.778, 56.968)","(645.904, 563.131, -2.879, 2.683)","(676.738, 551.714, -6.858, -47.89)","(710.621, 546.853, 63.642, 56.177)","(744.052, 545.051, 37.902, -36.508)","(770.661, 546.773, 82.323, -7.232)","(779.176, 570.606, -0.017, 37.287)","(784.64, 590.951, -4.117, -24.666)","(790.225, 619.169, 49.804, 6.1)","(795.7, 653.894, 0.669, 41.138)","(769.981, 681.255, 23.771, 25.28)","(731.975, 687.538, -23.282, 22.539)","(694.045, 685.714, -48.297, 2.851)","(655.279, 692.418, -92.969, 18.563)","(608.461, 687.591, -3.408, 31.438)","(570.355, 686.512, -1.305, 36.947)"
4,"(332.01, 241.782, 52.082, -6.84)","(371.124, 242.659, 13.671, 22.857)","(408.686, 243.624, 69.609, -18.111)","(445.022, 235.022, 30.81, -44.054)","(478.474, 224.188, 29.536, 50.576)","(521.777, 218.849, 76.694, 43.61)","(558.259, 214.487, 67.068, -49.175)","(592.093, 211.749, 71.324, -0.5)","(620.381, 203.271, 39.671, -42.129)","(655.582, 202.831, 8.655, -49.0)","(680.535, 199.828, -8.192, -51.548)","(713.893, 202.951, -13.519, 46.869)","(737.007, 193.184, -10.666, -36.349)","(761.437, 200.686, 4.56, -48.575)","(775.802, 185.651, 24.229, 24.187)","(776.618, 146.384, -43.238, 8.592)","(778.611, 102.136, 37.062, -121.205)","(738.584, 83.562, -55.036, 41.4)","(694.782, 81.983, -2.732, 4.87)","(647.874, 72.329, -92.342, 32.786)","(614.152, 66.865, 8.342, -31.92)","(571.024, 60.437, -11.221, -34.045)","(530.615, 63.889, 9.185, -23.284)","(485.496, 62.069, -58.219, -1.025)","(438.891, 64.533, -74.476, 29.355)","(394.776, 68.479, -35.439, 24.892)","(352.296, 66.372, -91.353, -37.482)","(311.523, 63.251, -19.922, 22.97)","(269.369, 72.429, -20.682, 26.286)"
5,"(319.974, 384.524, -16.401, 37.743)","(353.504, 386.121, -10.876, -35.341)","(387.749, 377.883, -13.644, 35.457)","(424.357, 369.068, 59.925, -53.046)","(455.193, 357.682, 20.57, -10.565)","(493.359, 345.707, -13.0, -35.288)","(529.688, 331.135, -7.561, 21.411)","(568.716, 317.004, 56.539, -42.389)","(597.782, 307.688, -12.499, -64.092)","(625.43, 300.621, -8.885, 6.533)","(657.466, 292.329, 60.693, 22.854)","(679.45, 278.18, 24.302, 41.272)","(712.857, 270.146, 64.499, 39.63)","(725.377, 263.491, -5.796, -5.165)","(735.613, 253.189, 68.334, 39.006)","(750.029, 247.91, -47.024, 12.929)","(757.415, 237.353, 60.299, 48.484)","(767.779, 228.67, -27.498, 36.407)","(786.22, 205.138, 56.756, -54.503)","(802.898, 189.048, 8.951, 15.841)","(803.323, 178.134, -12.939, -39.05)","(814.047, 157.547, -39.489, -86.194)","(804.139, 121.389, 9.392, -61.863)","(801.502, 87.7, 6.138, 28.214)","(781.041, 68.902, 3.27, 12.634)","(742.785, 65.503, -63.38, -3.467)","(704.901, 62.885, -30.952, -53.687)","(665.027, 63.574, -42.436, 46.738)","(632.908, 64.491, -18.653, -14.391)"
6,"(243.794, 426.658, 51.333, -17.613)","(276.35, 434.415, 56.016, 52.403)","(308.68, 435.092, 25.213, 49.391)","(342.78, 441.074, 67.308, 31.381)","(371.881, 448.212, 79.274, 64.285)","(401.56, 455.274, 45.317, -2.824)","(440.395, 470.708, 8.065, 31.257)","(483.046, 483.454, 89.991, -31.592)","(519.987, 490.97, 37.96, -31.972)","(548.166, 499.409, -8.324, 40.747)","(584.996, 502.605, 41.133, 30.787)","(611.279, 507.424, -2.422, 4.462)","(646.862, 511.772, 58.425, 55.477)","(673.483, 517.04, 60.456, 41.927)","(707.709, 517.274, 60.434, -14.403)","(731.984, 517.619, -4.274, -43.812)","(750.665, 516.46, 44.173, -22.143)","(771.42, 530.927, 69.638, 26.297)","(787.389, 565.827, -20.687, 26.324)","(798.461, 590.057, -39.266, 13.78)","(794.976, 621.415, -25.111, 10.982)","(794.946, 655.858, -0.777, 22.275)","(765.5, 669.593, -67.046, -41.745)","(721.738, 671.157, -57.75, -7.153)","(694.665, 663.409, 0.998, -41.795)","(652.135, 675.101, -25.852, 20.897)","(603.317, 674.168, -70.102, -30.101)","(566.262, 661.861, -64.061, -58.797)","(531.843, 655.492, -75.042, -8.719)"
7,"(275.238, 475.765, 81.504, -11.496)","(312.088, 484.68, 28.001, 0.549)","(349.795, 489.623, 36.841, 49.871)","(383.968, 499.166, 24.086, 25.188)","(421.012, 499.056, 58.915, -48.639)","(459.349, 501.472, 34.82, 54.884)","(496.824, 503.108, 15.151, -20.761)","(534.729, 509.07, 38.55, 40.238)","(577.94, 505.141, 22.9, -20.833)","(611.228, 505.998, 59.329, 16.412)","(647.287, 508.449, 64.455, -41.562)","(677.674, 504.453, -6.947, -23.401)","(708.093, 501.418, 68.324, 24.552)","(734.711, 508.102, 75.526, -18.898)","(759.071, 520.35, 8.819, 35.733)","(780.986, 531.879, 20.262, 31.843)","(787.594, 552.333, 36.9, 54.155)","(802.754, 594.622, -8.344, 61.766)","(794.616, 634.942, -10.826, -12.443)","(795.026, 652.468, -66.322, 4.916)","(760.825, 670.648, -73.139, -13.103)","(710.882, 668.84, -6.562, -59.443)","(673.51, 658.478, 2.097, -16.086)","(626.07, 657.355, -46.244, -30.99)","(582.628, 641.695, -43.789, 28.504)","(549.211, 636.977, -52.629, 37.387)","(517.67, 636.446, 5.341, 4.018)","(493.496, 636.162, 5.738, -10.912)","(476.782, 636.016, -71.69, -43.146)"
8,"(674.803, 519.371, 29.434, -18.423)","(711.864, 537.52, 21.087, 36.615)","(749.474, 542.773, 82.928, 4.183)","(777.632, 559.06, 30.807, 34.817)","(786.985, 595.326, 45.505, 90.525)","(801.814, 637.468, 38.636, 28.867)","(785.36, 663.504, -44.216, -17.572)","(731.95, 674.072, -62.677, 10.406)","(690.806, 670.321, -91.371, -3.778)","(651.604, 663.228, -78.583, -42.251)","(603.884, 667.518, -62.549, -37.439)","(558.986, 670.809, -1.181, 28.291)","(520.555, 671.795, -44.35, -48.33)","(476.002, 668.981, -74.524, -10.46)","(435.701, 664.232, -81.335, -57.688)","(394.794, 652.993, -66.443, -40.131)","(349.403, 642.898, -86.472, -2.591)","(297.775, 639.446, -107.187, -1.939)","(246.986, 642.011, -102.19, -22.691)","(201.664, 657.351, -48.063, 30.652)","(146.929, 664.8, -15.892, -49.728)","(122.523, 616.177, -68.789, -35.871)","(110.28, 572.012, 27.426, -64.012)","(102.094, 536.764, -33.315, -10.957)","(85.848, 494.89, 36.498, -79.847)","(79.177, 450.362, -57.095, -53.35)","(75.867, 409.556, -4.736, -42.72)","(52.282, 386.005, 5.451, -19.708)","(None, None, None, None)"
9,"(510.048, 269.326, 70.735, 22.515)","(547.104, 258.948, 19.294, 18.041)","(585.546, 243.795, 83.062, -24.153)","(620.389, 235.708, 87.597, -28.759)","(656.053, 226.314, 48.411, -40.662)","(684.563, 220.575, 14.657, -7.31)","(715.421, 217.878, -19.063, -43.954)","(745.696, 204.795, -7.938, 21.118)","(774.106, 205.304, 43.89, 1.237)","(793.398, 169.637, 36.156, -23.449)","(792.625, 124.276, -20.276, -83.145)","(785.763, 96.722, -39.764, -15.926)","(739.783, 102.602, -3.261, -0.516)","(689.002, 109.871, -42.979, -27.408)","(651.708, 113.66, 12.977, -9.742)","(616.185, 113.481, -93.559, 12.847)","(590.741, 113.681, -23.799, 6.868)","(561.867, 112.309, 1.965, -47.886)","(514.543, 103.395, -15.601, -47.539)","(461.436, 100.607, -42.126, 41.952)","(408.291, 100.129, -43.624, -19.745)","(365.473, 100.85, -101.243, 34.246)","(314.792, 100.538, -93.697, -43.903)","(265.245, 98.45, -56.468, -2.524)","(223.941, 89.726, -33.521, 10.193)","(182.538, 83.484, -91.739, -1.733)","(140.055, 80.23, -72.52, 72.039)","(112.941, 117.663, -1.054, 0.116)","(98.49, 160.382, -63.998, 56.314)"
10,"(385.677, 271.227, 60.112, -57.729)","(424.763, 254.771, 9.246, 21.459)","(460.153, 243.798, 69.666, 28.728)","(498.852, 223.956, 59.505, 15.795)","(537.48, 213.575, 13.643, 17.109)","(571.134, 211.217, 54.24, 22.569)","(613.743, 201.603, 84.626, 36.122)","(651.501, 180.844, -4.628, -38.762)","(675.063, 171.75, -18.54, -37.434)","(703.647, 166.559, 60.366, 28.131)","(719.314, 166.089, 56.905, -26.249)","(735.646, 166.21, 16.516, -6.469)","(745.116, 169.213, -11.302, -15.794)","(752.393, 172.017, -22.956, 44.502)","(767.812, 176.672, 28.098, 0.475)","(781.7, 174.823, 12.769, -19.377)","(780.132, 142.275, -57.827, -8.15)","(775.114, 96.027, -74.907, 24.767)","(720.155, 92.354, -101.532, 26.475)","(675.836, 109.212, 7.421, -19.006)","(634.615, 112.572, -43.168, 27.198)","(608.114, 113.837, -67.918, 9.255)","(597.185, 113.93, -53.768, 26.338)","(573.181, 112.675, -1.32, -33.523)","(557.314, 109.096, -62.775, -49.936)","(508.551, 100.718, -80.684, -28.328)","(457.872, 95.498, -23.183, -51.175)","(415.662, 97.747, -53.497, 2.015)","(374.641, 91.865, -0.876, 38.2)"
11,"(474.524, 523.844, 11.636, -22.091)","(525.113, 520.032, 66.3, -22.034)","(579.919, 526.5, 96.479, 39.016)","(622.581, 533.16, 35.486, -2.148)","(666.515, 541.047, 15.006, 38.987)","(712.55, 552.404, -15.893, -3.152)","(747.464, 563.44, 54.638, -46.613)","(773.325, 568.687, -23.471, 60.742)","(793.665, 622.732, 9.083, 37.257)","(785.836, 667.31, 16.791, -15.447)","(748.268, 680.989, -111.604, -8.455)","(693.581, 680.627, -9.956, 23.779)","(643.843, 673.428, -81.192, -4.423)","(595.224, 675.506, -88.554, -11.266)","(543.293, 670.098, -18.886, -9.267)","(494.553, 669.774, -49.385, 12.41)","(434.506, 669.135, -84.808, 39.498)","(387.038, 660.638, -30.054, 17.39)","(339.431, 640.214, -54.655, -40.945)","(308.882, 637.457, -4.617, -27.298)","(279.033, 640.811, -2.083, -41.71)","(249.905, 654.641, -8.196, 4.349)","(219.705, 664.084, -35.952, 55.942)","(195.942, 654.271, 6.013, -49.853)","(164.762, 656.871, -37.145, 5.791)","(138.301, 637.615, 25.043, -36.64)","(136.658, 591.125, 32.869, -47.485)","(126.184, 544.268, -27.083, -43.065)","(111.842, 499.712, -44.82, -95.128)"
