,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,"(450, 375, None, None)","(450, 375, None, None)","(456.652, 375.539, None, None)","(513.664, 380.162, None, None)","(532.396, 385.91, None, None)","(568.088, 425.835, None, None)","(621.935, 425.131, None, None)","(678.857, 419.491, None, None)","(710.579, 419.94, None, None)","(753.479, 450.913, None, None)","(778.904, 497.681, None, None)","(782.367, 528.147, None, None)","(800.686, 573.184, None, None)","(801.625, 618.888, None, None)","(796.001, 661.298, None, None)","(781.544, 672.211, None, None)","(728.494, 681.422, None, None)","(682.802, 679.146, None, None)","(625.773, 675.047, None, None)","(568.793, 670.035, None, None)","(511.762, 671.983, None, None)","(454.719, 676.206, None, None)","(397.654, 672.42, None, None)","(340.458, 672.115, None, None)","(283.37, 669.242, None, None)","(226.351, 664.696, None, None)","(180.736, 661.059, None, None)","(148.479, 657.878, None, None)","(115.044, 634.53, None, None)","(123.115, 577.955, None, None)","(121.365, 521.094, None, None)","(116.126, 464.271, None, None)","(119.195, 407.361, None, None)","(103.598, 369.351, None, None)","(46.473, 372.282, None, None)"
1,"(367.259, 384.069, 26.542, -20.753)","(402.399, 369.349, 36.0, -19.868)","(434.569, 351.316, 37.57, -27.412)","(472.562, 335.456, 50.233, -12.635)","(513.449, 326.914, 38.376, 8.43)","(545.124, 318.601, 40.403, -4.303)","(575.503, 308.412, 51.31, 5.536)","(607.094, 297.731, 33.541, -7.688)","(636.364, 285.006, 23.873, -10.975)","(663.235, 273.681, 13.722, -10.249)","(689.03, 263.386, 27.304, -26.636)","(712.664, 254.789, 21.514, -6.649)","(735.106, 246.933, 23.265, 4.423)","(759.202, 238.169, 3.645, -13.87)","(782.279, 231.816, 24.161, -33.297)","(789.775, 214.229, -32.949, -7.038)","(787.771, 191.316, 1.059, -19.64)","(794.879, 155.435, 5.291, -37.607)","(791.987, 121.902, 6.457, -30.001)","(791.128, 101.476, 6.71, -21.583)","(785.196, 96.595, 2.743, -7.524)","(766.603, 94.717, -31.119, 21.355)","(719.706, 95.281, -59.36, 7.537)","(695.695, 86.418, -28.825, -23.557)","(666.139, 82.57, -40.804, -2.128)","(629.876, 90.28, -24.72, -0.286)","(592.202, 95.071, -47.573, -15.676)","(550.812, 94.217, -29.572, 10.057)","(516.045, 100.068, -30.018, 4.249)","(472.68, 98.761, -44.674, -12.914)","(432.031, 98.899, -50.214, 13.569)","(394.773, 99.816, -24.095, 13.186)","(359.765, 98.6, -39.859, 0.231)","(326.448, 98.827, -25.766, 10.697)","(293.678, 97.454, -22.517, 1.145)"
2,"(532.046, 221.402, 28.763, 7.972)","(569.357, 223.476, 52.18, -19.464)","(605.921, 214.911, 24.323, -20.234)","(639.21, 203.368, 26.371, 3.675)","(667.188, 196.356, 16.553, 8.772)","(696.248, 196.856, 16.565, -14.849)","(723.26, 186.796, 24.765, -17.427)","(747.964, 186.762, 43.201, -14.096)","(767.926, 190.655, 53.85, 14.418)","(780.681, 156.556, 1.464, -72.889)","(778.308, 117.595, -11.499, -22.49)","(782.069, 91.637, -5.92, -9.536)","(745.173, 69.551, -76.11, -6.929)","(691.328, 78.636, -30.81, 6.38)","(653.643, 84.205, -37.466, -4.658)","(612.772, 87.45, -35.94, 5.633)","(574.429, 87.851, -59.858, 0.45)","(526.144, 93.431, -47.329, -3.027)","(480.488, 97.129, -54.485, 10.035)","(437.451, 98.085, -51.002, -13.073)","(395.357, 98.292, -43.96, 7.871)","(353.385, 97.228, -44.418, -14.636)","(312.952, 96.625, -44.58, -14.882)","(276.713, 96.305, -49.922, 0.525)","(238.359, 94.744, -30.009, -6.348)","(204.434, 92.421, -53.67, 14.299)","(170.75, 94.251, -15.207, -11.093)","(137.977, 94.688, -35.709, 49.574)","(121.2, 142.115, 2.81, 60.088)","(115.904, 184.224, 3.378, 51.627)","(106.968, 222.679, -18.079, 36.132)","(98.385, 261.446, -15.553, 27.729)","(91.651, 297.208, 2.031, 26.378)","(81.123, 328.695, -16.743, 26.512)","(75.562, 358.593, -20.683, 25.312)"
3,"(369.837, 278.503, 55.05, -30.628)","(408.616, 267.245, 59.007, -12.839)","(449.584, 254.231, 33.854, -6.088)","(487.832, 246.866, 39.105, -1.325)","(524.239, 241.439, 49.558, -5.875)","(558.372, 235.971, 32.443, -5.786)","(593.419, 230.505, 44.969, 4.528)","(624.618, 227.182, 25.578, -5.48)","(657.863, 218.195, 36.68, -20.354)","(698.427, 209.335, 62.519, -15.918)","(727.002, 204.76, 42.566, 3.894)","(751.425, 200.389, 35.114, 1.523)","(766.135, 199.41, 6.686, -1.779)","(771.839, 185.412, 4.185, 11.662)","(772.177, 142.089, -10.97, -34.765)","(762.141, 126.809, 6.402, 5.164)","(765.688, 111.146, 10.405, -36.252)","(770.008, 92.511, -3.909, -21.137)","(743.488, 77.068, -45.08, 16.285)","(707.437, 84.322, -47.849, 4.401)","(670.933, 83.851, -11.001, -21.753)","(640.61, 84.571, -46.381, 18.367)","(606.883, 92.237, -15.36, -1.515)","(568.656, 89.324, -35.414, -9.95)","(527.411, 95.313, -57.111, -4.287)","(485.862, 98.796, -23.126, -14.082)","(443.202, 98.143, -55.042, 11.877)","(400.834, 98.158, -27.315, 0.598)","(359.111, 100.199, -45.105, -11.561)","(320.814, 101.421, -41.422, 6.187)","(282.28, 99.265, -51.98, 15.027)","(244.115, 99.795, -42.812, 13.624)","(212.741, 92.657, -32.898, -22.232)","(178.893, 98.909, -21.305, 1.157)","(150.359, 86.048, -34.821, -32.344)"
4,"(700.306, 395.735, 19.219, -4.417)","(728.4, 372.929, 22.688, -23.256)","(747.635, 346.799, 15.245, -11.497)","(766.564, 321.86, 13.276, -27.62)","(782.713, 299.014, 7.019, -39.35)","(798.721, 273.075, 28.278, -29.488)","(807.543, 248.484, 9.266, -34.891)","(815.036, 228.86, 17.616, -24.447)","(813.134, 211.258, 11.332, -18.31)","(815.436, 203.118, -3.718, -4.579)","(809.384, 193.309, 4.884, -40.679)","(810.227, 159.015, -15.095, -41.256)","(815.891, 129.366, 9.558, -41.434)","(812.619, 92.301, 7.536, -40.07)","(813.665, 79.246, -8.356, -0.855)","(811.864, 67.476, -19.248, -22.124)","(802.69, 64.932, -25.162, -9.054)","(771.424, 52.88, -52.071, -14.87)","(722.112, 48.29, -39.615, 0.555)","(678.88, 49.742, -33.458, -8.041)","(635.686, 54.537, -46.907, 11.284)","(595.781, 56.071, -48.232, -8.174)","(555.156, 57.901, -44.78, -2.162)","(511.754, 58.578, -31.996, 18.804)","(471.307, 60.262, -28.78, 5.497)","(430.509, 61.094, -42.997, 2.569)","(388.445, 60.051, -46.094, 16.552)","(344.207, 60.287, -44.846, -0.271)","(303.733, 60.603, -22.494, -17.308)","(265.745, 61.313, -46.95, -5.555)","(227.594, 64.831, -58.487, 20.866)","(193.038, 63.514, -29.555, 11.212)","(145.27, 68.769, -72.402, 13.929)","(109.45, 87.476, -44.845, 40.023)","(85.247, 117.502, -7.304, 35.274)"
5,"(418.112, 253.538, 39.141, -18.205)","(458.106, 240.781, 36.307, -23.327)","(502.649, 228.941, 45.238, -11.395)","(543.493, 218.577, 41.327, 3.555)","(576.97, 209.32, 33.295, -0.988)","(612.609, 204.916, 30.646, 8.619)","(644.39, 195.585, 40.781, -0.487)","(673.001, 191.476, 51.862, 4.793)","(703.343, 192.804, 36.854, -7.213)","(724.42, 179.726, 23.999, -41.394)","(734.696, 170.7, 16.187, -11.368)","(741.996, 166.047, 25.486, -1.871)","(742.344, 166.077, 20.897, 1.836)","(755.065, 163.605, 18.443, -5.563)","(765.521, 169.84, 7.395, 27.343)","(781.773, 172.421, 10.41, 20.118)","(785.429, 155.889, 15.077, -49.8)","(786.407, 120.942, 5.678, -37.367)","(775.432, 92.736, -43.003, -13.082)","(740.744, 97.867, -66.326, 7.373)","(707.707, 86.749, -9.708, 5.588)","(671.804, 85.154, -58.246, 19.461)","(633.646, 86.681, -55.457, 14.273)","(604.54, 92.751, -20.593, -11.896)","(562.995, 90.144, -31.517, -5.382)","(519.768, 96.09, -38.578, -0.087)","(477.379, 98.271, -59.189, -4.245)","(434.154, 97.937, -56.115, 14.151)","(392.764, 96.059, -46.481, -11.424)","(352.407, 95.082, -49.752, -9.936)","(313.753, 95.2, -56.989, 0.031)","(278.965, 95.294, -19.346, -12.913)","(246.355, 94.638, -18.882, 5.288)","(211.777, 91.088, -35.573, 15.869)","(177.958, 95.132, -42.671, 9.892)"
6,"(331.527, 530.578, 28.995, 4.282)","(366.069, 530.009, 20.134, -5.027)","(403.817, 532.031, 25.878, 15.996)","(439.952, 530.617, 36.363, 2.343)","(477.596, 529.633, 25.258, -6.35)","(514.288, 528.041, 42.891, 20.109)","(553.192, 531.76, 33.914, -9.43)","(593.169, 536.595, 44.19, -0.116)","(628.183, 536.703, 40.583, -15.371)","(659.975, 534.088, 19.455, 6.604)","(688.088, 533.925, 25.259, -4.3)","(715.406, 534.207, 20.574, -0.747)","(733.659, 532.506, 29.959, 22.935)","(763.185, 537.128, 21.174, 10.883)","(776.592, 554.253, 12.304, 10.848)","(783.758, 590.401, -11.546, 49.388)","(788.775, 629.545, -5.734, 40.572)","(784.924, 652.53, -46.988, -6.253)","(748.887, 654.135, -45.501, -22.251)","(723.511, 648.07, -29.13, -6.425)","(686.082, 665.415, -53.005, 12.434)","(639.22, 661.043, -49.425, -2.894)","(604.927, 647.932, -17.881, -15.175)","(577.168, 656.254, -54.756, 12.023)","(529.615, 655.431, -31.484, 3.031)","(490.3, 644.522, -18.717, 0.081)","(457.736, 636.642, -27.738, -18.113)","(444.332, 636.158, -35.418, -3.28)","(427.565, 636.209, -21.259, -6.846)","(407.098, 636.071, -38.443, 3.833)","(386.79, 636.135, -36.929, -3.069)","(362.194, 636.139, -27.508, -1.716)","(326.248, 636.876, -48.953, -14.955)","(288.646, 637.004, -51.419, 0.529)","(253.876, 640.986, -18.368, 10.671)"
7,"(597.123, 383.913, 13.549, -23.424)","(625.877, 360.227, 20.398, -22.715)","(654.042, 339.358, 31.689, -15.082)","(678.889, 319.873, 18.082, -3.9)","(707.84, 299.734, 20.972, -33.167)","(734.829, 277.45, 19.008, -24.425)","(758.661, 257.719, 20.629, -9.985)","(777.171, 242.166, 32.345, -7.99)","(790.703, 216.736, 16.746, -21.324)","(802.109, 171.791, 1.431, -22.46)","(805.227, 139.726, -15.414, -23.27)","(795.922, 111.052, -19.187, -11.955)","(775.307, 88.543, -19.523, -16.955)","(738.468, 81.521, -69.091, -18.616)","(693.875, 79.542, -55.329, 11.605)","(654.204, 78.253, -57.976, 7.619)","(617.757, 82.249, -45.045, 19.295)","(570.086, 84.023, -55.36, 15.922)","(527.946, 91.268, -58.28, 13.66)","(485.917, 94.104, -36.356, -5.295)","(444.142, 93.786, -36.864, -7.425)","(402.646, 95.903, -30.219, -6.067)","(361.959, 96.053, -36.362, 15.307)","(324.038, 95.488, -39.286, -15.907)","(284.693, 95.478, -62.636, -3.03)","(244.037, 94.228, -47.128, -4.412)","(205.389, 92.115, -16.06, 18.563)","(171.493, 94.991, -30.013, -16.001)","(135.637, 102.009, -45.246, 70.868)","(125.769, 146.452, -17.262, 53.591)","(121.249, 184.446, 0.697, 44.703)","(117.577, 225.772, 4.001, 35.525)","(114.375, 263.861, 2.697, 25.441)","(112.228, 302.08, 0.551, 48.456)","(105.412, 336.983, -4.445, 30.788)"
8,"(753.442, 525.882, 53.134, 2.639)","(787.846, 541.964, 29.067, 10.7)","(801.904, 570.922, 11.673, 30.223)","(801.041, 620.033, 3.122, 48.534)","(790.465, 657.591, -27.775, 16.747)","(746.302, 673.369, -55.316, 10.079)","(695.738, 676.424, -45.145, 3.195)","(649.621, 673.953, -29.369, 2.377)","(608.903, 672.378, -41.9, 4.849)","(564.954, 670.444, -28.423, 6.021)","(522.136, 669.06, -46.233, -7.814)","(480.766, 667.911, -55.97, -10.508)","(438.816, 668.443, -46.097, -4.834)","(395.843, 665.798, -54.739, -5.98)","(354.92, 665.543, -26.416, -3.803)","(313.715, 664.971, -29.327, -12.731)","(271.742, 666.611, -55.769, 8.974)","(230.355, 666.285, -51.487, 3.423)","(190.607, 665.375, -35.07, 5.125)","(152.743, 662.654, -32.504, 1.119)","(130.835, 629.15, -24.863, -26.87)","(117.926, 589.364, 2.622, -40.814)","(108.634, 549.961, -12.767, -26.981)","(95.679, 511.073, -6.04, -53.543)","(84.55, 471.59, -20.512, -50.396)","(77.107, 436.04, -6.78, -30.954)","(72.073, 400.723, -1.016, -44.476)","(49.125, 387.695, -37.582, -1.847)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
9,"(288.721, 402.992, 28.744, -19.635)","(321.219, 384.953, 29.175, -6.592)","(350.04, 369.178, 44.061, -30.207)","(378.936, 353.87, 39.705, -21.112)","(412.353, 338.756, 39.425, -27.095)","(444.159, 331.136, 37.999, -26.349)","(475.591, 323.088, 35.884, -14.764)","(508.082, 314.219, 20.937, -16.86)","(540.207, 305.345, 24.023, -16.597)","(572.998, 296.148, 43.269, -4.08)","(604.208, 288.328, 31.555, 3.229)","(632.276, 281.517, 14.977, -0.651)","(660.063, 273.851, 14.699, -10.362)","(686.46, 266.937, 23.259, 4.069)","(707.831, 259.017, 30.131, -15.475)","(729.73, 252.47, 39.405, -9.172)","(747.043, 245.811, -8.612, 8.627)","(760.964, 237.059, 15.162, -25.313)","(771.319, 230.269, 3.656, -15.469)","(786.411, 212.555, 13.387, -32.678)","(787.749, 186.251, -1.159, -24.683)","(785.83, 157.729, -9.655, -16.509)","(785.13, 132.52, 29.243, -43.533)","(786.824, 111.719, -14.965, -2.317)","(772.512, 86.727, -26.607, -0.739)","(752.332, 83.851, -24.109, 18.734)","(711.088, 93.055, -13.472, -11.195)","(672.124, 82.994, -59.019, -25.128)","(628.742, 84.786, -59.355, 5.205)","(592.081, 87.863, -44.322, 3.286)","(547.762, 89.044, -27.215, 24.938)","(512.622, 94.681, -48.828, 2.1)","(480.703, 98.813, -34.038, -5.281)","(443.56, 100.671, -43.286, 4.985)","(408.721, 100.526, -44.038, -5.777)"
