,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,"(450, 375, None, None)","(470.23, 369.464, None, None)","(526.378, 371.961, None, None)","(572.802, 403.89, None, None)","(617.676, 439.361, None, None)","(658.937, 478.705, None, None)","(697.435, 521.01, None, None)","(735.934, 563.315, None, None)","(774.432, 605.619, None, None)","(756.308, 627.648, None, None)","(756.308, 627.648, None, None)","(746.595, 656.131, None, None)","(692.026, 673.278, None, None)","(638.401, 676.829, None, None)","(581.221, 675.333, None, None)","(524.04, 673.837, None, None)","(466.86, 672.341, None, None)","(409.696, 670.388, None, None)","(352.557, 667.748, None, None)","(295.392, 666.04, None, None)","(238.194, 665.55, None, None)","(180.996, 665.061, None, None)","(158.29, 651.364, None, None)","(139.504, 648.106, None, None)","(126.302, 594.909, None, None)","(116.184, 538.612, None, None)","(106.066, 482.314, None, None)","(99.152, 443.843, None, None)","(65.807, 416.866, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(481.791, 381.321, None, None)","(536.174, 374.476, None, None)","(585.334, 390.202, None, None)","(640.186, 381.801, None, None)","(695.505, 394.798, None, None)","(733.773, 437.238, None, None)","(763.601, 462.279, None, None)","(795.422, 494.28, None, None)","(803.373, 529.19, None, None)","(815.633, 566.408, None, None)","(796.371, 608.487, None, None)","(796.998, 640.894, None, None)","(796.998, 640.894, None, None)","(836.614, 661.453, None, None)","(780.528, 672.689, None, None)","(727.457, 675.926, None, None)","(673.692, 695.281, None, None)","(633.478, 690.992, None, None)","(576.356, 689.813, None, None)","(519.222, 687.072, None, None)","(462.453, 682.422, None, None)","(408.428, 663.629, None, None)","(353.204, 654.146, None, None)","(296.874, 662.818, None, None)","(240.828, 668.147, None, None)","(184.31, 671.106, None, None)","(145.561, 640.71, None, None)","(128.914, 588.8, None, None)","(127.787, 531.701, None, None)","(117.311, 475.485, None, None)","(85.933, 429.954, None, None)","(36.322, 402.23, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(491.586, 380.492, None, None)","(524.932, 367.735, None, None)","(561.933, 368.926, None, None)","(612.311, 365.053, None, None)","(585.348, 390.351, None, None)","(638.166, 412.214, None, None)","(693.83, 424.513, None, None)","(750.572, 431.731, None, None)","(778.125, 459.12, None, None)","(783.774, 440.559, None, None)","(795.854, 470.637, None, None)","(790.256, 493.804, None, None)","(817.825, 488.063, None, None)","(800.9, 504.926, None, None)","(804.801, 530.268, None, None)","(804.978, 568.081, None, None)","(814.881, 612.753, None, None)","(812.241, 668.086, None, None)","(808.077, 680.766, None, None)","(771.955, 678.005, None, None)","(714.812, 677.432, None, None)","(657.622, 678.483, None, None)","(668.545, 677.837, None, None)","(625.453, 666.899, None, None)","(576.313, 693.944, None, None)","(519.174, 695.249, None, None)","(462.516, 696.929, None, None)","(405.823, 695.43, None, None)","(349.221, 687.227, None, None)","(292.828, 686.338, None, None)","(282.701, 686.009, None, None)","(244.926, 683.991, None, None)","(191.643, 684.492, None, None)","(136.606, 687.873, None, None)","(102.076, 663.651, None, None)","(89.124, 623.246, None, None)","(79.622, 567.384, None, None)","(73.174, 547.022, None, None)","(51.708, 530.619, None, None)","(55.907, 486.967, None, None)","(78.602, 457.517, None, None)","(74.022, 435.147, None, None)","(55.746, 402.331, None, None)","(20.547, 400.036, None, None)",,,,,,,,,,,,,,
0,"(446.039, 421.545, None, None)","(426.996, 422.497, None, None)","(402.24, 423.735, None, None)","(376.267, 397.492, None, None)","(366.964, 408.353, None, None)","(396.248, 440.518, None, None)","(453.298, 439.379, None, None)","(510.428, 436.565, None, None)","(565.83, 446.526, None, None)","(620.156, 464.428, None, None)","(674.482, 482.33, None, None)","(718.849, 496.95, None, None)","(744.858, 503.671, None, None)","(778.524, 544.445, None, None)","(796.152, 581.084, None, None)","(811.853, 625.792, None, None)","(782.582, 667.285, None, None)","(728.209, 660.961, None, None)","(678.355, 660.083, None, None)","(621.476, 662.658, None, None)","(564.414, 660.836, None, None)","(507.218, 661.122, None, None)","(450.041, 662.611, None, None)","(392.876, 661.744, None, None)","(335.777, 661.909, None, None)","(278.744, 664.658, None, None)","(221.74, 661.483, None, None)","(173.966, 651.31, None, None)","(171.141, 651.0, None, None)","(143.091, 627.699, None, None)","(132.501, 571.515, None, None)","(122.585, 515.181, None, None)","(112.669, 458.847, None, None)","(92.545, 408.679, None, None)","(44.194, 380.204, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(483.797, 388.044, None, None)","(537.16, 408.641, None, None)","(579.09, 418.57, None, None)","(636.274, 417.187, None, None)","(664.018, 427.897, None, None)","(714.317, 455.133, None, None)","(733.127, 474.811, None, None)","(749.839, 498.7, None, None)","(777.33, 520.205, None, None)","(782.022, 547.908, None, None)","(786.981, 581.868, None, None)","(788.986, 599.87, None, None)","(775.657, 639.561, None, None)","(743.119, 668.342, None, None)","(694.012, 655.46, None, None)","(669.046, 662.978, None, None)","(618.862, 657.101, None, None)","(571.369, 653.032, None, None)","(541.247, 672.832, None, None)","(485.979, 664.689, None, None)","(438.494, 662.768, None, None)","(383.066, 672.082, None, None)","(326.215, 668.357, None, None)","(269.065, 670.746, None, None)","(227.177, 668.939, None, None)","(171.726, 661.286, None, None)","(161.472, 651.319, None, None)","(160.538, 651.128, None, None)","(138.09, 672.841, None, None)","(123.474, 619.137, None, None)","(126.136, 562.321, None, None)","(106.264, 509.334, None, None)","(110.935, 458.092, None, None)","(109.191, 412.484, None, None)","(74.521, 394.436, None, None)","(31.93, 386.588, None, None)",,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(476.022, 380.948, None, None)","(532.381, 384.681, None, None)","(589.337, 379.403, None, None)","(642.854, 392.565, None, None)","(694.867, 414.945, None, None)","(742.504, 417.128, None, None)","(704.816, 426.403, None, None)","(751.739, 436.92, None, None)","(740.167, 455.598, None, None)","(753.084, 454.662, None, None)","(764.354, 470.056, None, None)","(738.01, 459.049, None, None)","(772.998, 464.535, None, None)","(746.619, 461.847, None, None)","(778.787, 484.319, None, None)","(770.958, 482.88, None, None)","(750.464, 512.68, None, None)","(777.711, 547.265, None, None)","(762.21, 556.421, None, None)","(783.952, 574.949, None, None)","(785.402, 602.558, None, None)","(760.258, 632.003, None, None)","(769.912, 668.02, None, None)","(712.962, 662.683, None, None)","(689.21, 660.792, None, None)","(648.255, 659.011, None, None)","(602.072, 677.027, None, None)","(546.74, 681.701, None, None)","(516.452, 678.054, None, None)","(465.517, 690.499, None, None)","(412.389, 678.512, None, None)","(371.578, 660.363, None, None)","(314.854, 667.722, None, None)","(295.877, 669.4, None, None)","(238.741, 672.111, None, None)","(206.452, 671.253, None, None)","(163.862, 666.104, None, None)","(156.967, 650.39, None, None)","(124.747, 613.37, None, None)","(123.215, 564.935, None, None)","(97.238, 518.192, None, None)","(95.19, 487.904, None, None)","(70.101, 436.5, None, None)","(54.299, 416.346, None, None)","(25.146, 384.873, None, None)",,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(450, 375, None, None)","(500.526, 399.714, None, None)","(556.774, 407.893, None, None)","(612.743, 399.494, None, None)","(668.496, 406.568, None, None)","(724.273, 419.245, None, None)","(768.292, 444.938, None, None)","(782.838, 394.562, None, None)","(774.08, 419.784, None, None)","(770.198, 381.059, None, None)","(767.317, 402.026, None, None)","(769.872, 404.858, None, None)","(769.872, 404.858, None, None)","(775.075, 429.092, None, None)","(782.881, 465.444, None, None)","(782.881, 465.444, None, None)","(782.955, 477.837, None, None)","(783.298, 535.036, None, None)","(783.641, 592.235, None, None)","(783.985, 649.434, None, None)","(745.908, 653.199, None, None)","(688.776, 655.986, None, None)","(631.644, 658.773, None, None)","(594.47, 659.259, None, None)","(537.272, 659.773, None, None)","(504.868, 659.635, None, None)","(447.732, 656.929, None, None)","(391.909, 664.912, None, None)","(365.518, 668.921, None, None)","(330.28, 660.516, None, None)","(273.704, 653.47, None, None)","(216.832, 657.597, None, None)","(205.472, 658.944, None, None)","(204.534, 659.114, None, None)","(203.701, 659.578, None, None)","(203.701, 659.578, None, None)","(188.463, 672.562, None, None)","(153.506, 682.677, None, None)","(99.869, 662.804, None, None)","(96.705, 616.36, None, None)","(98.371, 559.185, None, None)","(100.038, 502.009, None, None)","(105.472, 445.096, None, None)","(109.636, 390.132, None, None)","(52.437, 390.003, None, None)","(51.483, 390.001, None, None)","(51.483, 390.001, None, None)","(51.483, 390.001, None, None)","(51.483, 390.001, None, None)","(43.963, 388.729, None, None)",,,,,,,,,,
0,"(450, 375, None, None)","(450.949, 374.913, None, None)","(507.916, 371.721, None, None)","(564.958, 375.7, None, None)","(622.135, 377.32, None, None)","(668.287, 400.702, None, None)","(712.892, 430.352, None, None)","(751.599, 467.464, None, None)","(767.86, 483.306, None, None)","(782.686, 502.857, None, None)","(787.777, 520.24, None, None)","(786.217, 557.387, None, None)","(783.817, 614.536, None, None)","(745.867, 642.189, None, None)","(692.225, 659.632, None, None)","(661.585, 659.785, None, None)","(612.156, 656.012, None, None)","(569.434, 659.913, None, None)","(512.813, 667.032, None, None)","(467.905, 675.823, None, None)","(420.666, 669.452, None, None)","(363.606, 666.801, None, None)","(306.435, 668.614, None, None)","(249.275, 670.725, None, None)","(192.553, 666.427, None, None)","(140.506, 645.08, None, None)","(133.88, 603.201, None, None)","(122.295, 547.322, None, None)","(103.732, 493.248, None, None)","(94.568, 436.786, None, None)","(71.005, 396.629, None, None)","(32.339, 376.833, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"(450, 375, None, None)","(412.82, 375.0, None, None)","(355.62, 375.0, None, None)","(395.616, 372.933, None, None)","(452.764, 370.501, None, None)","(509.913, 368.069, None, None)","(545.917, 328.981, None, None)","(569.871, 315.942, None, None)","(599.548, 308.874, None, None)","(640.353, 299.154, None, None)","(650.646, 257.078, None, None)","(697.633, 249.063, None, None)","(725.92, 218.088, None, None)","(735.13, 182.936, None, None)","(760.741, 154.946, None, None)","(758.748, 135.884, None, None)","(756.141, 127.71, None, None)","(756.038, 126.762, None, None)","(756.038, 126.762, None, None)","(739.98, 105.111, None, None)","(723.772, 83.352, None, None)","(667.042, 90.672, None, None)","(613.037, 81.413, None, None)","(566.166, 104.917, None, None)","(515.906, 94.07, None, None)","(484.704, 95.91, None, None)","(439.565, 101.619, None, None)","(394.832, 99.048, None, None)","(365.0, 89.059, None, None)","(310.209, 84.01, None, None)","(253.088, 81.005, None, None)","(244.364, 77.16, None, None)","(209.11, 76.004, None, None)","(172.427, 79.612, None, None)","(138.47, 75.685, None, None)","(109.691, 89.313, None, None)","(88.414, 136.466, None, None)","(73.444, 174.89, None, None)","(75.773, 217.345, None, None)","(69.011, 251.916, None, None)","(69.659, 281.462, None, None)","(65.441, 323.014, None, None)","(57.68, 368.111, None, None)",,,,,,,,,,,,,,,,,,
0,"(441.052, 380.468, None, None)","(444.487, 421.913, None, None)","(497.53, 436.598, None, None)","(554.591, 437.303, None, None)","(611.204, 445.465, None, None)","(668.028, 452.012, None, None)","(712.475, 486.222, None, None)","(748.188, 509.075, None, None)","(777.116, 546.38, None, None)","(780.139, 584.453, None, None)","(771.004, 618.404, None, None)","(737.489, 648.402, None, None)","(680.394, 651.764, None, None)","(623.285, 654.947, None, None)","(566.117, 656.863, None, None)","(509.121, 660.897, None, None)","(451.955, 662.797, None, None)","(394.801, 665.093, None, None)","(337.608, 664.625, None, None)","(280.412, 663.959, None, None)","(223.215, 663.549, None, None)","(166.019, 664.158, None, None)","(162.536, 651.274, None, None)","(124.25, 638.108, None, None)","(116.897, 581.752, None, None)","(105.808, 525.639, None, None)","(95.331, 469.416, None, None)","(81.987, 415.712, None, None)","(32.794, 386.524, None, None)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
