,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
52,"(438.627, 503.762, 23.574, 12.327)","(478.483, 503.015, 23.34, 6.215)","(516.534, 498.37, 39.58, -4.582)","(549.901, 495.29, 35.538, -5.049)","(579.379, 497.574, 31.325, 15.419)","(603.15, 492.055, 40.203, 10.619)","(637.588, 490.286, 35.202, 0.696)","(669.172, 490.431, 32.198, -11.364)","(697.638, 491.345, 18.538, 15.297)","(728.95, 495.625, 17.654, 2.827)","(756.208, 505.504, 13.827, 1.284)","(777.511, 517.197, 26.402, 7.336)","(787.446, 537.736, 19.422, 47.637)","(795.667, 569.036, 6.008, 36.847)","(798.878, 607.238, -0.468, 28.601)","(792.875, 647.655, -15.789, 29.118)","(747.111, 652.725, -59.44, 13.77)","(704.507, 652.13, -42.652, 10.332)","(667.138, 655.695, -53.248, -2.723)","(632.084, 663.525, -52.576, 17.989)","(588.246, 674.492, -46.413, 1.685)","(544.799, 675.363, -56.609, -18.254)","(505.57, 670.855, -48.295, -2.208)","(467.103, 666.901, -32.867, 3.569)","(430.017, 663.087, -30.319, 13.061)","(390.565, 662.805, -47.093, 6.821)","(351.758, 661.929, -48.138, 0.614)"
53,"(619.05, 396.653, 10.865, -7.444)","(634.593, 380.825, 18.414, -16.406)","(645.812, 369.174, 7.597, -7.32)","(656.022, 361.821, 10.469, -6.438)","(671.252, 343.487, 17.591, -6.872)","(686.282, 337.871, 17.681, -16.917)","(703.154, 326.312, 16.661, -11.139)","(720.368, 318.694, 12.9, -7.172)","(734.951, 312.376, 14.272, -6.433)","(749.041, 307.453, 7.28, -1.772)","(765.389, 302.209, 14.251, -7.82)","(781.774, 296.891, 15.68, -5.981)","(795.643, 292.8, 11.178, -4.409)","(803.338, 288.463, 4.2, -3.778)","(808.698, 283.196, 5.725, -7.434)","(810.756, 276.533, 1.282, -4.797)","(813.584, 265.024, 1.336, -12.91)","(816.073, 258.733, 0.32, -13.433)","(819.153, 251.556, 4.81, -7.167)","(819.94, 245.083, 4.224, -7.763)","(823.593, 239.189, 1.65, -8.537)","(826.446, 228.929, 3.385, 0.899)","(828.434, 225.191, 3.699, -1.237)","(827.435, 218.102, 0.32, -7.138)","(812.633, 201.185, -38.283, -7.143)","(803.234, 169.099, -24.118, -32.942)","(796.45, 143.236, -1.325, -16.286)"
54,"(457.421, 420.882, 36.203, -9.29)","(484.644, 418.36, 26.913, -8.961)","(513.553, 405.277, 26.562, -19.276)","(541.857, 387.858, 27.003, -11.959)","(572.171, 379.493, 27.827, -4.513)","(594.803, 375.809, 22.957, -4.51)","(614.962, 371.633, 19.347, -4.015)","(633.03, 364.51, 16.086, -6.148)","(651.135, 356.793, 15.865, -8.685)","(668.623, 347.01, 13.574, -9.954)","(683.736, 337.931, 15.416, -7.729)","(695.936, 328.107, 12.027, -8.637)","(707.338, 315.779, 19.925, -13.014)","(724.057, 302.823, 17.883, -11.872)","(738.458, 293.311, 11.679, -11.171)","(749.867, 282.117, 12.469, -9.415)","(758.77, 272.474, 1.997, -8.785)","(769.063, 263.357, 6.14, -8.525)","(773.894, 259.179, -0.202, 1.574)","(783.635, 249.163, -0.707, -0.049)","(785.886, 249.077, 5.886, 4.586)","(791.613, 238.719, 2.774, -8.818)","(800.474, 233.851, 9.834, -9.422)","(806.033, 228.323, 0.421, -1.094)","(811.541, 229.571, 6.729, -6.131)","(811.159, 215.887, 2.879, -12.715)","(814.993, 200.468, 21.983, -24.296)"
55,"(386.626, 262.295, 22.556, 14.83)","(411.272, 267.285, 29.442, 4.536)","(440.641, 268.297, 28.231, -0.662)","(467.454, 265.324, 21.594, -4.185)","(488.853, 262.958, 8.509, 3.209)","(507.677, 259.729, 18.431, -2.963)","(526.188, 252.31, 13.916, -7.864)","(544.266, 248.032, 16.292, -1.044)","(564.3, 247.736, 24.505, -6.481)","(585.477, 245.779, 21.197, 1.934)","(607.276, 243.928, 29.108, -1.532)","(626.735, 238.611, 21.7, -6.711)","(643.795, 235.919, 15.877, 0.041)","(654.952, 239.46, 20.628, -2.787)","(673.994, 239.986, 22.127, 3.125)","(693.699, 245.826, 23.051, 11.62)","(707.159, 253.512, 23.902, -8.574)","(721.26, 249.762, 11.877, -4.789)","(733.202, 247.87, 6.155, -5.676)","(743.063, 244.372, 20.185, -3.418)","(754.603, 241.932, 12.864, -1.432)","(764.708, 233.07, 16.102, -20.823)","(776.595, 225.972, 5.094, 8.316)","(781.903, 223.217, -6.864, 3.08)","(778.512, 222.41, -1.624, -15.082)","(778.901, 209.934, -0.191, -6.334)","(786.911, 193.009, 9.464, -39.541)"
56,"(232.324, 246.668, 17.044, 6.826)","(248.961, 249.423, 13.722, -2.987)","(265.252, 248.639, 19.831, 0.066)","(283.819, 246.426, 17.985, -5.285)","(301.93, 244.167, 20.903, -3.016)","(318.84, 241.114, 16.556, -2.932)","(336.032, 237.765, 16.255, -1.515)","(352.302, 234.587, 15.535, -0.125)","(368.078, 231.357, 13.498, -6.266)","(383.713, 227.497, 15.488, -5.539)","(399.58, 223.828, 19.611, -1.719)","(417.098, 220.561, 16.787, -0.641)","(434.899, 216.447, 18.627, -2.242)","(452.679, 212.665, 18.787, -1.461)","(470.597, 208.73, 15.769, -6.462)","(488.088, 205.3, 16.314, -6.903)","(505.019, 201.45, 20.178, -4.477)","(521.159, 200.503, 13.77, 0.684)","(536.564, 199.999, 18.823, -2.131)","(551.729, 199.97, 12.46, -0.37)","(567.335, 198.17, 11.868, -1.822)","(581.751, 197.388, 13.837, -2.682)","(596.259, 197.392, 12.889, 0.101)","(609.415, 199.954, 15.302, 0.835)","(623.135, 201.82, 11.898, -3.065)","(636.088, 198.785, 10.016, -6.13)","(648.123, 195.667, 10.064, -13.152)"
57,"(667.085, 545.555, 21.17, 1.775)","(697.536, 547.764, 33.088, 2.086)","(721.775, 556.813, 23.986, 22.023)","(733.986, 570.556, 11.487, 7.346)","(742.57, 575.863, 9.459, 12.318)","(749.394, 583.99, 7.841, 9.08)","(749.394, 583.99, 7.841, 9.08)","(749.394, 583.99, 7.841, 9.08)","(757.332, 578.766, 23.096, -7.314)","(774.97, 573.862, 19.38, -9.415)","(781.852, 572.689, 3.206, 0.898)","(803.687, 576.681, 12.309, 20.352)","(808.312, 597.192, 5.068, 30.822)","(815.759, 629.512, 10.737, 35.192)","(818.312, 656.584, -1.949, 17.347)","(808.447, 672.64, -11.568, 12.341)","(796.705, 682.088, -22.166, 11.573)","(776.91, 688.591, -15.182, 4.607)","(757.898, 686.059, -20.581, -1.84)","(731.234, 686.137, -27.279, -2.31)","(703.392, 685.533, -25.433, 1.014)","(680.515, 684.989, -19.056, -1.669)","(655.95, 684.45, -30.112, -2.684)","(625.939, 682.727, -29.213, -1.156)","(592.383, 678.133, -32.878, -2.894)","(558.022, 672.761, -34.292, -7.336)","(524.34, 668.824, -37.432, -0.494)"
58,"(343.962, 343.452, 19.085, -21.717)","(365.564, 325.025, 21.581, -17.626)","(386.143, 310.509, 16.585, -12.578)","(407.223, 298.681, 23.895, -8.807)","(429.409, 287.975, 24.901, -10.219)","(451.388, 280.671, 22.177, -7.695)","(469.861, 276.471, 17.53, -5.088)","(490.005, 271.286, 22.66, -4.015)","(511.454, 267.576, 17.467, -5.028)","(530.225, 263.127, 16.319, -3.298)","(548.251, 260.993, 16.342, -2.39)","(565.557, 261.553, 17.061, 1.535)","(583.426, 264.082, 18.832, 0.98)","(600.455, 268.37, 18.108, 3.034)","(620.306, 269.782, 21.762, 1.581)","(637.656, 269.693, 18.294, 0.395)","(653.318, 268.572, 17.015, 8.771)","(670.55, 266.591, 17.146, 1.127)","(685.63, 262.656, 12.416, -6.787)","(698.536, 261.009, 11.026, 3.599)","(709.076, 261.037, 5.119, 0.893)","(718.868, 258.63, 11.718, 2.053)","(728.649, 254.291, 6.356, 1.131)","(735.642, 251.794, 7.731, -16.258)","(743.784, 244.37, 7.764, 2.483)","(747.215, 246.003, 6.128, -11.787)","(751.283, 242.74, 2.685, 2.421)"
59,"(459.623, 217.094, 18.724, -2.984)","(476.898, 215.019, 26.202, -5.414)","(500.004, 212.629, 23.123, 1.093)","(520.023, 215.696, 19.637, 6.079)","(540.336, 223.343, 24.703, 7.296)","(568.061, 220.881, 27.08, 0.163)","(593.768, 219.359, 23.977, 0.946)","(615.865, 214.922, 20.404, -2.348)","(635.394, 215.191, 25.472, -3.139)","(659.215, 218.165, 19.511, 10.544)","(673.829, 217.638, 12.178, -8.837)","(692.89, 211.122, 21.901, -6.806)","(712.005, 201.68, 12.029, -10.811)","(721.97, 192.523, 18.884, -4.103)","(740.606, 191.655, 22.815, -1.978)","(753.479, 190.811, 18.974, -3.264)","(762.075, 190.002, 5.36, -1.606)","(769.582, 189.324, 14.17, 16.634)","(777.117, 175.428, 9.661, -27.679)","(782.173, 149.122, 3.034, -47.373)","(784.986, 123.021, -5.263, -34.589)","(785.99, 95.664, -7.908, -12.849)","(775.87, 74.584, -23.714, -28.17)","(741.448, 59.684, -41.931, 0.845)","(707.358, 60.778, -24.892, -0.194)","(678.278, 62.464, -33.098, 4.974)","(643.179, 62.741, -36.056, 1.294)"
60,"(740.58, 392.158, 18.298, -34.716)","(756.498, 360.826, 12.969, -31.493)","(771.391, 331.348, 12.812, -30.432)","(784.36, 307.106, 8.785, -29.258)","(797.319, 277.608, 13.092, -30.921)","(808.166, 249.917, 12.361, -14.422)","(816.662, 231.32, 3.202, -18.763)","(819.022, 214.118, 7.777, -14.438)","(819.247, 205.338, -4.959, -0.705)","(819.423, 200.389, -6.202, -5.92)","(810.107, 191.649, -5.665, -2.74)","(809.247, 184.215, 10.0, -41.553)","(805.386, 138.478, -4.439, -23.885)","(810.206, 116.296, 8.938, -28.086)","(813.576, 82.62, -0.04, -22.496)","(813.153, 65.446, -2.376, -11.055)","(817.348, 61.908, 6.3, 2.993)","(820.49, 64.368, 6.222, 4.513)","(824.614, 64.025, 0.987, -3.671)","(828.434, 66.062, 6.433, 4.695)","(828.705, 67.674, -2.816, -2.169)","(826.681, 67.712, -6.523, 0.567)","(826.799, 64.716, 6.354, 1.098)","(827.779, 66.918, -0.191, 2.115)","(823.517, 70.176, -5.641, -2.287)","(816.589, 69.656, -8.71, -1.64)","(812.015, 65.65, -4.575, -9.583)"
61,"(271.137, 352.046, 5.739, -7.604)","(280.47, 341.026, 12.162, -9.346)","(292.676, 332.453, 12.577, -6.215)","(308.285, 324.861, 18.095, -6.181)","(324.625, 317.925, 16.595, -3.692)","(341.599, 311.743, 17.65, -7.609)","(358.886, 306.851, 15.03, -7.912)","(377.032, 301.676, 16.237, -2.991)","(395.14, 297.301, 17.039, -1.556)","(413.703, 292.522, 20.323, -4.323)","(432.495, 288.347, 17.772, -4.358)","(451.453, 283.422, 20.796, -4.274)","(470.898, 278.582, 22.002, -3.436)","(489.81, 273.54, 21.678, -2.202)","(508.667, 268.819, 16.169, -7.546)","(527.489, 263.814, 13.906, -3.422)","(543.682, 262.538, 14.325, -3.115)","(560.076, 260.612, 16.741, -2.336)","(575.374, 259.001, 12.742, -4.396)","(590.968, 256.256, 14.924, -0.111)","(606.517, 253.608, 13.761, 0.36)","(620.765, 250.974, 13.527, 0.414)","(635.564, 248.089, 14.883, -2.896)","(649.998, 245.808, 16.938, -1.96)","(664.241, 243.644, 11.421, -0.995)","(677.807, 241.626, 15.266, -5.179)","(689.698, 240.094, 10.382, -3.295)"
