,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,"(450, 375, None, None)","(483.218, 378.147, None, None)","(540.163, 383.542, None, None)","(597.108, 388.937, None, None)","(639.817, 392.983, None, None)","(659.802, 402.002, None, None)","(710.782, 427.856, None, None)","(760.991, 455.259, None, None)","(810.448, 482.762, None, None)","(836.852, 530.052, None, None)","(814.138, 573.443, None, None)","(811.911, 601.73, None, None)","(801.743, 640.702, None, None)","(817.137, 654.947, None, None)","(771.772, 674.494, None, None)","(763.217, 673.844, None, None)","(721.504, 678.267, None, None)","(665.749, 678.699, None, None)","(613.061, 662.368, None, None)","(555.943, 665.43, None, None)","(500.194, 677.022, None, None)","(456.947, 688.743, None, None)","(417.956, 670.852, None, None)","(362.406, 676.307, None, None)","(307.476, 663.95, None, None)","(250.283, 664.502, None, None)","(193.136, 662.035, None, None)","(137.147, 665.851, None, None)","(118.865, 636.605, None, None)","(119.0, 586.079, None, None)","(116.098, 529.908, None, None)","(114.444, 472.769, None, None)","(118.133, 415.711, None, None)","(119.929, 392.901, None, None)","(119.929, 392.901, None, None)","(119.929, 392.901, None, None)","(119.929, 392.901, None, None)","(88.701, 389.086, None, None)","(100.698, 371.016, None, None)","(49.602, 387.954, None, None)"
1,"(429.251, 482.526, 51.038, -13.631)","(465.723, 492.121, 49.745, 11.68)","(505.491, 499.386, 44.743, 8.995)","(542.28, 505.38, 25.97, -10.434)","(578.862, 507.684, 41.929, -17.537)","(615.803, 511.625, 20.371, 7.174)","(651.233, 515.092, 22.921, 11.456)","(687.137, 517.764, 21.869, 3.76)","(715.628, 518.197, 23.823, -9.163)","(742.63, 518.833, 18.617, 10.705)","(770.633, 526.659, 12.011, 20.009)","(788.723, 538.488, -0.386, 21.052)","(796.916, 559.27, 10.881, 30.54)","(806.746, 584.13, -6.696, 38.678)","(810.58, 617.782, -4.858, 34.201)","(818.536, 646.201, 0.278, 28.89)","(815.09, 669.797, -3.444, 36.632)","(795.445, 681.104, -17.248, 9.451)","(773.265, 697.713, -36.66, 12.021)","(735.645, 699.826, -28.437, 13.385)","(694.543, 698.286, -30.212, -4.081)","(656.131, 696.176, -38.556, -10.223)","(617.412, 693.751, -25.668, -14.448)","(576.357, 692.876, -55.899, 1.483)","(537.99, 691.962, -46.546, 8.641)","(498.381, 691.089, -31.252, -9.074)","(457.224, 689.869, -31.838, -10.317)","(417.398, 690.726, -32.86, 17.508)","(376.344, 690.068, -52.315, 12.348)","(331.278, 690.463, -45.746, -6.856)","(292.373, 687.805, -25.101, -23.689)","(256.477, 683.403, -40.87, -1.411)","(227.304, 680.928, -12.342, 5.906)","(196.211, 682.717, -28.469, -1.858)","(162.999, 677.2, -46.171, -31.555)","(128.59, 653.959, -32.047, -24.289)","(102.369, 616.381, -37.102, -29.635)","(82.655, 577.748, -29.824, -30.201)","(71.475, 543.957, -18.187, -18.664)","(66.827, 512.323, -17.869, -43.631)"
2,"(378.363, 171.987, 21.734, -16.82)","(397.582, 166.113, 12.272, -2.067)","(410.402, 166.205, 44.405, -0.241)","(427.816, 166.09, 28.46, -11.343)","(450.745, 166.161, 44.735, 8.641)","(469.629, 166.201, 42.982, 3.37)","(491.662, 166.14, 25.019, 1.174)","(519.451, 166.911, 27.368, 6.033)","(547.845, 167.593, 36.204, 9.261)","(579.104, 170.837, 32.297, 10.476)","(606.608, 172.443, 41.664, 0.919)","(629.707, 175.02, 29.827, -1.317)","(654.463, 176.802, 34.51, -12.307)","(674.734, 185.4, 24.464, 21.068)","(696.83, 200.926, 26.008, 20.677)","(714.246, 206.662, 11.018, -12.71)","(726.847, 208.508, 15.06, 2.942)","(738.811, 208.168, 21.21, 13.278)","(752.095, 206.881, 14.683, 10.894)","(768.834, 196.898, -22.265, -37.245)","(775.466, 181.963, 28.394, -31.504)","(775.553, 147.51, 5.703, -23.463)","(773.215, 120.405, 9.158, -13.328)","(777.427, 93.581, -48.675, -8.831)","(741.74, 91.799, -27.469, -13.254)","(714.891, 90.148, -10.551, 7.922)","(691.528, 86.546, -32.791, -15.476)","(657.351, 83.684, -50.104, -7.629)","(620.083, 82.364, -46.308, -16.76)","(580.892, 82.492, -28.935, 3.768)","(543.51, 85.258, -50.726, 19.416)","(506.775, 88.725, -30.174, 3.251)","(471.252, 89.903, -40.722, 2.828)","(432.695, 93.712, -42.82, -15.725)","(394.589, 95.598, -33.39, 14.055)","(357.254, 95.322, -31.657, -7.679)","(318.034, 93.976, -48.401, -11.834)","(281.588, 94.392, -48.996, -3.99)","(245.242, 93.495, -23.388, -17.52)","(212.87, 89.258, -52.189, 15.842)"
3,"(615.49, 329.151, 36.505, -22.11)","(651.633, 311.191, 29.377, -12.558)","(683.665, 298.658, 36.001, -15.332)","(714.154, 288.656, 24.492, -9.448)","(742.391, 278.403, 21.872, -5.3)","(766.04, 267.395, 30.975, -5.654)","(782.985, 258.878, 10.583, -15.59)","(796.056, 245.391, 22.805, -22.515)","(807.237, 228.383, 5.527, -11.731)","(815.347, 213.651, 5.492, -5.561)","(812.482, 209.832, -24.582, -16.17)","(812.33, 201.261, -7.93, 5.904)","(814.122, 196.739, 11.419, -16.2)","(818.633, 173.719, 1.028, -34.897)","(811.402, 127.327, -12.415, -32.762)","(805.702, 87.277, -4.903, -28.122)","(785.423, 67.154, -28.933, -17.311)","(748.079, 56.92, -42.078, -5.038)","(705.673, 57.378, -22.449, 7.225)","(667.651, 58.711, -45.699, 10.46)","(627.278, 60.122, -35.532, 6.076)","(584.292, 60.39, -40.976, -16.101)","(545.707, 63.2, -45.82, 12.68)","(505.888, 63.93, -32.714, 0.046)","(464.656, 64.33, -22.709, -4.746)","(424.566, 65.296, -38.235, 3.202)","(383.001, 65.757, -35.488, 10.835)","(343.924, 63.748, -25.756, -4.202)","(304.011, 65.282, -28.091, -1.486)","(267.971, 65.278, -46.1, 4.015)","(232.343, 67.195, -22.349, 10.473)","(197.16, 67.231, -45.801, -10.835)","(160.106, 66.307, -61.037, 12.469)","(125.294, 79.26, -25.474, 24.43)","(97.048, 112.122, -12.355, 23.098)","(79.904, 149.511, -8.983, 24.145)","(69.543, 186.03, -17.412, 31.088)","(67.732, 221.641, -2.665, 44.08)","(64.514, 256.761, 11.421, 25.883)","(62.089, 292.207, 9.341, 46.503)"
4,"(282.03, 327.077, 12.244, -9.073)","(311.039, 323.198, 42.01, 6.07)","(340.592, 319.557, 25.383, -12.67)","(371.216, 314.186, 32.647, 2.687)","(399.178, 308.429, 30.917, -6.175)","(432.449, 302.048, 38.94, -19.216)","(463.044, 297.248, 34.303, 8.848)","(493.349, 292.638, 34.06, 5.76)","(524.831, 287.016, 16.01, -18.138)","(557.623, 281.738, 18.144, 1.095)","(589.104, 278.603, 32.167, -18.956)","(617.932, 274.161, 21.783, -1.226)","(647.448, 269.236, 22.98, -0.377)","(674.294, 262.939, 27.074, -2.254)","(698.613, 255.215, 15.356, -22.921)","(723.233, 249.698, 6.438, -4.503)","(742.936, 243.571, 27.357, -27.434)","(756.44, 237.608, 35.219, -24.536)","(770.104, 229.062, 4.406, -6.36)","(785.553, 213.687, -10.25, -26.863)","(800.473, 193.589, 27.58, -36.619)","(805.037, 164.061, -14.948, -24.041)","(802.327, 132.908, -10.876, -44.922)","(804.273, 105.669, 9.495, -29.875)","(795.203, 86.243, -5.837, -8.701)","(769.238, 69.364, -19.81, -24.393)","(732.989, 66.026, -47.703, 4.235)","(704.445, 62.177, -40.08, 11.364)","(667.427, 64.082, -31.685, -4.571)","(627.345, 61.09, -56.456, 4.705)","(588.77, 58.362, -54.256, -10.772)","(550.134, 61.09, -42.814, -10.688)","(508.063, 61.689, -40.384, -11.53)","(465.768, 63.231, -34.793, 6.381)","(425.515, 63.32, -34.4, -7.216)","(385.665, 62.918, -55.483, -11.033)","(347.361, 62.819, -22.333, -4.013)","(309.687, 63.283, -53.681, 4.686)","(271.105, 64.906, -24.709, 17.007)","(237.944, 67.457, -38.311, 5.555)"
5,"(707.298, 215.348, 24.011, -20.208)","(741.556, 208.895, 18.031, 2.337)","(773.247, 200.593, 30.141, -22.158)","(782.664, 164.812, 1.302, -28.717)","(780.705, 119.06, -7.075, -49.111)","(764.488, 94.384, -60.351, 5.363)","(718.303, 97.006, -58.073, 21.247)","(677.604, 104.81, -39.465, -9.043)","(636.403, 105.696, -59.319, 0.888)","(594.352, 106.292, -33.13, 6.406)","(559.783, 102.319, -43.965, -0.73)","(518.255, 92.257, -35.231, -9.817)","(478.921, 87.8, -25.623, -13.469)","(440.714, 87.665, -31.436, -1.342)","(398.53, 84.102, -32.006, -17.424)","(354.435, 83.965, -38.735, 4.465)","(311.213, 83.788, -54.818, -8.75)","(269.669, 82.19, -45.219, -9.621)","(229.243, 81.847, -50.0, -3.919)","(190.753, 79.348, -34.085, -8.639)","(151.887, 77.553, -46.481, -6.103)","(120.899, 108.12, -27.602, 52.533)","(104.006, 146.631, -28.262, 24.348)","(95.471, 189.105, -18.369, 49.812)","(89.145, 230.155, -12.942, 48.964)","(84.024, 269.954, -1.869, 40.568)","(81.487, 307.56, 0.543, 28.541)","(80.15, 342.541, 1.429, 51.168)","(53.935, 363.558, -46.407, 15.751)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
6,"(697.088, 246.128, 20.236, -1.391)","(726.507, 235.86, 40.377, -16.552)","(751.988, 219.505, 15.071, -24.807)","(776.708, 200.118, -5.634, -27.554)","(793.921, 163.86, 12.23, -46.679)","(788.237, 127.678, 6.129, -32.01)","(785.506, 96.847, -22.293, -7.527)","(739.53, 91.89, -44.095, -0.866)","(697.339, 103.405, -29.579, 19.091)","(658.154, 108.149, -54.669, 2.89)","(617.072, 111.036, -45.256, 2.547)","(587.438, 113.932, -26.617, 16.95)","(575.992, 113.988, -39.82, -0.484)","(572.654, 113.994, -39.821, 4.641)","(558.507, 112.388, -6.31, -2.721)","(520.323, 101.813, -38.27, 5.394)","(478.173, 99.703, -31.629, -6.421)","(440.779, 97.995, -27.975, 4.698)","(400.291, 97.331, -28.543, -7.048)","(360.797, 95.677, -48.378, -8.503)","(318.61, 94.944, -54.664, -2.209)","(280.656, 92.264, -31.35, -13.12)","(241.693, 89.357, -30.528, 0.828)","(202.42, 86.566, -40.766, 13.145)","(165.832, 80.5, -29.03, -7.339)","(129.057, 96.729, -24.925, 43.802)","(112.507, 134.317, -1.538, 53.563)","(107.204, 172.277, 2.376, 52.84)","(102.553, 213.111, -4.211, 39.035)","(103.752, 251.624, 6.532, 28.565)","(100.337, 286.986, 13.329, 21.089)","(98.511, 320.637, -18.219, 35.641)","(91.386, 350.646, -20.809, 14.817)","(74.653, 367.391, -17.756, 11.364)","(52.043, 378.749, -63.937, -19.312)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(467.728, 293.55, 45.981, 11.431)","(508.42, 294.819, 23.06, 14.938)","(548.647, 295.589, 34.748, -5.496)","(588.174, 296.813, 45.371, 11.895)","(620.629, 294.482, 13.796, 7.353)","(650.881, 289.095, 38.793, -20.691)","(680.095, 282.673, 35.398, -9.462)","(712.079, 274.722, 34.809, -2.683)","(738.489, 264.516, 33.87, -11.865)","(761.927, 249.224, 31.584, -18.975)","(782.168, 224.26, 15.224, -21.883)","(794.898, 201.283, 5.898, -3.3)","(805.913, 160.857, 16.519, -29.086)","(806.353, 120.434, -11.304, -23.187)","(802.297, 85.592, -14.313, -14.101)","(782.419, 64.768, -35.151, -30.661)","(742.04, 57.278, -53.334, -10.583)","(698.165, 59.766, -42.849, 8.216)","(656.697, 64.978, -43.757, 1.628)","(614.175, 62.101, -25.886, 19.537)","(571.513, 60.474, -20.551, -15.257)","(530.452, 63.303, -55.574, -5.394)","(489.555, 64.744, -50.521, 16.337)","(449.696, 65.887, -48.514, -6.965)","(410.549, 66.148, -41.432, 1.7)","(370.309, 67.338, -54.19, 11.511)","(332.198, 67.997, -23.969, 13.708)","(293.921, 70.054, -27.568, -5.077)","(257.929, 71.074, -25.004, -5.094)","(221.311, 73.44, -46.902, 15.077)","(185.863, 68.915, -46.184, -15.043)","(152.319, 71.159, -55.824, 12.649)","(119.008, 95.063, -20.248, 37.752)","(94.93, 133.292, -14.276, 45.53)","(78.976, 168.762, -11.765, 42.071)","(70.88, 205.605, -11.111, 28.04)","(67.085, 240.529, 14.638, 31.777)","(64.02, 274.491, -5.588, 18.034)","(63.371, 305.507, 2.452, 43.806)","(62.02, 335.838, -8.136, 29.287)"
8,"(601.164, 473.921, 23.381, 30.536)","(637.786, 493.182, 32.306, -10.278)","(670.915, 498.553, 26.157, 5.478)","(700.909, 503.534, 12.237, 19.874)","(728.197, 510.861, 37.5, 13.448)","(750.186, 518.618, 14.196, 7.908)","(774.796, 527.938, 26.941, 0.884)","(784.206, 542.476, 15.193, 7.579)","(788.471, 572.867, 18.224, 49.368)","(806.902, 625.628, 14.404, 42.9)","(806.979, 659.156, -14.981, 41.753)","(785.275, 688.805, -33.165, 15.416)","(743.228, 696.181, -63.213, -13.664)","(698.286, 689.569, -31.489, -15.65)","(653.933, 690.078, -37.064, 6.848)","(609.483, 689.215, -46.143, -8.781)","(564.227, 688.891, -36.483, 6.657)","(520.124, 689.652, -38.728, -14.087)","(473.542, 687.937, -44.996, 3.555)","(432.755, 688.115, -24.822, 12.184)","(391.093, 686.466, -60.878, -11.571)","(346.854, 684.711, -33.454, -21.719)","(305.979, 680.942, -48.784, -17.745)","(267.364, 678.479, -52.328, -8.805)","(228.838, 675.986, -34.859, -6.195)","(188.886, 676.0, -50.382, -5.551)","(145.763, 669.243, -21.193, -46.151)","(118.517, 633.139, -7.521, -39.26)","(104.674, 596.1, -20.3, -23.275)","(86.826, 555.858, -27.099, -37.068)","(68.409, 520.378, -19.27, -23.086)","(56.257, 485.534, -26.028, -37.322)","(50.426, 455.833, 9.401, -17.429)","(52.682, 431.163, 24.76, -15.616)","(67.762, 406.173, 13.124, -17.869)","(37.56, 388.269, -58.277, -1.292)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
9,"(377.187, 521.837, 40.552, -4.485)","(412.39, 528.166, 21.511, 1.863)","(449.143, 533.94, 49.24, 1.382)","(488.628, 537.32, 52.399, -3.331)","(529.647, 540.752, 44.534, 16.155)","(567.735, 542.27, 31.781, -9.22)","(606.803, 547.206, 45.676, 5.449)","(643.064, 543.59, 27.375, 8.288)","(674.185, 545.666, 20.416, 8.4)","(701.6, 545.626, 2.72, -14.612)","(727.236, 550.357, 14.289, 2.75)","(753.016, 549.401, 30.817, -1.151)","(776.685, 562.65, 6.279, 2.316)","(786.886, 607.742, 6.145, 59.442)","(785.406, 640.404, 13.785, 56.831)","(772.065, 647.169, -15.433, -14.808)","(754.904, 635.765, -15.116, -2.775)","(752.72, 635.469, -38.66, -3.901)","(752.72, 635.469, -38.66, -3.901)","(746.58, 636.263, -54.493, -9.694)","(737.01, 636.002, -6.849, -1.77)","(735.36, 636.011, -21.726, -1.85)","(735.36, 636.011, -21.726, -1.85)","(734.988, 636.005, -3.159, -1.408)","(734.988, 636.005, -3.159, -1.408)","(734.988, 636.005, -3.159, -1.408)","(734.988, 636.005, -3.159, -1.408)","(734.988, 636.005, -3.159, -1.408)","(734.124, 636.035, -5.778, 0.88)","(730.202, 636.033, -21.804, -2.566)","(724.649, 636.023, -22.546, 0.961)","(717.835, 636.151, -36.806, 6.271)","(707.157, 636.125, -16.617, 4.029)","(686.997, 636.097, -36.128, -1.309)","(661.986, 636.389, -32.061, 13.733)","(634.503, 637.876, -11.952, 11.442)","(608.961, 639.021, -16.048, -4.783)","(581.808, 640.261, -19.29, -0.587)","(551.122, 642.014, -45.898, -5.013)","(519.511, 645.716, -43.35, 18.677)"
10,"(323.934, 250.465, 21.593, 8.441)","(354.992, 254.053, 16.036, -1.021)","(385.864, 251.852, 20.812, 5.438)","(417.786, 252.347, 32.585, 0.765)","(449.02, 253.254, 19.426, 13.461)","(484.234, 249.765, 47.782, -17.576)","(519.293, 248.924, 42.406, 10.96)","(550.765, 245.889, 23.783, -1.352)","(584.325, 245.18, 42.646, -16.153)","(616.091, 243.577, 27.095, -5.786)","(649.518, 240.391, 32.599, -6.83)","(680.969, 236.778, 43.076, -16.788)","(706.269, 235.595, 8.767, 4.634)","(726.088, 234.017, 31.786, -5.055)","(745.251, 229.652, 9.794, -9.292)","(769.778, 221.673, 32.106, 12.604)","(786.423, 207.818, 32.084, -31.422)","(800.803, 179.97, -10.018, -4.928)","(800.104, 150.837, -18.001, -41.432)","(794.836, 115.686, -13.536, -27.145)","(779.825, 97.315, -19.531, -5.942)","(743.752, 81.904, -44.635, 20.533)","(706.318, 86.97, -23.417, -20.901)","(668.804, 85.005, -27.561, -5.071)","(630.324, 85.249, -51.436, 14.454)","(590.836, 83.202, -25.343, -11.277)","(544.746, 86.316, -26.428, -4.484)","(505.109, 93.868, -35.985, -6.002)","(467.617, 97.78, -41.37, -2.249)","(427.391, 97.371, -33.874, 3.245)","(387.988, 96.888, -34.45, -9.302)","(348.137, 96.092, -36.939, -17.424)","(309.482, 96.036, -36.436, 15.856)","(269.842, 96.428, -33.057, 9.558)","(232.865, 94.621, -48.678, -8.953)","(201.218, 92.41, -33.097, -1.237)","(170.673, 92.491, -25.199, -13.383)","(137.979, 94.742, -14.229, 33.813)","(128.568, 142.947, -1.594, 37.633)","(124.987, 183.84, -15.056, 52.706)"
11,"(441.843, 264.637, 41.851, -3.854)","(471.03, 260.74, 52.732, -20.095)","(504.877, 256.34, 29.355, -5.582)","(545.103, 251.024, 44.761, -13.342)","(583.277, 244.883, 49.569, -5.078)","(621.988, 240.812, 50.074, 0.369)","(664.864, 231.048, 53.027, -13.633)","(700.11, 224.731, 30.111, -6.882)","(728.652, 220.068, 32.169, -3.483)","(749.577, 212.003, 15.735, -20.62)","(770.539, 196.319, 2.675, -41.589)","(781.998, 174.314, 11.795, -34.585)","(789.186, 130.992, -15.216, -50.524)","(777.774, 104.071, -13.064, -32.177)","(748.549, 97.452, -31.979, 3.552)","(707.527, 110.853, -49.363, 17.603)","(689.175, 113.902, -48.127, 5.421)","(689.175, 113.902, -48.127, 5.421)","(681.146, 113.975, -61.077, 4.231)","(680.402, 113.963, -44.638, -0.724)","(672.481, 113.928, -51.814, -0.993)","(666.104, 113.936, -50.804, 3.759)","(661.859, 113.995, -42.811, 0.848)","(661.859, 113.995, -42.811, 0.848)","(661.859, 113.995, -42.811, 0.848)","(661.859, 113.995, -42.811, 0.848)","(661.859, 113.995, -42.811, 0.848)","(661.859, 113.995, -42.811, 0.848)","(656.923, 113.922, -28.118, -3.717)","(653.797, 113.977, -53.126, 4.303)","(653.797, 113.977, -53.126, 4.303)","(646.205, 113.977, -35.91, -0.737)","(633.861, 113.852, -46.316, 0.818)","(617.632, 113.832, -49.436, 1.991)","(602.735, 113.736, -28.015, -6.722)","(588.039, 113.95, -39.971, 20.574)","(568.248, 113.704, -36.306, -14.093)","(541.971, 102.075, -43.468, 0.283)","(501.06, 96.861, -57.179, -11.097)","(458.467, 94.814, -53.252, -2.078)"
12,"(598.112, 422.896, 44.298, 4.53)","(629.182, 435.36, 31.774, 17.501)","(657.235, 442.14, 33.386, -2.574)","(687.591, 451.647, 42.271, 19.22)","(717.544, 464.272, 37.457, -1.445)","(743.461, 476.937, 15.072, 3.269)","(765.028, 487.967, 20.276, 23.362)","(777.659, 497.569, 9.502, 2.344)","(784.522, 514.223, -4.279, 5.687)","(795.73, 523.658, 5.419, 11.46)","(807.521, 543.588, 12.953, 36.275)","(816.951, 560.765, 19.283, 18.653)","(814.943, 579.582, -14.204, 45.725)","(813.812, 620.888, -0.749, 6.472)","(814.901, 649.205, 2.684, 37.214)","(798.563, 664.943, -35.361, 4.207)","(776.097, 666.796, -22.519, -3.955)","(719.234, 673.57, -65.389, 32.602)","(666.652, 683.005, -48.78, 22.032)","(617.235, 683.925, -29.148, -3.116)","(569.772, 682.167, -49.956, -5.721)","(531.42, 677.888, -34.975, -10.855)","(488.236, 680.63, -50.429, -3.636)","(448.244, 677.195, -48.474, 4.281)","(407.398, 681.298, -28.253, 14.225)","(361.222, 678.178, -57.758, 1.053)","(321.887, 675.053, -35.444, 0.354)","(283.356, 674.919, -25.89, -2.351)","(247.653, 674.921, -22.292, 15.979)","(214.238, 675.694, -21.574, -6.542)","(176.092, 680.747, -52.236, -10.598)","(133.255, 659.46, -30.59, -23.884)","(102.106, 623.341, -24.773, -46.919)","(79.584, 584.136, -22.397, -48.791)","(66.529, 545.823, -19.949, -44.46)","(53.966, 510.031, -24.446, -41.903)","(46.101, 480.458, -1.687, -33.661)","(46.021, 476.456, 1.069, -29.458)","(46.066, 472.011, 0.557, -26.921)","(46.36, 452.602, 8.888, -36.966)"
13,"(254.008, 243.873, 45.044, 13.81)","(284.017, 243.6, 21.239, 11.143)","(315.195, 243.216, 32.492, 0.266)","(346.486, 241.341, 32.177, -8.0)","(375.873, 239.575, 14.721, -11.625)","(404.679, 236.37, 23.068, -17.185)","(436.02, 233.377, 12.221, -12.666)","(467.635, 232.66, 25.191, 1.852)","(496.658, 233.145, 27.957, -0.475)","(527.497, 232.796, 15.186, -17.387)","(555.171, 232.82, 32.664, 7.779)","(583.575, 232.715, 20.993, -15.53)","(607.84, 233.34, 31.058, 9.346)","(632.698, 233.462, 27.024, 5.125)","(652.51, 235.868, 25.373, 12.676)","(671.912, 235.402, 9.889, -14.476)","(691.407, 238.21, 34.609, -13.756)","(707.633, 239.795, 5.223, -13.391)","(721.28, 239.268, 9.631, 3.207)","(742.118, 239.269, 20.905, -11.211)","(759.378, 232.86, 27.933, 1.663)","(773.809, 228.262, 17.66, 8.606)","(784.442, 219.289, 13.943, -25.56)","(794.82, 203.841, -0.997, -35.709)","(797.688, 176.318, -1.07, -44.281)","(790.969, 143.438, -14.805, -17.754)","(790.577, 114.707, 16.356, -25.076)","(782.034, 95.709, -24.96, 5.59)","(757.444, 89.129, -32.194, -15.824)","(729.582, 90.498, -29.345, -11.26)","(700.303, 79.209, -18.135, -26.433)","(665.799, 71.265, -25.238, 8.583)","(636.272, 66.291, -42.149, -18.067)","(605.169, 64.566, -42.54, 9.968)","(569.59, 63.212, -37.884, -12.002)","(533.058, 64.258, -41.287, 13.14)","(498.805, 62.224, -42.041, -10.094)","(464.397, 63.049, -24.757, -0.769)","(430.379, 62.495, -39.988, -14.108)","(393.99, 63.014, -34.213, 4.875)"
