,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,"(450, 375, None, None)","(473.624, 371.85, None, None)","(504.633, 374.22, None, None)","(555.22, 396.182, None, None)","(599.447, 411.214, None, None)","(643.937, 421.066, None, None)","(668.064, 419.31, None, None)","(707.757, 416.516, None, None)","(743.556, 446.273, None, None)","(762.805, 484.612, None, None)","(771.718, 501.467, None, None)","(774.392, 522.269, None, None)","(786.905, 536.915, None, None)","(793.83, 552.615, None, None)","(792.028, 567.762, None, None)","(798.8, 579.263, None, None)","(796.282, 596.138, None, None)","(788.233, 614.469, None, None)","(777.519, 645.714, None, None)","(775.498, 658.292, None, None)","(750.386, 675.576, None, None)","(714.08, 684.992, None, None)","(686.503, 683.029, None, None)","(659.994, 650.627, None, None)","(632.754, 644.967, None, None)","(630.875, 644.643, None, None)","(630.875, 644.643, None, None)","(630.875, 644.643, None, None)","(616.164, 665.764, None, None)","(578.105, 663.382, None, None)","(566.676, 663.023, None, None)","(509.476, 663.003, None, None)","(464.808, 666.247, None, None)","(438.149, 666.632, None, None)","(405.742, 666.014, None, None)","(370.524, 664.03, None, None)","(331.496, 661.9, None, None)","(283.147, 657.018, None, None)","(267.858, 662.394, None, None)","(224.336, 665.656, None, None)","(220.438, 661.47, None, None)","(196.651, 662.959, None, None)","(162.462, 665.959, None, None)","(126.356, 641.071, None, None)","(113.054, 613.199, None, None)","(93.066, 564.257, None, None)","(99.706, 539.06, None, None)","(85.838, 483.723, None, None)","(67.399, 449.469, None, None)","(47.587, 413.994, None, None)","(36.89, 400.419, None, None)"
1,"(630.852, 528.412, 23.297, 23.853)","(671.47, 531.822, 51.906, 1.067)","(704.871, 537.159, 47.898, -0.079)","(734.188, 543.512, 4.64, -0.122)","(759.57, 551.243, 38.015, 15.785)","(781.502, 577.382, 12.831, 42.38)","(777.448, 621.048, -9.811, 19.135)","(777.743, 653.832, 1.312, 26.024)","(733.651, 653.966, -55.188, -28.414)","(693.596, 643.854, -29.459, -12.277)","(652.208, 642.155, -58.856, -12.953)","(609.982, 636.732, -48.636, -17.012)","(591.619, 636.088, -69.254, 2.425)","(558.9, 636.063, -38.887, -5.231)","(529.402, 636.064, -49.795, -11.934)","(497.745, 636.337, -52.21, 4.578)","(469.292, 636.122, -51.902, 3.664)","(439.708, 636.063, -25.934, -0.544)","(417.544, 636.051, -49.446, -5.281)","(382.581, 636.155, -43.21, -7.047)","(353.31, 636.31, -27.449, -19.588)","(319.012, 636.028, -43.883, 0.301)","(287.157, 636.837, -35.433, 15.33)","(251.596, 640.784, -31.685, 5.111)","(222.501, 649.083, -22.53, -3.563)","(191.993, 651.897, -46.044, -7.761)","(155.504, 653.266, -22.135, -4.986)","(128.506, 629.335, -6.666, -47.503)","(123.872, 587.229, -0.433, -35.184)","(119.753, 546.483, -4.03, -37.496)","(114.389, 503.629, 10.61, -54.683)","(108.523, 466.794, 3.472, -36.345)","(102.314, 435.748, -15.15, -45.921)","(98.12, 412.825, -14.288, -8.278)","(92.965, 396.016, -18.867, -8.049)","(65.93, 386.302, -45.82, -3.388)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
2,"(414.499, 468.756, 46.51, -11.933)","(451.787, 480.391, 43.556, -3.164)","(491.412, 489.187, 25.709, 11.2)","(527.457, 497.143, 44.083, 9.719)","(566.039, 505.117, 21.305, 14.856)","(602.139, 510.553, 54.017, 9.797)","(636.159, 519.968, 37.398, 22.796)","(669.22, 526.022, 49.09, 18.151)","(698.47, 530.803, 29.827, 6.368)","(727.748, 533.534, 39.078, 7.007)","(748.595, 537.403, 27.091, 0.829)","(762.266, 541.783, 8.679, -2.358)","(774.953, 557.11, 7.811, 15.162)","(794.684, 573.19, 33.217, 40.85)","(806.744, 614.418, 4.308, 42.128)","(809.234, 644.487, -4.962, 13.751)","(805.745, 665.905, -0.412, 9.79)","(791.318, 678.773, -1.812, 20.017)","(762.473, 694.742, -45.355, 2.109)","(723.13, 696.468, -25.214, 2.002)","(687.831, 693.029, -33.789, 16.111)","(647.388, 692.259, -50.659, 2.121)","(603.698, 691.545, -28.407, 0.721)","(557.512, 691.097, -34.412, -2.743)","(518.891, 690.819, -42.151, -2.065)","(480.712, 689.308, -40.051, -11.608)","(442.567, 689.599, -42.828, 4.311)","(405.142, 691.152, -39.392, 1.171)","(361.813, 686.812, -25.118, 0.323)","(320.196, 682.901, -47.263, 12.624)","(278.542, 681.588, -48.45, -14.582)","(244.793, 681.205, -51.557, 2.948)","(212.532, 681.347, -39.718, 27.152)","(175.612, 682.219, -40.78, 1.161)","(133.766, 662.608, -45.143, -20.931)","(107.394, 624.948, -35.89, -36.667)","(86.775, 588.005, -12.105, -20.721)","(73.292, 553.676, -28.129, -39.333)","(63.57, 521.139, -21.267, -14.346)","(59.038, 497.956, 11.406, -11.574)","(69.024, 471.907, 10.074, -54.83)","(63.612, 434.993, -16.002, -20.834)","(61.27, 411.574, 2.355, -13.313)","(44.964, 391.371, -47.906, -21.876)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
3,"(548.581, 281.02, 42.236, 11.537)","(578.55, 281.94, 19.305, 8.161)","(611.418, 276.581, 47.137, 9.351)","(639.701, 267.513, 18.069, -19.119)","(669.142, 259.853, 23.89, -5.662)","(695.486, 251.075, 15.468, -6.332)","(722.292, 241.608, 2.995, -23.405)","(748.642, 229.694, 39.374, -4.557)","(766.531, 220.565, -1.911, -4.165)","(781.687, 208.664, 21.698, 14.277)","(801.169, 190.366, 18.087, -37.829)","(808.566, 158.158, 9.036, -64.063)","(808.154, 123.601, -6.905, -20.677)","(799.416, 91.706, -17.403, 4.139)","(767.402, 79.117, -56.3, -7.69)","(717.583, 80.494, -35.924, -3.592)","(674.854, 78.802, -17.791, 9.528)","(635.024, 76.334, -29.913, -15.558)","(585.567, 75.262, -54.422, 10.563)","(535.675, 80.324, -55.929, 1.012)","(493.502, 86.477, -27.47, 5.123)","(451.142, 89.172, -50.218, -9.695)","(409.303, 91.67, -39.146, -5.481)","(367.128, 91.607, -36.753, -5.729)","(325.087, 93.611, -24.64, -10.575)","(285.934, 93.867, -30.904, -8.27)","(247.175, 93.439, -39.077, 5.219)","(212.033, 88.238, -33.251, 16.289)","(176.127, 89.14, -23.313, -0.612)","(139.615, 84.893, -23.276, 23.143)","(114.167, 120.026, -26.998, 56.724)","(105.478, 161.765, -15.22, 45.126)","(100.806, 204.173, 2.476, 51.687)","(96.813, 247.374, -15.81, 20.787)","(95.698, 282.776, -9.002, 19.27)","(90.579, 314.504, 12.762, 25.909)","(87.256, 344.52, 2.259, 33.809)","(71.798, 363.213, -42.24, 12.168)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
4,"(475.941, 244.614, 57.26, -13.414)","(513.01, 234.645, 51.36, -25.456)","(547.503, 224.098, 34.209, -2.017)","(578.059, 221.774, 47.873, -14.774)","(613.205, 219.936, 40.898, 10.241)","(646.847, 218.092, 27.14, -20.216)","(677.941, 215.556, 40.664, -5.685)","(706.399, 211.919, 40.726, -11.149)","(730.571, 204.502, 34.087, 12.415)","(753.566, 206.085, 25.724, 11.748)","(772.065, 200.237, 5.609, -24.025)","(780.386, 164.481, 30.294, -45.134)","(774.833, 132.449, -23.352, -37.513)","(768.454, 113.257, -9.502, -33.631)","(762.614, 103.606, 9.026, -4.345)","(768.512, 91.629, 13.004, 1.242)","(734.347, 88.915, -49.298, 20.153)","(700.079, 103.531, -23.382, 8.055)","(662.654, 101.715, -33.349, 16.983)","(642.309, 101.316, -32.104, -8.228)","(610.769, 81.507, -48.057, -14.349)","(570.809, 89.246, -32.634, 18.443)","(531.871, 99.481, -41.018, 9.696)","(487.81, 98.478, -54.246, -16.417)","(446.634, 96.079, -56.14, 0.251)","(406.394, 95.405, -40.944, 7.892)","(366.126, 96.16, -42.343, 0.79)","(325.909, 95.31, -27.986, -6.113)","(286.519, 94.14, -47.064, 13.554)","(249.728, 94.568, -21.129, 3.427)","(217.919, 90.67, -25.155, -2.403)","(182.454, 93.414, -38.247, -14.79)","(146.297, 80.512, -9.835, 10.961)","(122.859, 113.801, -19.339, 45.963)","(116.43, 160.125, 1.461, 47.378)","(113.785, 199.525, 8.849, 34.337)","(112.966, 237.165, 10.038, 40.819)","(111.577, 274.019, 13.558, 31.839)","(108.807, 308.32, -1.475, 42.192)","(105.228, 336.112, 9.555, 43.731)","(100.234, 358.766, -8.429, 12.352)","(92.854, 369.458, -8.98, 16.408)","(79.789, 375.06, -39.964, 10.436)","(37.619, 369.457, -56.467, 1.302)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(325.878, 184.357, 36.694, -2.465)","(367.017, 174.452, 38.234, -12.446)","(402.852, 169.386, 50.08, -20.276)","(432.433, 166.236, 40.127, 0.058)","(459.403, 166.132, 43.558, -7.822)","(487.619, 166.234, 18.701, 1.445)","(509.608, 166.376, 39.766, 13.598)","(535.584, 166.139, 24.783, 1.283)","(569.124, 166.035, 30.392, -2.478)","(600.606, 167.405, 29.674, -10.697)","(629.865, 169.761, 24.712, -12.45)","(659.044, 168.771, 12.294, 6.709)","(680.653, 171.6, 25.818, 13.849)","(704.222, 171.028, 15.288, 1.023)","(722.326, 170.364, 26.326, -13.22)","(740.104, 170.324, 22.302, -9.981)","(749.144, 166.09, 7.674, 4.558)","(756.478, 177.417, 21.959, 7.303)","(772.772, 185.349, 9.959, 10.337)","(771.019, 147.615, -7.861, -23.964)","(762.444, 115.649, -18.107, -31.134)","(765.484, 98.243, 12.512, -13.994)","(770.047, 90.606, -27.639, -22.979)","(737.449, 89.048, -14.963, -0.737)","(707.876, 78.398, -41.904, 8.868)","(672.997, 75.498, -35.586, 17.649)","(643.913, 82.471, -37.516, -4.186)","(605.136, 76.07, -38.634, -19.421)","(562.4, 82.586, -44.947, 6.002)","(525.557, 88.06, -41.311, -7.683)","(486.829, 93.615, -46.625, 17.858)","(449.487, 93.374, -22.082, -13.106)","(410.624, 93.248, -47.961, 5.011)","(373.419, 93.761, -52.328, -15.903)","(337.941, 93.56, -25.813, -0.269)","(302.033, 93.319, -40.788, 6.169)","(265.097, 89.178, -24.475, -1.897)","(230.201, 89.581, -39.874, -17.067)","(195.649, 86.109, -44.641, 16.361)","(160.413, 82.404, -63.782, -10.556)","(126.075, 104.598, -8.491, 52.272)","(114.568, 147.516, -17.422, 35.654)","(111.305, 189.492, -17.05, 37.16)","(109.206, 227.837, -16.215, 25.158)","(104.348, 260.902, 11.215, 24.709)","(99.746, 291.061, -13.278, 35.75)","(94.457, 318.222, -13.006, 10.708)","(89.177, 340.138, -22.147, 11.422)","(73.215, 356.396, 1.256, -6.706)","(70.657, 364.121, -28.526, 6.533)","(None, None, None, None)"
6,"(768.026, 229.448, 24.945, -45.167)","(804.69, 193.854, 17.438, -40.761)","(823.803, 152.269, -0.511, -27.208)","(812.441, 117.605, -17.952, -48.292)","(787.613, 77.571, -31.394, -34.527)","(745.539, 63.018, -57.953, 1.555)","(695.691, 61.791, -41.666, -1.256)","(650.733, 64.956, -60.789, 2.031)","(609.249, 67.295, -32.823, 15.98)","(564.722, 68.038, -40.64, 13.312)","(521.801, 67.55, -62.154, -3.125)","(475.221, 70.816, -62.297, 7.165)","(429.797, 72.673, -60.225, 18.917)","(386.501, 75.717, -56.754, -0.172)","(342.246, 75.379, -52.495, -11.963)","(298.213, 77.636, -43.496, -0.829)","(257.125, 78.616, -27.722, 9.575)","(214.048, 79.627, -28.101, 5.757)","(177.022, 78.175, -35.561, 12.727)","(137.001, 87.115, -40.627, 38.349)","(112.421, 126.694, -1.575, 44.333)","(101.037, 167.761, -16.996, 49.747)","(90.431, 207.443, -9.744, 39.083)","(84.351, 251.181, -2.2, 50.093)","(79.789, 291.732, -8.926, 44.962)","(77.115, 329.992, -9.626, 22.318)","(70.902, 362.821, -30.429, -5.286)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
7,"(732.817, 170.535, 29.433, -6.372)","(763.693, 167.612, 11.399, -22.613)","(774.893, 166.329, 10.435, -3.083)","(789.224, 174.307, 15.631, 3.064)","(796.579, 173.876, -14.136, -14.003)","(800.043, 125.155, 7.726, -42.859)","(788.795, 79.791, -21.94, -22.469)","(753.563, 57.182, -32.079, -3.626)","(704.618, 62.105, -57.646, 6.718)","(659.307, 65.199, -58.371, -4.279)","(611.079, 66.237, -55.342, 0.805)","(563.773, 66.635, -56.195, -9.201)","(522.054, 66.254, -46.204, -8.077)","(480.677, 70.243, -30.522, 14.48)","(438.14, 72.247, -57.573, -12.071)","(396.228, 72.049, -31.635, 8.857)","(353.502, 72.862, -29.098, -8.975)","(312.49, 72.534, -51.872, 11.013)","(269.081, 75.031, -51.731, -4.286)","(227.505, 77.115, -56.905, -12.194)","(188.637, 76.564, -22.918, -5.585)","(145.031, 77.718, -25.81, 33.048)","(116.219, 111.945, -5.208, 39.623)","(100.276, 153.416, -8.457, 42.614)","(92.853, 194.625, -5.048, 28.205)","(86.469, 236.422, 1.405, 49.849)","(81.433, 277.066, -5.65, 52.666)","(76.981, 311.162, -14.851, 44.06)","(75.959, 346.043, -0.28, 18.055)","(56.484, 366.365, -48.472, 8.919)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
8,"(255.182, 437.968, 20.289, -0.638)","(286.374, 441.905, 20.972, -5.095)","(320.521, 446.129, 30.683, 6.048)","(353.262, 452.522, 44.074, 5.821)","(385.744, 459.156, 19.059, -1.709)","(417.658, 464.316, 39.301, -1.685)","(452.107, 468.567, 43.344, 19.46)","(487.258, 475.954, 33.633, 15.359)","(515.799, 481.831, 33.486, 11.837)","(547.294, 487.557, 49.201, 17.33)","(579.633, 493.215, 36.581, -11.137)","(610.124, 499.146, 48.494, 5.955)","(640.041, 506.709, 19.755, -7.6)","(667.81, 514.546, 18.186, 10.283)","(695.912, 520.932, 36.333, 16.46)","(719.184, 523.611, 7.801, -10.013)","(741.893, 522.373, 13.935, -9.574)","(762.013, 523.041, 29.821, -5.452)","(777.744, 538.194, 6.219, 48.855)","(788.089, 557.385, 1.468, 39.331)","(789.151, 589.568, -14.736, 0.169)","(786.117, 624.895, 4.933, 54.047)","(802.763, 647.731, 21.408, 5.096)","(806.063, 673.6, -25.964, 4.933)","(785.382, 691.266, -26.083, 3.704)","(748.735, 695.628, -30.55, 5.055)","(707.276, 690.853, -43.522, -9.905)","(670.968, 689.591, -43.845, 8.735)","(636.035, 692.184, -37.096, 15.094)","(602.835, 694.448, -32.557, 0.025)","(562.988, 693.525, -57.789, 10.204)","(526.412, 693.248, -62.069, 10.486)","(488.404, 691.234, -50.101, -16.748)","(449.014, 692.352, -52.35, 1.886)","(413.141, 690.133, -51.049, 17.808)","(371.654, 692.169, -35.164, 4.445)","(327.518, 689.592, -35.211, 1.25)","(290.335, 687.686, -24.96, -11.132)","(252.156, 684.247, -47.865, 15.141)","(210.533, 683.294, -26.339, -19.079)","(174.549, 683.038, -28.031, -20.677)","(132.187, 664.2, -29.726, -13.931)","(100.5, 631.256, -10.877, -24.528)","(80.331, 602.282, -11.693, -30.21)","(65.424, 566.637, -11.714, -23.924)","(54.512, 535.084, -6.241, -41.835)","(46.161, 510.043, 5.47, -24.793)","(46.049, 499.158, 2.735, -19.138)","(46.108, 495.08, 4.659, -42.281)","(46.128, 481.745, 6.031, -53.918)","(46.07, 463.106, -1.683, -45.848)"
9,"(771.717, 261.9, 29.495, -26.224)","(794.801, 235.598, 2.748, -23.82)","(811.168, 203.661, 18.831, -33.631)","(828.58, 176.053, 27.615, -29.529)","(831.058, 166.123, -0.814, -46.412)","(831.058, 166.123, -0.814, -46.412)","(831.058, 166.123, -0.814, -46.412)","(831.058, 166.123, -0.814, -46.412)","(831.058, 166.123, -0.814, -46.412)","(831.058, 166.123, -0.814, -46.412)","(831.058, 166.123, -0.814, -46.412)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)","(830.615, 166.005, -26.616, -7.068)"
