,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
36,"(451.777, 188.922, 26.97, -24.673)","(489.401, 177.274, 35.639, -8.137)","(527.138, 169.67, 42.791, 0.24)","(552.423, 166.067, 44.365, -6.486)","(569.182, 166.156, 37.712, -2.868)","(578.641, 166.02, 24.51, -1.834)","(584.909, 166.233, 30.516, 5.547)","(594.56, 166.041, 31.903, -9.232)","(611.366, 166.071, 39.174, 3.081)","(627.456, 166.035, 27.135, -0.793)","(642.061, 166.091, 24.366, -2.829)","(655.113, 166.158, 37.354, 4.363)","(672.637, 166.031, 40.016, 1.491)","(684.35, 166.011, 23.084, -3.586)","(692.708, 166.114, 59.155, -7.263)","(708.35, 166.034, 48.223, -0.088)","(728.986, 166.03, 42.353, -5.845)","(739.539, 172.799, 10.687, 18.943)","(743.548, 178.996, -17.35, 1.297)","(751.21, 185.043, -14.731, -3.805)","(759.89, 187.268, -22.124, -17.762)","(768.307, 193.393, 18.435, 10.708)","(771.836, 172.452, 27.021, -22.957)","(773.57, 136.849, -6.993, -36.605)","(765.325, 126.574, 8.813, -11.235)","(769.608, 113.39, 0.354, -28.284)","(776.034, 93.224, -22.706, -20.913)","(740.823, 78.505, -51.446, -7.076)"
37,"(662.393, 186.135, 46.647, 0.291)","(696.328, 178.783, 24.252, 3.916)","(724.8, 173.153, 20.094, -20.262)","(749.022, 170.68, -2.502, -4.787)","(756.506, 167.372, 11.574, -7.46)","(761.712, 170.681, 2.828, 3.648)","(768.43, 161.453, -7.367, -34.24)","(756.0, 154.089, -1.548, 16.935)","(756.184, 154.514, -1.481, 12.165)","(758.094, 155.258, -8.572, -21.216)","(758.589, 156.417, -8.138, 10.087)","(756.142, 153.494, -2.931, -5.508)","(758.293, 158.739, 18.976, -5.391)","(769.09, 164.522, 28.583, -1.186)","(780.692, 171.667, 14.812, -7.393)","(793.486, 180.262, 12.367, 3.997)","(801.573, 140.278, 1.792, -30.171)","(792.948, 105.1, -6.834, -40.722)","(766.444, 82.992, -25.316, -5.104)","(723.326, 87.81, -28.375, 24.569)","(678.175, 83.507, -49.751, 4.895)","(636.486, 84.226, -46.804, -0.924)","(599.258, 87.557, -41.894, -13.146)","(557.76, 91.55, -51.853, 0.127)","(517.708, 98.365, -46.505, 15.498)","(477.615, 100.673, -41.676, -4.431)","(435.247, 101.062, -59.691, 14.471)","(394.614, 101.432, -37.374, -9.237)"
38,"(502.945, 543.777, 24.445, 11.929)","(542.873, 549.806, 31.857, 0.966)","(583.363, 555.234, 29.056, 15.742)","(617.97, 561.976, 46.904, 23.425)","(653.043, 570.246, 27.034, 6.138)","(684.777, 578.286, 42.441, 18.097)","(709.187, 580.076, 36.807, -13.808)","(732.989, 582.309, 34.971, 5.36)","(746.636, 583.847, 21.314, -5.848)","(762.03, 570.664, 36.826, -1.26)","(776.148, 576.964, -9.968, 66.361)","(773.025, 626.535, -14.475, 38.923)","(772.672, 655.223, -6.148, 34.276)","(734.757, 660.326, -45.91, -19.542)","(697.191, 649.017, -28.834, -9.544)","(661.108, 662.473, -40.307, -8.235)","(619.132, 669.215, -64.164, 16.565)","(576.565, 663.696, -54.217, -15.073)","(537.314, 652.883, -52.23, -17.812)","(497.661, 644.807, -24.209, -1.996)","(458.24, 637.403, -40.076, -3.11)","(431.685, 636.464, -42.691, 9.495)","(409.163, 636.019, -46.243, -7.936)","(380.237, 636.17, -36.717, -4.064)","(354.322, 636.147, -54.297, 6.331)","(325.835, 636.142, -47.603, 0.695)","(302.747, 636.467, -51.283, 6.718)","(269.064, 636.75, -34.689, -11.411)"
39,"(735.624, 251.169, 35.796, -3.741)","(776.266, 226.122, 56.233, -33.585)","(803.781, 197.222, 29.589, -18.616)","(819.072, 154.971, 1.548, -46.956)","(813.408, 124.046, -29.444, -45.208)","(795.047, 82.726, -33.109, -19.204)","(755.066, 62.934, -67.021, 8.979)","(705.068, 67.016, -42.03, 15.965)","(663.973, 72.576, -45.377, 12.417)","(622.067, 75.623, -51.02, 8.259)","(580.314, 74.716, -49.782, 13.077)","(536.751, 73.805, -39.363, -0.206)","(493.5, 75.258, -50.704, 3.098)","(451.761, 78.914, -40.943, -13.046)","(407.985, 80.84, -59.069, 0.761)","(365.533, 83.353, -59.265, 5.772)","(322.634, 82.425, -57.413, 12.151)","(280.841, 81.445, -58.559, -0.256)","(237.825, 80.736, -45.484, 14.579)","(199.059, 80.682, -42.742, -15.912)","(158.221, 77.704, -32.847, 12.054)","(123.715, 103.881, -33.746, 32.958)","(106.678, 141.07, -29.352, 29.503)","(97.275, 181.179, -5.182, 41.075)","(89.246, 224.49, -19.509, 38.067)","(83.527, 265.909, -8.224, 36.768)","(80.217, 303.776, -7.627, 30.362)","(76.185, 336.643, 13.036, 39.447)"
40,"(408.695, 321.207, 34.307, -28.136)","(444.034, 304.353, 43.69, -5.014)","(479.752, 292.27, 40.053, -9.446)","(518.963, 282.541, 21.053, 3.578)","(555.456, 271.629, 34.079, 3.495)","(590.193, 264.999, 37.751, -13.015)","(621.843, 257.298, 22.745, -5.683)","(648.957, 249.514, 8.737, -0.517)","(675.43, 235.153, 38.744, -2.057)","(701.047, 227.502, -0.449, -15.079)","(722.736, 220.603, 14.338, 11.355)","(745.963, 212.828, 18.244, 8.574)","(770.479, 210.047, 22.611, 8.652)","(781.599, 184.186, 3.77, -45.368)","(785.641, 138.486, 12.839, -37.014)","(779.102, 119.583, 18.694, -14.786)","(770.228, 95.145, -19.733, -24.595)","(728.501, 96.473, -28.956, 22.872)","(708.285, 104.674, -11.79, 13.032)","(699.16, 113.957, -23.392, 20.687)","(699.16, 113.957, -23.392, 20.687)","(699.16, 113.957, -23.392, 20.687)","(699.16, 113.957, -23.392, 20.687)","(699.16, 113.957, -23.392, 20.687)","(699.16, 113.957, -23.392, 20.687)","(699.16, 113.957, -23.392, 20.687)","(697.974, 113.968, -13.621, 0.497)","(697.974, 113.968, -13.621, 0.497)"
41,"(737.172, 540.24, 30.734, 5.955)","(775.767, 551.873, 21.39, 46.862)","(795.382, 586.017, 18.022, 31.919)","(798.861, 638.265, 3.937, 37.159)","(777.37, 663.282, -19.375, 7.636)","(731.41, 673.704, -37.064, -1.099)","(683.424, 672.122, -52.11, -12.321)","(635.156, 668.894, -49.447, -17.495)","(590.291, 668.36, -45.165, 8.177)","(545.724, 665.082, -37.496, -6.802)","(499.062, 660.968, -48.883, 8.277)","(455.552, 659.68, -58.238, -13.541)","(414.416, 657.884, -49.441, -15.637)","(372.994, 659.119, -33.0, 11.446)","(329.997, 659.839, -35.109, 11.789)","(287.323, 658.376, -29.214, 10.709)","(245.688, 661.539, -33.166, -8.133)","(205.344, 665.039, -35.59, -12.28)","(165.276, 662.973, -36.242, 9.502)","(135.445, 639.8, -9.385, -33.528)","(119.368, 601.369, -18.83, -49.116)","(105.72, 558.463, -25.787, -34.19)","(95.094, 513.551, -11.239, -35.712)","(83.39, 471.963, -20.843, -33.89)","(73.613, 432.054, 5.61, -51.671)","(68.077, 393.599, -24.163, -22.088)","(32.613, 382.726, -65.41, -24.364)","(None, None, None, None)"
42,"(248.827, 396.733, 5.066, -9.19)","(270.078, 389.788, 23.429, -17.399)","(295.412, 382.528, 33.606, -8.622)","(323.301, 375.492, 42.045, -22.451)","(352.791, 370.57, 26.417, -21.022)","(382.286, 364.367, 41.84, 0.383)","(410.389, 354.05, 44.526, 0.565)","(440.877, 344.471, 39.239, -5.822)","(472.554, 336.905, 34.164, -17.578)","(503.83, 328.207, 37.829, -4.194)","(533.47, 319.223, 33.655, -2.241)","(563.204, 310.428, 44.096, 8.105)","(592.777, 303.236, 16.545, -13.898)","(618.307, 296.922, 15.812, -2.864)","(641.812, 289.425, 27.541, -17.929)","(663.477, 283.202, 32.773, -14.225)","(683.402, 277.207, 10.143, -15.525)","(700.6, 271.883, 19.291, 7.5)","(716.587, 267.612, 26.335, 1.561)","(729.714, 263.109, 19.224, -11.23)","(740.21, 261.875, -0.743, 8.958)","(746.983, 255.438, 7.204, 2.804)","(758.544, 250.381, 18.875, -17.031)","(771.788, 246.141, 14.271, 1.226)","(782.729, 240.464, 16.574, -21.357)","(793.152, 227.087, 14.646, -23.299)","(802.566, 205.091, 5.695, -37.538)","(805.553, 176.145, -15.33, -40.839)"
43,"(583.036, 399.083, 36.135, -21.832)","(620.172, 381.73, 25.149, -14.828)","(649.843, 362.329, 43.841, -25.075)","(679.642, 339.987, 12.524, -33.496)","(705.525, 325.909, 36.201, -14.771)","(728.708, 312.237, 26.493, -19.93)","(750.879, 301.19, 15.109, 5.542)","(771.738, 283.318, 31.068, -15.325)","(789.209, 266.041, 15.86, -14.707)","(802.23, 255.198, 23.618, -16.701)","(812.403, 242.879, 16.892, -24.631)","(817.667, 228.661, -7.978, -6.339)","(818.554, 212.958, 3.53, -14.254)","(819.047, 202.9, 2.944, -29.705)","(814.335, 199.733, -11.538, -21.103)","(813.337, 202.964, -13.494, 9.656)","(811.038, 193.488, -15.395, -16.395)","(808.932, 185.424, 6.115, -39.715)","(811.583, 158.09, 2.17, -56.841)","(809.31, 123.598, -5.833, -6.25)","(809.674, 93.017, 14.899, -11.793)","(798.737, 74.274, -25.628, -36.029)","(762.67, 56.39, -26.398, -18.573)","(724.531, 55.282, -19.423, -10.278)","(692.189, 55.952, -34.006, -5.038)","(654.715, 57.742, -28.471, -6.782)","(615.593, 58.266, -28.191, -5.421)","(575.035, 59.22, -55.008, -15.77)"
44,"(703.208, 549.83, 49.698, -0.536)","(735.503, 552.775, 44.098, 14.197)","(766.08, 551.791, 43.542, -0.134)","(776.138, 572.533, -23.94, 33.905)","(772.615, 626.02, -7.246, 29.207)","(773.144, 660.136, -24.175, 15.67)","(729.314, 671.121, -35.354, 12.947)","(683.42, 667.976, -39.175, -0.475)","(636.641, 668.633, -51.297, -1.88)","(593.056, 667.85, -52.103, 2.032)","(550.039, 665.274, -59.8, 12.429)","(508.703, 664.735, -27.677, -2.085)","(466.734, 665.298, -52.598, -0.283)","(424.449, 663.976, -52.175, 12.569)","(385.466, 663.971, -43.257, 2.293)","(343.599, 664.186, -27.78, -9.067)","(301.671, 666.636, -45.69, 9.387)","(260.195, 666.05, -39.072, -10.373)","(218.768, 667.816, -48.605, 7.685)","(178.743, 665.262, -36.271, 2.831)","(137.942, 651.37, -17.271, -53.389)","(119.689, 607.461, -21.392, -36.126)","(107.124, 562.187, -10.681, -40.761)","(94.665, 521.617, -1.922, -47.548)","(79.515, 482.241, -2.879, -29.327)","(68.12, 448.097, -24.086, -41.084)","(63.904, 424.939, -11.442, -16.678)","(73.863, 405.305, 21.034, -28.994)"
45,"(506.42, 293.741, 44.963, -28.361)","(543.753, 279.316, 29.478, -2.734)","(579.106, 269.288, 27.97, -4.902)","(614.845, 259.863, 31.41, -12.544)","(650.531, 248.36, 40.828, -2.905)","(680.541, 243.394, 37.847, -1.616)","(706.562, 237.817, 15.737, -21.811)","(727.783, 232.206, 27.475, 12.203)","(748.471, 227.943, 13.057, -11.256)","(768.485, 220.06, 22.105, -25.205)","(785.677, 210.373, -2.228, -12.542)","(790.231, 185.275, -7.923, -24.933)","(796.804, 154.498, 23.106, -21.132)","(793.647, 118.668, 3.634, -9.774)","(779.161, 86.866, -43.375, -45.731)","(729.139, 79.503, -54.874, 15.612)","(690.454, 85.957, -42.156, -3.363)","(651.1, 88.32, -36.305, -8.063)","(604.215, 89.612, -47.933, -16.942)","(567.256, 90.358, -45.89, 8.96)","(520.337, 95.865, -37.068, 19.263)","(483.352, 100.46, -35.445, 9.992)","(443.527, 99.0, -51.632, -4.739)","(404.58, 101.036, -43.424, -6.517)","(364.814, 100.206, -52.285, 15.707)","(323.028, 99.297, -50.29, 0.744)","(283.214, 98.33, -43.258, -1.124)","(247.173, 95.989, -48.98, 3.694)"
