,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,"(450, 375, None, None)","(450, 375, None, None)","(483.797, 388.044, None, None)","(537.16, 408.641, None, None)","(579.09, 418.57, None, None)","(636.274, 417.187, None, None)","(664.018, 427.897, None, None)","(714.317, 455.133, None, None)","(733.127, 474.811, None, None)","(749.839, 498.7, None, None)","(777.33, 520.205, None, None)","(782.022, 547.908, None, None)","(786.981, 581.868, None, None)","(788.986, 599.87, None, None)","(775.657, 639.561, None, None)","(743.119, 668.342, None, None)","(694.012, 655.46, None, None)","(669.046, 662.978, None, None)","(618.862, 657.101, None, None)","(571.369, 653.032, None, None)","(541.247, 672.832, None, None)","(485.979, 664.689, None, None)","(438.494, 662.768, None, None)","(383.066, 672.082, None, None)","(326.215, 668.357, None, None)","(269.065, 670.746, None, None)","(227.177, 668.939, None, None)","(171.726, 661.286, None, None)","(161.472, 651.319, None, None)","(160.538, 651.128, None, None)","(138.09, 672.841, None, None)","(123.474, 619.137, None, None)","(126.136, 562.321, None, None)","(106.264, 509.334, None, None)","(110.935, 458.092, None, None)","(109.191, 412.484, None, None)","(74.521, 394.436, None, None)","(31.93, 386.588, None, None)"
1,"(287.307, 460.305, 45.424, -3.372)","(319.562, 463.012, 18.535, -9.641)","(352.103, 466.924, 16.232, 13.916)","(383.899, 469.848, 38.422, -10.883)","(419.622, 475.716, 35.369, 9.464)","(453.591, 479.727, 37.414, 3.113)","(489.466, 483.082, 20.173, -1.893)","(520.696, 486.307, 37.304, -7.513)","(554.299, 485.066, 32.64, -8.579)","(587.249, 485.75, 26.423, 0.478)","(618.28, 486.25, 27.977, 12.982)","(646.909, 488.007, 30.076, 0.121)","(672.714, 487.802, 16.161, -5.261)","(699.028, 491.857, 37.962, -3.87)","(723.043, 499.443, 35.009, -4.913)","(741.69, 505.755, 22.017, 2.241)","(756.281, 509.779, 45.545, 16.74)","(773.283, 526.243, 20.832, 14.1)","(781.627, 546.331, -4.807, 38.681)","(788.098, 575.85, -2.145, 36.444)","(791.739, 609.372, -12.446, 9.502)","(797.783, 636.59, 3.377, 16.385)","(796.963, 654.638, -4.796, -0.292)","(783.595, 664.537, -29.976, 25.771)","(750.429, 674.435, -28.4, 15.078)","(724.283, 682.079, -39.007, -0.016)","(689.399, 685.393, -55.802, 11.842)","(654.711, 687.045, -45.193, 12.297)","(621.16, 691.651, -50.019, 1.921)","(583.385, 691.638, -56.876, 4.437)","(543.744, 689.161, -51.814, -3.306)","(506.124, 689.342, -35.447, 12.335)","(468.666, 688.481, -36.154, 5.238)","(428.607, 687.676, -33.183, -1.95)","(387.003, 684.734, -41.916, -12.478)","(350.093, 681.604, -46.938, -13.55)","(310.746, 678.744, -31.033, -4.053)","(277.116, 677.197, -38.214, 21.014)"
2,"(253.735, 213.34, 17.48, -22.779)","(283.668, 205.783, 23.377, -7.33)","(313.955, 199.733, 38.282, 7.632)","(344.525, 194.017, 30.166, 3.253)","(377.782, 188.447, 34.387, -14.867)","(410.522, 183.844, 28.634, -18.553)","(442.444, 183.169, 35.674, -5.466)","(470.583, 180.451, 18.415, -6.796)","(498.725, 178.637, 22.707, -10.155)","(527.236, 176.6, 29.663, 10.325)","(554.543, 175.401, 41.174, -2.031)","(581.136, 177.293, 26.724, 7.947)","(609.976, 181.492, 35.04, 15.931)","(633.294, 181.528, 8.757, -17.296)","(651.715, 179.38, 23.207, 11.885)","(670.289, 177.904, 21.586, 14.943)","(685.994, 178.884, 5.256, -6.659)","(701.045, 180.625, 17.919, -4.395)","(715.194, 179.792, 24.352, -2.244)","(723.366, 178.502, 0.722, 5.873)","(731.914, 176.776, 6.21, 3.17)","(739.775, 182.141, 16.26, 7.397)","(748.239, 193.495, 3.124, -8.747)","(763.834, 199.218, -1.65, -5.449)","(764.997, 192.639, -5.261, -21.761)","(757.402, 166.324, -10.9, -18.018)","(760.032, 144.25, -1.123, -21.999)","(769.306, 125.203, 27.486, -31.368)","(780.297, 104.707, 25.788, -18.484)","(763.879, 103.054, -45.607, 4.238)","(739.415, 113.889, -16.906, 18.12)","(734.22, 113.99, -8.097, 2.85)","(726.541, 113.952, -26.993, 4.613)","(714.335, 113.746, -36.905, 10.908)","(697.241, 113.835, -28.391, -9.474)","(674.526, 113.469, -9.325, -5.368)","(647.686, 113.15, -16.849, 12.176)","(622.949, 113.143, -17.405, -3.589)"
3,"(645.462, 504.816, 40.555, 27.074)","(674.844, 522.503, 20.211, 4.887)","(704.231, 532.012, 39.747, 29.145)","(738.451, 539.754, 42.594, 0.842)","(770.403, 543.859, 45.142, 22.416)","(786.636, 589.145, 6.475, 54.196)","(786.105, 629.689, 9.692, 25.388)","(767.068, 654.021, -50.861, 3.505)","(715.001, 646.571, -51.312, -20.043)","(678.191, 640.46, -32.107, 7.754)","(635.549, 636.469, -51.338, -14.686)","(607.065, 636.268, -53.282, 4.618)","(586.364, 636.125, -52.548, 0.263)","(560.513, 636.12, -41.889, 6.894)","(545.845, 636.1, -41.129, -10.242)","(523.599, 636.007, -34.905, -1.185)","(510.478, 636.06, -53.472, 3.031)","(510.478, 636.06, -53.472, 3.031)","(509.895, 636.008, -34.954, -3.144)","(505.439, 636.042, -50.309, 1.424)","(491.256, 636.016, -46.615, -0.733)","(491.256, 636.016, -46.615, -0.733)","(481.834, 636.045, -45.37, 1.727)","(472.734, 636.06, -66.406, -0.609)","(469.953, 636.008, -49.487, -0.435)","(469.953, 636.008, -49.487, -0.435)","(469.953, 636.008, -49.487, -0.435)","(469.953, 636.008, -49.487, -0.435)","(460.309, 636.151, -52.755, 4.578)","(453.038, 636.006, -61.727, -1.577)","(453.038, 636.006, -61.727, -1.577)","(453.038, 636.006, -61.727, -1.577)","(435.538, 636.014, -64.188, -17.205)","(411.693, 636.078, -24.044, 4.356)","(389.396, 636.171, -37.714, 2.984)","(380.681, 636.003, -56.784, -1.946)","(374.99, 636.008, -51.093, -1.988)","(358.464, 636.427, -38.771, 10.603)"
4,"(669.441, 479.204, 24.279, 21.019)","(706.132, 500.545, 29.91, 28.456)","(744.976, 519.301, 51.339, 22.175)","(776.35, 538.831, 4.881, 27.091)","(791.385, 578.695, 5.028, 45.178)","(801.527, 624.26, 12.015, 26.125)","(804.071, 659.614, -18.867, 36.517)","(787.096, 679.253, -27.234, 12.999)","(754.227, 688.541, -46.84, -4.43)","(706.831, 682.785, -52.469, -4.363)","(662.149, 681.532, -54.236, -7.508)","(619.898, 680.995, -29.158, -13.605)","(573.993, 681.794, -47.509, 7.805)","(532.048, 680.288, -56.539, 8.5)","(492.84, 678.43, -49.964, -3.448)","(451.766, 677.327, -41.366, -0.274)","(405.544, 679.302, -53.917, 14.384)","(358.159, 675.551, -55.829, -0.611)","(314.269, 670.797, -44.374, -8.907)","(272.977, 666.23, -38.761, -4.491)","(233.184, 664.077, -37.919, -6.928)","(195.434, 665.109, -25.807, -10.423)","(155.546, 663.053, -62.179, 0.435)","(128.383, 632.825, -11.147, -40.979)","(112.986, 593.5, -16.252, -26.934)","(100.788, 551.158, -23.285, -49.696)","(88.667, 511.104, -7.934, -42.364)","(79.896, 471.153, -3.345, -40.573)","(71.128, 436.75, -16.588, -37.076)","(72.054, 404.162, 3.276, -33.014)","(37.782, 383.585, -59.467, -9.673)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(345.457, 326.237, 63.593, -16.825)","(392.436, 312.432, 50.097, -11.375)","(433.473, 297.347, 41.791, -6.547)","(469.716, 284.952, 45.026, -10.939)","(506.253, 272.749, 51.688, -8.473)","(543.149, 264.329, 45.17, -12.746)","(579.023, 255.111, 23.287, -9.377)","(613.548, 245.982, 40.426, -22.33)","(647.114, 240.306, 40.576, 5.516)","(684.753, 233.095, 12.139, 2.472)","(711.121, 229.775, 26.54, -3.992)","(734.298, 226.747, 34.725, 9.464)","(754.821, 224.246, 18.919, 10.045)","(775.085, 207.274, 17.405, -34.725)","(796.14, 174.452, 18.943, -27.28)","(795.969, 141.412, -2.128, -24.326)","(800.195, 111.774, -3.342, -20.16)","(800.764, 86.201, -1.158, -7.042)","(775.367, 68.708, -25.087, -7.011)","(745.619, 53.484, -32.256, -2.941)","(699.703, 55.513, -43.176, 1.203)","(664.276, 60.215, -23.939, 11.54)","(621.259, 60.703, -31.638, -6.859)","(579.974, 61.176, -42.186, 5.36)","(538.389, 60.685, -50.057, -14.116)","(499.98, 60.298, -41.416, 4.848)","(462.809, 61.273, -20.925, 6.819)","(426.918, 61.214, -36.918, -0.376)","(390.795, 61.29, -51.742, -15.565)","(353.929, 63.72, -47.475, 6.271)","(316.29, 63.118, -45.207, -5.614)","(280.705, 64.079, -42.78, 11.888)","(245.315, 65.415, -24.957, 6.643)","(209.926, 67.093, -53.965, -5.893)","(173.852, 65.044, -29.202, -12.276)","(133.9, 71.535, -45.842, 24.75)","(103.767, 99.011, -32.652, 33.58)","(82.448, 137.885, -31.547, 27.262)"
6,"(326.134, 172.705, 43.645, 0.761)","(365.396, 167.214, 46.207, -2.539)","(396.105, 166.231, 29.613, -8.654)","(422.731, 166.153, 24.619, 7.422)","(449.526, 166.189, 52.908, 3.94)","(477.519, 166.169, 48.939, -2.096)","(503.025, 166.198, 47.787, 9.293)","(528.949, 166.175, 26.609, -4.032)","(555.598, 166.025, 25.92, -6.188)","(581.195, 166.072, 40.908, 3.679)","(608.409, 166.162, 21.917, -14.773)","(638.844, 171.269, 33.713, 13.196)","(659.548, 175.925, 11.222, 4.664)","(676.6, 183.318, 25.924, 36.852)","(706.11, 192.895, 20.305, -10.31)","(726.588, 197.973, 22.021, -7.554)","(749.037, 198.517, 10.124, -15.008)","(772.255, 198.376, 16.569, -26.511)","(785.42, 178.5, 6.066, -50.039)","(791.974, 141.224, -12.573, -44.802)","(804.816, 115.997, 13.008, -9.537)","(806.796, 85.973, -1.42, -6.559)","(793.717, 74.81, -29.295, -23.293)","(758.942, 58.54, -50.034, 1.627)","(722.503, 57.235, -41.661, -5.372)","(691.325, 59.19, -51.493, 16.71)","(654.593, 60.514, -24.346, -1.799)","(615.504, 58.605, -44.645, 6.553)","(575.29, 61.698, -28.32, -8.238)","(535.205, 63.683, -27.098, -2.615)","(497.834, 64.57, -47.78, -8.352)","(459.145, 65.415, -21.792, 16.176)","(422.648, 64.651, -31.967, 4.116)","(386.849, 64.639, -51.576, -4.358)","(351.009, 64.993, -22.637, 5.899)","(314.606, 66.834, -44.021, -9.495)","(279.954, 66.341, -22.411, -4.306)","(246.705, 65.186, -33.969, -1.082)"
7,"(724.407, 470.358, 36.038, 3.254)","(754.02, 487.254, 22.561, 14.992)","(782.453, 506.256, 9.518, 11.721)","(802.516, 525.79, 28.518, 34.993)","(809.872, 543.444, 36.019, 20.286)","(826.586, 568.088, 0.647, 1.034)","(834.449, 580.688, 32.083, 10.286)","(840.437, 583.999, 29.525, 3.923)","(840.437, 583.999, 29.525, 3.923)","(840.437, 583.999, 29.525, 3.923)","(840.437, 583.999, 29.525, 3.923)","(843.476, 583.959, 15.393, -1.417)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(844.009, 583.983, 24.658, -0.434)","(843.833, 583.981, -10.545, -0.105)","(843.213, 583.999, -24.014, 3.091)","(843.176, 583.987, -2.247, -0.743)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)","(843.146, 583.993, -1.762, 0.392)"
8,"(472.628, 546.212, 58.98, 14.817)","(515.526, 549.991, 48.172, -10.348)","(557.098, 551.865, 56.043, -10.268)","(598.436, 554.742, 40.811, 13.024)","(632.408, 557.288, 15.982, 0.082)","(662.048, 558.882, 28.026, 4.978)","(701.346, 556.821, 60.273, 0.154)","(728.717, 557.67, 35.526, 14.561)","(754.5, 557.783, 44.027, 11.61)","(772.87, 572.573, 12.667, 49.65)","(776.993, 620.715, 5.486, 53.582)","(778.805, 656.853, 3.244, 49.259)","(724.448, 659.911, -37.203, -13.819)","(691.463, 648.856, -33.158, -10.533)","(678.918, 636.034, -28.065, 1.528)","(677.041, 636.002, -46.907, -1.573)","(677.041, 636.002, -46.907, -1.573)","(677.041, 636.002, -46.907, -1.573)","(677.041, 636.002, -46.907, -1.573)","(677.041, 636.002, -46.907, -1.573)","(677.041, 636.002, -46.907, -1.573)","(677.041, 636.002, -46.907, -1.573)","(674.666, 636.024, -37.505, 0.646)","(664.216, 636.053, -46.614, 2.914)","(664.216, 636.053, -46.614, 2.914)","(663.39, 636.02, -49.609, -1.979)","(662.183, 636.211, -26.173, 6.895)","(649.158, 636.002, -41.103, -1.915)","(649.158, 636.002, -41.103, -1.915)","(648.044, 636.027, -8.964, -3.093)","(646.617, 636.02, -55.014, -3.145)","(644.82, 636.094, -37.118, 3.163)","(635.212, 636.081, -33.205, 3.338)","(620.887, 636.044, -43.11, -2.913)","(600.04, 636.029, -23.163, -17.587)","(578.703, 636.107, -23.941, -7.816)","(553.863, 636.087, -41.693, -13.661)","(527.077, 636.303, -30.113, 2.362)"
9,"(266.253, 518.12, 23.448, 15.436)","(298.388, 520.809, 20.032, -13.133)","(333.045, 520.96, 38.41, -3.696)","(364.171, 522.726, 37.171, 14.675)","(399.76, 523.576, 35.5, 12.14)","(434.264, 524.266, 26.503, 5.126)","(468.308, 522.386, 32.93, 11.485)","(497.786, 521.83, 36.583, 12.917)","(526.569, 522.903, 17.044, -16.828)","(556.398, 521.028, 30.254, -16.999)","(583.703, 520.485, 31.09, 6.263)","(611.614, 521.162, 7.572, 6.24)","(637.175, 523.932, 29.004, 12.385)","(662.286, 526.568, 28.076, 2.542)","(684.885, 529.253, 5.012, 20.623)","(705.544, 532.594, 21.955, 17.08)","(723.437, 535.925, 22.987, 17.43)","(737.413, 538.082, 16.254, 14.64)","(752.88, 538.843, 31.878, 3.217)","(771.919, 542.893, 0.806, 17.152)","(777.755, 565.459, 25.586, 48.189)","(775.362, 603.858, 0.094, 46.799)","(768.012, 636.002, -3.083, 36.461)","(770.941, 653.626, -12.776, 0.674)","(769.166, 656.251, -43.641, 9.008)","(731.297, 650.039, -41.309, 3.354)","(712.303, 652.739, -42.21, 26.734)","(676.404, 660.349, -24.569, -14.624)","(644.549, 664.302, -35.057, -6.838)","(607.029, 669.309, -22.409, 2.072)","(572.434, 669.273, -25.092, -8.181)","(539.165, 668.458, -39.466, -8.525)","(499.803, 667.637, -37.151, -1.221)","(465.82, 666.964, -29.347, -4.244)","(427.014, 668.06, -33.667, -2.887)","(387.324, 668.204, -44.268, -6.381)","(345.326, 667.623, -55.109, 8.782)","(307.533, 660.652, -19.574, -7.425)"
