,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
28,"(461.63, 423.398, 56.779, 6.904)","(504.757, 438.41, 43.301, 1.496)","(540.659, 447.102, 17.411, 25.178)","(574.805, 454.686, 38.709, 15.046)","(605.128, 461.85, 26.394, 14.706)","(633.304, 470.918, 27.023, -7.39)","(660.435, 480.013, 28.996, 3.156)","(684.863, 487.219, 30.417, 1.759)","(706.063, 495.565, 23.193, 13.316)","(728.517, 502.168, 30.252, 13.015)","(754.642, 514.847, 14.26, 27.607)","(781.98, 531.503, 26.312, 26.629)","(788.666, 556.521, 31.447, 17.567)","(799.942, 572.557, -19.816, 44.893)","(807.01, 618.637, -8.583, 56.391)","(807.31, 659.0, -16.384, 39.166)","(785.257, 677.368, -13.446, -0.515)","(753.174, 689.318, -49.351, 12.692)","(709.779, 690.296, -30.175, -5.685)","(666.518, 688.165, -40.198, -1.616)","(622.234, 688.969, -57.036, 14.472)","(576.895, 686.907, -33.936, 2.382)","(540.137, 688.278, -27.897, 5.052)","(500.594, 685.897, -43.609, 15.089)","(460.379, 683.27, -35.636, 6.649)","(417.853, 683.5, -32.767, 4.123)","(374.939, 681.233, -27.913, 1.954)","(337.568, 675.004, -42.755, -3.001)","(302.021, 672.597, -38.285, -0.777)","(266.825, 670.176, -28.093, 13.664)","(233.44, 671.396, -49.113, 16.421)","(197.435, 678.764, -34.051, 20.509)","(154.016, 673.752, -75.085, -21.152)","(119.619, 643.647, -19.89, -37.694)","(96.457, 604.016, -5.911, -30.107)","(78.294, 569.052, -29.384, -49.315)","(63.798, 533.315, 0.64, -45.285)","(52.579, 500.448, -23.228, -18.419)","(47.14, 475.43, 5.579, -10.827)","(46.076, 456.932, 2.341, -26.564)","(46.042, 446.986, 1.495, -32.931)","(49.321, 427.562, 18.438, -3.266)","(61.668, 403.241, 8.763, -4.146)","(28.613, 389.1, -70.997, -30.985)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
29,"(387.623, 475.61, 22.167, -4.515)","(426.372, 481.746, 26.883, 20.13)","(465.945, 491.517, 30.585, 21.575)","(503.591, 494.115, 39.95, 15.946)","(541.71, 495.721, 26.32, -3.658)","(576.919, 500.064, 29.959, -0.208)","(610.749, 504.819, 27.606, 17.762)","(640.238, 509.14, 45.35, 17.022)","(670.907, 512.265, 47.844, 9.572)","(695.732, 514.819, 25.92, 5.13)","(716.448, 515.565, 33.084, 3.24)","(746.792, 520.117, 34.704, 4.305)","(766.537, 527.089, 17.181, 12.182)","(782.69, 539.456, 26.006, 7.971)","(792.204, 564.43, 26.768, 11.73)","(801.85, 608.516, -14.735, 71.438)","(803.368, 642.334, 5.455, 26.931)","(787.37, 664.666, -30.801, 39.683)","(746.715, 686.023, -53.096, -5.219)","(710.683, 689.184, -48.794, -9.15)","(673.301, 690.16, -34.145, 13.512)","(632.945, 691.498, -24.11, 21.842)","(592.439, 692.254, -55.669, -5.286)","(551.827, 690.524, -53.011, 12.032)","(515.708, 692.513, -34.513, -6.568)","(474.646, 690.268, -30.207, -6.987)","(433.824, 690.364, -55.194, -8.243)","(391.932, 691.093, -36.87, 7.664)","(351.01, 686.242, -28.675, 7.499)","(312.527, 683.375, -26.408, 2.123)","(273.5, 681.065, -52.966, -13.034)","(237.815, 679.022, -42.116, -4.112)","(210.91, 680.605, -35.769, 15.734)","(173.285, 683.377, -20.238, -1.056)","(134.85, 664.153, -37.008, -33.851)","(105.248, 632.697, -11.703, -25.331)","(84.102, 596.982, -22.435, -49.64)","(68.677, 560.856, -5.104, -50.32)","(58.104, 525.899, -11.13, -49.722)","(53.043, 494.764, -15.47, -33.248)","(49.834, 470.726, -9.542, -17.607)","(46.068, 454.379, 0.058, -42.685)","(46.062, 453.163, -0.768, -35.219)","(46.04, 452.255, 0.311, -36.367)","(46.197, 435.386, -0.265, -26.308)","(55.542, 422.728, 16.801, -20.957)","(60.559, 402.723, 14.813, -18.118)","(30.288, 386.329, -43.461, -7.796)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
30,"(771.476, 220.086, 61.578, -19.606)","(800.33, 178.99, 12.534, -63.814)","(810.045, 128.711, -0.002, -31.119)","(795.883, 84.814, -10.276, -13.486)","(766.399, 68.891, -60.136, -17.465)","(716.759, 66.059, -33.998, 1.748)","(671.085, 67.532, -45.839, -1.12)","(626.088, 68.069, -57.673, -13.139)","(582.593, 69.067, -49.563, 8.66)","(538.628, 70.529, -59.299, 3.106)","(493.881, 72.27, -42.546, 6.443)","(448.692, 75.063, -56.616, -4.737)","(403.718, 76.935, -43.884, 0.978)","(358.873, 79.054, -35.025, -7.143)","(315.456, 79.356, -55.005, -3.561)","(272.401, 79.82, -48.775, -15.405)","(230.392, 79.754, -51.132, 16.01)","(188.958, 79.843, -32.581, 4.26)","(144.888, 80.286, -23.385, 50.353)","(118.856, 116.447, -20.339, 36.622)","(104.877, 156.942, 1.442, 54.486)","(96.11, 198.827, -14.328, 53.024)","(88.372, 240.277, -13.558, 27.52)","(84.957, 280.789, -4.092, 29.501)","(79.559, 320.279, -6.692, 41.944)","(68.63, 360.322, -4.103, 45.76)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
31,"(390.058, 357.258, 61.575, 7.35)","(423.13, 348.352, 40.753, 0.25)","(454.972, 334.671, 38.004, -11.944)","(491.689, 327.61, 29.792, -14.469)","(528.976, 325.861, 46.107, -10.696)","(566.264, 324.404, 45.491, 0.85)","(604.047, 319.142, 19.315, 3.428)","(635.948, 313.256, 19.729, 2.83)","(663.993, 305.897, 37.5, -16.517)","(690.595, 298.36, 32.819, -22.968)","(715.524, 290.849, 13.509, -18.44)","(738.45, 286.129, 29.877, -11.914)","(758.651, 276.972, 15.687, -23.752)","(772.025, 266.53, -3.439, -17.603)","(784.859, 255.539, -2.386, -21.056)","(792.573, 243.488, -1.977, 7.502)","(799.59, 233.238, -8.31, -5.212)","(803.138, 226.713, 12.738, 5.749)","(806.191, 215.195, 5.767, 0.762)","(815.654, 190.456, 4.578, -25.995)","(812.661, 172.749, -17.176, -9.702)","(802.886, 150.359, 4.264, -48.392)","(800.89, 123.818, 3.793, -24.95)","(798.285, 89.733, -24.575, -26.324)","(777.756, 72.466, -44.031, -36.355)","(740.088, 61.417, -33.543, -16.493)","(708.373, 58.329, -58.867, -3.626)","(669.411, 58.806, -23.269, -8.938)","(634.357, 58.916, -21.762, -19.55)","(594.946, 59.509, -50.411, -5.117)","(555.985, 62.158, -45.947, -11.645)","(514.521, 64.576, -52.484, 4.559)","(476.085, 63.29, -51.751, -15.35)","(437.002, 64.008, -40.886, 1.702)","(402.415, 63.357, -54.406, 17.024)","(367.229, 63.575, -37.131, 6.723)","(331.956, 62.939, -39.352, 12.008)","(296.607, 63.95, -40.939, -3.08)","(262.437, 64.649, -22.847, 15.078)","(229.437, 68.093, -39.462, -14.07)","(196.645, 67.407, -28.751, -12.457)","(164.581, 69.023, -48.59, 0.782)","(125.61, 87.497, -37.662, 20.061)","(101.492, 124.885, -17.202, 29.828)","(86.962, 164.679, -9.012, 39.843)","(77.63, 203.084, 6.107, 40.205)","(71.422, 238.65, -18.849, 40.402)","(64.714, 271.26, -8.327, 35.645)","(63.796, 303.3, -13.573, 20.751)","(64.794, 329.991, -9.492, 11.159)","(55.105, 358.128, -37.515, 27.115)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
32,"(546.43, 537.297, 39.61, -10.072)","(585.14, 533.605, 52.665, 9.727)","(622.839, 532.038, 36.704, -3.469)","(659.294, 540.056, 27.841, -0.827)","(694.97, 546.094, 37.28, 11.677)","(725.077, 551.99, 12.738, 20.8)","(749.219, 557.256, 27.484, 15.749)","(766.001, 556.061, 12.739, -21.41)","(768.116, 572.34, -16.36, -17.101)","(776.62, 604.321, 14.75, 56.212)","(784.45, 647.969, -20.296, 45.758)","(742.78, 658.079, -66.718, -23.436)","(696.913, 648.133, -46.347, -7.694)","(653.19, 639.242, -30.151, -6.916)","(623.464, 636.013, -49.475, -14.054)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(622.118, 636.004, -80.751, -0.555)","(616.713, 636.039, -59.954, -0.922)","(596.419, 636.186, -59.405, 6.169)","(578.374, 636.054, -36.258, -0.891)","(563.095, 636.019, -60.478, -19.986)","(539.234, 636.235, -36.379, 11.754)","(512.753, 636.025, -49.838, -0.344)","(482.545, 636.439, -51.849, 2.038)","(451.489, 636.523, -23.801, 7.611)","(425.715, 636.067, -38.666, -4.701)","(395.083, 636.11, -19.012, -7.937)","(367.393, 636.652, -47.062, -14.053)","(337.18, 636.975, -20.613, 15.433)","(306.172, 637.464, -26.099, 11.588)","(275.117, 640.402, -46.961, 8.636)","(246.193, 643.163, -19.508, -9.56)","(226.367, 654.906, -29.386, 15.86)","(201.481, 667.73, -67.914, 15.342)","(145.205, 665.155, -44.651, -31.216)","(120.715, 627.814, -30.543, -36.695)","(108.734, 586.158, -17.716, -31.602)","(99.682, 548.169, 5.819, -22.642)","(98.034, 512.736, -16.076, -55.008)","(96.657, 481.767, -11.282, -38.398)","(90.283, 449.203, -19.319, -17.013)","(81.866, 424.684, -2.36, -33.52)","(70.693, 393.005, -3.782, -18.006)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
33,"(568.419, 415.741, 21.942, 17.62)","(600.959, 434.183, 37.587, 10.778)","(631.346, 448.387, 13.756, -2.577)","(660.023, 457.617, 28.721, -0.383)","(690.935, 470.456, 47.156, 26.343)","(719.38, 483.397, 24.31, 3.292)","(742.369, 495.126, 27.628, 15.066)","(766.263, 508.148, 36.753, 10.679)","(782.611, 528.704, 0.735, 25.241)","(789.684, 549.242, 15.62, 39.692)","(800.195, 585.556, -0.547, 37.453)","(797.226, 626.251, -2.187, 26.202)","(775.598, 658.164, -42.738, -6.91)","(732.275, 660.048, -35.506, -8.105)","(686.892, 652.664, -42.618, -1.287)","(654.281, 657.67, -32.402, 10.398)","(614.885, 659.797, -58.52, 12.08)","(567.877, 654.342, -31.622, -3.021)","(531.812, 641.63, -36.753, -0.94)","(502.786, 636.029, -42.964, -9.961)","(487.355, 636.016, -56.092, -2.411)","(474.992, 636.04, -90.614, -0.607)","(474.382, 636.01, -36.603, -1.789)","(459.38, 636.087, -30.578, -4.316)","(438.283, 636.258, -50.46, 4.544)","(428.066, 636.039, -64.879, -1.104)","(424.073, 636.02, -69.176, -1.207)","(424.073, 636.02, -69.176, -1.207)","(424.073, 636.02, -69.176, -1.207)","(424.073, 636.02, -69.176, -1.207)","(414.957, 636.005, -34.011, -2.628)","(402.647, 636.091, -56.383, -0.703)","(389.517, 636.037, -63.251, 0.639)","(374.582, 636.045, -39.578, 1.133)","(363.325, 636.037, -53.004, -2.354)","(340.527, 636.362, -31.684, -3.736)","(318.249, 636.22, -53.831, 4.517)","(296.265, 636.033, -40.998, -2.986)","(271.606, 636.208, -47.73, 6.152)","(239.64, 636.681, -21.404, -0.655)","(220.65, 639.628, -27.928, -1.045)","(209.278, 644.25, 4.393, 10.106)","(205.923, 647.474, -1.999, 5.061)","(193.046, 652.373, -57.585, -13.592)","(165.947, 651.047, -49.044, -8.858)","(137.544, 648.106, -16.425, -34.803)","(132.632, 604.427, -7.21, -42.511)","(132.69, 567.924, -15.355, -44.62)","(125.72, 531.438, 1.917, -25.246)","(115.823, 496.201, -17.865, -41.928)","(108.512, 464.871, -3.67, -16.068)","(98.417, 437.645, -9.416, -37.507)","(86.089, 414.122, 2.792, -13.08)","(65.669, 391.7, -36.503, -10.994)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
34,"(292.661, 522.514, 22.493, 10.097)","(329.713, 520.836, 53.486, 13.455)","(367.427, 521.614, 22.748, -13.164)","(401.102, 522.022, 25.652, -4.07)","(434.758, 525.076, 30.676, 15.228)","(470.891, 526.922, 35.247, -9.363)","(503.95, 528.729, 42.664, 0.425)","(534.055, 531.729, 27.025, 17.407)","(563.738, 533.798, 39.623, -2.772)","(594.541, 538.92, 42.755, 20.336)","(625.034, 535.661, 46.745, -4.104)","(664.379, 534.596, 40.268, -8.179)","(698.642, 541.597, 25.573, 7.356)","(726.731, 538.514, 19.094, 0.907)","(746.04, 532.263, 6.832, 5.621)","(767.584, 536.73, 39.918, 23.094)","(775.585, 549.069, 23.83, 20.316)","(785.547, 587.236, -18.623, 55.259)","(783.46, 625.654, 8.219, 40.906)","(773.2, 653.6, -55.708, -7.798)","(732.697, 658.528, -24.341, 4.35)","(686.047, 665.994, -41.614, 24.342)","(644.329, 659.627, -42.059, -14.957)","(607.327, 658.224, -67.412, 7.898)","(563.184, 646.634, -22.104, -25.46)","(547.229, 636.03, -23.423, 0.672)","(546.242, 636.006, -59.224, -1.437)","(530.443, 636.068, -54.822, 2.556)","(514.45, 636.062, -43.815, -6.482)","(501.525, 636.052, -15.825, 1.881)","(498.02, 636.022, -45.079, -1.625)","(491.645, 636.105, -33.247, -4.135)","(483.098, 636.154, -50.83, 0.55)","(473.064, 636.127, -46.244, 1.479)","(460.08, 636.014, -24.651, -0.552)","(438.223, 636.477, -36.813, 10.282)","(410.355, 636.195, -41.979, 11.248)","(381.351, 636.078, -50.632, 2.858)","(354.195, 636.159, -54.746, 4.206)","(326.277, 636.056, -41.339, -3.787)","(294.747, 636.533, -40.015, 6.355)","(268.158, 636.151, -40.477, 8.054)","(242.987, 636.39, -13.851, 5.521)","(223.09, 637.244, -10.934, 2.566)","(210.195, 641.795, -1.164, 9.662)","(205.41, 647.603, -21.013, 22.179)","(205.511, 647.575, 3.859, 1.455)","(205.347, 647.743, -9.186, 9.8)","(199.972, 654.262, -38.877, -23.25)","(173.89, 651.187, -27.015, 9.332)","(138.819, 655.186, -50.19, -62.753)","(122.507, 612.232, 5.197, -49.225)","(117.546, 573.217, -1.17, -50.264)","(113.549, 537.907, -2.244, -20.629)","(107.886, 500.162, -9.108, -27.968)","(102.19, 469.584, 4.543, -13.944)","(99.644, 441.88, -2.134, -40.204)","(95.354, 418.8, -4.79, -8.476)","(84.029, 397.521, -13.724, -7.156)","(73.247, 375.847, 3.646, -13.389)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
35,"(416.348, 166.573, 45.052, 4.513)","(430.451, 166.144, 41.998, 6.416)","(439.441, 166.039, 58.034, 1.982)","(442.55, 166.001, 56.488, -4.334)","(444.186, 166.018, 44.086, -1.571)","(461.72, 166.2, 55.936, -7.985)","(494.069, 166.081, 53.538, -7.657)","(525.754, 166.868, 51.044, 6.687)","(556.11, 167.368, 17.099, -14.64)","(586.466, 168.238, 38.984, 1.978)","(612.586, 170.635, 33.606, -8.525)","(636.22, 169.339, 23.274, -7.622)","(657.432, 169.583, 10.2, -9.404)","(679.133, 167.94, 27.411, 6.624)","(702.17, 166.07, 24.797, -16.921)","(720.444, 166.096, 25.805, -5.462)","(733.966, 170.834, 2.871, 0.477)","(747.743, 168.709, 14.766, 14.582)","(755.691, 179.136, 15.374, 26.063)","(769.088, 188.855, 3.398, 17.37)","(766.928, 177.583, 1.696, -21.842)","(761.266, 151.818, 1.631, -35.045)","(758.784, 136.172, 12.008, -17.658)","(761.771, 122.611, 14.916, -15.054)","(773.472, 99.573, 3.271, -35.288)","(748.279, 97.084, -43.496, -7.51)","(728.465, 98.378, -29.706, 2.346)","(707.549, 96.215, -11.942, -10.219)","(669.87, 87.352, -25.012, 5.493)","(632.669, 81.228, -38.079, -1.886)","(589.916, 79.788, -21.007, 12.237)","(552.771, 86.317, -53.058, 4.744)","(514.741, 90.337, -36.426, -3.235)","(476.587, 92.311, -29.161, 3.262)","(438.001, 94.444, -50.647, 1.545)","(400.47, 93.328, -49.463, -4.056)","(362.921, 91.399, -37.227, -8.689)","(326.003, 92.641, -48.316, 9.688)","(290.682, 93.095, -31.279, 0.525)","(256.285, 91.857, -28.043, -8.691)","(225.022, 88.904, -18.656, 2.319)","(192.579, 90.977, -22.688, -0.0)","(158.944, 82.118, -58.201, -19.497)","(127.761, 99.075, -21.984, 38.928)","(113.781, 137.403, -1.935, 27.559)","(109.768, 176.425, -14.297, 50.886)","(108.973, 213.547, 11.861, 40.135)","(110.05, 249.701, 3.75, 36.402)","(109.81, 281.283, 2.535, 26.161)","(108.602, 308.953, -4.969, 40.153)","(105.834, 325.031, 6.301, 1.023)","(102.591, 341.868, 4.944, 2.794)","(95.754, 351.762, -4.893, 31.643)","(82.007, 359.82, -5.413, -4.175)","(49.605, 361.908, -78.259, -2.069)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
36,"(344.881, 324.84, 39.961, -2.009)","(376.702, 318.757, 50.575, -11.045)","(411.656, 307.956, 12.72, 2.632)","(443.534, 298.752, 45.169, -16.734)","(480.33, 291.33, 33.866, -14.773)","(514.761, 286.652, 38.187, -15.353)","(551.313, 281.644, 50.398, 3.786)","(584.843, 275.016, 44.706, 0.799)","(618.304, 269.054, 47.603, -17.628)","(648.09, 262.672, 29.788, -2.7)","(672.575, 256.317, 31.039, -18.088)","(699.074, 251.349, 42.458, 0.299)","(721.082, 244.391, 0.487, -12.957)","(738.425, 237.96, 14.58, -5.157)","(757.928, 232.558, 30.761, -26.426)","(776.971, 218.706, 5.931, -17.088)","(789.842, 196.411, 24.864, -13.484)","(799.026, 162.117, 27.694, -34.558)","(803.719, 128.517, 0.605, -30.118)","(802.945, 98.538, -5.37, -11.776)","(786.506, 83.625, -29.744, -15.793)","(751.014, 77.747, -57.496, 1.337)","(709.549, 73.065, -55.38, -21.54)","(666.972, 64.793, -45.54, -1.206)","(622.5, 60.222, -37.936, 12.955)","(578.697, 60.287, -54.527, -2.775)","(535.561, 61.644, -60.113, 11.418)","(498.077, 62.351, -32.89, 1.192)","(462.045, 63.397, -43.852, 5.573)","(424.822, 63.673, -17.255, -1.916)","(387.966, 64.018, -37.326, 2.081)","(348.151, 62.661, -53.53, -12.331)","(313.47, 64.11, -48.76, 16.284)","(279.867, 64.98, -28.171, 4.012)","(244.097, 65.652, -25.963, -12.802)","(210.66, 68.712, -32.395, -3.751)","(177.952, 65.325, -55.899, -2.076)","(136.245, 71.365, -42.191, 20.893)","(108.03, 98.725, -35.132, 49.34)","(88.439, 135.59, -23.819, 38.244)","(78.711, 174.434, 2.402, 45.366)","(73.637, 212.785, 7.216, 33.119)","(70.312, 245.171, -2.302, 47.729)","(67.888, 279.973, 6.23, 30.078)","(65.766, 314.005, -17.309, 34.406)","(64.795, 336.746, 5.944, 1.434)","(58.314, 358.154, -39.615, 2.214)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
37,"(453.257, 340.331, 63.945, -20.429)","(507.977, 330.294, 51.101, -14.83)","(549.523, 328.036, 33.432, -8.253)","(589.082, 325.249, 50.904, -8.942)","(625.656, 322.72, 36.994, 6.164)","(660.847, 315.742, 48.731, 8.123)","(691.991, 306.187, 38.491, -10.74)","(720.37, 295.722, 22.248, -11.027)","(742.822, 285.096, 33.082, -10.391)","(764.04, 274.218, 5.899, -9.661)","(785.118, 260.984, 4.808, -5.228)","(799.667, 250.855, 29.777, -22.025)","(811.465, 242.629, -6.073, -5.324)","(813.711, 231.052, 1.309, -16.8)","(818.993, 224.149, 17.899, -8.689)","(816.028, 216.66, 2.163, -10.358)","(814.572, 210.367, -6.77, 9.507)","(810.712, 197.325, -0.243, -29.497)","(811.077, 171.31, 9.255, -18.64)","(808.18, 135.392, -10.574, -29.637)","(810.016, 103.309, 11.743, -26.767)","(805.229, 74.983, 3.843, -24.749)","(787.642, 58.186, -19.449, -22.299)","(760.599, 56.773, -38.871, -10.067)","(726.9, 57.695, -26.134, 14.806)","(687.026, 58.104, -37.911, -4.907)","(649.3, 58.359, -31.497, -10.972)","(607.565, 57.259, -61.887, 0.161)","(568.984, 60.478, -37.67, -13.104)","(528.281, 60.348, -50.075, 9.823)","(491.839, 62.089, -42.487, 1.149)","(452.049, 61.218, -44.299, 4.187)","(413.99, 61.424, -48.98, -5.905)","(376.894, 60.667, -38.399, 2.745)","(342.196, 61.505, -14.582, 11.841)","(307.864, 62.462, -38.688, 7.673)","(274.449, 61.179, -28.402, -3.204)","(238.346, 63.467, -33.33, -0.288)","(205.601, 64.93, -49.423, -3.917)","(164.163, 65.67, -39.616, -2.689)","(122.665, 76.484, -41.452, 9.256)","(94.648, 104.789, -15.676, 36.658)","(76.432, 136.695, -12.11, 17.544)","(67.564, 170.336, -2.131, 30.44)","(63.523, 206.78, -2.923, 43.872)","(62.54, 245.165, -2.123, 22.197)","(61.718, 282.216, -3.386, 29.071)","(61.267, 314.45, -7.68, 17.935)","(60.803, 343.324, 5.979, 19.026)","(35.624, 362.746, -58.552, 37.509)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
38,"(698.347, 535.446, 25.21, 12.656)","(736.051, 552.659, 32.686, 23.802)","(767.664, 562.205, 14.886, 2.507)","(774.214, 597.581, -7.108, 58.132)","(772.953, 641.115, -3.638, 41.085)","(759.31, 657.294, -53.615, 6.18)","(713.928, 657.469, -40.296, 6.804)","(674.84, 654.781, -28.34, 10.231)","(632.679, 651.92, -44.358, 11.657)","(591.769, 649.487, -38.636, 7.23)","(549.505, 649.084, -30.168, 14.524)","(506.892, 647.084, -50.29, 6.955)","(465.045, 644.235, -47.048, 2.144)","(422.341, 643.775, -28.799, 11.314)","(383.012, 640.895, -49.856, 7.419)","(343.595, 642.265, -24.83, -4.538)","(302.803, 644.576, -54.142, 8.295)","(262.778, 650.368, -51.057, 23.823)","(225.632, 659.51, -28.997, 4.538)","(186.872, 661.383, -25.103, 4.34)","(146.512, 663.517, -52.987, 22.144)","(125.936, 623.537, -1.06, -55.374)","(111.705, 583.683, -11.316, -35.68)","(100.257, 544.959, -8.011, -38.176)","(88.807, 504.389, 5.022, -28.161)","(79.039, 464.717, -9.669, -32.856)","(74.913, 431.871, 10.946, -40.196)","(73.18, 399.123, -15.42, -32.523)","(42.45, 383.934, -52.092, -20.639)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
