,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
71,"(660.976, 185.149, 17.477, -14.077)","(694.075, 173.174, 28.511, -4.74)","(716.624, 166.056, 22.808, 3.32)","(727.026, 166.105, 14.215, 0.253)","(734.173, 166.103, 20.847, -4.507)","(744.092, 166.123, 10.632, 0.42)","(753.728, 172.227, 26.13, 13.666)","(771.176, 169.937, 2.693, -33.798)","(779.771, 165.483, 0.895, 24.861)","(785.263, 179.279, 40.823, -21.584)","(790.836, 144.887, -7.516, -62.815)","(792.424, 110.2, 18.022, -53.058)","(784.179, 80.926, -30.685, -15.358)","(752.946, 53.773, -55.746, -1.775)","(705.757, 52.638, -45.495, -0.147)","(657.921, 58.185, -44.41, -8.752)","(611.524, 63.947, -54.534, -5.987)","(569.203, 65.969, -43.715, -7.298)","(520.229, 68.329, -48.745, 1.32)","(474.832, 67.715, -44.075, 8.442)","(429.199, 66.909, -54.104, -15.356)","(386.495, 65.235, -33.036, -2.255)","(344.974, 64.753, -34.135, 6.992)","(303.096, 65.855, -43.961, 1.756)","(262.291, 64.669, -36.234, -8.095)","(223.177, 68.117, -41.339, 16.98)","(185.123, 67.713, -22.033, 4.773)","(141.351, 71.411, -42.278, 27.369)","(103.197, 97.674, -21.695, 36.554)","(78.482, 133.124, -2.512, 25.029)","(67.275, 172.176, -19.359, 35.499)","(63.812, 209.889, -12.439, 26.259)","(62.644, 246.596, -0.906, 21.084)","(61.833, 282.681, 0.535, 26.395)","(60.989, 318.243, 0.348, 30.404)","(63.206, 345.698, -18.769, 21.422)","(34.667, 368.976, -46.804, 35.85)","(None, None, None, None)",
72,"(364.82, 364.515, 37.121, -19.537)","(392.148, 350.139, 22.969, -10.938)","(425.313, 336.91, 35.536, 6.475)","(460.97, 328.818, 27.802, -22.698)","(494.49, 315.582, 32.978, -28.565)","(526.275, 302.561, 36.608, -20.596)","(558.446, 291.093, 39.647, -19.07)","(587.002, 279.783, 24.947, -6.855)","(616.585, 267.409, 20.975, -6.928)","(646.798, 259.691, 24.221, 4.507)","(676.39, 248.07, 25.923, -22.133)","(702.927, 237.462, -0.753, -8.013)","(728.647, 231.529, -2.422, 0.648)","(747.517, 225.72, 12.019, -3.519)","(769.22, 215.804, 11.33, 7.616)","(779.858, 209.417, -11.085, -13.184)","(784.981, 187.076, 0.237, -21.571)","(792.795, 153.875, -5.499, -25.963)","(799.23, 130.551, -4.517, -59.46)","(802.499, 103.281, 4.463, -23.656)","(792.778, 83.149, 11.477, -48.366)","(777.298, 65.917, -5.109, -23.423)","(745.831, 48.05, -37.825, 13.43)","(710.877, 53.163, -20.172, 3.581)","(674.31, 53.002, -50.138, -3.4)","(638.185, 53.865, -28.792, -1.126)","(593.492, 53.874, -18.279, 17.282)","(550.412, 56.46, -39.294, -6.719)","(512.021, 58.45, -54.337, 15.55)","(472.966, 60.48, -34.74, -5.751)","(433.873, 60.286, -42.881, -6.694)","(397.081, 60.441, -47.193, -17.103)","(363.444, 58.871, -31.7, -12.706)","(330.212, 60.16, -22.02, -14.692)","(296.269, 59.536, -25.137, 10.546)","(262.871, 59.908, -19.687, -9.864)","(233.489, 59.424, -29.768, 10.335)","(216.256, 60.533, -30.597, -1.011)",
73,"(453.849, 336.503, 43.178, -21.237)","(495.864, 325.689, 32.148, -1.21)","(531.652, 315.726, 41.478, 6.622)","(562.141, 301.705, 40.762, -15.399)","(594.667, 289.826, 42.432, -7.076)","(628.033, 275.655, 37.422, -17.437)","(657.691, 263.998, 32.695, -14.218)","(684.207, 253.978, 32.607, -27.891)","(711.389, 242.705, 6.704, 0.818)","(735.124, 231.871, 22.599, 0.88)","(759.643, 223.276, 3.206, -9.072)","(780.814, 204.585, 12.71, -29.555)","(793.285, 175.789, 3.322, -12.969)","(794.607, 144.196, -6.086, 9.813)","(794.8, 117.267, 5.429, -36.649)","(791.721, 93.054, -15.672, -4.305)","(756.21, 70.165, -32.046, -15.072)","(721.075, 66.073, -34.441, -6.59)","(682.605, 75.161, -50.681, 8.247)","(641.076, 79.988, -36.898, 27.031)","(591.903, 81.396, -55.203, 20.774)","(553.88, 88.443, -41.25, 4.151)","(513.997, 92.794, -45.171, 13.17)","(473.416, 91.114, -42.022, 13.946)","(433.659, 88.922, -39.113, 9.297)","(396.253, 87.667, -39.643, 5.653)","(358.978, 86.611, -29.05, 6.224)","(321.112, 85.043, -38.585, -4.728)","(283.725, 84.154, -27.06, -8.843)","(248.651, 83.283, -31.402, 1.567)","(209.302, 83.645, -35.636, 0.842)","(172.814, 83.288, -23.583, -18.23)","(132.144, 95.093, -28.63, 40.268)","(116.588, 139.924, 9.717, 58.635)","(111.348, 181.763, -2.36, 21.032)","(104.862, 218.718, -7.66, 51.338)","(99.262, 254.115, -12.968, 41.823)","(93.181, 283.764, -15.448, 15.259)",
74,"(695.566, 308.969, 19.365, -21.138)","(719.679, 278.957, 33.439, -24.043)","(745.166, 252.492, 36.46, -26.122)","(771.374, 231.7, 24.761, -35.012)","(788.83, 197.186, 24.368, -22.006)","(790.492, 155.347, -13.842, -27.708)","(798.337, 117.32, -6.847, -33.158)","(793.917, 86.025, -11.064, -34.623)","(768.247, 63.374, -27.157, -17.562)","(726.892, 56.821, -58.034, -6.942)","(678.263, 59.212, -54.05, 3.119)","(636.791, 63.864, -31.073, 0.925)","(593.857, 67.011, -56.187, 8.78)","(554.418, 68.213, -39.156, 9.867)","(514.57, 71.229, -41.34, 10.503)","(474.302, 70.819, -25.83, 15.655)","(433.036, 70.384, -33.731, 18.028)","(391.396, 72.036, -41.905, 10.798)","(352.049, 70.966, -39.931, -6.733)","(311.359, 73.196, -34.237, 5.209)","(271.701, 73.769, -32.192, 8.719)","(232.349, 75.909, -40.198, 15.6)","(194.27, 76.915, -54.2, -10.121)","(154.158, 73.877, -44.986, 13.414)","(121.254, 99.919, -33.555, 22.834)","(101.032, 141.851, -4.571, 47.47)","(91.559, 182.202, 6.858, 32.019)","(84.091, 221.456, 3.363, 42.634)","(75.618, 260.539, -5.511, 42.044)","(69.533, 295.841, -7.527, 41.147)","(67.013, 331.578, -8.322, 30.576)","(63.908, 361.17, -24.871, 4.748)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
75,"(302.224, 357.436, 32.874, -21.538)","(335.474, 341.179, 24.61, -12.04)","(369.048, 332.019, 33.191, -13.71)","(403.285, 319.947, 41.853, -16.139)","(437.666, 308.814, 24.582, -17.135)","(469.939, 299.916, 37.781, -6.857)","(500.671, 293.389, 34.487, -2.881)","(532.235, 284.227, 26.15, -6.232)","(562.482, 276.096, 27.958, 2.358)","(594.272, 268.807, 18.461, -10.188)","(627.301, 261.358, 28.503, -11.98)","(663.352, 254.735, 49.315, -13.518)","(695.09, 247.368, 20.772, -14.229)","(714.928, 243.285, 5.602, -1.206)","(737.04, 238.362, -0.411, 16.515)","(752.227, 231.317, -4.941, 6.964)","(770.768, 216.925, 24.935, -39.191)","(780.852, 181.824, -14.877, -20.316)","(782.856, 143.969, -6.383, -20.134)","(787.168, 115.664, 28.322, -19.03)","(783.374, 96.285, -26.886, 5.52)","(746.438, 90.483, -61.534, -19.062)","(703.928, 82.003, -25.08, 16.477)","(665.183, 76.922, -26.738, 13.992)","(634.765, 78.645, -30.977, 3.062)","(603.563, 75.803, -44.363, 9.512)","(559.04, 82.76, -33.134, 19.811)","(514.121, 88.057, -28.669, -12.925)","(474.875, 88.84, -43.671, -12.179)","(433.175, 87.641, -33.829, 5.367)","(393.453, 86.553, -38.593, -4.005)","(356.109, 85.584, -51.721, 12.275)","(323.693, 83.833, -20.504, -16.668)","(292.686, 82.832, -15.253, 0.326)","(259.071, 82.076, -25.69, 2.668)","(228.882, 81.76, -7.79, -2.587)","(194.796, 81.291, -18.069, 7.313)","(144.158, 78.307, -22.368, 15.819)",
76,"(761.06, 251.732, 49.293, -17.745)","(794.503, 225.741, 37.252, -30.847)","(817.758, 192.17, 11.027, -49.559)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.311, 165.401, 14.751, -27.526)","(827.096, 165.252, -12.927, -8.957)","(824.512, 162.691, -10.379, -11.238)","(819.123, 144.919, -19.551, -24.884)","(810.696, 130.811, 1.906, -7.794)","(803.076, 96.257, -9.485, -29.307)","(777.49, 78.732, -30.088, -3.405)","(745.274, 74.01, -14.325, 11.138)","(714.02, 70.576, -43.375, -7.692)","(678.997, 66.596, -32.533, -7.349)","(643.101, 64.383, -31.799, 3.074)","(609.225, 63.499, -45.578, 2.956)",
77,"(693.584, 520.097, 38.405, 6.636)","(740.554, 529.767, 48.171, 1.897)","(775.679, 542.589, 27.301, 13.159)","(793.633, 567.027, 20.521, 29.927)","(802.703, 615.588, 11.807, 39.438)","(805.097, 661.011, -21.189, 40.149)","(780.176, 681.716, -36.959, 16.144)","(740.304, 687.518, -48.062, 16.234)","(694.335, 685.884, -47.287, 2.701)","(649.636, 683.831, -55.319, -10.502)","(605.763, 681.658, -43.085, 9.077)","(561.871, 682.758, -60.863, -9.232)","(516.474, 680.655, -62.754, 9.989)","(472.22, 676.147, -46.756, -4.112)","(429.616, 671.97, -38.6, 4.507)","(388.467, 667.001, -27.045, -11.441)","(347.461, 664.232, -40.449, 3.361)","(305.766, 663.24, -40.7, 4.266)","(265.825, 662.022, -57.726, -12.761)","(224.982, 665.891, -52.965, 20.061)","(186.623, 664.529, -37.71, -11.397)","(145.623, 663.207, -23.523, -55.394)","(128.312, 623.947, -25.604, -42.765)","(115.028, 582.328, 2.472, -45.298)","(104.658, 543.843, -6.815, -43.958)","(92.168, 504.547, -18.12, -40.379)","(82.581, 466.676, -1.345, -46.423)","(75.645, 431.482, -9.67, -40.822)","(73.003, 397.065, -2.156, -19.065)","(35.574, 383.534, -77.805, 0.596)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
78,"(706.661, 338.34, 41.352, -50.662)","(736.656, 302.424, 20.343, -29.358)","(760.19, 272.739, 6.993, -17.957)","(781.878, 251.602, 28.699, -0.931)","(792.344, 229.099, -8.923, -34.548)","(804.552, 199.254, 5.59, -56.244)","(803.476, 150.432, -7.326, -52.452)","(806.047, 111.452, 1.286, -31.46)","(808.121, 76.196, -0.359, -17.824)","(788.688, 58.385, -11.064, -1.269)","(750.148, 51.202, -42.146, -5.715)","(697.294, 61.379, -50.707, 13.785)","(658.221, 66.635, -44.135, -0.94)","(619.732, 64.832, -44.64, -7.143)","(579.858, 64.323, -55.149, -16.259)","(539.146, 65.098, -54.841, 5.411)","(496.945, 66.228, -53.528, -7.358)","(454.851, 67.094, -43.965, 10.681)","(416.228, 67.2, -30.965, -2.09)","(375.527, 67.762, -51.61, 9.903)","(337.204, 66.507, -47.168, 9.759)","(297.857, 66.075, -48.645, -6.729)","(260.145, 67.231, -39.852, 12.168)","(221.764, 71.782, -32.359, -0.789)","(184.753, 69.588, -21.182, 10.005)","(141.885, 74.58, -29.918, 35.511)","(106.725, 103.475, -36.021, 24.709)","(81.188, 135.117, -24.299, 34.28)","(69.069, 175.252, -2.186, 49.786)","(64.731, 216.104, -15.132, 50.007)","(63.305, 254.696, 13.565, 43.981)","(62.123, 291.411, -13.414, 30.72)","(61.842, 327.02, 2.406, 37.916)","(50.196, 359.175, -71.325, 6.651)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
79,"(584.713, 183.575, 48.65, -2.918)","(622.178, 170.801, 49.506, 5.174)","(652.973, 166.459, 42.624, 3.217)","(668.946, 166.294, 37.264, 4.479)","(683.092, 166.097, 31.302, 1.76)","(703.017, 166.272, 44.174, 7.44)","(724.278, 166.09, 36.488, 0.114)","(736.087, 166.03, 9.379, -1.811)","(738.647, 168.141, -16.749, -3.096)","(741.671, 166.093, 1.869, -8.9)","(746.986, 166.005, 20.196, -1.664)","(743.31, 167.017, -1.011, -1.629)","(756.258, 171.128, 1.064, -0.276)","(758.115, 170.341, -10.147, 7.121)","(760.861, 179.731, 8.402, 11.498)","(774.743, 183.364, 21.743, -10.931)","(788.203, 154.107, 13.445, -27.429)","(788.223, 124.368, 24.7, -8.408)","(792.059, 100.12, 18.915, -38.609)","(778.589, 83.177, -9.481, -19.482)","(744.353, 67.601, -29.074, -1.159)","(701.644, 74.144, -31.59, 2.671)","(664.543, 75.65, -33.517, 13.46)","(626.659, 75.767, -19.986, -17.964)","(589.514, 76.181, -47.006, -16.911)","(548.525, 77.356, -52.877, 12.023)","(507.707, 80.628, -51.714, 1.291)","(466.901, 81.995, -23.203, 1.859)","(427.612, 83.141, -23.012, 9.099)","(385.374, 82.915, -62.49, -2.084)","(345.7, 85.265, -34.127, 16.031)","(309.058, 84.448, -12.336, 2.349)","(277.18, 83.535, -17.565, 2.746)","(249.242, 80.85, -36.602, 6.3)","(215.038, 83.329, -51.349, 19.538)","(170.567, 75.776, -76.01, -14.862)","(121.065, 87.575, -30.446, 13.706)","(90.492, 114.332, -25.284, 35.76)",
80,"(598.735, 243.108, 37.917, 2.103)","(626.34, 226.54, 37.05, -22.301)","(654.739, 214.596, 27.069, -15.026)","(686.15, 207.954, 54.648, -6.668)","(713.256, 201.29, 21.148, -1.947)","(736.045, 196.667, 33.888, 0.563)","(759.443, 200.671, 16.416, -3.132)","(771.369, 182.861, -10.519, -40.512)","(764.053, 145.649, 13.755, -42.471)","(763.273, 117.874, 11.649, -26.042)","(763.057, 104.938, 24.664, -7.087)","(767.361, 92.577, 10.69, 2.415)","(756.78, 91.616, -4.299, 4.487)","(763.758, 80.852, 15.386, -12.946)","(767.772, 72.183, -3.671, 9.887)","(771.349, 72.668, 31.38, -17.122)","(727.251, 69.47, -39.155, 7.611)","(684.792, 81.912, -53.541, 5.621)","(644.033, 82.199, -41.483, 11.134)","(603.745, 82.494, -33.466, -7.292)","(555.367, 87.289, -42.297, 20.002)","(518.421, 95.233, -24.072, 14.627)","(482.147, 97.66, -38.586, -0.707)","(442.013, 98.951, -28.008, 2.684)","(402.318, 98.9, -43.988, -13.896)","(364.485, 98.491, -51.83, 6.932)","(326.726, 98.115, -44.791, -9.019)","(287.687, 98.232, -43.391, -5.663)","(250.556, 96.229, -56.372, -22.095)","(214.54, 91.651, -31.754, -8.578)","(177.686, 97.279, -29.863, 3.714)","(143.468, 91.339, -17.031, 60.154)","(129.505, 142.364, -12.49, 43.113)","(125.401, 185.008, -19.186, 36.513)","(120.926, 224.449, -11.548, 35.601)","(118.966, 260.391, -7.013, 48.805)","(115.927, 293.813, -2.445, 12.872)","(111.901, 321.673, -11.657, 29.985)",
