,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,"(450, 375, None, None)","(481.791, 381.321, None, None)","(536.174, 374.476, None, None)","(585.334, 390.202, None, None)","(640.186, 381.801, None, None)","(695.505, 394.798, None, None)","(733.773, 437.238, None, None)","(763.601, 462.279, None, None)","(795.422, 494.28, None, None)","(803.373, 529.19, None, None)","(815.633, 566.408, None, None)","(796.371, 608.487, None, None)","(796.998, 640.894, None, None)","(796.998, 640.894, None, None)","(836.614, 661.453, None, None)","(780.528, 672.689, None, None)","(727.457, 675.926, None, None)","(673.692, 695.281, None, None)","(633.478, 690.992, None, None)","(576.356, 689.813, None, None)","(519.222, 687.072, None, None)","(462.453, 682.422, None, None)","(408.428, 663.629, None, None)","(353.204, 654.146, None, None)","(296.874, 662.818, None, None)","(240.828, 668.147, None, None)","(184.31, 671.106, None, None)","(145.561, 640.71, None, None)","(128.914, 588.8, None, None)","(127.787, 531.701, None, None)","(117.311, 475.485, None, None)","(85.933, 429.954, None, None)","(36.322, 402.23, None, None)"
1,"(417.254, 529.563, 40.621, -13.426)","(450.492, 525.422, 25.028, 6.771)","(491.329, 525.361, 50.037, 2.659)","(532.257, 524.633, 38.934, 0.504)","(569.089, 525.607, 41.751, -15.096)","(603.647, 529.662, 49.025, 5.097)","(636.0, 530.854, 39.523, -6.112)","(669.552, 532.473, 23.553, -0.606)","(700.039, 535.898, 13.314, -12.183)","(724.19, 539.181, 39.812, 19.903)","(746.879, 539.93, 18.785, 14.004)","(772.346, 549.335, -5.604, 29.296)","(786.334, 579.033, 14.704, 33.703)","(790.52, 612.279, -1.689, 11.186)","(792.521, 646.757, 21.725, 34.56)","(753.536, 666.703, -64.491, 22.619)","(707.189, 665.822, -48.612, 1.624)","(668.791, 666.173, -11.356, 1.519)","(636.746, 665.278, -44.89, 3.892)","(598.038, 661.039, -54.534, 8.544)","(563.178, 660.854, -26.039, 24.677)","(521.699, 670.385, -38.391, 13.008)","(478.568, 670.645, -47.817, 8.1)","(437.048, 674.772, -53.051, 6.529)","(392.988, 680.062, -55.983, 5.465)","(352.26, 681.462, -46.559, 11.561)","(312.285, 679.214, -28.045, 7.094)","(273.724, 676.491, -51.251, 14.275)","(237.44, 675.296, -28.735, -0.224)","(202.176, 680.667, -45.369, -6.07)","(158.472, 673.723, -60.009, -21.505)","(124.454, 638.794, -36.376, -36.172)","(109.232, 600.324, 4.644, -50.962)"
2,"(629.63, 468.704, 37.274, -12.847)","(662.887, 474.314, 16.266, -2.908)","(696.002, 481.023, 26.169, -1.477)","(728.927, 493.192, 40.19, 12.157)","(755.165, 505.765, 35.196, -2.836)","(783.556, 519.877, 33.571, 25.141)","(800.397, 538.006, 28.174, 38.073)","(813.783, 567.02, 15.701, 30.428)","(814.611, 600.923, -5.103, 68.049)","(815.769, 643.208, 2.615, 23.598)","(801.649, 671.126, -31.236, 32.068)","(767.862, 690.118, -54.206, -0.521)","(716.886, 692.36, -44.847, -3.73)","(667.69, 689.797, -57.891, -14.436)","(621.62, 689.244, -36.467, -16.515)","(578.867, 684.064, -28.722, 13.973)","(535.58, 682.799, -50.781, 4.936)","(495.365, 679.991, -32.268, -3.155)","(452.359, 679.13, -52.888, -9.802)","(406.85, 680.432, -61.486, 13.669)","(362.094, 678.728, -41.492, -2.93)","(321.346, 673.219, -53.72, -9.741)","(281.688, 670.664, -44.473, -7.371)","(242.826, 670.366, -38.797, -14.277)","(204.841, 669.063, -29.963, 7.754)","(162.685, 666.128, -45.208, 4.781)","(129.485, 640.299, -19.568, -25.653)","(114.162, 598.175, -3.227, -48.627)","(104.964, 557.658, -5.864, -42.363)","(91.421, 518.973, -12.796, -21.254)","(78.986, 483.358, -5.005, -38.98)","(69.415, 461.046, 10.569, -16.059)","(77.628, 440.472, 17.466, -23.801)"
3,"(724.767, 478.434, 34.043, -0.895)","(755.921, 487.721, 36.24, 10.314)","(782.008, 501.459, 11.127, 18.559)","(797.364, 520.832, 23.39, 32.008)","(808.713, 543.856, 30.709, 34.676)","(820.552, 568.584, 18.073, 35.937)","(810.898, 595.548, -9.526, 37.015)","(809.634, 642.033, 0.107, 50.626)","(800.282, 672.174, -38.587, 31.375)","(768.724, 689.133, -32.077, -0.424)","(728.071, 688.856, -44.303, -4.049)","(685.707, 687.977, -34.04, 14.75)","(643.489, 686.958, -61.407, -17.415)","(599.943, 686.026, -46.071, -0.46)","(557.912, 682.394, -44.179, -9.353)","(513.598, 682.529, -46.277, 3.233)","(474.269, 681.872, -55.05, 2.401)","(432.211, 680.484, -46.984, 13.995)","(391.23, 678.17, -54.389, 7.637)","(349.755, 674.891, -30.014, -17.393)","(309.053, 673.404, -36.894, 12.691)","(270.88, 672.347, -30.565, 0.294)","(234.437, 673.161, -40.98, 1.656)","(198.39, 671.272, -23.544, -8.436)","(160.686, 666.184, -32.274, 9.101)","(127.892, 637.666, -30.209, -42.868)","(111.339, 600.178, -1.521, -23.73)","(97.773, 559.131, -31.007, -29.618)","(82.176, 520.224, -17.443, -39.4)","(64.818, 480.729, -28.442, -38.301)","(51.994, 446.357, -6.049, -31.489)","(50.237, 424.84, 11.511, -19.431)","(48.093, 429.149, 1.659, -10.834)"
4,"(476.319, 535.893, 48.396, 18.632)","(521.581, 543.334, 47.199, 16.507)","(562.239, 548.322, 50.399, 6.236)","(601.479, 551.597, 51.751, -5.576)","(639.459, 556.198, 41.413, -10.899)","(674.705, 558.339, 31.423, 1.371)","(709.576, 556.42, 47.068, 7.531)","(743.506, 551.236, 21.61, 12.098)","(770.991, 547.09, 50.285, -13.838)","(772.649, 573.599, -22.961, 42.495)","(762.566, 621.62, 6.621, 24.348)","(766.259, 644.368, -0.91, 3.993)","(767.915, 664.121, -52.871, 13.922)","(724.15, 669.447, -24.566, -16.191)","(683.969, 676.953, -43.404, 19.112)","(641.845, 687.001, -44.99, -0.405)","(605.139, 687.591, -23.108, -10.084)","(565.646, 688.819, -50.345, 7.578)","(521.444, 688.019, -61.118, 13.051)","(477.487, 685.337, -65.038, 13.934)","(430.977, 682.151, -55.059, -5.758)","(388.271, 682.969, -30.131, 14.06)","(342.826, 681.122, -45.893, 4.93)","(300.098, 679.161, -54.351, -14.477)","(256.216, 680.447, -32.829, 1.838)","(212.108, 678.908, -39.898, 3.647)","(161.861, 675.065, -62.051, -26.8)","(117.046, 647.64, -31.919, -27.93)","(89.94, 620.975, -33.352, -44.996)","(74.193, 586.004, -21.085, -24.577)","(62.008, 549.137, -10.422, -48.872)","(53.292, 514.292, -4.329, -44.837)","(46.095, 489.126, 3.892, -17.066)"
5,"(392.612, 241.665, 34.339, -9.119)","(429.483, 230.101, 25.703, -21.736)","(467.294, 219.724, 40.742, -12.278)","(500.302, 209.427, 35.372, -30.334)","(532.927, 198.817, 23.995, -15.422)","(557.52, 192.675, 47.098, -6.418)","(592.851, 194.577, 27.845, 6.906)","(623.855, 195.783, 18.77, -10.185)","(657.109, 194.901, 38.558, -8.196)","(683.314, 183.03, 18.668, -1.277)","(703.536, 168.909, 15.524, 6.278)","(709.986, 166.194, 19.937, 1.159)","(720.829, 166.438, 33.493, 14.335)","(737.843, 167.518, 25.521, 4.475)","(744.253, 179.375, -1.935, 0.789)","(762.291, 185.581, 30.643, 4.663)","(781.012, 174.555, 17.569, -34.413)","(784.696, 139.735, 4.892, -52.698)","(773.683, 122.518, -20.996, -17.823)","(775.573, 113.138, 37.021, -20.24)","(779.517, 98.079, -11.7, 12.478)","(761.519, 98.665, -67.819, 28.667)","(708.313, 99.181, -59.619, -7.331)","(680.53, 96.424, -16.205, -2.853)","(652.889, 91.181, -30.906, -4.562)","(614.869, 81.42, -52.981, -7.488)","(570.096, 94.145, -50.709, 16.112)","(533.026, 99.199, -44.325, 4.13)","(498.762, 98.868, -35.032, 8.72)","(458.651, 99.712, -17.296, 0.882)","(418.571, 98.409, -36.114, -9.525)","(379.978, 97.531, -57.349, -9.405)","(340.871, 98.257, -29.13, -7.625)"
6,"(511.858, 419.11, 43.566, -10.97)","(548.361, 398.755, 44.072, -16.172)","(583.176, 375.777, 49.914, -36.991)","(614.584, 349.822, 27.176, -16.747)","(641.897, 328.755, 26.874, -21.742)","(668.518, 319.376, 11.057, -22.002)","(690.857, 310.644, 22.688, -24.899)","(710.319, 297.052, 7.713, -16.376)","(730.638, 282.392, 25.576, -25.848)","(752.431, 268.305, 33.931, -1.767)","(769.685, 255.489, 20.008, -28.999)","(777.421, 245.683, 24.71, -3.002)","(788.471, 228.415, 14.96, -18.285)","(795.868, 190.556, 19.357, -31.602)","(798.701, 156.827, -1.087, -14.788)","(808.263, 126.454, -12.243, -37.45)","(802.97, 95.979, -11.916, -47.076)","(789.258, 74.092, -14.045, -24.131)","(780.187, 53.375, -17.969, -16.81)","(749.58, 48.515, -37.549, 6.416)","(701.829, 56.756, -40.015, 19.688)","(668.474, 59.719, -45.834, 18.384)","(630.15, 62.229, -39.839, 10.814)","(589.628, 73.937, -53.486, 19.352)","(550.087, 77.79, -32.127, -2.073)","(511.877, 78.833, -40.211, 9.529)","(475.898, 77.892, -27.441, 1.512)","(438.983, 79.256, -27.467, 15.23)","(402.997, 80.852, -51.302, 5.567)","(367.172, 80.434, -30.893, 13.795)","(329.98, 80.933, -43.555, -0.72)","(294.727, 81.409, -46.23, -5.737)","(258.929, 82.664, -41.704, 13.495)"
7,"(425.158, 474.547, 41.685, 9.77)","(463.39, 471.419, 53.943, -14.903)","(503.439, 473.905, 29.587, 17.004)","(542.046, 474.346, 28.127, -3.298)","(580.711, 475.768, 50.084, 17.0)","(618.718, 481.767, 23.835, 14.926)","(655.606, 483.936, 46.615, -9.251)","(690.163, 489.128, 23.621, 3.393)","(723.936, 494.316, 42.651, 22.092)","(749.089, 502.489, 31.333, 22.765)","(778.101, 513.932, 33.57, 14.302)","(799.621, 532.816, 39.5, 18.859)","(817.236, 556.343, 16.952, 21.524)","(821.366, 575.7, -14.647, 24.955)","(810.77, 604.025, -11.98, 33.705)","(815.276, 636.918, -7.974, 41.525)","(808.279, 665.327, -11.984, 22.031)","(787.471, 685.647, -16.529, 26.828)","(751.363, 692.59, -45.308, 16.391)","(719.581, 690.831, -29.173, 13.587)","(685.626, 690.241, -45.117, -13.209)","(651.179, 690.212, -36.468, 2.998)","(608.786, 688.292, -23.017, -6.035)","(568.975, 686.124, -50.588, -2.881)","(528.776, 684.046, -41.288, 9.861)","(488.476, 683.135, -51.98, -6.712)","(448.118, 680.837, -53.401, -4.624)","(410.111, 680.254, -34.941, -9.13)","(377.188, 680.675, -57.644, 0.108)","(338.179, 682.021, -30.314, -13.01)","(298.896, 682.265, -45.5, 5.065)","(259.064, 679.06, -50.517, -1.603)","(222.114, 673.776, -29.481, -3.53)"
8,"(500.25, 253.131, 26.65, -19.985)","(540.424, 232.697, 41.511, -20.351)","(579.531, 215.928, 26.797, -20.824)","(617.171, 203.851, 41.267, 3.267)","(653.304, 198.198, 30.944, -13.041)","(687.458, 184.585, 47.174, -23.461)","(715.463, 173.709, 31.537, -5.298)","(725.387, 166.078, 3.731, 1.387)","(726.85, 166.169, 27.237, 3.394)","(740.162, 171.868, 18.05, 6.582)","(761.929, 181.271, 1.357, 1.953)","(777.159, 184.513, 1.712, -10.9)","(774.619, 145.064, -17.587, -43.596)","(766.095, 116.668, -18.618, -9.007)","(762.541, 98.271, -12.059, -11.613)","(759.078, 69.269, -44.689, -31.965)","(720.49, 55.908, -44.036, -5.005)","(682.324, 57.231, -42.701, 14.134)","(639.338, 55.865, -57.134, -5.365)","(597.032, 56.734, -57.432, 18.419)","(550.089, 59.927, -40.545, 12.422)","(506.251, 61.46, -40.354, 15.727)","(464.915, 62.495, -51.572, -4.799)","(419.977, 61.001, -31.926, 5.621)","(381.365, 62.379, -29.818, -0.794)","(344.773, 62.359, -30.615, 4.705)","(308.915, 62.894, -23.666, 8.309)","(275.352, 64.41, -48.02, 15.312)","(238.553, 66.754, -40.235, 9.749)","(204.393, 66.364, -53.916, -21.832)","(166.071, 65.997, -55.649, 6.488)","(130.426, 77.132, -26.797, 28.419)","(104.013, 108.121, -31.375, 40.079)"
9,"(594.925, 537.338, 29.185, 17.982)","(631.857, 537.275, 46.738, 6.009)","(667.61, 538.418, 28.526, -4.38)","(698.859, 539.079, 34.904, -3.178)","(727.335, 542.924, 20.318, 14.935)","(753.877, 542.872, 22.53, 8.068)","(774.232, 560.305, 1.626, 32.524)","(782.899, 603.052, 17.888, 47.295)","(784.971, 637.528, -9.614, 34.363)","(757.494, 653.939, -64.987, 9.664)","(711.183, 647.761, -32.596, -17.922)","(668.756, 638.687, -53.604, 12.336)","(643.341, 636.063, -23.962, -6.676)","(632.899, 636.005, -39.989, -1.372)","(599.504, 636.106, -45.558, -1.447)","(570.161, 636.244, -34.901, -2.002)","(556.332, 636.007, -34.397, -0.175)","(556.332, 636.007, -34.397, -0.175)","(555.972, 636.003, -21.591, -0.259)","(555.972, 636.003, -21.591, -0.259)","(555.972, 636.003, -21.591, -0.259)","(554.691, 636.01, -29.702, -2.856)","(549.887, 636.013, -44.946, -2.589)","(546.248, 636.027, -44.482, -4.824)","(533.292, 636.014, -28.943, 0.029)","(525.057, 636.027, -53.429, -1.106)","(511.108, 636.091, -44.574, 2.343)","(488.245, 636.057, -57.725, 2.666)","(462.113, 636.141, -30.709, 3.681)","(436.396, 636.106, -36.581, 0.306)","(402.564, 636.093, -30.875, -2.361)","(364.626, 636.229, -54.973, 2.374)","(328.628, 637.159, -31.581, 1.228)"
10,"(275.537, 309.739, 23.56, -7.292)","(301.682, 303.375, 37.685, 4.419)","(329.329, 300.866, 42.277, 4.43)","(358.387, 295.781, 27.589, 3.626)","(388.517, 289.987, 27.299, -9.436)","(419.386, 286.174, 45.939, -20.114)","(449.105, 278.857, 40.369, -22.082)","(478.363, 272.146, 24.343, 10.486)","(507.884, 267.365, 37.957, 9.742)","(536.402, 265.139, 12.6, 5.324)","(564.964, 261.421, 11.147, -7.688)","(591.942, 257.158, 23.46, -18.511)","(617.597, 251.691, 15.89, -9.328)","(642.849, 246.941, 33.485, 8.457)","(665.351, 238.477, 13.227, 5.401)","(688.48, 227.942, 36.145, -23.119)","(708.111, 216.901, 17.561, -29.503)","(728.955, 211.647, 10.404, 19.34)","(747.449, 209.469, 30.335, 5.301)","(762.658, 205.106, -11.738, 4.967)","(772.932, 200.677, 30.619, -30.753)","(780.222, 179.613, 35.142, -28.826)","(784.843, 146.677, -14.2, -37.432)","(787.353, 126.145, 5.524, -0.998)","(783.809, 103.792, -8.263, -28.783)","(769.262, 101.054, -24.05, 1.737)","(745.516, 96.135, -41.808, 13.191)","(713.915, 77.627, -44.463, -7.329)","(677.902, 82.245, -16.833, 6.288)","(640.97, 83.419, -64.92, -4.872)","(601.134, 82.177, -39.222, -9.693)","(557.339, 89.893, -55.761, 3.371)","(515.982, 96.973, -46.733, 16.47)"
11,"(567.636, 415.261, 49.288, -19.853)","(597.98, 397.125, 15.104, -20.686)","(630.369, 382.916, 23.762, -6.354)","(660.774, 368.521, 19.814, -24.283)","(688.307, 354.001, 17.603, -12.724)","(714.524, 335.704, 23.943, -23.184)","(736.063, 323.798, 10.517, -23.385)","(758.868, 310.917, 28.527, -33.056)","(778.229, 295.638, 11.347, -14.976)","(792.238, 280.632, 11.423, -16.701)","(802.629, 265.808, 5.897, -11.339)","(809.221, 249.225, -8.774, -8.146)","(811.658, 237.365, 20.136, -4.1)","(814.897, 229.228, 12.792, -8.7)","(814.311, 217.723, -13.308, -29.89)","(817.743, 206.558, 8.754, -0.722)","(814.546, 200.855, 3.36, -11.178)","(812.843, 201.664, -18.378, -15.526)","(818.846, 185.854, 17.341, -4.95)","(822.469, 178.092, 10.071, 19.508)","(837.955, 175.935, 22.816, -8.943)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)","(845.46, 166.048, -3.499, -30.106)"
12,"(322.884, 484.062, 50.546, -1.023)","(361.28, 485.518, 44.883, -13.843)","(399.448, 483.29, 49.688, -10.868)","(435.323, 485.03, 45.752, 3.338)","(469.945, 489.116, 24.057, 6.735)","(507.632, 491.197, 46.955, 0.365)","(542.389, 494.837, 32.195, -1.463)","(576.827, 495.174, 19.772, 13.406)","(612.301, 498.333, 47.176, -4.242)","(646.151, 503.157, 43.513, -5.116)","(680.297, 508.652, 26.867, 1.502)","(711.574, 515.464, 46.11, 0.638)","(738.111, 520.442, 20.944, -5.653)","(758.274, 526.458, 20.228, -1.179)","(778.738, 537.905, 16.572, 17.65)","(785.405, 569.606, 1.621, 30.728)","(784.514, 608.725, 7.825, 23.268)","(788.761, 645.094, -4.843, 48.293)","(764.668, 658.606, -27.78, 7.03)","(727.103, 652.843, -34.157, -2.472)","(704.173, 645.423, -10.575, 10.994)","(681.808, 654.422, -22.401, 26.597)","(645.891, 669.787, -47.034, 2.715)","(608.352, 674.833, -37.309, -1.411)","(570.716, 675.096, -39.95, 7.051)","(533.726, 675.971, -47.767, 7.459)","(491.544, 677.321, -36.466, 15.86)","(453.847, 672.375, -36.658, -6.195)","(417.955, 669.775, -28.667, -6.357)","(381.957, 666.98, -35.556, -4.454)","(345.205, 667.901, -37.115, -3.41)","(307.339, 670.958, -26.539, 15.169)","(268.452, 674.027, -36.307, 13.896)"
13,"(471.493, 431.025, 54.781, 1.794)","(513.197, 422.174, 27.712, -19.218)","(552.603, 414.028, 32.787, -17.272)","(592.625, 410.445, 47.297, 12.146)","(619.919, 405.481, 25.579, -1.978)","(638.111, 384.446, 10.043, -11.453)","(668.344, 364.002, 41.361, -27.614)","(696.291, 347.497, 13.296, -2.118)","(726.14, 331.849, 21.936, -17.362)","(750.363, 316.122, 19.549, -10.594)","(770.388, 301.548, 23.129, -27.623)","(788.428, 289.189, 14.931, -20.624)","(801.62, 279.55, 5.347, -19.531)","(811.788, 268.755, 12.737, 5.686)","(817.377, 256.99, -5.698, -24.188)","(820.794, 247.221, 11.588, -3.768)","(822.3, 237.18, 6.356, -14.437)","(825.722, 230.483, 7.744, -2.401)","(826.525, 222.177, -11.471, -13.793)","(824.038, 222.816, 0.482, 17.496)","(816.986, 220.226, -7.366, -11.19)","(813.286, 210.019, -12.266, -0.934)","(815.647, 195.464, 2.923, -39.383)","(816.728, 179.535, -12.882, -33.511)","(813.015, 144.737, -12.675, -33.01)","(810.613, 119.873, -11.939, -36.584)","(811.194, 94.844, 6.896, -25.558)","(796.951, 84.294, -48.812, -2.692)","(760.821, 79.198, -59.631, -13.005)","(717.828, 78.237, -52.681, 4.094)","(682.164, 82.533, -25.396, 11.66)","(636.458, 85.167, -52.207, -0.107)","(593.629, 81.833, -29.62, 8.514)"
14,"(356.724, 235.55, 55.058, 7.185)","(393.726, 227.302, 39.018, -17.329)","(428.188, 225.72, 33.969, 11.191)","(461.414, 226.855, 54.133, 1.829)","(494.252, 223.61, 34.46, 4.72)","(524.774, 222.216, 36.743, 0.684)","(552.783, 221.714, 19.057, -8.261)","(582.949, 221.138, 16.335, -10.353)","(613.228, 218.795, 19.065, -9.005)","(645.186, 214.457, 30.938, -13.924)","(681.478, 204.251, 40.907, -22.233)","(702.831, 198.957, 16.423, 2.051)","(723.875, 199.651, 2.077, -5.377)","(742.951, 199.693, -0.666, 8.799)","(764.476, 201.598, 7.18, -9.221)","(779.806, 183.154, 15.234, -25.047)","(783.015, 144.236, -10.676, -9.795)","(769.743, 124.608, -31.757, -11.558)","(770.355, 103.604, -20.542, -37.948)","(762.484, 99.821, -23.54, 23.813)","(766.475, 96.339, -4.568, -13.367)","(765.814, 83.043, 12.119, -17.697)","(768.058, 68.36, 21.787, -42.915)","(783.052, 58.84, 10.374, -13.299)","(788.26, 61.341, -43.627, -11.296)","(766.048, 47.203, -38.996, -19.289)","(722.729, 50.05, -38.553, 5.178)","(674.014, 53.654, -25.678, -2.876)","(631.186, 55.414, -34.44, 11.66)","(589.646, 56.294, -32.943, -10.604)","(549.347, 57.835, -40.554, -2.086)","(510.974, 60.988, -36.45, 2.654)","(469.816, 61.89, -32.173, 10.227)"
15,"(519.249, 520.476, 59.021, -13.495)","(562.289, 521.134, 51.471, 2.716)","(605.507, 524.674, 38.526, 1.109)","(643.316, 528.535, 50.196, 6.612)","(676.758, 530.416, 31.781, -2.242)","(710.564, 532.065, 43.072, -1.268)","(745.653, 534.023, 39.176, -9.39)","(776.911, 554.918, 23.752, 28.037)","(788.245, 597.845, -23.134, 49.348)","(783.142, 632.543, -4.271, 53.395)","(762.203, 657.51, -67.888, -6.407)","(718.203, 657.302, -40.662, -8.413)","(681.647, 649.209, -30.656, 4.199)","(653.368, 640.294, -24.707, 7.538)","(643.501, 636.042, -49.264, -0.367)","(643.501, 636.042, -49.264, -0.367)","(631.383, 636.023, -61.148, -1.63)","(628.106, 636.015, -39.007, 0.671)","(628.106, 636.015, -39.007, 0.671)","(628.106, 636.015, -39.007, 0.671)","(625.568, 636.001, -64.688, -0.845)","(624.698, 636.006, -52.172, 0.296)","(623.671, 636.002, -61.659, -0.222)","(623.671, 636.002, -61.659, -0.222)","(610.226, 636.018, -63.517, -3.109)","(592.977, 636.033, -57.772, -8.204)","(564.455, 636.163, -23.476, -20.25)","(540.268, 636.002, -36.01, -3.832)","(509.318, 636.838, -38.493, -6.709)","(476.315, 636.561, -34.625, -7.138)","(444.846, 637.143, -21.889, -11.321)","(411.227, 637.151, -32.028, 2.151)","(376.285, 636.851, -41.387, -6.273)"
16,"(435.015, 218.977, 46.584, -17.825)","(475.591, 207.975, 36.56, -3.914)","(511.583, 195.231, 19.06, -28.042)","(544.159, 183.986, 23.446, 0.328)","(575.306, 187.815, 26.806, 5.135)","(611.066, 194.018, 27.959, 15.946)","(641.848, 195.777, 43.117, -14.123)","(677.966, 190.999, 47.624, -4.426)","(696.314, 181.055, 24.543, -14.826)","(715.833, 174.877, 23.83, -12.313)","(735.925, 176.516, 19.09, 6.728)","(745.231, 176.778, 10.619, -4.72)","(751.43, 182.601, 7.455, 5.013)","(769.359, 189.985, 18.451, 23.322)","(775.305, 154.905, -0.701, -61.763)","(771.499, 124.984, -6.737, -6.496)","(767.758, 110.912, -6.776, -1.356)","(770.343, 95.641, -35.861, -38.711)","(756.967, 75.155, -20.23, -20.394)","(748.462, 81.022, -24.118, 4.33)","(736.268, 74.629, 1.706, -29.348)","(740.416, 79.768, -2.673, -3.347)","(742.949, 82.67, -15.882, -21.852)","(734.565, 69.565, 3.534, -29.409)","(746.897, 56.697, 6.973, 11.226)","(751.218, 63.711, -7.45, 20.456)","(759.602, 71.174, 15.901, -11.538)","(762.582, 74.929, -11.353, -20.782)","(761.315, 57.695, -28.395, -5.014)","(730.164, 55.352, -29.717, 8.192)","(691.338, 57.292, -31.989, -10.289)","(651.059, 55.78, -52.196, -5.005)","(613.299, 54.377, -40.324, -9.117)"
17,"(305.318, 248.503, 41.693, 8.413)","(337.772, 242.357, 21.499, -19.893)","(368.882, 237.528, 23.158, -18.71)","(399.371, 230.799, 40.725, 1.999)","(425.985, 227.646, 32.578, 2.906)","(454.515, 224.56, 44.456, -0.497)","(484.599, 219.428, 44.351, 4.822)","(514.919, 216.481, 15.516, -8.083)","(542.231, 215.463, 29.184, -10.746)","(566.973, 216.744, 20.635, 14.293)","(592.92, 215.448, 17.596, 12.016)","(618.711, 214.814, 15.499, 21.554)","(644.354, 211.591, 15.067, 9.764)","(669.187, 208.818, 14.845, 5.217)","(692.485, 205.025, -1.234, 27.561)","(715.055, 200.896, 37.825, -1.109)","(733.973, 196.562, 14.513, -20.305)","(752.139, 194.565, 16.923, 17.198)","(771.101, 191.541, 19.112, -13.051)","(785.007, 169.775, 0.048, -31.574)","(783.419, 130.579, 10.058, -11.247)","(788.089, 112.553, -0.528, -13.309)","(784.419, 97.613, -42.054, -14.987)","(767.737, 104.044, -38.704, 20.214)","(735.529, 113.915, -50.946, -2.644)","(732.379, 113.937, -33.085, 2.188)","(732.379, 113.937, -33.085, 2.188)","(730.169, 113.868, -16.339, -6.284)","(724.911, 113.929, -4.54, 8.444)","(724.621, 113.955, -1.57, -2.673)","(723.979, 113.987, -38.501, 1.952)","(723.979, 113.987, -38.501, 1.952)","(723.979, 113.987, -38.501, 1.952)"
18,"(382.359, 569.744, 55.201, 7.519)","(420.113, 566.706, 37.665, 2.938)","(454.14, 564.93, 24.82, -13.303)","(492.89, 565.57, 33.2, 3.763)","(529.845, 564.565, 34.458, -3.6)","(570.325, 565.296, 43.192, 11.566)","(607.802, 572.974, 27.581, 3.925)","(642.068, 577.9, 45.906, -5.524)","(674.458, 577.201, 31.736, -2.399)","(704.917, 581.51, 17.183, -5.212)","(726.252, 583.449, 38.317, 3.171)","(740.707, 582.337, -6.871, 1.671)","(750.142, 576.445, 28.128, -12.739)","(764.135, 566.3, 22.179, -15.37)","(775.324, 581.756, -6.773, 27.971)","(779.802, 614.93, -0.729, 30.266)","(782.889, 638.259, 20.86, 38.408)","(756.55, 658.886, -37.133, 11.549)","(717.071, 656.87, -15.447, 5.145)","(685.411, 656.916, -24.066, 6.363)","(644.685, 666.48, -28.413, 1.981)","(603.987, 670.915, -40.412, -4.048)","(567.837, 672.572, -41.424, 9.517)","(523.271, 673.04, -54.494, -7.465)","(481.431, 668.861, -45.645, -14.606)","(444.892, 663.356, -39.008, -22.086)","(410.229, 659.302, -19.145, -9.283)","(375.106, 664.239, -36.364, 23.174)","(325.527, 669.45, -48.049, -16.623)","(287.379, 666.585, -50.128, -13.021)","(253.423, 662.97, -42.804, 12.45)","(218.509, 664.094, -32.662, 1.22)","(187.862, 664.066, -32.082, 16.431)"
19,"(453.415, 289.933, 48.971, -13.891)","(503.868, 275.371, 47.076, -25.762)","(552.409, 257.679, 50.986, 7.893)","(593.886, 244.703, 20.919, -6.411)","(628.567, 235.081, 31.697, -15.81)","(663.308, 223.495, 41.298, -18.52)","(699.026, 214.973, 33.91, -18.929)","(727.71, 207.077, 26.085, -10.658)","(759.205, 204.042, 35.802, -17.184)","(774.841, 179.077, -12.757, -53.268)","(779.62, 137.152, 19.745, -75.669)","(778.042, 106.726, -4.692, -28.621)","(764.697, 86.422, -28.413, -29.825)","(728.463, 79.198, -52.454, -6.166)","(685.73, 82.307, -27.916, 14.446)","(652.604, 81.309, -43.924, -7.532)","(609.375, 77.878, -43.656, 1.984)","(571.122, 90.408, -30.59, 2.238)","(535.35, 98.744, -54.581, -9.266)","(499.521, 98.476, -34.159, -16.642)","(456.487, 96.727, -42.112, -3.083)","(412.665, 95.835, -25.821, -6.423)","(371.117, 96.826, -35.584, -2.304)","(329.182, 97.748, -31.874, 9.977)","(289.468, 95.858, -55.743, -8.44)","(255.475, 94.1, -36.156, 14.524)","(219.765, 91.721, -47.899, -3.114)","(181.051, 94.877, -47.06, 9.046)","(148.856, 86.205, -29.516, 16.697)","(127.522, 133.301, -1.428, 47.984)","(119.944, 174.962, -22.305, 36.228)","(113.852, 214.905, -20.06, 39.714)","(109.066, 250.953, 10.228, 26.738)"
