,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
40,"(351.546, 242.29, 26.752, -11.882)","(385.669, 234.859, 28.013, -16.265)","(421.472, 227.888, 37.861, 2.983)","(456.466, 220.986, 22.411, -12.317)","(496.092, 213.799, 47.143, -21.295)","(527.407, 210.447, 23.277, 5.332)","(555.53, 210.893, 22.35, 15.326)","(589.411, 210.078, 31.369, -4.793)","(622.96, 207.487, 15.775, 9.582)","(647.38, 208.728, 13.987, -5.063)","(669.597, 208.059, 35.34, -5.445)","(693.388, 205.143, 14.914, 6.25)","(710.705, 206.541, 20.001, 16.097)","(729.916, 204.926, 15.657, -12.154)","(741.069, 203.144, 18.649, -0.079)","(757.103, 204.791, 12.275, -9.719)","(776.576, 191.021, 8.379, -21.837)","(791.651, 162.197, 16.886, -42.134)","(798.852, 131.333, 9.853, -37.217)","(804.699, 101.114, -1.061, -39.83)","(799.128, 80.385, 4.333, -22.344)","(777.636, 59.278, -36.62, -12.539)","(743.811, 52.534, -15.733, -8.981)","(710.682, 55.583, -23.928, -0.554)","(671.05, 54.362, -29.825, 12.079)","(632.946, 56.128, -26.114, 4.125)","(587.144, 56.664, -35.462, -5.396)","(544.918, 60.199, -26.198, 12.808)","(502.916, 60.678, -34.872, 9.893)","(460.478, 61.071, -29.144, -4.373)"
41,"(588.222, 571.855, 56.11, 24.435)","(622.471, 583.988, 50.393, 0.447)","(624.134, 583.977, 63.487, 0.82)","(624.134, 583.977, 63.487, 0.82)","(636.046, 583.913, 61.897, 0.573)","(643.074, 583.988, 72.07, 1.37)","(643.074, 583.988, 72.07, 1.37)","(657.207, 583.941, 37.139, 1.509)","(668.032, 583.963, 47.424, -0.451)","(674.694, 583.95, 56.591, -2.81)","(698.465, 583.777, 51.488, -3.213)","(714.337, 583.928, 28.289, 5.193)","(731.379, 583.967, 43.132, 0.889)","(744.115, 583.939, 18.212, 3.901)","(755.662, 579.553, -5.756, 16.166)","(771.783, 574.668, 5.206, 17.237)","(781.275, 582.437, 24.0, 33.061)","(771.574, 617.531, -34.739, 26.974)","(763.078, 636.035, -2.24, 18.859)","(766.414, 645.424, 10.849, 41.849)","(765.153, 654.972, -53.744, 7.006)","(725.901, 653.573, -14.837, -4.15)","(687.393, 657.594, -36.39, -15.895)","(649.409, 657.565, -59.641, -8.798)","(615.866, 656.371, -62.14, 12.229)","(575.44, 655.03, -24.838, -4.409)","(534.906, 656.258, -29.877, -0.774)","(498.558, 652.883, -37.95, 15.908)","(457.461, 657.443, -40.819, 14.679)","(421.021, 663.153, -44.011, 10.58)"
42,"(651.96, 310.612, 45.24, -2.541)","(700.341, 295.015, 41.854, -0.705)","(741.939, 277.255, 41.209, -19.833)","(779.582, 253.034, 25.485, -14.243)","(801.27, 229.662, -2.126, -22.558)","(808.095, 208.799, 16.889, -21.858)","(824.12, 178.139, 18.843, -51.167)","(827.434, 165.814, 0.149, -48.647)","(827.434, 165.814, 0.149, -48.647)","(827.434, 165.814, 0.149, -48.647)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.415, 165.449, -1.129, -21.867)","(827.17, 165.305, -14.716, -8.656)","(822.015, 156.12, -24.683, -16.507)","(812.119, 138.941, -22.629, -15.548)","(800.019, 119.741, -18.008, -37.612)","(790.769, 94.987, -34.841, 0.308)"
43,"(303.874, 564.911, 16.702, -16.705)","(334.239, 563.803, 43.132, -6.447)","(365.118, 562.745, 28.228, 12.916)","(397.32, 563.083, 17.311, -4.976)","(429.568, 562.209, 17.738, -10.372)","(462.499, 563.538, 26.967, -2.011)","(494.054, 562.134, 39.04, -4.77)","(525.444, 560.25, 22.729, 6.885)","(556.235, 558.654, 40.695, -6.362)","(587.138, 561.828, 45.396, 4.04)","(615.697, 568.148, 34.082, -8.292)","(642.248, 569.955, 8.462, -7.02)","(664.662, 570.905, 18.799, 5.894)","(683.661, 572.418, 10.29, -13.773)","(700.275, 574.635, 13.158, 6.299)","(714.224, 579.407, 1.112, -6.466)","(727.173, 580.088, 6.155, 20.591)","(738.031, 582.071, 27.118, -6.769)","(748.444, 576.75, 11.234, -12.062)","(752.708, 565.604, 6.536, -2.865)","(769.876, 560.358, 17.469, -6.03)","(763.552, 588.662, -3.069, 33.42)","(764.146, 603.489, 14.137, 24.625)","(769.56, 621.548, 11.516, 34.186)","(778.678, 640.226, 29.191, 23.927)","(767.588, 652.45, -27.249, -13.797)","(739.339, 649.074, -24.58, -12.511)","(715.374, 659.063, -34.738, 21.465)","(675.283, 661.958, -37.101, 8.914)","(641.931, 664.65, -43.387, -8.356)"
44,"(464.336, 431.703, 40.324, 12.052)","(497.836, 433.589, 37.756, 9.356)","(532.883, 436.095, 29.002, 6.656)","(573.351, 446.965, 32.436, 17.374)","(608.516, 453.547, 23.234, 13.777)","(641.101, 456.589, 18.533, 18.598)","(674.115, 459.692, 35.995, 7.078)","(704.809, 466.049, 24.286, 22.963)","(732.687, 476.432, 19.29, 7.543)","(758.094, 485.129, 16.305, 12.449)","(775.085, 499.604, 2.591, 25.73)","(787.817, 513.284, 17.754, 2.626)","(792.116, 534.395, 8.188, 46.025)","(794.163, 550.79, 29.234, 5.754)","(808.782, 564.06, 1.29, 14.798)","(816.75, 584.167, -14.981, 31.797)","(814.669, 625.188, 8.92, 44.509)","(815.418, 654.002, -11.596, 34.612)","(809.301, 671.739, 0.231, 28.775)","(780.705, 687.836, -50.548, 9.833)","(746.557, 693.754, -50.512, -9.427)","(711.459, 691.457, -49.374, -11.618)","(672.759, 691.261, -38.129, 7.42)","(633.488, 690.851, -49.855, 13.79)","(594.149, 688.266, -54.832, 12.015)","(554.547, 686.745, -44.529, -2.887)","(513.452, 687.798, -37.136, -2.421)","(474.854, 687.674, -31.644, 8.059)","(433.231, 689.52, -58.07, -3.153)","(390.94, 690.908, -59.452, -10.47)"
45,"(577.169, 480.806, 44.742, 19.038)","(617.18, 487.873, 58.267, 3.396)","(655.054, 494.457, 50.768, 20.794)","(688.161, 502.859, 44.672, 17.762)","(720.524, 517.835, 49.865, 18.842)","(750.599, 535.437, 41.163, 30.46)","(777.248, 548.177, 24.292, 29.736)","(794.031, 579.272, 26.273, 54.007)","(801.8, 623.87, -4.206, 27.825)","(803.283, 655.482, -11.463, 27.084)","(785.989, 676.224, -31.366, 41.326)","(752.335, 694.309, -42.426, 11.032)","(709.502, 692.465, -45.586, -3.172)","(665.793, 689.195, -57.445, -17.715)","(621.423, 687.72, -52.654, -11.127)","(578.383, 686.7, -55.899, 12.479)","(532.22, 686.077, -37.658, -0.924)","(487.595, 683.777, -46.553, 14.868)","(447.84, 685.387, -27.497, -1.991)","(405.374, 683.687, -47.87, -14.88)","(360.2, 682.552, -50.517, -17.045)","(316.785, 680.822, -56.56, -4.682)","(278.696, 678.901, -35.905, -6.177)","(240.452, 676.602, -53.258, -16.845)","(202.291, 674.635, -42.851, 0.177)","(166.004, 669.297, -29.308, -10.191)","(132.862, 646.885, -34.747, -33.276)","(116.841, 611.546, 3.546, -37.877)","(109.804, 573.358, 7.042, -41.208)","(102.51, 533.821, -9.688, -45.225)"
46,"(601.469, 382.699, 24.979, 2.605)","(633.263, 369.5, 27.381, -11.744)","(670.999, 356.685, 33.207, -12.219)","(701.769, 342.318, 25.805, -9.752)","(727.745, 325.348, 27.224, -22.774)","(751.053, 308.912, 26.898, -4.136)","(773.028, 290.815, 25.624, -37.362)","(789.952, 277.988, 12.53, -16.268)","(802.556, 268.596, 2.211, 0.783)","(808.129, 254.836, -2.847, -25.071)","(811.163, 240.354, -0.628, -29.475)","(814.458, 230.075, 14.521, -30.088)","(820.894, 217.399, 6.248, -21.145)","(821.431, 209.952, -3.995, -18.201)","(816.821, 205.391, -23.354, 4.663)","(813.103, 187.943, 4.819, -22.683)","(810.971, 166.524, -9.002, -50.53)","(811.719, 123.803, -12.857, -46.505)","(810.511, 88.221, 6.236, -29.463)","(799.607, 68.294, -9.154, -28.698)","(770.484, 55.051, -44.488, 9.629)","(726.95, 54.299, -36.012, 0.307)","(688.382, 58.388, -30.624, 0.681)","(648.095, 58.369, -38.06, 4.558)","(610.697, 56.524, -38.456, -4.308)","(569.727, 59.144, -46.083, 3.72)","(524.477, 61.306, -54.197, 15.393)","(482.383, 61.276, -35.016, 14.159)","(442.456, 62.513, -35.922, 10.101)","(401.443, 62.272, -44.75, -3.91)"
47,"(640.663, 427.539, 54.472, 12.31)","(676.402, 435.395, 40.222, 10.204)","(708.8, 442.718, 22.169, 3.705)","(738.403, 452.589, 38.224, 19.963)","(766.188, 468.363, 22.987, 23.012)","(786.141, 484.013, 4.805, 6.161)","(800.984, 496.281, 15.493, 24.384)","(810.639, 505.88, 13.34, 18.529)","(817.745, 513.529, 0.925, 6.492)","(821.92, 522.891, -16.978, 18.095)","(821.916, 532.892, -9.715, 20.997)","(813.829, 545.001, -25.969, 6.026)","(810.112, 555.558, -6.68, 13.81)","(815.952, 564.428, 14.238, 29.415)","(820.003, 587.704, -28.21, 37.205)","(817.631, 634.059, -5.06, 29.503)","(817.588, 663.904, -6.993, 15.31)","(802.283, 680.646, -37.838, 19.058)","(767.581, 694.415, -12.484, 22.832)","(731.52, 696.145, -43.45, -2.788)","(694.442, 693.859, -47.225, 0.519)","(660.744, 692.311, -20.593, 7.377)","(624.456, 691.43, -25.852, -0.082)","(582.923, 693.828, -49.395, 10.121)","(544.569, 693.506, -33.531, -9.937)","(504.484, 691.606, -36.385, 6.339)","(461.752, 691.113, -23.691, -19.857)","(423.095, 692.156, -46.196, 2.565)","(378.777, 690.924, -42.555, 6.413)","(333.888, 686.672, -27.349, -1.231)"
48,"(698.836, 253.126, 52.63, -6.514)","(744.597, 242.138, 21.08, -19.355)","(784.203, 221.158, 22.947, -25.142)","(805.706, 188.336, 12.718, -49.623)","(814.737, 147.359, 2.973, -49.386)","(804.833, 104.324, -18.013, -58.944)","(778.41, 72.019, -46.887, -36.455)","(733.862, 59.737, -42.146, 14.089)","(689.035, 61.526, -53.873, 5.334)","(645.934, 63.087, -43.35, 5.674)","(604.02, 65.623, -48.169, -5.843)","(559.013, 64.763, -60.215, 3.029)","(515.795, 67.622, -38.049, 4.523)","(471.89, 69.049, -50.622, -7.073)","(430.11, 70.252, -30.654, 3.318)","(386.906, 71.134, -60.753, -2.873)","(344.063, 72.743, -41.173, 13.116)","(299.823, 72.919, -33.382, 11.276)","(256.059, 74.272, -46.388, 11.481)","(211.836, 75.996, -48.228, 4.627)","(167.163, 76.164, -32.21, 14.526)","(125.482, 95.416, -25.632, 29.0)","(102.499, 135.675, -24.3, 52.54)","(91.165, 176.154, -14.069, 42.621)","(88.0, 216.813, -4.561, 25.343)","(85.652, 253.56, -18.764, 49.259)","(82.32, 292.514, -7.586, 54.0)","(76.916, 329.129, -0.354, 45.994)","(66.895, 362.001, -35.992, 4.92)","(None, None, None, None)"
49,"(518.498, 545.322, 36.358, -0.247)","(547.101, 554.775, 40.447, 17.585)","(579.345, 556.589, 32.952, 15.416)","(608.812, 549.547, 26.531, -9.889)","(651.325, 545.296, 36.131, 2.272)","(689.54, 553.007, 42.821, 12.845)","(711.488, 563.465, 2.392, -2.169)","(735.587, 565.104, 33.666, 5.02)","(755.488, 560.918, 24.1, -2.468)","(770.959, 560.34, 20.889, 23.88)","(771.666, 610.177, -15.53, 43.981)","(758.879, 635.037, -12.442, 11.741)","(763.569, 646.762, -9.529, 10.561)","(768.04, 663.071, 1.3, 45.477)","(741.627, 668.8, -39.389, 8.006)","(699.942, 665.403, -48.648, -6.84)","(663.449, 667.142, -42.287, 19.311)","(622.467, 665.734, -57.41, -17.231)","(580.33, 667.627, -27.267, -3.597)","(535.995, 663.197, -62.552, 2.222)","(494.091, 654.773, -30.392, -24.274)","(454.482, 648.771, -31.751, 8.546)","(420.869, 655.236, -24.998, 0.485)","(377.82, 659.841, -48.104, 1.168)","(345.616, 654.29, -37.697, 3.518)","(300.854, 659.996, -57.441, -6.067)","(255.12, 653.373, -21.379, 7.816)","(224.311, 651.547, -32.363, -3.917)","(201.583, 654.451, -10.0, -6.306)","(181.478, 651.078, -44.092, 2.608)"
