,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50,"(559.366, 176.075, 30.57, -8.107)","(585.064, 166.015, 44.587, -1.437)","(587.268, 166.008, 55.997, -0.231)","(587.268, 166.008, 55.997, -0.231)","(591.232, 166.069, 49.384, 1.575)","(609.358, 166.058, 41.794, -8.948)","(635.605, 166.038, 26.28, -3.325)","(651.76, 166.105, 28.303, -0.391)","(665.087, 166.087, 15.524, -8.226)","(680.993, 166.279, 49.883, 8.862)","(696.33, 166.086, 46.193, 2.084)","(719.659, 166.538, 31.771, 10.176)","(734.674, 176.669, -5.699, 7.208)","(749.928, 183.782, 5.084, -6.824)","(763.206, 186.923, 10.097, -9.576)","(779.243, 177.056, 16.986, -7.286)","(779.176, 144.542, -5.222, -24.422)","(769.888, 117.862, 7.384, -7.293)","(757.394, 114.018, -15.697, -2.825)","(755.799, 107.794, -8.815, -0.548)","(758.522, 97.116, 3.94, -16.493)","(754.353, 101.672, 2.638, -7.42)","(763.259, 96.652, 18.802, -37.124)","(753.959, 76.479, -15.653, -9.065)","(717.506, 71.368, -54.561, -13.656)","(677.031, 70.175, -20.141, 7.062)","(636.737, 68.15, -54.835, -16.989)","(596.761, 65.591, -44.105, -14.597)","(555.606, 65.762, -46.629, 0.636)","(517.463, 66.057, -21.004, -16.822)"
51,"(547.418, 564.65, 40.929, -3.849)","(587.542, 572.274, 44.265, -3.029)","(609.654, 579.6, -4.535, 8.118)","(611.724, 583.956, -9.574, 6.314)","(611.578, 583.976, -0.972, 1.442)","(611.891, 583.996, 18.796, 1.182)","(616.188, 583.927, 34.612, -1.397)","(617.378, 583.97, 42.531, 1.406)","(627.229, 583.942, 15.342, 8.911)","(642.678, 583.448, 8.783, -11.111)","(660.035, 583.919, 36.348, -3.497)","(679.064, 583.85, 19.341, 13.357)","(693.658, 583.805, 47.28, -0.064)","(712.129, 583.977, 24.512, 2.552)","(727.443, 583.575, 22.407, -8.585)","(743.617, 583.845, 10.684, 16.6)","(754.665, 576.599, -7.131, -39.713)","(772.964, 565.779, 33.157, -5.181)","(774.257, 601.012, 0.464, 26.132)","(768.601, 618.984, -19.5, 27.069)","(764.218, 634.328, 24.501, -6.12)","(776.439, 657.652, 23.404, 34.611)","(736.366, 653.283, -30.715, -3.544)","(695.2, 659.396, -41.008, 4.785)","(663.387, 659.353, -27.745, 8.558)","(624.948, 656.999, -30.929, -9.984)","(584.49, 657.323, -55.75, -11.178)","(547.973, 659.558, -51.45, 6.188)","(507.636, 657.072, -33.372, 15.54)","(471.323, 660.942, -55.542, 2.405)"
52,"(365.885, 522.941, 38.19, 13.003)","(399.805, 520.353, 15.018, -8.285)","(435.169, 517.816, 23.62, -8.713)","(471.252, 516.396, 38.753, 10.112)","(505.411, 517.238, 25.275, 9.209)","(534.409, 513.013, 19.408, 5.714)","(564.669, 511.565, 38.062, -2.502)","(597.611, 510.461, 20.488, -11.482)","(624.047, 510.568, 29.294, 9.906)","(649.581, 510.304, 19.438, 0.16)","(671.208, 510.308, 13.756, -6.976)","(688.5, 508.357, 29.69, 19.734)","(711.565, 509.542, 33.806, 17.537)","(731.104, 512.025, 9.922, 12.719)","(747.73, 517.837, 11.54, -1.467)","(764.535, 521.488, 35.094, 6.464)","(780.378, 534.165, 11.167, 41.576)","(784.783, 549.36, 1.702, 22.77)","(792.873, 576.815, -1.412, 25.771)","(794.151, 609.168, 16.71, 18.148)","(808.456, 636.581, 15.064, 22.084)","(807.485, 658.428, -9.05, 13.33)","(792.444, 672.692, -27.272, 6.162)","(760.804, 683.018, -36.266, -1.631)","(729.679, 689.152, -30.83, 22.849)","(699.112, 691.865, -17.749, 5.808)","(667.645, 693.354, -33.395, 1.997)","(632.202, 691.869, -26.738, -8.254)","(598.191, 692.245, -43.307, 14.774)","(564.303, 691.009, -44.11, 14.908)"
53,"(765.466, 224.549, 41.764, -36.676)","(794.146, 194.793, 12.065, -40.908)","(811.717, 156.028, -9.884, -35.825)","(806.081, 119.094, -3.201, -31.336)","(785.136, 83.622, -28.363, -33.025)","(740.193, 69.11, -41.598, 6.004)","(687.992, 67.875, -37.216, 3.274)","(641.539, 69.769, -37.535, -11.079)","(594.707, 71.357, -35.626, -5.84)","(552.308, 72.063, -36.996, -8.314)","(508.709, 72.182, -41.517, -5.566)","(463.731, 74.782, -43.849, 4.341)","(416.801, 77.183, -42.914, -15.5)","(372.882, 80.554, -31.95, 8.294)","(328.789, 79.807, -45.231, -8.983)","(286.172, 79.12, -56.885, 9.224)","(243.718, 79.26, -34.145, -16.507)","(199.958, 80.939, -54.609, 8.719)","(161.006, 76.944, -57.135, -11.825)","(124.505, 104.455, -42.558, 50.837)","(106.927, 146.083, -9.559, 28.11)","(96.361, 189.274, -16.441, 42.695)","(89.199, 235.01, 5.842, 56.174)","(84.792, 277.647, -8.318, 51.433)","(79.754, 315.946, 2.63, 26.583)","(72.221, 354.62, -10.797, 31.913)","(29.214, 365.339, -60.856, 28.769)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
54,"(330.181, 536.4, 42.265, 8.634)","(361.749, 536.137, 46.723, -7.371)","(397.78, 537.268, 24.609, -11.475)","(432.102, 537.82, 29.6, -1.335)","(467.147, 538.252, 47.83, 5.241)","(503.306, 542.827, 39.486, 1.658)","(540.712, 546.682, 50.164, 2.192)","(573.465, 548.115, 33.324, 10.231)","(599.818, 549.403, 17.999, -10.763)","(629.759, 547.467, 19.603, 6.836)","(661.486, 542.468, 27.656, -8.63)","(686.17, 542.242, 18.428, -15.527)","(709.349, 542.7, 8.782, 14.8)","(728.974, 544.745, 16.312, 1.277)","(738.928, 546.704, 10.168, -21.387)","(757.997, 546.624, 36.013, 4.821)","(775.719, 559.243, -10.889, 34.065)","(789.562, 591.227, 14.214, 49.592)","(794.982, 621.679, -4.149, 16.254)","(797.624, 650.479, -21.099, 28.872)","(781.071, 671.208, -10.92, 4.204)","(749.901, 681.43, -50.516, 2.598)","(716.214, 685.992, -22.316, 8.764)","(677.423, 688.594, -40.01, 4.243)","(638.453, 687.34, -31.302, 16.206)","(598.046, 688.33, -39.121, 5.36)","(558.873, 687.671, -41.231, -11.359)","(520.424, 686.315, -34.076, -2.601)","(486.125, 689.877, -23.9, 9.457)","(447.47, 689.345, -54.451, 16.123)"
55,"(606.92, 518.132, 22.576, 11.591)","(647.376, 528.521, 27.62, 23.793)","(685.539, 536.241, 45.758, -7.736)","(717.807, 539.114, 19.101, -4.618)","(750.896, 543.063, 30.177, -2.328)","(771.392, 546.732, 52.648, 17.718)","(781.024, 572.352, 14.785, 34.431)","(790.608, 616.668, -7.002, 52.743)","(782.32, 650.348, 17.005, 12.732)","(735.583, 653.434, -58.546, 4.637)","(697.763, 646.027, -24.859, 1.157)","(664.106, 640.106, -34.73, -15.103)","(644.608, 636.09, -39.366, -0.948)","(628.136, 636.177, -38.056, 3.832)","(614.507, 636.05, -60.943, 0.113)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(613.298, 636.056, -37.841, -0.159)","(611.544, 636.005, -26.907, -0.679)"
56,"(534.555, 300.105, 31.415, -35.098)","(566.273, 276.38, 33.824, -20.466)","(597.338, 260.755, 24.087, 0.145)","(629.672, 246.317, 62.964, -14.495)","(663.869, 239.145, 26.603, -15.702)","(695.22, 233.606, 33.943, -2.614)","(719.485, 223.546, 23.789, -16.806)","(751.724, 214.903, 26.364, 7.301)","(773.358, 205.595, -6.963, -24.703)","(774.839, 147.269, -17.372, -33.246)","(765.162, 107.2, -36.003, -38.826)","(748.484, 89.015, -7.103, -20.732)","(769.503, 77.909, 24.245, 17.612)","(732.005, 76.425, -66.891, 9.782)","(690.374, 73.876, -49.849, -4.827)","(649.922, 74.824, -34.807, 12.85)","(609.059, 79.763, -44.268, -1.694)","(572.181, 77.383, -48.097, 13.834)","(534.131, 74.303, -37.381, -6.231)","(493.801, 71.124, -46.574, -10.957)","(453.917, 70.154, -37.785, -1.488)","(412.521, 67.934, -29.849, 8.169)","(370.079, 67.65, -35.059, -14.566)","(330.514, 67.319, -25.425, 7.364)","(289.897, 65.592, -48.428, -9.769)","(249.691, 66.022, -32.847, -2.574)","(215.422, 71.672, -47.159, -7.124)","(178.01, 67.416, -39.569, 14.105)","(140.503, 75.213, -32.883, 28.946)","(110.337, 104.791, -25.908, 32.318)"
57,"(677.57, 494.957, 41.752, 34.984)","(715.568, 512.999, 43.595, 32.338)","(748.749, 523.099, 18.263, -6.427)","(782.914, 542.946, 15.769, 34.926)","(799.428, 569.36, 1.262, 23.163)","(806.579, 601.717, 0.737, 41.223)","(814.158, 642.551, 15.452, 42.629)","(802.555, 669.834, -10.13, 13.736)","(776.619, 683.559, -29.818, 4.508)","(737.59, 690.175, -33.708, 4.009)","(699.471, 687.302, -30.241, -13.928)","(658.516, 685.858, -57.224, 14.716)","(614.063, 686.316, -61.596, -6.517)","(571.671, 683.178, -37.861, -1.116)","(530.05, 680.167, -25.897, -5.85)","(487.492, 679.328, -36.943, 1.24)","(442.842, 678.736, -53.636, -16.306)","(396.21, 676.459, -45.403, -10.469)","(351.905, 671.913, -50.299, 10.766)","(311.826, 667.632, -46.469, -12.767)","(272.433, 663.402, -41.915, -16.602)","(233.727, 662.729, -29.566, 13.036)","(194.331, 665.686, -26.437, -14.56)","(154.192, 664.879, -33.818, 3.357)","(129.807, 635.392, -17.189, -43.06)","(117.693, 596.709, 0.506, -36.887)","(105.776, 555.961, -3.786, -46.794)","(96.914, 516.741, -2.489, -50.09)","(85.966, 479.648, 5.897, -54.143)","(80.87, 445.791, -15.846, -35.35)"
58,"(690.673, 207.134, 59.359, 8.977)","(732.531, 198.664, 34.997, -1.011)","(770.624, 193.536, 47.863, 3.185)","(777.27, 148.442, 1.393, -39.727)","(777.222, 113.885, 17.853, -20.209)","(765.767, 91.917, -37.626, 1.723)","(718.845, 91.326, -53.013, 17.261)","(677.032, 99.685, -49.689, -6.514)","(634.684, 101.291, -31.957, -4.622)","(591.697, 103.747, -33.578, 15.92)","(552.327, 96.851, -33.799, -17.597)","(509.891, 90.791, -33.877, 8.431)","(469.927, 88.011, -29.206, 8.941)","(425.287, 85.161, -28.129, -6.028)","(381.724, 83.663, -50.672, 10.586)","(338.616, 85.589, -40.214, 11.996)","(294.899, 83.82, -46.889, 6.871)","(252.014, 82.819, -48.188, -19.177)","(208.701, 81.312, -32.183, 13.722)","(168.612, 80.205, -53.006, -0.364)","(129.268, 97.146, -31.209, 53.628)","(107.702, 140.665, -21.675, 38.368)","(95.902, 184.246, -9.238, 53.304)","(88.762, 224.532, -13.484, 38.028)","(85.045, 265.906, -2.241, 57.338)","(78.967, 304.778, -14.808, 25.051)","(77.709, 339.431, -10.043, 48.096)","(53.347, 364.102, -41.798, 2.742)","(None, None, None, None)","(None, None, None, None)"
59,"(652.971, 529.637, 41.304, 1.811)","(691.78, 538.403, 46.35, 8.533)","(728.678, 543.827, 33.841, 31.489)","(761.955, 554.532, 41.16, 15.513)","(773.671, 589.107, 9.024, 47.089)","(771.796, 629.674, 13.715, 33.821)","(764.926, 658.674, -53.296, 9.465)","(721.023, 650.252, -26.88, 0.108)","(680.531, 639.858, -33.876, -1.885)","(634.385, 639.797, -62.439, 0.79)","(598.114, 636.0, -42.799, -9.569)","(576.972, 636.047, -47.946, 2.02)","(551.737, 636.027, -52.404, -4.397)","(533.77, 636.048, -41.283, 2.663)","(502.422, 636.173, -32.391, -9.899)","(473.673, 636.27, -45.048, -3.891)","(456.297, 636.006, -39.015, 0.255)","(445.916, 636.054, -60.167, -0.768)","(435.812, 636.032, -36.724, -1.297)","(409.965, 636.121, -48.587, 3.274)","(375.545, 636.165, -62.003, -9.822)","(346.544, 636.0, -38.224, -1.203)","(307.296, 637.892, -47.382, 7.709)","(268.534, 639.508, -28.234, 2.199)","(235.6, 644.439, -36.816, -7.409)","(209.713, 654.161, -7.398, 26.875)","(194.127, 651.012, -55.863, -0.842)","(191.936, 651.027, -49.202, 1.513)","(179.317, 651.201, -57.932, -2.702)","(137.609, 650.066, -1.507, -35.068)"
60,"(601.935, 188.277, 32.214, 3.318)","(636.618, 182.259, 29.592, -4.635)","(661.407, 180.62, 19.177, 6.495)","(705.031, 179.745, 36.124, -23.211)","(733.034, 166.011, 22.608, -9.412)","(749.404, 166.008, 32.766, -3.59)","(762.668, 170.576, 22.623, 10.573)","(773.611, 172.236, 18.782, 29.446)","(776.351, 177.83, 14.62, 1.654)","(796.303, 177.306, 8.094, 36.076)","(789.238, 144.41, -20.523, -68.019)","(789.075, 102.541, 12.24, -27.941)","(752.779, 95.355, -69.032, -1.981)","(697.724, 106.393, -43.456, 12.553)","(681.572, 113.98, -57.176, 2.12)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(680.258, 113.987, -78.82, 0.467)","(678.897, 113.991, -81.659, 0.225)","(658.685, 113.926, -57.075, -2.299)","(642.503, 113.901, -44.626, -4.247)","(621.023, 113.907, -43.531, 3.144)","(611.657, 113.986, -50.424, -0.637)"
61,"(442.14, 203.658, 27.938, -16.312)","(474.956, 193.836, 42.746, -1.07)","(509.253, 184.044, 38.887, -18.399)","(536.067, 177.884, 32.123, 4.829)","(559.661, 172.793, 17.79, 2.856)","(580.351, 166.676, 25.407, 9.824)","(593.569, 166.004, 35.036, -4.867)","(611.482, 166.062, 20.368, -17.939)","(629.866, 166.35, 29.244, -1.851)","(652.708, 166.52, 18.513, -14.355)","(668.634, 166.155, 33.847, -3.305)","(683.324, 166.15, 33.473, 5.58)","(700.787, 166.146, 35.974, -9.203)","(720.523, 166.179, 26.526, -4.453)","(735.474, 166.339, 8.089, 16.53)","(748.614, 177.176, 7.714, 16.261)","(756.891, 189.874, 27.15, -1.611)","(770.906, 184.296, -7.674, -51.408)","(778.481, 148.991, 3.274, -48.321)","(777.397, 121.865, 18.41, -38.442)","(774.242, 95.759, -26.97, -12.339)","(749.073, 83.393, -50.413, -19.282)","(711.995, 84.707, -16.217, 2.244)","(671.11, 76.589, -36.412, 7.354)","(634.458, 85.747, -49.241, -2.934)","(597.562, 82.776, -32.199, 16.351)","(563.974, 91.547, -40.262, -0.885)","(525.387, 94.024, -47.748, -1.738)","(487.935, 95.193, -30.936, -15.692)","(449.551, 96.662, -42.513, 2.014)"
62,"(755.891, 514.447, 45.805, 8.617)","(790.72, 530.692, 14.014, 35.748)","(809.306, 569.991, 5.376, 37.809)","(806.874, 619.443, 11.439, 35.873)","(800.392, 663.097, -14.139, 21.378)","(770.54, 685.835, -31.852, 16.131)","(728.591, 689.265, -49.89, -15.123)","(687.078, 685.811, -29.356, 6.53)","(647.427, 684.844, -34.09, 4.938)","(605.577, 683.789, -31.982, -18.724)","(565.268, 681.961, -56.732, 15.64)","(525.567, 678.6, -26.856, -5.127)","(486.238, 679.353, -44.603, 14.846)","(444.732, 679.015, -26.405, 10.779)","(403.387, 679.102, -41.135, 4.393)","(357.12, 679.765, -31.505, -6.386)","(311.349, 677.483, -54.554, 6.195)","(265.438, 674.254, -46.941, 7.51)","(221.836, 670.545, -37.822, -17.089)","(180.688, 668.93, -48.71, -17.217)","(139.609, 656.088, -8.901, -55.464)","(117.671, 615.639, -29.719, -34.756)","(104.454, 575.699, -16.958, -41.675)","(91.299, 536.179, -11.016, -31.427)","(80.871, 495.293, -16.272, -30.601)","(70.25, 454.213, -14.009, -30.063)","(68.525, 423.1, 12.918, -28.098)","(61.598, 390.478, -33.341, 13.112)","(None, None, None, None)","(None, None, None, None)"
63,"(288.97, 279.695, 33.822, -19.125)","(326.017, 271.913, 38.601, 0.997)","(361.972, 264.169, 22.425, -11.742)","(397.799, 257.505, 31.862, -14.327)","(430.889, 250.758, 17.346, -13.685)","(464.781, 244.538, 43.496, -15.812)","(494.444, 238.617, 39.112, -2.164)","(525.686, 236.006, 28.129, 2.264)","(554.948, 230.922, 27.435, 3.848)","(582.688, 226.247, 36.258, -2.018)","(610.729, 222.521, 37.794, 11.967)","(640.045, 219.091, 39.825, -2.301)","(664.679, 218.935, 20.237, -10.951)","(687.488, 216.908, 2.898, -6.709)","(706.105, 215.039, 21.782, -0.338)","(722.642, 215.929, 9.499, 29.193)","(737.789, 214.301, 26.989, -11.862)","(749.27, 210.818, 2.065, -0.291)","(770.123, 202.856, -20.496, -45.34)","(778.738, 187.427, 13.95, -25.728)","(784.201, 149.238, -4.5, -21.273)","(787.575, 116.843, 1.949, -47.459)","(784.484, 97.269, -23.801, 0.572)","(747.26, 104.038, -49.025, -2.241)","(720.958, 113.899, -19.9, 14.119)","(717.702, 113.97, -26.945, 10.518)","(716.665, 113.946, -21.839, 2.769)","(716.665, 113.946, -21.839, 2.769)","(716.665, 113.946, -21.839, 2.769)","(716.665, 113.946, -21.839, 2.769)"
64,"(601.589, 285.134, 40.308, -10.791)","(649.22, 274.197, 42.577, -21.886)","(688.631, 264.342, 24.235, 7.252)","(728.124, 253.708, 50.692, -19.049)","(757.55, 239.32, 47.499, -18.067)","(777.726, 221.513, 13.608, -27.647)","(797.075, 198.327, 19.916, -22.566)","(811.862, 176.114, 12.179, -22.925)","(805.286, 131.96, -1.123, -47.511)","(805.847, 87.935, 5.125, -31.652)","(782.63, 61.989, -29.567, -32.874)","(749.996, 53.736, -36.954, 1.414)","(704.546, 58.565, -40.01, 9.821)","(665.69, 62.412, -31.597, -8.95)","(628.939, 66.104, -43.235, -3.882)","(585.25, 67.248, -40.159, 7.71)","(540.619, 72.847, -65.652, 14.031)","(494.268, 79.251, -31.885, -0.841)","(449.81, 85.835, -38.636, 9.583)","(405.066, 87.939, -45.441, 15.247)","(365.973, 87.641, -29.879, 3.225)","(325.652, 86.863, -36.039, -0.33)","(286.985, 89.293, -47.135, -12.286)","(248.347, 88.639, -35.504, 7.489)","(209.918, 87.424, -39.606, -6.366)","(175.665, 87.699, -21.803, -13.698)","(138.822, 87.635, -34.337, 12.238)","(114.131, 122.58, -28.641, 21.313)","(101.865, 161.162, -19.893, 54.914)","(94.893, 200.493, -2.596, 31.153)"
65,"(751.916, 550.037, 39.353, -9.482)","(772.194, 571.446, -4.287, 38.577)","(774.619, 618.217, 19.279, 34.295)","(783.251, 654.587, -36.186, 6.396)","(742.91, 665.205, -30.06, 17.578)","(699.296, 664.762, -36.12, -12.056)","(656.138, 662.146, -38.104, 11.921)","(613.189, 663.253, -44.033, -0.191)","(568.345, 663.838, -45.357, 0.284)","(524.764, 664.266, -36.429, 8.691)","(482.11, 664.836, -50.009, 7.201)","(440.523, 664.527, -30.255, -16.395)","(397.795, 663.293, -53.516, 15.493)","(355.636, 663.16, -47.865, 8.588)","(313.037, 662.796, -56.507, 15.896)","(274.238, 661.898, -31.068, -8.405)","(235.441, 664.922, -39.929, 1.536)","(197.004, 665.952, -24.53, -19.173)","(157.53, 662.551, -50.068, -3.005)","(131.238, 632.195, -15.883, -54.525)","(119.388, 590.24, -1.508, -50.294)","(106.124, 551.194, -17.857, -48.454)","(95.659, 511.263, -26.726, -47.918)","(85.504, 470.671, 7.182, -31.429)","(78.632, 433.757, 3.959, -49.564)","(72.379, 397.199, 3.386, -45.196)","(49.628, 385.901, -40.455, -3.619)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
66,"(694.943, 455.424, 18.524, 27.896)","(718.67, 472.547, 37.053, 33.822)","(745.891, 488.747, 9.256, 2.013)","(766.658, 500.891, 23.152, 6.156)","(787.329, 518.384, 19.32, 1.653)","(793.013, 538.75, 22.396, 13.393)","(811.941, 577.897, 4.123, 64.084)","(817.179, 628.102, 14.8, 42.313)","(815.52, 659.609, -14.399, 29.181)","(795.063, 680.708, -32.32, 9.823)","(747.173, 690.86, -49.812, -7.691)","(703.277, 683.016, -54.881, 8.567)","(660.108, 682.009, -53.562, -1.85)","(620.206, 682.101, -48.344, -8.188)","(579.899, 682.959, -35.878, 12.074)","(533.35, 680.618, -48.281, -6.506)","(493.423, 675.294, -50.32, -11.697)","(451.057, 671.917, -52.125, -3.379)","(400.713, 673.96, -59.594, 6.425)","(355.974, 671.905, -41.074, 6.148)","(316.191, 668.27, -35.806, -18.149)","(277.904, 664.586, -55.305, -19.087)","(237.227, 662.96, -53.99, -15.463)","(198.171, 663.707, -48.658, -17.734)","(161.083, 663.461, -33.14, -7.348)","(131.636, 640.736, -30.492, -36.911)","(115.899, 603.56, -4.12, -33.093)","(103.319, 565.253, -9.767, -45.193)","(91.061, 526.895, -14.171, -31.331)","(81.847, 491.352, -4.855, -52.525)"
67,"(693.252, 543.29, 50.813, 12.124)","(734.199, 558.587, 44.261, 4.454)","(768.016, 564.209, 31.475, 8.132)","(774.608, 600.593, 2.335, 62.792)","(780.944, 636.409, -10.679, 49.983)","(762.455, 653.892, -49.048, 5.098)","(709.347, 648.002, -42.192, -1.288)","(663.963, 642.09, -41.708, -16.749)","(619.345, 638.903, -31.532, 0.393)","(573.401, 636.637, -29.323, -5.169)","(533.931, 636.323, -47.379, 8.594)","(498.765, 636.362, -30.38, -1.918)","(463.789, 636.07, -44.857, 0.047)","(430.932, 636.101, -26.491, 3.846)","(405.477, 636.224, -44.657, -7.96)","(372.806, 636.088, -46.863, -12.777)","(337.598, 636.224, -49.885, 8.68)","(300.83, 637.839, -34.563, -6.717)","(261.8, 644.39, -28.755, 0.371)","(224.834, 655.004, -39.3, 23.01)","(185.74, 659.251, -44.33, -15.971)","(144.097, 661.471, -31.47, -41.278)","(125.37, 621.834, -6.244, -49.749)","(116.582, 580.023, -22.612, -56.28)","(107.277, 539.824, -10.1, -40.555)","(98.94, 497.512, -9.502, -44.257)","(92.21, 459.905, -5.786, -46.459)","(86.403, 425.833, -20.203, -17.64)","(80.622, 396.746, -12.824, -12.531)","(54.363, 381.579, -46.575, -14.04)"
68,"(398.445, 294.122, 29.41, -0.842)","(423.193, 289.627, 34.353, -20.878)","(455.503, 279.933, 19.977, -26.424)","(488.087, 272.785, 24.395, -15.109)","(523.046, 264.985, 46.75, -17.456)","(556.091, 256.497, 48.597, 9.091)","(591.956, 246.677, 40.28, -7.599)","(627.767, 238.034, 36.431, -16.768)","(656.572, 235.39, 14.127, 1.098)","(682.036, 232.645, 28.451, -5.211)","(707.659, 226.901, 21.573, -24.436)","(729.489, 217.608, 38.159, -12.446)","(746.96, 212.275, 16.617, -1.341)","(765.162, 214.726, 21.618, 0.188)","(776.6, 198.944, 31.286, -21.503)","(787.194, 158.752, 4.358, -14.911)","(794.549, 128.022, 12.84, -48.747)","(793.645, 96.098, -37.894, -18.083)","(770.29, 90.325, -20.906, 15.455)","(732.682, 87.296, -47.278, 0.19)","(705.45, 89.845, -40.654, -13.418)","(665.311, 85.284, -42.228, 3.473)","(629.12, 96.638, -44.748, -14.861)","(582.836, 99.971, -45.867, 12.797)","(555.907, 108.573, -28.485, -14.652)","(518.286, 101.305, -43.287, 11.876)","(475.202, 99.843, -42.492, -0.118)","(432.915, 98.859, -36.68, -4.695)","(394.884, 99.58, -30.758, 18.611)","(355.257, 99.275, -59.134, -6.13)"
69,"(542.071, 514.187, 22.356, 19.102)","(579.591, 521.868, 47.652, -4.933)","(616.747, 528.496, 51.568, -12.721)","(655.312, 542.335, 49.1, 7.42)","(689.779, 554.268, 45.441, 25.034)","(723.247, 561.841, 32.736, -14.04)","(749.079, 555.91, 26.769, -14.786)","(768.907, 556.341, 46.217, 15.062)","(774.209, 601.097, 2.048, 56.908)","(775.046, 635.603, -16.714, 27.871)","(771.536, 657.565, -5.781, 16.339)","(739.254, 662.811, -68.834, -15.526)","(689.119, 644.109, -31.114, -5.934)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.73, 636.055, -50.286, -4.274)","(670.356, 636.034, -22.467, -1.267)","(668.96, 636.025, -57.127, 0.525)","(668.472, 636.014, -29.333, -0.659)","(667.905, 636.012, -33.983, -0.157)"
70,"(505.719, 468.142, 21.239, 7.788)","(543.226, 472.348, 24.367, 17.38)","(579.777, 480.257, 30.879, -2.861)","(618.262, 485.276, 26.25, 7.073)","(654.775, 492.022, 45.239, 15.602)","(686.986, 498.819, 27.301, 17.687)","(717.344, 506.399, 28.363, 13.715)","(743.518, 509.036, 39.492, -7.968)","(766.568, 517.02, 37.946, 3.728)","(787.187, 529.727, 20.415, 22.625)","(797.131, 557.27, 0.644, 38.549)","(807.485, 584.13, 23.154, 41.991)","(813.786, 625.935, 10.652, 27.56)","(818.694, 653.675, -4.96, 20.837)","(814.475, 673.115, -20.025, -8.389)","(795.98, 688.029, -39.291, -0.339)","(763.324, 697.271, -49.963, 16.442)","(721.583, 695.581, -50.521, -7.428)","(677.903, 693.54, -36.489, 15.978)","(637.065, 692.259, -49.884, -18.663)","(595.21, 694.144, -34.38, -11.179)","(555.025, 694.155, -28.762, 8.642)","(510.166, 691.568, -47.238, -0.552)","(466.472, 691.92, -36.837, -0.14)","(424.952, 691.243, -43.336, -15.267)","(381.234, 690.39, -50.08, -5.686)","(340.655, 690.14, -53.795, 13.984)","(301.208, 688.999, -25.272, 7.385)","(263.064, 683.702, -38.464, -9.803)","(225.373, 680.919, -9.767, -7.361)"
71,"(443.396, 294.963, 27.069, -5.078)","(482.403, 274.277, 42.491, -11.611)","(515.679, 264.363, 24.199, -15.898)","(548.103, 257.434, 34.648, -5.7)","(578.847, 249.144, 34.87, -4.233)","(611.413, 241.629, 43.723, 6.76)","(647.352, 232.74, 40.344, -25.968)","(677.545, 226.54, 38.855, 3.36)","(701.266, 225.063, 6.69, -11.464)","(722.806, 226.042, 19.547, 10.936)","(744.655, 221.435, 15.711, -4.051)","(765.304, 215.368, 28.782, -10.362)","(782.296, 198.796, -2.851, -30.554)","(786.785, 182.273, -10.963, -50.32)","(795.671, 128.867, 7.006, -34.182)","(782.746, 89.856, -39.159, -35.055)","(744.627, 68.694, -27.652, 13.478)","(707.309, 66.482, -28.549, -21.343)","(668.922, 63.218, -46.882, -10.077)","(627.948, 65.409, -58.291, 4.153)","(587.167, 64.195, -40.555, -3.37)","(550.613, 63.329, -28.7, -13.17)","(511.978, 62.726, -49.414, -15.033)","(473.886, 62.201, -38.133, 2.129)","(438.526, 62.819, -30.076, 7.911)","(398.911, 64.929, -41.881, 10.454)","(360.077, 64.498, -33.223, -12.196)","(321.991, 64.459, -27.406, -14.113)","(285.237, 64.535, -33.372, 17.734)","(248.313, 68.594, -46.173, -15.712)"
