,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,"(417.557, 422.109, None, None)","(433.031, 438.039, None, None)","(458.646, 404.641, None, None)","(510.631, 390.782, None, None)","(567.827, 390.172, None, None)","(611.436, 414.057, None, None)","(654.335, 450.436, None, None)","(661.902, 482.768, None, None)","(711.1, 494.28, None, None)","(739.496, 518.193, None, None)","(779.392, 549.197, None, None)","(789.008, 573.442, None, None)","(793.977, 610.845, None, None)","(758.482, 638.117, None, None)","(735.05, 669.665, None, None)","(679.058, 680.383, None, None)","(627.406, 688.821, None, None)","(570.234, 687.045, None, None)","(513.061, 685.269, None, None)","(462.512, 695.902, None, None)","(406.546, 684.084, None, None)","(373.9, 677.19, None, None)","(331.051, 679.286, None, None)","(273.931, 677.554, None, None)","(227.287, 675.016, None, None)","(182.481, 675.008, None, None)","(126.077, 669.691, None, None)","(102.672, 624.21, None, None)","(90.643, 568.289, None, None)","(86.922, 545.745, None, None)","(77.901, 489.295, None, None)","(61.375, 451.156, None, None)","(68.191, 415.851, None, None)","(31.347, 394.593, None, None)"
1,"(508.534, 380.146, -1.353, 30.28)","(549.378, 394.563, 54.378, 56.436)","(584.176, 405.115, 61.026, 54.887)","(623.582, 418.02, 18.491, 12.637)","(659.138, 433.398, 60.722, 63.568)","(699.521, 440.964, 0.198, -2.105)","(732.396, 465.95, 37.502, -13.634)","(760.067, 481.902, 55.982, 41.269)","(783.763, 515.152, 33.925, 63.089)","(796.307, 534.403, -42.111, 13.698)","(801.544, 565.258, 21.564, 10.8)","(811.854, 613.134, 54.795, 20.818)","(808.96, 650.755, -10.815, -13.106)","(785.678, 660.488, -26.259, -12.58)","(754.25, 650.098, -60.123, -43.877)","(709.16, 646.783, -43.893, -18.731)","(676.181, 646.736, -83.915, 27.504)","(644.392, 651.876, -67.484, -21.872)","(590.275, 671.192, -27.806, 53.91)","(544.541, 663.095, 3.969, 10.488)","(503.849, 662.27, -12.749, 31.29)","(473.15, 661.475, -76.897, -49.008)","(433.968, 659.985, -34.778, 17.957)","(395.844, 660.093, -13.497, -46.8)","(359.501, 666.495, -27.106, -6.439)","(327.95, 666.11, -61.873, -2.593)","(291.04, 663.203, -50.636, 3.307)","(258.871, 663.731, -56.525, 6.407)","(226.649, 667.004, -84.463, 14.374)","(190.362, 664.744, -62.569, -34.521)","(152.833, 662.046, -69.494, 64.589)","(134.192, 629.989, -30.546, 9.674)","(114.003, 592.579, -48.678, 15.197)","(101.381, 558.233, 26.622, -50.732)"
2,"(453.999, 385.324, 75.381, 66.703)","(487.787, 402.283, 5.217, -32.218)","(529.806, 408.282, 15.658, 47.832)","(569.767, 411.677, 88.814, -16.183)","(607.214, 426.724, 69.789, 34.805)","(645.347, 439.524, 12.099, -32.687)","(689.956, 453.126, 22.028, -28.177)","(726.167, 465.296, 58.042, 62.549)","(756.675, 471.57, 35.84, 0.137)","(779.905, 488.611, 2.454, 22.228)","(798.625, 498.576, 9.059, -49.291)","(812.457, 513.7, 28.068, 7.753)","(816.695, 521.116, 38.559, -47.518)","(818.079, 520.033, -24.24, 55.855)","(822.486, 527.68, -41.341, -0.905)","(818.593, 537.295, -7.486, 54.893)","(822.228, 537.1, 11.691, -42.782)","(821.695, 540.958, 24.873, 47.617)","(817.649, 540.103, -16.598, -24.664)","(820.842, 566.737, -0.012, 74.983)","(811.603, 589.57, 39.418, -7.729)","(817.584, 625.214, -16.419, 24.557)","(818.531, 648.493, -33.656, -3.68)","(797.639, 668.993, -17.681, 1.178)","(756.729, 693.464, -24.519, 59.518)","(720.755, 692.925, -40.776, 2.565)","(679.498, 688.613, -42.991, -16.398)","(640.458, 690.735, -98.346, 32.889)","(597.032, 686.425, -95.671, 28.711)","(546.094, 689.682, -9.838, 10.352)","(502.261, 689.155, -40.186, 8.358)","(459.558, 686.881, -48.47, -1.824)","(417.141, 691.127, -52.766, -53.785)","(381.303, 691.91, -51.767, 55.939)"
3,"(252.396, 475.965, 72.885, -27.859)","(273.792, 474.527, 36.63, -45.286)","(294.604, 472.68, 73.97, 33.335)","(323.093, 468.977, -16.905, 26.108)","(356.916, 467.531, -17.125, 26.871)","(391.222, 461.495, 51.81, 33.364)","(425.056, 459.743, 61.226, 23.174)","(459.785, 463.387, 10.096, 43.103)","(492.515, 460.509, 7.278, 55.518)","(521.858, 466.236, 22.296, 50.504)","(551.228, 472.824, 23.482, -35.971)","(577.838, 482.762, 48.099, -44.502)","(617.175, 490.855, 37.48, -48.879)","(655.491, 499.625, 43.14, 8.245)","(684.812, 499.801, 91.046, 55.255)","(711.106, 498.498, -25.725, 53.147)","(740.817, 494.196, 78.371, 11.914)","(757.285, 500.91, 43.181, -26.526)","(770.765, 514.214, -0.158, 26.332)","(779.727, 515.825, -29.483, -0.587)","(782.77, 532.051, 1.187, 14.221)","(793.302, 570.713, -1.216, 57.967)","(801.328, 608.444, -37.546, -0.327)","(812.272, 630.75, 15.03, -0.146)","(807.408, 653.326, 3.247, 0.993)","(765.472, 678.666, -66.722, 19.551)","(724.398, 692.936, -65.492, 27.463)","(685.12, 691.578, -26.71, -11.957)","(651.047, 688.288, -65.751, -1.954)","(603.28, 688.492, -67.418, -42.405)","(564.976, 692.721, -88.332, 19.25)","(526.589, 690.345, -53.55, -32.671)","(483.186, 689.417, -67.686, -28.902)","(446.076, 688.983, -30.538, -10.464)"
4,"(486.67, 337.215, 81.299, -38.543)","(537.825, 325.633, 1.295, -48.137)","(581.064, 324.012, 79.915, 32.455)","(626.099, 314.115, 67.042, -51.293)","(659.498, 307.69, 45.136, -18.556)","(695.279, 304.662, 59.762, -32.284)","(716.875, 296.816, 25.9, 31.479)","(735.829, 280.753, 52.719, -34.952)","(750.597, 264.899, -17.022, -72.895)","(765.352, 244.488, 9.143, 10.862)","(781.757, 227.266, -28.158, -26.788)","(792.388, 212.057, -27.506, -36.098)","(802.492, 183.722, -21.373, -42.56)","(814.981, 142.909, -30.139, -36.504)","(809.979, 114.266, -41.263, -44.481)","(806.356, 78.385, -49.286, 17.192)","(790.779, 63.352, -35.604, -0.637)","(748.916, 57.129, -66.441, -38.757)","(702.664, 56.818, -31.117, 31.755)","(661.926, 53.499, -10.94, 6.246)","(617.255, 59.371, -46.392, 60.704)","(573.775, 68.668, 5.45, 49.295)","(519.543, 59.057, -68.165, 32.764)","(479.805, 61.892, -98.708, 35.537)","(433.144, 62.04, 7.789, -30.851)","(391.879, 63.446, -46.666, 18.597)","(350.698, 64.093, -86.087, -49.233)","(311.972, 65.16, -9.619, 19.425)","(268.706, 63.539, -82.959, 39.704)","(232.826, 68.99, -89.903, 16.669)","(193.676, 62.022, -91.173, -39.845)","(151.8, 70.077, -32.584, -11.085)","(111.316, 95.654, -8.97, 25.741)","(85.233, 131.235, -65.861, -8.689)"
5,"(485.245, 171.525, 26.316, -55.228)","(517.01, 166.414, 92.938, -44.205)","(544.312, 167.84, 84.58, -35.531)","(579.981, 168.313, 46.69, 20.057)","(610.496, 169.343, 67.675, -34.149)","(627.928, 174.458, -24.714, -33.91)","(645.504, 195.464, 34.744, 26.969)","(687.097, 205.332, 38.712, -25.108)","(717.007, 191.385, 44.571, -58.649)","(729.701, 184.737, -24.815, 31.148)","(745.287, 172.723, -11.474, -54.399)","(752.943, 170.32, -47.048, -2.799)","(752.603, 181.603, -49.891, 10.104)","(771.209, 186.573, 27.22, -7.079)","(773.109, 143.425, 13.755, -44.735)","(765.129, 124.169, -40.087, -11.145)","(767.888, 108.628, 67.025, -0.538)","(773.363, 87.661, -34.153, -46.795)","(731.391, 75.461, -86.851, 44.635)","(694.833, 67.958, -86.247, -1.451)","(659.199, 65.132, 4.687, -11.558)","(610.905, 65.49, -52.691, -28.958)","(560.244, 73.978, -30.513, 43.623)","(516.635, 72.737, -15.054, 0.123)","(481.583, 73.512, 5.352, 16.893)","(436.393, 69.437, -21.654, -40.799)","(392.348, 69.841, 2.07, -9.607)","(356.271, 71.592, -69.148, -25.98)","(311.359, 70.731, -2.251, -52.343)","(274.348, 74.123, -47.077, 39.921)","(237.175, 76.021, -42.649, 22.325)","(202.189, 74.569, 17.882, 5.059)","(170.249, 68.32, 6.703, 37.238)","(127.853, 85.973, -29.313, 78.971)"
6,"(668.094, 171.218, -2.205, -30.11)","(702.199, 166.588, -7.76, 25.996)","(733.236, 166.732, 35.892, 27.22)","(748.669, 166.794, 5.921, 30.144)","(761.103, 169.61, -8.362, 50.291)","(770.869, 178.017, 65.814, -5.436)","(793.958, 155.18, 52.772, 10.918)","(798.703, 112.89, -11.211, -87.896)","(782.488, 85.451, -71.332, -46.78)","(738.09, 73.457, -41.107, 52.973)","(697.747, 79.582, -69.108, -15.113)","(651.801, 80.627, -13.345, 36.153)","(609.18, 77.097, -18.974, 57.584)","(573.937, 90.144, -89.637, -12.132)","(535.282, 88.89, -74.762, 50.697)","(486.656, 86.104, -79.351, 3.452)","(443.511, 88.678, -11.097, -32.408)","(403.772, 91.147, -89.895, 45.971)","(360.127, 82.433, -74.18, 34.866)","(319.623, 82.052, -73.401, 29.909)","(281.409, 76.59, -84.964, -32.466)","(247.065, 73.493, -48.3, -28.29)","(208.747, 75.581, 5.993, 7.521)","(172.555, 68.931, -39.495, -36.644)","(129.357, 86.739, -61.245, 12.196)","(101.586, 122.651, -70.104, 79.069)","(80.74, 158.312, -52.296, 51.808)","(65.961, 196.997, 7.192, 87.189)","(63.117, 240.42, -47.74, 37.595)","(56.009, 285.113, -42.167, 29.489)","(63.972, 323.442, 30.609, 95.679)","(56.939, 361.416, -0.8, 32.335)","(None, None, None, None)","(None, None, None, None)"
7,"(313.256, 549.764, -4.296, -44.446)","(357.741, 543.33, 33.152, -43.959)","(409.576, 537.703, 56.477, -0.36)","(448.47, 540.98, -0.141, -11.813)","(482.928, 540.365, -1.504, 45.796)","(531.117, 539.182, 50.571, -44.535)","(575.773, 548.821, 58.273, -24.666)","(600.334, 552.969, 1.965, -5.816)","(634.96, 555.948, 44.695, -1.421)","(658.725, 549.382, 14.266, -54.008)","(694.09, 545.977, 27.315, 26.714)","(714.878, 555.021, -27.334, 12.033)","(733.451, 559.252, 85.623, 7.545)","(758.447, 548.411, 30.618, -62.413)","(768.937, 561.601, -58.339, 55.365)","(758.835, 598.358, -50.159, 118.152)","(759.002, 634.111, 43.516, 45.848)","(760.275, 653.984, -30.518, -3.085)","(770.428, 666.653, -23.201, 34.068)","(723.863, 665.395, -37.608, -0.434)","(678.014, 642.535, -13.076, -36.968)","(660.895, 636.392, -5.67, -11.578)","(654.187, 636.532, 9.059, -1.365)","(647.639, 636.817, -5.596, -4.425)","(639.284, 636.628, -1.404, 18.455)","(638.781, 636.471, -9.109, 9.879)","(638.566, 636.32, -29.374, 15.5)","(638.517, 637.345, -3.267, -13.28)","(638.951, 636.091, -19.682, 3.19)","(626.746, 654.144, -63.306, -21.674)","(587.153, 661.081, -65.758, 31.704)","(556.077, 656.143, -40.599, -41.556)","(514.617, 665.466, -27.528, 37.501)","(484.327, 657.215, -61.836, 47.53)"
8,"(522.922, 208.545, 76.197, 0.71)","(581.14, 211.604, 16.684, -14.722)","(624.023, 201.582, 28.427, -43.22)","(657.854, 196.811, 23.888, -56.066)","(700.452, 193.453, 17.615, 37.097)","(729.874, 180.292, 12.473, 17.032)","(755.154, 181.93, 23.372, 24.215)","(784.88, 179.195, -12.825, -74.201)","(789.476, 135.053, -10.737, 24.821)","(804.403, 97.051, 47.19, -5.363)","(784.338, 82.759, 19.298, 6.908)","(740.42, 70.441, -84.773, 26.108)","(704.458, 71.15, -83.697, 13.523)","(668.304, 65.957, -16.002, -11.682)","(618.543, 63.293, 10.074, -15.339)","(578.276, 68.968, -62.445, -9.168)","(528.231, 72.022, -3.617, 3.619)","(484.969, 66.28, -52.212, 5.808)","(444.861, 68.34, -69.996, -40.105)","(399.566, 66.433, -64.745, 33.267)","(362.114, 68.21, -57.711, -32.083)","(317.584, 68.696, -93.68, -51.471)","(275.25, 68.695, -65.076, -1.397)","(233.873, 74.419, -62.605, 57.897)","(194.549, 75.267, -53.639, -57.709)","(149.354, 75.314, -90.496, 37.794)","(115.115, 98.131, -46.627, 37.05)","(90.27, 135.519, -34.958, 4.894)","(82.356, 185.53, -32.3, 92.955)","(75.067, 232.099, 44.937, -22.747)","(70.664, 271.129, -52.176, 84.073)","(63.618, 307.396, -33.563, 11.184)","(60.284, 344.818, -18.282, 41.752)","(None, None, None, None)"
9,"(657.667, 328.441, 70.503, -40.316)","(683.811, 317.309, 72.197, -19.682)","(711.403, 300.58, 4.524, 19.18)","(738.589, 287.847, -11.201, -13.965)","(763.803, 263.838, -10.259, 27.43)","(784.875, 249.311, 2.633, -58.773)","(802.589, 228.341, 22.294, -52.676)","(806.933, 211.219, -58.295, 22.427)","(814.182, 178.165, -0.355, -52.94)","(805.635, 134.548, -34.96, -97.089)","(810.705, 97.554, -32.783, -74.538)","(794.927, 65.466, -26.078, -0.146)","(760.479, 51.685, -89.808, -38.975)","(714.059, 60.666, -80.3, -54.788)","(667.8, 61.043, -2.419, -35.654)","(624.592, 61.284, -3.359, -3.283)","(581.3, 60.781, -24.285, 57.998)","(544.2, 64.711, -80.085, -54.483)","(498.982, 64.349, -2.217, 56.047)","(457.521, 67.944, -87.982, 46.767)","(412.008, 73.284, -58.633, -49.0)","(363.893, 65.159, 5.078, 12.734)","(325.528, 65.298, -55.671, 33.173)","(275.313, 66.864, -82.905, -19.516)","(235.015, 67.199, -75.027, 19.917)","(193.646, 64.047, 0.361, -10.659)","(153.349, 67.741, -41.371, 42.566)","(114.942, 101.619, -67.857, 49.107)","(85.49, 139.931, -34.165, 88.421)","(71.199, 177.558, -30.393, -6.63)","(63.852, 215.451, -13.852, -5.829)","(63.061, 258.047, 14.524, 66.657)","(56.717, 300.553, -44.87, 48.619)","(61.156, 332.269, -21.813, 69.581)"
