,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,"(450, 375, None, None)","(412.82, 375.0, None, None)","(355.62, 375.0, None, None)","(395.616, 372.933, None, None)","(452.764, 370.501, None, None)","(509.913, 368.069, None, None)","(545.917, 328.981, None, None)","(569.871, 315.942, None, None)","(599.548, 308.874, None, None)","(640.353, 299.154, None, None)","(650.646, 257.078, None, None)","(697.633, 249.063, None, None)","(725.92, 218.088, None, None)","(735.13, 182.936, None, None)","(760.741, 154.946, None, None)","(758.748, 135.884, None, None)","(756.141, 127.71, None, None)","(756.038, 126.762, None, None)","(756.038, 126.762, None, None)","(739.98, 105.111, None, None)","(723.772, 83.352, None, None)","(667.042, 90.672, None, None)","(613.037, 81.413, None, None)","(566.166, 104.917, None, None)","(515.906, 94.07, None, None)","(484.704, 95.91, None, None)","(439.565, 101.619, None, None)","(394.832, 99.048, None, None)","(365.0, 89.059, None, None)","(310.209, 84.01, None, None)","(253.088, 81.005, None, None)","(244.364, 77.16, None, None)","(209.11, 76.004, None, None)","(172.427, 79.612, None, None)","(138.47, 75.685, None, None)","(109.691, 89.313, None, None)","(88.414, 136.466, None, None)","(73.444, 174.89, None, None)","(75.773, 217.345, None, None)","(69.011, 251.916, None, None)","(69.659, 281.462, None, None)","(65.441, 323.014, None, None)","(57.68, 368.111, None, None)",
1,"(310.622, 202.654, -18.506, -61.144)","(337.646, 191.911, 49.704, -40.654)","(368.045, 182.803, 28.676, -63.088)","(403.245, 167.338, -8.353, 11.253)","(432.606, 166.695, 28.898, 21.769)","(456.541, 166.537, 30.125, -42.259)","(478.265, 168.655, -37.033, 13.987)","(489.346, 181.019, 44.008, 47.747)","(516.473, 200.858, 35.236, 41.082)","(555.528, 191.971, 28.584, -13.46)","(582.327, 194.054, 75.931, 33.892)","(599.82, 189.924, -16.868, 6.074)","(621.232, 199.188, 29.549, 39.485)","(650.18, 207.439, 77.765, 37.001)","(682.401, 209.02, 47.547, -44.138)","(711.065, 209.17, -13.121, 43.834)","(736.694, 201.211, 18.207, -62.033)","(755.311, 201.762, 59.159, -41.933)","(767.824, 197.951, -8.802, -47.545)","(780.193, 181.782, 16.082, 10.085)","(794.942, 142.553, 25.932, 11.445)","(797.334, 113.475, -33.411, 11.615)","(780.155, 91.038, -57.427, -38.284)","(743.697, 75.965, -66.965, 23.962)","(704.431, 68.756, -81.191, 49.168)","(670.437, 64.293, -34.266, -20.993)","(636.199, 63.399, -8.15, -27.086)","(604.296, 58.8, -2.442, -41.287)","(563.434, 60.093, 10.584, -31.723)","(525.416, 64.013, -23.762, 36.416)","(482.36, 56.963, -75.831, -33.059)","(443.369, 61.221, -2.462, 36.553)","(404.728, 64.842, 10.2, 34.947)","(362.557, 61.745, -2.474, -47.047)","(318.331, 60.895, -68.453, -26.587)","(277.334, 65.285, -92.922, -11.625)","(246.07, 68.823, -5.598, -35.425)","(211.382, 70.781, -13.646, -58.843)","(179.514, 67.173, -48.764, 46.206)","(137.924, 74.928, 18.372, 44.935)","(101.323, 114.58, -58.278, 14.281)","(77.713, 145.727, -2.554, 77.97)","(69.396, 176.744, -4.558, 70.225)",
2,"(691.851, 471.597, 79.143, 16.835)","(721.266, 505.45, 68.843, -7.63)","(748.709, 529.277, 0.494, 33.812)","(772.282, 547.636, 26.16, 22.304)","(783.351, 568.606, -0.523, 16.887)","(789.144, 617.392, -30.199, 82.414)","(777.273, 649.982, -21.216, 45.623)","(741.735, 653.172, -49.61, 15.21)","(686.994, 644.541, -13.343, 8.355)","(639.714, 637.686, -76.156, 35.894)","(587.744, 637.221, -2.178, 1.234)","(531.735, 642.965, -89.933, -16.903)","(478.068, 650.8, -54.59, 41.381)","(423.667, 653.004, -11.777, 19.824)","(376.883, 656.151, -10.423, -47.227)","(331.173, 662.876, -25.043, 30.319)","(286.314, 665.533, -91.359, 13.137)","(237.845, 663.725, -40.921, -36.884)","(191.095, 666.422, 9.707, 31.742)","(155.255, 662.804, -67.909, 11.36)","(130.182, 627.533, 5.924, -94.052)","(121.178, 586.447, -4.192, -21.963)","(105.306, 548.015, -55.327, -37.028)","(98.431, 500.185, 28.677, -37.532)","(88.878, 456.347, 17.397, -21.268)","(74.206, 422.75, -2.196, -65.312)","(65.621, 384.729, -41.524, -41.237)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
3,"(581.135, 567.357, 73.103, 1.222)","(635.589, 582.454, 48.714, -17.5)","(669.085, 583.141, 85.819, -9.955)","(700.609, 583.978, 5.954, 49.995)","(722.336, 583.914, 80.478, -3.877)","(739.773, 583.198, 59.847, -37.757)","(746.494, 583.133, 49.616, -27.343)","(758.792, 570.133, 59.578, -43.667)","(770.164, 559.185, 44.34, 19.062)","(775.706, 579.898, 9.482, 3.716)","(780.912, 626.935, -13.541, 11.345)","(786.453, 650.696, -49.722, 35.956)","(736.094, 661.874, -9.517, -26.692)","(690.781, 651.467, -35.321, 31.991)","(667.239, 636.069, -65.331, -1.081)","(656.655, 636.436, -73.576, 19.83)","(634.194, 636.719, -21.225, -10.909)","(617.453, 636.942, -19.226, 40.294)","(602.363, 636.156, -96.658, -4.919)","(571.741, 636.86, -70.461, -7.428)","(546.697, 640.449, -12.49, 26.865)","(517.485, 646.34, 13.067, 50.696)","(481.303, 664.241, -80.576, -0.269)","(435.139, 673.039, -47.482, 50.663)","(391.52, 658.917, -42.45, -65.081)","(350.709, 638.456, -31.225, -44.919)","(311.801, 637.722, -77.571, -51.76)","(283.693, 640.034, -30.124, 49.842)","(247.77, 639.718, -66.253, 32.878)","(216.287, 648.901, 27.993, -32.342)","(191.015, 651.863, -57.577, 42.506)","(160.776, 652.538, -65.762, -34.432)","(129.508, 635.818, -7.807, -66.78)","(126.065, 585.086, -2.702, -55.534)","(130.333, 542.608, 38.157, -64.906)","(126.333, 498.417, -51.316, 10.096)","(113.649, 454.439, 10.91, -26.684)","(105.924, 419.912, -23.993, -33.019)","(102.136, 396.585, 33.117, -12.054)","(87.572, 383.003, -78.466, -29.706)","(31.543, 379.874, -94.501, -43.765)","(None, None, None, None)","(None, None, None, None)",
4,"(251.17, 505.017, 84.836, -13.265)","(282.066, 502.937, 32.639, 43.392)","(309.712, 499.891, 6.591, 52.377)","(346.066, 497.696, 66.703, -8.902)","(379.17, 499.633, 56.612, 32.64)","(412.514, 513.114, 22.396, 2.595)","(450.517, 517.162, 64.624, -16.732)","(486.094, 521.444, 58.18, -57.525)","(519.755, 517.718, 17.034, -2.556)","(548.968, 524.919, 31.462, 10.983)","(587.219, 533.925, 8.873, -51.356)","(631.094, 539.734, 52.94, -17.848)","(664.541, 539.631, 18.558, -3.458)","(695.478, 544.051, 51.745, 3.373)","(715.623, 536.824, 11.234, -58.053)","(734.98, 537.05, 38.181, -41.096)","(755.636, 533.706, 13.185, -9.923)","(768.066, 532.344, 12.62, -21.878)","(772.888, 550.234, -34.412, 71.16)","(774.71, 583.195, 18.807, 50.535)","(786.022, 612.06, 31.94, 12.709)","(797.681, 639.533, -21.255, 75.888)","(780.093, 652.745, -45.085, -6.331)","(738.503, 664.829, -2.164, 27.257)","(709.062, 667.4, -52.29, 24.965)","(683.456, 681.307, -69.683, -17.731)","(646.963, 680.684, -68.531, 53.28)","(615.352, 683.689, -17.792, 23.857)","(582.314, 684.301, -84.914, 31.633)","(544.445, 684.285, -87.405, -46.315)","(518.172, 683.91, 15.778, 44.695)","(489.574, 690.582, -19.467, 45.574)","(454.436, 691.024, 5.204, 51.865)","(408.865, 681.633, -44.955, -30.418)","(370.752, 675.61, 11.607, 34.707)","(333.436, 665.908, -35.458, 4.936)","(293.166, 668.308, -3.554, 24.222)","(260.841, 664.201, -63.332, 30.076)","(234.581, 668.09, -91.305, 0.614)","(198.33, 663.607, -44.935, -36.171)","(165.872, 674.647, -59.575, 32.781)","(127.442, 641.441, -22.542, 1.04)","(108.656, 597.731, -0.949, -15.748)",
5,"(283.436, 336.301, 49.118, 33.738)","(325.495, 336.668, 62.117, 22.481)","(364.361, 332.316, -0.566, -34.674)","(404.682, 319.489, 89.789, -6.108)","(437.842, 309.86, 5.643, 43.072)","(473.06, 297.73, 22.111, 19.811)","(513.622, 291.643, 41.636, 42.066)","(538.697, 282.922, 3.155, -61.979)","(570.411, 270.025, 17.437, -12.244)","(601.989, 265.575, -21.018, 28.509)","(627.307, 259.881, 59.01, 28.933)","(659.288, 264.883, 39.171, -50.62)","(692.646, 262.209, 29.545, -25.367)","(721.527, 256.682, -30.76, -8.141)","(742.906, 250.843, 14.315, -13.727)","(753.208, 236.927, 29.762, -31.792)","(782.34, 218.251, 22.59, 17.146)","(801.148, 199.027, 18.666, -46.048)","(808.692, 169.68, -24.886, -32.417)","(805.55, 138.259, 27.397, -30.781)","(799.292, 101.622, 38.665, -2.214)","(771.029, 74.054, -24.518, -0.185)","(741.92, 66.004, 11.452, -8.455)","(696.219, 66.496, -84.722, 32.615)","(658.974, 62.184, -41.957, -13.972)","(617.305, 61.379, -22.634, 22.038)","(575.349, 62.107, -51.68, 19.727)","(534.446, 62.394, -83.98, -1.276)","(490.103, 64.268, -13.724, 5.286)","(443.642, 66.787, -12.461, 17.198)","(401.181, 63.491, -93.362, 4.52)","(365.665, 65.211, -21.583, -9.674)","(330.021, 64.806, -19.656, -4.398)","(293.67, 71.213, -0.336, 32.848)","(257.285, 64.47, -4.081, 24.126)","(231.791, 66.263, -12.737, -14.994)","(205.245, 69.594, -57.719, -31.725)","(169.969, 67.46, -56.164, 25.685)","(127.876, 85.944, -91.104, -16.276)","(96.502, 120.663, -26.338, 73.825)","(80.69, 158.543, -5.064, 72.013)","(71.773, 195.679, 1.003, 17.334)","(67.917, 232.053, -54.638, 26.985)",
6,"(533.694, 563.482, 24.605, 2.986)","(574.207, 563.689, 103.604, -28.64)","(612.846, 577.527, 8.364, 50.646)","(642.618, 582.865, -11.517, -11.665)","(663.611, 582.959, -14.973, -5.174)","(688.907, 583.768, 11.486, 7.699)","(704.532, 583.116, 20.133, -31.412)","(731.052, 583.836, -8.024, 9.016)","(747.715, 583.08, 39.838, 37.762)","(757.638, 575.945, 4.76, -47.705)","(772.807, 569.277, 32.914, 32.868)","(777.896, 595.858, -6.044, 66.435)","(787.958, 644.437, 16.566, 62.321)","(769.164, 662.9, 10.409, 63.706)","(716.294, 669.292, -81.135, -54.946)","(689.36, 650.559, -0.959, -59.977)","(671.831, 636.822, -9.152, 22.292)","(655.469, 636.538, 0.91, 23.666)","(629.844, 636.067, -69.211, -48.957)","(598.219, 636.799, -58.147, 34.798)","(577.271, 636.037, 15.351, -12.994)","(547.608, 636.577, -21.429, -6.962)","(524.947, 638.237, 30.716, 16.631)","(514.681, 637.647, -29.775, 30.62)","(504.399, 636.725, -0.54, 2.685)","(493.39, 636.164, -24.992, -43.261)","(491.742, 636.63, -5.441, 3.788)","(482.36, 636.358, 38.669, -21.433)","(487.887, 636.38, -39.323, -29.907)","(488.857, 637.204, -37.331, 40.798)","(486.444, 641.605, -30.539, 17.85)","(454.036, 667.784, -62.463, -34.649)","(401.455, 668.147, -70.498, -32.523)","(363.057, 662.379, -30.13, -39.036)","(323.839, 656.297, 0.127, 5.232)","(288.425, 655.509, -9.425, 25.756)","(255.802, 655.365, -30.893, 25.398)","(225.37, 664.111, -29.135, 20.714)","(197.661, 670.273, -80.453, 11.868)","(159.695, 678.387, -9.386, -79.173)","(118.323, 638.867, -52.929, -54.08)","(98.427, 605.308, -11.13, -79.587)","(86.441, 559.848, -7.834, -45.938)",
7,"(498.645, 332.316, 66.231, 12.956)","(530.756, 333.742, 72.328, 16.686)","(559.645, 322.675, 46.034, 29.41)","(588.527, 319.159, -22.769, -41.654)","(616.767, 310.194, -4.138, -12.099)","(646.903, 302.628, -9.315, 7.297)","(678.087, 290.822, 27.125, -7.804)","(706.269, 285.481, 18.795, 23.59)","(728.393, 275.339, -38.865, 40.739)","(753.151, 262.995, 46.527, 32.4)","(767.972, 250.975, -4.615, 8.141)","(783.98, 231.713, -4.42, -45.554)","(800.175, 210.636, 36.328, -50.048)","(812.41, 181.832, 54.383, -37.534)","(813.952, 162.392, 11.717, -34.334)","(808.256, 123.708, -28.79, -39.551)","(803.201, 96.48, -9.654, -13.544)","(793.56, 82.084, 23.007, 40.538)","(778.704, 64.215, -6.137, 11.179)","(745.029, 51.873, -69.977, -33.572)","(701.438, 56.887, -93.763, -47.013)","(660.922, 58.662, -13.527, 52.515)","(623.2, 56.664, -63.243, -10.537)","(578.72, 59.38, -78.368, 17.538)","(537.429, 55.342, -61.597, -6.95)","(496.688, 59.685, -47.095, 2.857)","(461.411, 58.949, -23.71, 39.301)","(421.336, 62.219, -77.224, -24.26)","(390.426, 60.492, -42.303, 51.096)","(355.46, 58.911, -89.79, -39.068)","(317.937, 66.834, -18.239, 26.744)","(288.172, 68.243, -14.32, -9.628)","(254.434, 74.291, -71.839, 27.055)","(225.333, 77.977, -46.026, -2.476)","(187.045, 85.828, -106.716, 43.586)","(143.811, 78.854, -64.946, 16.543)","(118.405, 111.698, 18.478, 21.92)","(108.126, 158.047, 28.017, 95.853)","(105.957, 203.97, 10.628, -12.567)","(107.615, 246.626, -20.915, 48.044)","(104.897, 279.531, -4.826, 52.899)","(110.028, 311.545, 24.652, -3.223)","(95.029, 337.479, 16.494, 3.084)",
8,"(646.162, 545.713, 90.463, -40.813)","(690.672, 564.301, 68.616, 54.218)","(726.98, 579.834, 41.286, 30.978)","(758.084, 581.08, 59.607, 26.412)","(765.66, 582.931, 42.589, -29.162)","(778.423, 579.426, 11.215, -8.0)","(772.916, 595.777, -36.003, -45.376)","(773.32, 594.838, 40.622, 25.386)","(766.366, 589.913, 4.693, -44.171)","(765.763, 598.436, -67.209, 44.972)","(757.293, 597.789, 10.906, 10.015)","(757.204, 593.305, 14.173, 31.17)","(763.842, 581.143, -37.077, 15.835)","(772.817, 574.159, 35.519, 15.036)","(777.141, 590.386, 18.33, 41.857)","(771.782, 619.286, 34.74, 9.098)","(781.595, 641.189, 31.161, 26.13)","(770.849, 648.78, 20.804, 41.158)","(717.364, 649.425, -86.785, 34.34)","(694.048, 636.726, 4.801, 23.479)","(685.816, 636.332, 9.852, 13.391)","(672.65, 636.359, -77.11, 9.166)","(657.695, 639.023, -70.989, 8.603)","(620.362, 652.267, -57.142, -55.709)","(580.619, 652.574, -67.314, -22.613)","(538.402, 653.731, -91.258, 14.892)","(514.74, 645.03, 40.785, -43.091)","(500.732, 652.899, 5.536, 34.227)","(464.631, 676.226, -72.033, 33.91)","(412.135, 675.444, -53.994, -22.937)","(370.993, 666.859, 2.125, -62.061)","(327.42, 659.504, -82.5, 29.172)","(290.516, 661.007, -35.692, -42.062)","(257.311, 655.76, -38.677, -27.045)","(231.393, 650.813, 27.667, 6.687)","(197.83, 665.097, -95.892, -9.454)","(148.024, 670.297, -54.288, -5.532)","(123.736, 617.393, -23.992, 16.244)","(125.254, 579.949, 24.536, -44.31)","(119.747, 535.737, -29.517, -21.637)","(114.628, 491.73, 3.768, -5.3)","(106.756, 456.131, 6.632, -26.334)","(104.242, 422.931, 24.408, -52.313)",
9,"(598.162, 437.582, 30.325, 69.818)","(640.815, 463.671, 70.012, 54.398)","(672.306, 480.443, -5.372, -6.552)","(704.889, 498.071, 48.039, -13.854)","(727.816, 511.942, 21.976, 70.645)","(745.117, 526.715, 3.091, 40.363)","(763.366, 529.539, 84.765, -17.7)","(786.503, 552.149, 62.839, -7.24)","(797.89, 589.309, 18.119, 38.79)","(805.728, 630.268, 46.297, 54.399)","(807.982, 660.106, -36.372, 36.483)","(788.32, 671.861, -67.507, -7.846)","(762.117, 690.813, -41.669, 10.687)","(719.667, 695.742, -73.889, 18.254)","(680.867, 693.932, 2.146, -6.936)","(638.805, 693.065, -7.016, -7.504)","(592.315, 688.909, -76.107, -15.449)","(545.147, 685.534, -35.113, 12.769)","(506.573, 684.481, -74.633, -3.535)","(458.625, 682.581, -69.82, -15.794)","(407.902, 681.488, -60.865, -45.023)","(364.789, 683.168, 11.311, -6.481)","(318.917, 685.336, -12.075, -20.204)","(281.423, 676.791, -17.521, 47.473)","(245.903, 675.289, 20.452, -47.757)","(218.244, 668.604, -81.585, -41.545)","(185.313, 663.637, -19.939, -44.463)","(149.768, 657.063, -38.748, 26.076)","(130.392, 619.759, 37.352, -49.866)","(118.659, 567.895, 13.618, -101.311)","(111.776, 531.513, 31.442, 6.915)","(100.17, 488.842, -35.389, -63.382)","(90.848, 446.696, 7.78, -77.835)","(80.336, 413.524, 49.327, -56.059)","(39.44, 384.068, -6.529, -7.492)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
