,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,"(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(450, 375, None, None)","(441.42, 375.051, None, None)","(384.221, 375.389, None, None)","(327.022, 375.728, None, None)","(269.823, 376.066, None, None)","(253.263, 364.846, None, None)","(302.079, 335.032, None, None)","(350.895, 305.219, None, None)","(405.572, 306.682, None, None)","(461.871, 316.797, None, None)","(503.358, 342.023, None, None)","(552.018, 372.091, None, None)","(604.716, 385.406, None, None)","(646.527, 382.038, None, None)","(679.681, 385.798, None, None)","(736.517, 392.244, None, None)","(747.065, 403.383, None, None)","(736.172, 425.648, None, None)","(736.172, 425.648, None, None)","(742.533, 437.381, None, None)","(750.711, 452.467, None, None)","(767.917, 492.804, None, None)","(779.768, 514.574, None, None)","(788.312, 546.794, None, None)","(796.276, 588.616, None, None)","(777.569, 614.384, None, None)","(767.326, 625.427, None, None)","(756.144, 662.142, None, None)","(698.97, 663.851, None, None)","(694.205, 663.994, None, None)","(661.793, 663.717, None, None)","(604.626, 662.193, None, None)","(547.504, 659.222, None, None)","(496.689, 685.2, None, None)","(441.534, 681.159, None, None)","(385.38, 670.268, None, None)","(356.87, 672.08, None, None)","(299.819, 676.205, None, None)","(250.826, 672.962, None, None)","(194.817, 661.352, None, None)","(159.135, 655.678, None, None)","(120.085, 654.004, None, None)","(119.205, 636.866, None, None)","(116.273, 579.741, None, None)","(113.341, 522.617, None, None)","(117.272, 466.138, None, None)","(124.708, 409.959, None, None)","(114.588, 392.468, None, None)","(57.921, 384.677, None, None)","(30.656, 380.114, None, None)",
1,"(652.786, 347.925, 76.307, -15.001)","(684.45, 369.477, 72.216, 18.529)","(709.142, 391.319, 36.003, 64.706)","(734.54, 414.704, 14.946, 58.703)","(759.58, 430.194, 61.55, -3.993)","(784.858, 451.519, 38.028, -27.325)","(796.842, 477.372, -13.705, 45.038)","(804.016, 500.417, 57.11, -31.586)","(814.166, 515.321, 0.647, 63.384)","(814.369, 530.401, 63.497, 27.209)","(812.233, 544.148, -20.04, -22.383)","(818.771, 569.0, 2.454, 59.913)","(813.603, 601.46, 16.074, 28.185)","(823.827, 640.714, 28.147, 18.832)","(807.849, 664.454, 21.149, 65.492)","(760.276, 680.914, -42.406, -9.045)","(713.43, 680.86, -17.134, 19.889)","(681.24, 676.061, -40.693, -39.052)","(643.307, 668.986, -20.291, -9.779)","(608.628, 659.73, -56.863, -20.628)","(567.018, 652.949, -10.597, 34.119)","(530.325, 655.646, 10.048, 14.646)","(492.781, 653.702, -31.354, 14.698)","(456.877, 646.254, -61.379, -17.822)","(416.139, 637.307, 1.859, -64.654)","(377.422, 637.075, -80.602, -13.166)","(350.943, 636.58, -13.755, 30.744)","(315.449, 637.064, -86.41, 42.413)","(262.906, 636.281, -60.815, -15.124)","(228.047, 640.109, -28.741, 38.243)","(208.745, 649.97, 6.145, 16.311)","(176.597, 652.065, -5.938, 47.575)","(143.204, 657.52, 36.388, -10.481)","(123.0, 624.215, -13.907, -7.179)","(103.428, 587.118, -2.829, 8.722)","(90.416, 539.389, 31.099, -10.24)","(78.876, 500.12, -7.963, -12.919)","(70.018, 464.719, -61.42, -67.781)","(64.854, 439.45, 53.383, -23.182)","(70.471, 405.379, -36.381, 5.388)","(31.744, 383.238, -96.34, 0.364)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
2,"(594.463, 280.27, 23.583, 37.225)","(630.711, 268.104, 69.577, -44.612)","(664.968, 261.608, 25.451, -6.737)","(702.663, 245.914, 73.005, -61.832)","(739.353, 235.938, 22.364, 13.389)","(774.275, 220.293, 35.443, 5.945)","(802.056, 195.519, -19.132, -71.305)","(816.591, 166.73, 17.354, -23.169)","(823.276, 144.96, 26.181, -58.743)","(813.106, 114.883, 22.912, -26.944)","(807.039, 76.889, 23.178, 16.722)","(776.475, 62.996, -80.87, 17.19)","(733.451, 55.466, -99.577, -5.103)","(679.577, 57.59, -66.119, 10.616)","(634.817, 62.668, -60.114, 43.511)","(593.983, 64.374, -82.905, -14.485)","(546.67, 62.904, 0.135, -7.357)","(500.251, 61.346, 6.895, 43.788)","(457.341, 65.267, -14.111, 35.789)","(419.292, 63.046, -73.286, 2.749)","(373.338, 59.546, -61.923, -35.038)","(323.238, 61.653, -67.088, -19.805)","(282.001, 63.365, -43.203, -36.655)","(240.7, 65.341, -86.278, 39.391)","(208.405, 68.958, -79.051, 16.767)","(177.117, 65.637, 13.103, 17.077)","(124.924, 79.159, -73.026, -6.444)","(93.733, 117.972, -52.347, -10.228)","(76.947, 156.107, -63.786, 3.531)","(64.141, 193.402, -40.821, 24.22)","(62.222, 233.741, -17.909, 60.727)","(62.501, 279.26, -33.167, 25.214)","(59.87, 324.32, -16.494, 35.034)","(56.393, 354.816, 11.553, 24.408)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
3,"(398.761, 186.777, 8.53, -37.663)","(444.663, 172.259, -12.525, 15.267)","(477.362, 166.601, 26.266, 26.393)","(489.196, 167.075, -35.47, -26.368)","(489.179, 166.498, 17.169, 8.457)","(487.324, 166.379, -3.474, 1.285)","(490.563, 166.432, -12.294, 12.92)","(490.731, 169.234, -35.298, -27.255)","(487.467, 167.416, -42.438, -24.545)","(492.315, 173.911, -33.022, 7.628)","(527.089, 194.291, 32.778, -49.904)","(567.261, 195.267, -5.899, 30.011)","(611.854, 194.092, 23.276, 30.398)","(654.645, 198.271, 52.535, 10.095)","(686.138, 206.655, 45.259, 16.662)","(716.153, 203.712, 50.577, -23.85)","(757.299, 204.153, 58.329, -39.29)","(769.819, 194.413, 26.193, 11.543)","(770.642, 179.698, -21.146, 21.493)","(764.338, 132.774, 15.006, -93.861)","(775.779, 108.384, 10.12, -52.534)","(752.998, 95.134, -80.763, 42.316)","(703.513, 89.066, -66.124, 5.747)","(667.239, 97.087, -12.333, 56.397)","(642.407, 98.044, -10.766, -51.883)","(605.816, 93.106, 31.59, -27.863)","(572.919, 88.711, -40.267, 2.408)","(532.129, 82.866, -73.41, 38.435)","(489.907, 81.157, -97.46, -42.586)","(450.579, 80.18, -4.225, -4.812)","(408.687, 72.496, -48.46, 29.422)","(374.295, 71.178, -43.416, 25.054)","(332.915, 73.473, -22.041, 41.6)","(293.981, 77.146, -67.603, 51.194)","(256.797, 73.869, -16.405, 3.189)","(215.841, 75.042, -39.372, -42.556)","(174.957, 75.484, -16.824, -45.952)","(139.284, 82.174, -8.225, 43.383)","(109.592, 116.697, -33.237, -4.699)","(89.821, 159.662, 17.566, 63.345)","(83.681, 197.895, -20.965, 23.454)","(69.63, 237.377, 44.761, 84.061)","(64.106, 275.473, 12.323, -5.645)","(64.735, 307.927, -30.542, 3.316)","(61.193, 342.095, 25.264, 76.405)","(45.433, 358.535, -23.679, 25.011)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
4,"(330.559, 391.242, 3.271, 29.405)","(361.334, 406.963, 84.674, 17.034)","(398.484, 428.018, -26.29, 70.482)","(425.34, 449.119, -11.156, 16.62)","(472.287, 464.079, 29.708, -14.325)","(513.4, 471.052, 27.066, 60.205)","(549.04, 480.046, 21.233, 15.312)","(580.966, 486.031, 19.181, 25.014)","(609.622, 487.347, 11.301, -15.893)","(643.118, 489.057, 9.531, -38.848)","(672.941, 497.046, 52.003, -41.742)","(706.489, 503.501, 63.826, 36.178)","(730.319, 510.146, 23.597, 49.419)","(758.448, 522.141, 54.073, 33.134)","(777.299, 544.965, -8.711, 1.529)","(793.575, 590.057, 37.271, -9.525)","(799.393, 626.889, -48.693, 42.507)","(798.058, 651.569, -29.082, 45.384)","(762.476, 646.088, 7.006, 10.269)","(714.092, 636.313, -70.436, 15.841)","(676.462, 636.076, -59.984, -18.745)","(642.066, 637.456, -6.954, -4.237)","(601.963, 636.215, -90.519, 8.666)","(566.468, 639.378, -35.809, -47.233)","(526.045, 638.828, -77.15, -5.105)","(494.062, 638.718, 9.779, 16.151)","(452.797, 641.041, -15.711, 6.443)","(414.731, 641.904, -37.345, -11.243)","(379.653, 638.97, 8.141, 27.83)","(342.444, 638.004, -44.28, -0.304)","(320.072, 642.241, 5.625, 32.491)","(286.01, 640.92, 12.903, -36.165)","(255.278, 649.6, -46.66, 8.114)","(223.714, 652.979, -78.151, -23.547)","(191.083, 652.858, -11.005, -42.793)","(161.766, 656.381, -96.553, 40.762)","(136.093, 631.09, -18.418, -3.224)","(132.888, 589.73, -41.176, -24.32)","(125.471, 547.901, 18.676, -79.196)","(119.588, 513.251, -41.824, 14.016)","(116.428, 477.882, -35.176, -5.286)","(111.395, 443.586, -56.625, 10.314)","(104.533, 417.199, 18.345, 17.124)","(99.724, 397.125, 35.176, -35.247)","(95.665, 386.284, 44.588, 40.553)","(80.616, 376.455, 19.99, -38.879)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
5,"(694.751, 282.211, -25.243, -52.687)","(724.415, 257.912, 45.489, -18.124)","(758.254, 244.944, -16.153, -74.659)","(786.155, 226.707, 31.509, 19.925)","(806.549, 190.236, 48.566, -87.657)","(819.331, 156.177, -7.485, -85.899)","(814.412, 128.537, -62.646, -10.023)","(792.228, 86.424, -71.756, -76.571)","(755.644, 66.592, -65.622, 20.224)","(706.149, 61.508, -96.533, 10.199)","(657.423, 66.151, -55.253, -28.239)","(617.444, 69.378, -24.216, -42.81)","(573.364, 67.16, -3.383, 39.468)","(530.563, 66.974, -54.799, 39.477)","(497.015, 65.138, 2.971, -49.581)","(447.983, 67.048, -50.173, -27.515)","(405.11, 69.766, -95.435, -32.35)","(369.872, 76.649, -73.136, 41.824)","(330.597, 78.115, -78.037, -1.647)","(296.753, 80.568, -30.502, 29.752)","(251.738, 77.354, -41.461, 51.663)","(211.616, 79.548, -22.718, 50.346)","(174.859, 76.848, -54.029, -21.897)","(136.184, 82.861, -40.572, 60.318)","(107.843, 124.965, -61.695, 31.387)","(104.759, 165.447, 35.018, 75.45)","(92.882, 203.858, -48.477, -3.431)","(86.288, 245.24, -38.782, 1.023)","(74.31, 286.139, -41.197, 20.24)","(67.667, 326.524, 19.016, 73.186)","(42.064, 358.609, -104.406, 24.508)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
6,"(594.526, 484.62, 18.474, 68.653)","(623.318, 501.933, -2.528, -28.59)","(658.449, 515.258, 80.023, 12.161)","(704.235, 527.39, 101.832, 30.959)","(741.277, 535.962, -20.093, -20.1)","(766.455, 542.446, -24.373, -12.818)","(771.331, 577.989, 55.133, 34.94)","(775.71, 625.842, 40.941, -1.73)","(776.293, 658.527, -2.669, 68.27)","(725.395, 656.145, -92.757, 7.443)","(684.259, 646.613, -73.397, 53.825)","(644.493, 644.868, -35.058, -26.48)","(603.589, 643.801, -2.09, -58.385)","(562.768, 642.151, -10.489, -22.9)","(522.567, 636.119, -2.644, -56.147)","(487.035, 637.339, -56.427, -0.047)","(459.507, 637.096, -90.087, -46.901)","(419.984, 637.537, -41.127, -34.4)","(379.675, 636.484, 9.581, 1.346)","(337.407, 637.368, -93.63, -36.714)","(301.96, 639.094, -53.596, 32.137)","(263.972, 640.155, -6.309, -41.353)","(231.005, 642.219, -22.507, 5.419)","(201.891, 654.781, -41.139, -61.635)","(157.475, 661.117, -28.85, -9.945)","(127.856, 630.898, -63.751, -30.238)","(123.461, 591.961, 32.891, -50.302)","(114.932, 547.139, -3.629, -15.874)","(106.747, 497.674, 0.895, -39.985)","(102.37, 465.018, -56.589, -33.711)","(98.652, 432.946, -4.499, -61.799)","(93.903, 404.217, -55.841, -66.138)","(84.158, 383.814, 13.173, -27.949)","(43.255, 381.877, -59.803, 26.624)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
7,"(362.097, 283.238, 41.904, 9.015)","(405.45, 278.628, 36.521, 12.04)","(441.932, 279.907, 36.379, -24.873)","(472.774, 271.633, 16.231, -51.306)","(509.208, 270.781, 48.063, 35.342)","(548.603, 268.718, 71.425, -45.084)","(579.872, 264.937, 49.165, -52.849)","(611.262, 261.873, 5.71, -65.559)","(639.705, 253.766, 13.527, -31.368)","(672.312, 243.859, 13.867, 29.401)","(710.114, 235.749, 51.888, -50.619)","(745.875, 225.452, -0.99, -39.776)","(778.847, 213.71, -7.72, -75.919)","(793.499, 185.769, 9.416, 17.717)","(795.333, 157.479, -18.184, -83.204)","(801.775, 121.971, 30.897, -36.484)","(794.002, 92.645, -0.458, -43.062)","(769.817, 69.119, 6.181, -31.588)","(741.889, 62.095, -18.786, -16.431)","(707.242, 64.282, -81.768, -28.482)","(664.09, 65.152, -70.548, -48.449)","(619.727, 62.461, -22.591, 44.972)","(572.806, 64.759, -21.348, 5.808)","(531.504, 70.476, -90.868, 61.108)","(485.397, 75.118, -4.979, 48.321)","(438.643, 80.986, -60.72, -15.4)","(396.937, 88.197, -30.315, 41.303)","(355.274, 89.294, -56.832, -48.7)","(314.163, 90.635, 1.043, 12.847)","(275.001, 89.377, -83.312, 22.729)","(233.8, 90.041, -59.059, 16.649)","(194.056, 93.797, -84.412, -16.564)","(165.752, 87.454, 1.503, -38.618)","(129.394, 101.425, -8.878, 82.669)","(118.894, 146.393, -33.253, 20.327)","(118.601, 198.401, 3.871, 87.687)","(108.64, 243.179, -45.846, 51.902)","(113.317, 285.2, 35.229, 15.073)","(108.102, 322.476, 47.463, 48.547)","(104.845, 343.157, -20.673, 36.076)","(92.097, 366.037, -64.556, -3.885)","(80.255, 373.047, -88.495, -41.054)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
8,"(626.109, 268.484, 66.393, -7.37)","(667.723, 244.796, 11.263, -54.599)","(708.287, 236.605, 36.204, -27.756)","(752.013, 230.074, 9.802, 43.003)","(778.532, 221.504, 53.309, -75.34)","(801.58, 195.468, 37.789, -3.721)","(810.439, 159.37, -35.872, 10.871)","(808.666, 125.453, 2.01, -88.158)","(799.655, 82.302, 31.598, -42.799)","(775.977, 59.598, -68.177, -4.593)","(737.6, 55.158, -21.644, 20.697)","(684.457, 54.168, -2.31, -18.997)","(630.034, 63.202, -89.656, 19.529)","(584.955, 63.703, -49.941, 32.277)","(542.392, 63.753, 11.423, -15.659)","(495.747, 60.192, -44.765, 13.174)","(451.833, 61.092, -46.345, 29.536)","(414.961, 63.761, -3.491, -27.653)","(369.367, 63.357, -63.538, 51.499)","(334.296, 62.522, -41.656, -21.089)","(289.432, 60.212, -84.849, -22.219)","(249.158, 63.26, -84.163, -53.606)","(215.521, 70.234, -35.659, 35.981)","(168.984, 67.25, -84.022, -44.176)","(120.561, 83.51, -42.992, 11.411)","(84.564, 117.87, -10.26, 71.445)","(74.34, 152.29, 38.79, 96.753)","(66.413, 191.647, 9.708, 40.545)","(63.804, 228.709, 18.925, 27.617)","(67.481, 274.755, -12.557, 3.162)","(65.115, 308.951, 16.618, 6.046)","(60.986, 342.525, 28.921, 52.099)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)",
9,"(510.993, 311.688, 88.706, 10.933)","(538.58, 306.469, 13.347, 18.858)","(572.222, 306.418, 18.719, 7.568)","(601.485, 302.685, 20.851, 2.631)","(632.745, 297.931, 90.052, 29.654)","(664.786, 291.755, -2.764, 39.377)","(692.967, 283.422, 25.14, -12.926)","(724.984, 275.509, 77.06, 35.402)","(753.715, 270.773, 60.698, 35.038)","(773.714, 258.071, 49.941, -63.917)","(788.98, 232.119, -14.448, -13.192)","(804.793, 188.091, -37.333, -75.695)","(805.071, 152.095, 42.89, -29.615)","(806.132, 113.048, -7.123, -19.606)","(805.535, 78.732, -10.431, 30.865)","(779.982, 61.928, -61.364, -2.085)","(744.561, 59.147, 0.977, 8.432)","(699.157, 58.56, -13.464, 5.026)","(655.154, 57.259, -5.519, -4.468)","(603.753, 60.486, -87.09, 33.417)","(551.538, 65.148, -9.241, -2.821)","(501.586, 67.427, -61.891, 34.645)","(457.584, 67.654, -7.324, 29.26)","(413.673, 70.308, 1.887, 22.337)","(376.697, 67.34, -84.191, -38.55)","(333.353, 73.771, -52.563, 1.484)","(298.168, 72.855, -93.839, -4.955)","(257.772, 74.204, -8.771, -24.463)","(214.922, 73.377, -32.852, -5.219)","(176.575, 69.81, -2.107, -1.426)","(139.755, 73.723, -39.236, 88.698)","(111.399, 117.364, -8.307, 34.455)","(96.116, 156.543, 45.025, 97.243)","(90.249, 198.256, -49.309, 102.017)","(88.357, 239.399, -57.631, -16.251)","(85.078, 273.2, -32.587, 89.808)","(76.64, 307.729, 8.758, -15.909)","(65.705, 336.649, 33.778, -13.115)","(27.064, 365.261, -69.467, 6.74)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
