,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,"(450, 375, None, None)","(450, 375, None, None)","(476.499, 371.785, None, None)","(533.283, 364.897, None, None)","(590.066, 358.008, None, None)","(646.85, 351.12, None, None)","(703.634, 344.231, None, None)","(754.739, 338.032, None, None)","(756.251, 334.531, None, None)","(778.925, 282.017, None, None)","(808.949, 241.432, None, None)","(822.077, 226.202, None, None)","(804.979, 180.078, None, None)","(796.048, 161.101, None, None)","(800.582, 141.601, None, None)","(806.843, 114.673, None, None)","(784.389, 73.71, None, None)","(761.709, 76.727, None, None)","(705.009, 84.27, None, None)","(662.224, 85.226, None, None)","(605.038, 83.956, None, None)","(562.149, 83.003, None, None)","(530.949, 87.041, None, None)","(474.222, 94.383, None, None)","(454.368, 96.952, None, None)","(408.666, 94.643, None, None)","(351.539, 91.756, None, None)","(297.268, 89.014, None, None)","(263.908, 88.371, None, None)","(206.719, 87.269, None, None)","(149.529, 86.166, None, None)","(117.302, 112.216, None, None)","(113.602, 169.296, None, None)","(109.902, 226.377, None, None)","(81.616, 276.094, None, None)","(53.331, 325.81, None, None)","(39.188, 350.669, None, None)"
1,"(500.011, 528.597, 86.312, -24.061)","(539.013, 537.368, -17.286, 21.565)","(572.504, 547.891, 33.945, 52.203)","(610.157, 566.424, 51.371, 63.826)","(632.673, 566.262, 27.973, -16.612)","(655.916, 554.705, 0.268, -14.9)","(688.984, 553.363, 66.133, -55.789)","(716.586, 552.423, 69.107, 50.457)","(747.942, 555.425, 14.352, 30.183)","(770.865, 556.515, 5.241, -9.373)","(768.888, 608.047, 65.818, 12.759)","(777.767, 641.374, 29.699, -43.943)","(772.812, 660.734, -27.416, 1.455)","(724.262, 668.738, -49.65, -43.864)","(665.073, 656.676, -62.778, -53.319)","(628.853, 639.808, -74.039, -48.857)","(615.968, 636.039, -20.089, -21.908)","(614.679, 636.078, 34.736, -32.931)","(614.427, 636.548, 20.977, 27.968)","(602.345, 636.07, -92.41, -12.146)","(590.681, 638.233, -33.149, 50.48)","(570.686, 644.621, -68.286, 55.881)","(526.84, 654.884, -28.325, -18.97)","(473.932, 661.619, -108.553, -63.692)","(434.442, 652.148, -12.899, 16.745)","(393.248, 658.074, -19.623, -3.836)","(347.832, 651.062, -71.411, -42.686)","(311.028, 648.521, 16.923, -13.38)","(281.936, 640.561, -4.541, -14.808)","(247.682, 639.929, 27.497, -20.561)","(221.01, 641.678, -35.063, -31.634)","(202.812, 654.702, -75.497, 10.722)","(173.874, 651.159, -25.012, 1.641)","(143.356, 652.424, 26.973, -33.836)","(133.512, 609.023, -53.818, -15.392)","(129.517, 562.171, 14.282, -73.846)","(120.435, 517.012, 44.675, -75.497)"
2,"(430.799, 382.257, 16.725, 67.396)","(461.803, 403.704, 70.549, -5.255)","(506.593, 416.054, 11.553, -32.477)","(544.215, 437.369, 91.997, 33.089)","(585.444, 451.576, 50.552, 61.086)","(621.102, 457.404, -19.019, 13.894)","(653.135, 463.457, 79.937, 11.644)","(689.588, 472.044, 81.95, -25.661)","(719.884, 478.578, 36.98, -1.988)","(739.017, 487.215, 31.038, -28.302)","(756.898, 496.493, 57.1, 37.974)","(776.98, 504.283, -12.377, 21.277)","(789.727, 517.12, -7.3, 8.905)","(797.011, 555.998, 49.182, 31.406)","(804.186, 598.619, 1.155, 2.175)","(813.076, 629.685, -31.342, -1.339)","(811.291, 652.557, 32.716, -7.913)","(788.577, 663.272, -56.115, -25.048)","(746.325, 677.494, -60.92, 20.188)","(708.019, 688.018, -89.416, -50.389)","(661.324, 687.707, -81.571, -19.113)","(621.757, 685.92, -34.993, 7.949)","(581.46, 679.276, -40.187, -26.942)","(538.734, 689.953, -49.604, 4.445)","(499.105, 692.365, -19.136, 4.784)","(458.315, 687.596, -45.081, 17.131)","(412.308, 692.894, -17.586, -43.103)","(369.774, 688.576, -20.579, 19.31)","(318.719, 683.075, -55.16, 37.497)","(285.326, 681.998, -32.888, -23.742)","(243.651, 679.443, -62.034, 25.675)","(211.049, 679.174, -20.67, -3.282)","(173.551, 684.166, -5.87, -47.33)","(123.657, 671.166, -45.181, -69.779)","(86.075, 633.112, -26.613, -57.568)","(67.97, 593.943, -8.779, -55.155)","(57.611, 561.742, 26.588, 14.64)"
3,"(422.117, 518.705, 74.957, -39.539)","(467.471, 516.174, 6.653, -2.622)","(515.894, 517.656, -1.124, -1.813)","(552.423, 525.925, 38.658, 60.019)","(590.332, 531.276, 82.386, 44.329)","(619.392, 532.729, 39.48, 24.274)","(646.341, 534.986, -14.194, -17.595)","(675.098, 539.173, 46.169, -56.398)","(705.777, 543.361, -13.914, -24.339)","(733.7, 543.83, -44.456, -14.298)","(761.747, 546.033, 79.369, 37.72)","(770.136, 577.972, -17.719, 113.706)","(770.814, 612.121, 47.464, -1.836)","(769.572, 643.04, 37.397, 31.731)","(752.327, 661.515, -38.093, 17.823)","(696.065, 659.468, -51.819, -0.7)","(655.755, 641.353, -56.217, 18.381)","(647.171, 636.511, -25.522, 10.077)","(635.525, 636.327, -66.509, 2.509)","(624.081, 636.426, 3.366, 2.275)","(612.839, 637.419, -44.716, -6.892)","(594.926, 637.125, -0.496, -17.747)","(568.613, 637.633, -48.419, 31.278)","(553.308, 643.42, -9.718, -42.677)","(523.341, 657.504, -18.874, 25.084)","(486.456, 665.436, -51.552, -14.661)","(439.051, 670.832, -49.812, 47.63)","(397.329, 668.777, -16.848, 50.103)","(350.362, 668.855, 4.923, -54.433)","(316.715, 668.331, 17.723, 15.269)","(273.895, 666.292, -67.145, 6.332)","(243.367, 664.909, -23.754, -9.192)","(200.938, 666.906, -24.408, -43.277)","(173.683, 665.22, 5.114, 17.534)","(138.55, 656.82, 8.636, -85.082)","(114.84, 614.984, -53.043, -46.195)","(105.569, 567.321, 1.37, -78.703)"
4,"(772.534, 546.738, 51.378, 22.726)","(790.633, 607.588, 11.71, 112.349)","(782.115, 654.044, -54.709, -31.479)","(722.466, 670.451, 4.34, 42.169)","(670.588, 671.972, -65.16, -16.841)","(625.353, 672.04, -53.463, 14.957)","(579.67, 671.524, 2.279, -53.917)","(527.345, 666.84, 5.875, -10.419)","(478.265, 668.918, -32.839, -43.196)","(433.255, 667.213, -8.567, -33.781)","(384.105, 664.712, -24.891, 2.735)","(339.607, 660.489, 12.791, -54.394)","(296.117, 661.209, -28.232, 17.435)","(258.468, 665.211, -52.844, -19.867)","(212.701, 667.24, -26.798, 18.8)","(172.092, 661.625, -2.158, 46.899)","(139.65, 644.343, 11.215, -99.516)","(127.638, 594.757, -8.421, -3.926)","(112.876, 549.737, -18.105, -66.152)","(91.007, 511.578, -43.009, -34.94)","(80.448, 465.162, 18.764, -27.862)","(73.576, 433.838, 11.69, -15.343)","(71.682, 404.797, -42.025, 6.271)","(48.709, 386.613, 2.265, -24.382)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
5,"(467.687, 426.24, 3.928, 40.023)","(508.864, 438.561, 41.08, 14.43)","(554.172, 454.813, 62.239, 6.1)","(585.75, 466.097, 33.541, 19.614)","(626.889, 477.313, 12.33, 12.215)","(660.618, 477.321, 78.212, -14.813)","(685.361, 485.723, 58.318, -35.454)","(717.949, 498.418, 42.566, 59.843)","(746.898, 511.23, 57.995, 49.349)","(765.378, 518.659, 46.708, 22.099)","(783.388, 528.417, 33.268, 60.35)","(784.112, 541.384, -27.872, 31.812)","(797.507, 572.941, 27.63, 49.935)","(793.179, 620.133, 43.251, 14.631)","(787.539, 654.865, -95.22, -20.093)","(737.437, 662.798, -46.665, -26.835)","(688.351, 663.304, -15.776, -40.85)","(647.765, 662.975, -94.022, -6.609)","(600.223, 672.153, -90.024, -41.117)","(560.729, 669.342, 1.768, -17.973)","(520.256, 662.473, -92.939, 51.019)","(467.288, 663.821, -85.77, 2.586)","(437.602, 653.325, -22.7, -38.456)","(393.988, 656.753, -12.956, 41.678)","(348.98, 650.471, -65.167, 7.178)","(313.225, 655.717, -94.338, 56.504)","(260.378, 650.737, -71.745, -33.407)","(219.496, 652.091, -55.386, -45.6)","(189.376, 651.3, 8.254, -18.046)","(147.088, 651.612, -85.138, 33.566)","(133.043, 629.221, 28.572, -64.28)","(126.378, 573.831, -17.522, -5.238)","(122.538, 533.444, 11.978, -82.666)","(110.564, 491.702, -48.981, -38.52)","(112.578, 455.549, 46.141, -87.016)","(104.651, 421.892, 49.348, -77.779)","(98.505, 399.728, -48.888, 15.906)"
6,"(339.501, 564.365, 90.925, -40.898)","(381.009, 563.065, 41.658, -13.596)","(417.09, 561.368, 89.151, 50.348)","(460.656, 566.994, 54.88, 4.766)","(499.439, 568.453, 19.325, 58.676)","(541.79, 567.236, 52.309, -52.585)","(578.201, 568.487, 91.389, -35.717)","(598.639, 566.125, 5.175, -5.052)","(626.981, 549.605, 36.628, -17.352)","(669.902, 544.703, -5.135, -64.957)","(694.638, 538.525, 13.272, 41.345)","(723.93, 538.304, 22.858, -16.412)","(744.595, 545.812, -6.572, -52.793)","(765.293, 546.342, 78.992, -6.227)","(783.557, 574.928, 49.947, 46.363)","(789.863, 616.36, -49.997, -30.199)","(779.009, 641.141, 15.747, 41.216)","(755.162, 653.38, -29.934, 51.99)","(725.137, 655.42, 0.252, 10.682)","(681.329, 654.067, -28.699, 4.52)","(660.376, 640.952, 24.823, -14.47)","(650.82, 636.535, -63.402, 27.054)","(638.378, 636.273, -48.742, -63.65)","(625.117, 636.544, 14.196, 17.52)","(610.062, 636.413, 10.577, 18.849)","(587.903, 639.454, -35.051, 34.386)","(567.784, 637.079, -28.642, -50.991)","(544.87, 637.725, -25.23, -21.721)","(526.325, 636.844, -74.429, -42.255)","(508.775, 636.745, -33.618, 44.577)","(473.12, 636.399, 15.183, 20.785)","(440.686, 638.947, 15.475, 37.258)","(412.51, 636.216, -55.304, -25.22)","(376.053, 636.582, -16.547, -41.926)","(346.766, 636.738, -91.248, 18.531)","(312.126, 638.801, -42.983, -50.179)","(274.827, 640.423, -75.596, 14.766)"
7,"(442.353, 184.98, -20.775, 23.348)","(469.977, 180.092, -13.602, 14.967)","(507.082, 174.631, -8.148, -4.32)","(542.092, 176.414, 80.939, 39.807)","(563.076, 173.969, -14.109, 53.574)","(592.32, 176.347, 14.474, -37.438)","(632.655, 196.144, 27.101, 46.139)","(669.44, 189.681, 11.845, -37.84)","(694.147, 190.962, 68.632, 67.958)","(735.097, 194.049, 67.196, 42.622)","(751.471, 188.508, 82.369, -31.08)","(774.135, 183.329, -26.631, -23.452)","(758.084, 138.346, -8.166, -76.843)","(761.08, 114.31, 44.89, -30.446)","(778.627, 95.439, 9.891, 8.391)","(741.531, 104.198, -29.884, 61.951)","(697.887, 112.718, -59.828, -28.244)","(668.303, 113.723, 26.703, -11.833)","(659.451, 112.657, -11.769, 25.732)","(658.23, 111.406, -41.83, -28.406)","(658.392, 112.36, -29.931, -44.45)","(658.567, 113.329, -26.898, -38.205)","(646.449, 95.933, -10.526, -26.385)","(599.649, 95.207, -3.421, 53.388)","(570.407, 104.246, -34.006, 52.466)","(536.012, 101.938, -35.89, -6.289)","(496.134, 98.052, -14.624, 14.744)","(453.278, 96.236, 3.935, 18.388)","(412.606, 94.97, -68.833, -16.568)","(372.167, 90.248, 13.577, -0.489)","(326.839, 91.795, -39.178, 46.047)","(286.77, 89.736, 6.844, 3.241)","(249.063, 88.096, -38.931, 7.998)","(208.007, 88.937, -23.755, 21.973)","(165.995, 82.564, -85.286, -42.988)","(130.181, 92.233, -48.17, 76.411)","(110.861, 131.515, 29.417, 29.066)"
8,"(624.488, 556.939, 39.424, 20.092)","(651.007, 547.591, 76.017, -67.72)","(679.707, 543.654, -6.67, -45.213)","(718.286, 550.369, 22.167, -31.312)","(739.721, 563.179, 21.057, 38.996)","(749.758, 572.057, 29.747, 64.483)","(755.092, 583.203, 37.112, -15.884)","(762.948, 580.595, 6.943, 17.777)","(778.141, 591.26, 51.195, 16.722)","(791.894, 583.712, 37.428, -28.995)","(791.001, 575.133, -58.685, 51.121)","(786.331, 589.943, -32.546, 63.222)","(792.785, 621.683, -8.17, -29.167)","(793.779, 655.364, -43.768, 77.021)","(752.099, 687.03, -64.017, 25.132)","(710.465, 691.575, -2.762, 21.961)","(660.729, 693.488, -40.013, 47.442)","(621.05, 692.543, -6.793, 33.244)","(576.532, 692.585, -34.378, -42.203)","(530.507, 695.316, 9.358, 2.827)","(490.909, 690.278, -39.747, 3.709)","(437.447, 685.713, -17.306, 30.007)","(395.974, 686.321, -28.228, -43.063)","(351.698, 680.923, -58.777, 42.456)","(303.566, 679.914, -31.816, -7.089)","(258.974, 665.345, -41.247, 27.24)","(218.961, 666.045, 1.932, 44.101)","(176.679, 663.82, -79.577, -22.995)","(142.247, 655.508, 28.258, -1.297)","(135.712, 603.395, 46.938, -83.568)","(128.07, 562.822, -9.502, 6.696)","(120.637, 517.474, 23.261, -74.087)","(113.291, 473.363, -5.166, -80.811)","(104.932, 443.687, 34.211, -62.387)","(94.071, 408.0, -26.045, -26.188)","(86.644, 388.982, 43.262, -15.107)","(68.007, 385.266, -48.343, -25.597)"
9,"(719.25, 550.809, 10.311, -21.88)","(766.717, 554.383, 85.46, 23.521)","(777.481, 605.705, -1.183, 6.163)","(777.903, 654.993, -58.946, 18.011)","(733.164, 659.325, -68.699, -24.395)","(697.372, 664.11, 10.75, -46.55)","(658.944, 667.788, -20.532, -38.496)","(616.694, 669.034, -15.918, 35.713)","(577.6, 667.283, -37.861, -29.056)","(527.086, 660.147, -47.191, 48.592)","(485.597, 660.928, -53.868, -24.529)","(439.926, 650.968, -73.386, 22.524)","(400.266, 655.502, -45.925, 22.601)","(354.718, 659.2, -17.179, 6.896)","(309.125, 655.094, -61.784, 30.168)","(267.02, 657.107, 2.827, 1.02)","(228.978, 662.026, -82.084, 12.644)","(193.596, 665.561, -27.015, -20.515)","(151.864, 663.866, -31.316, 27.419)","(135.862, 624.233, -6.021, -62.727)","(123.04, 583.978, 5.398, -14.549)","(103.926, 546.052, -44.98, -9.795)","(88.636, 502.009, -31.575, -66.953)","(76.191, 458.492, -36.357, -54.792)","(72.678, 426.305, -38.843, -3.93)","(63.71, 390.269, -73.218, -23.633)","(27.29, 387.632, -27.17, 37.735)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)","(None, None, None, None)"
